Depth,cal yr BP,C14 BP,Pollen concentration,Lycopodium spikecounted,Lycopodium spikequantity added,Lycopodium tabletsvolume,Sample quantityvolume,Alnus,Amaranthaceae,Anthemis-type,Apiaceae,Arbutus,Artemisia,Asphodelus,Aster-type,Betula,Boraginaceae,Brassicaceae,Callitriche,Calluna,Caltha-type,Campanulaceae,Caryophyllaceae,Castanea,Centaurea cyanus-type,Centaurea nigra-type,Centaurea scabiosa-type,Centaurium pulchellum-type,Cichorioideae,Circaea,Cirsium-type,Cistus-type,Convolvulaceae,Corrigiola litoralis-type,Corylus,Cupressaceae,Cyperaceae,Cystopterisspore,Drosera,Echium vulgare-type,Epilobium,Equisetumspore,Erica arborea-type,Erica australis-type,Erica tetralix-type,Erica umbellata-type,Erica undiff.,Fabaceae,Filipendula,Frangula,Fraxinus excelsior-type,Genista-type,Gentiana pneumonanthe-type,Geranium molle-type,Hedera,Helianthemum-type,Herniaria glabra-type,Humulus-type,Hypecoum,Hypericum perforatum-type,Ilex,Illecebrum verticillatum-type,Juncus,Knautia,Lamiaceae,Liliaceae,Linum,Lonicera periclymenum-type,Lotus-type,Melampyrum-type,Menyanthes,Montia fontana-type,Myosotis arvensis-type,Myriophyllum verticillatum,Olea,Osmundaspore,Pedicularis-type,Persicaria maculosa-type,Phillyrea,Pinus,Pistacia,Plantaginaceae,Plantago coronopus-type,Plantago lanceolata-type,Plantago major/P. media,Poaceae,Poaceae (Cerealia-type),Populus,Potamogeton,Potentilla,Poterium sanguisorba,Quercus ilex-type,Quercus robur-type,Ranunculus-type,Rhinanthus-type,Rosaceae,Rubiaceae,Rumex acetosa-type,Salix,Sambucus,Scabiosa,Scrophulariaceae,Sedum-type,Simethis planifolia,Sparganium,Spergula-type,Stachys-type,Succisa,Teucrium-type,Thesium,Thymelaeaceae,Trollius europaeus-type,Typha (tetrad),Unknown/spore,Unknown (monolete)spore,Unknown (trilete)spore,Urtica-type,Valeriana officinalis-type,Valerianella-type,Viburnum,Viscum,Vitis
23,--/849/--,--/958/--,683761,59,13911,3,0.600000024,,,2,3,,1,,,242,,,,20,,2,,,,,,,,,,1,,,,,7,,,,,,71,14,18,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,37,,,,1,,5,22,,,,,2,2,,,1,,,,,,,,,,,,,,7,,,,1,,
24,--/922/--,--/1030/--,908547.9375,61,13911,3,0.5,,,,,,,,,327,,,,15,,4,1,,,,,,,,,,,,,,4,,,,,,88,7,11,4,5,,1,1,,1,,,,2,,,,,1,,,,,2,,,1,,,,,,,,,,,2,,,,1,,28,,1,,,,8,20,1,,1,,,,,,1,,,,,,,,,,,,1,,9,,,,,,
25,--/995/--,--/1102/--,566702.1875,61,13911,3,0.600000024,1,,,1,,,,,241,,,,8,,,1,,,,,,,,,,,,,,3,,,,,,75,8,4,2,3,,,,,2,,,,3,,,,,,,,,,4,,,1,,,,,,,,,,,2,,,,,,19,,,,,,2,16,,,,1,3,,,,,,,,,,,,,,,,,1,1,,,,,,
26,--/1068/--,--/1174/--,323655.9375,139,13911,3,0.5,1,,,,,1,,,229,,,,6,,,,,,,,,,,,,,,,,16,,,,,,66,14,16,1,5,,,,1,2,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,52,3,1,,1,,2,16,,,,,2,4,,,1,,,,,,,,,,,,3,,16,,,,,,
27,--/1141/--,--/1247/--,561077,75,13911,3,0.600000024,1,,,,,,,,157,,1,,6,,,,,,,,3,,,2,,,,,,19,,,,,,120,23,7,2,3,,,,,,,,,,,,,,1,,,,,4,,,1,,,,,,,,,,,3,,,,,,68,,,,4,,4,22,,,1,,1,6,,,1,,,,,1,,,,,,,1,,21,,,,,,
28,--/1213/--,--/1319/--,395962.7188,125,13911,3,0.5,,,2,,1,1,,,178,,1,,13,,,2,,,,,,,,,,,,,,9,,,,,,105,10,10,1,5,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,3,,,,,2,,,,,3,75,,,,2,,,12,,,,,1,14,,,,,,,,,,,,,,,2,1,8,1,,,,,
29,--/1286/--,--/1391/--,1054917.5,42,13911,3,0.600000024,,,3,1,,1,,,264,,,,3,,,1,,,,,,,,,,,,,,14,,,,,,111,10,8,2,,,,,2,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,58,,,,1,,3,22,1,,,,1,5,,,,,,,,,,,,,,,,,14,,,,,,
30,--/1359/--,--/1463/--,433228.2813,105,13911,3,0.5,1,,,,,,,1,263,,1,,3,,,,,,,,,,,,1,,,1,,12,,,1,,,66,7,3,,2,,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,3,,,1,,,58,1,2,,,,8,29,,,,,1,1,,,5,,,,,,,,,,,,1,,13,,,,,,
31,--/1432/--,--/1536/--,383575.375,68,13911,3,0.800000012,3,,1,2,1,,,,240,,2,,,,,,,,,,,,,,1,,,,,14,,,,,,44,7,4,1,5,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,4,,,1,,,78,,,,,,8,24,,,,,,8,,,1,,,,,,,,,,,,,,16,,,,,,
32,--/1496/--,--/1594/--,294053.6563,123,13911,3,0.600000024,1,,,4,,,,,140,,1,,4,,,,,,,,,,,,2,,,,,17,,,,,,69,10,9,1,2,,1,,1,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,16,,,1,,,88,,2,,,,14,44,,,1,1,,5,,,3,,,,,,,,,,,,,1,27,,,,1,,
33,--/1557/--,--/1649/--,410269.9063,76,13911,3,0.699999988,4,,2,7,,2,,,189,,,,10,,2,,,,,,,,,,,,,,,20,,,,1,,56,10,8,,1,,,,4,2,,,,2,,,,,2,,,,,,,,1,,,,,,,,,,,17,,,,1,,52,,,,1,,12,47,,,,,1,2,1,,,,,,,,,,,1,,,2,,29,,,1,,,
34,--/1618/--,--/1704/--,326099.7188,129,13911,3,0.5,2,,2,6,,,,,172,,3,,6,,2,1,,,,,,,,,1,,,,,13,,,,,1,43,15,13,2,4,,1,,,3,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,16,,,,,,54,1,1,,1,,14,47,1,,,,2,2,1,,1,,,,,,,,,,,,1,1,29,,,,,,
35,--/1680/--,--/1759/--,282084.1563,108,13911,3,0.600000024,1,,1,3,,,,1,128,,,,10,,,,,,1,,2,,,,,,,,,11,,,,,,39,10,15,1,3,1,,,1,1,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,15,,,,,,49,,,,2,,12,55,1,,,,1,3,,,1,,1,,,,,,,,,,1,1,13,,,,,,
36,--/1741/--,--/1814/--,272386.3438,186,13911,3,0.5,1,1,,5,,1,1,,122,,1,,33,,,,,,,,,,,,2,,,,,13,,,,,,51,27,17,1,6,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,27,,,,,1,76,,1,,,,31,56,,,,3,,4,,,,,,,,,,,1,,,,2,,37,,,,,,
37,--/1802/--,--/1869/--,844206.75,51,13911,3,0.600000024,1,,2,3,,,,,146,,,,73,,,,,,,,,,,,,,,,,7,,,,,,38,25,21,1,5,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,,,,,,33,1,,,1,,19,52,,,,,,4,,,,,,,,,,,,1,,,2,,10,,,,1,,
38,--/1863/--,--/1924/--,547331.625,72,13911,3,0.699999988,4,1,1,3,2,,,,120,,2,,50,,,1,,,,,,,,1,,,,,,9,,,,,,50,42,13,1,5,,,1,1,3,,,,,,,,,3,2,,,1,,,,,,,,,,,,,,2,23,,,,1,,74,1,,,,,29,54,1,,,,3,3,,,1,,,,,,,,,,,,,1,19,,,,,,
39,--/1925/--,--/1979/--,333061.4375,78,13911,3,0.800000012,1,,1,5,,2,,,99,,,,10,,1,,,,,,,1,,,1,,,,,16,,,,,,44,25,9,2,3,1,1,,3,2,1,,,3,,,,,,,,,,,,,,,,1,,,,,,,,18,,,1,,,96,,,,,1,10,54,1,1,1,,1,5,1,,,,,,,,,,,,,,,,24,1,,,,,
40,--/2147/--,--/2162/--,239568.2031,109,13911,3,0.699999988,,,2,6,,1,,,80,,1,,11,,4,,,,,,,,,,,,,,,18,,,,,,37,23,5,2,1,,1,,,3,4,,,2,,,,,,,,,,,,,,,,,,,2,,,,2,18,,,,,,80,,,,1,,20,47,,,,,2,2,,,1,,,,,1,,,,,,,2,1,13,,,,,,
41,--/2422/--,--/2378/--,235901.75,103,13911,3,0.899999976,3,,3,6,,,,,84,,,,8,,,1,,,,,,,,,,,,,,23,,,,,,68,21,13,1,4,,,,,2,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,4,34,,1,,,,67,,,,3,,10,59,1,,1,,5,4,1,,1,,,,,,,,,,,,4,,24,2,,,,,
42,--/2697/--,--/2593/--,236487,180,13911,3,0.5,3,,,10,,,1,,79,,1,,2,,2,1,,,,,,,,,,,,,,11,,,1,,,40,40,11,1,2,,,,,,1,,,,,,,,,,,,,1,,,1,,,,1,,1,,,,3,34,,,,,,81,1,1,,1,,12,70,,,1,,5,3,,,2,,,,,,,,,,,,1,1,23,1,,,,,
43,--/2973/--,--/2808/--,239294.7188,109,13911,3,0.800000012,3,1,1,12,,1,,,87,,,,4,,3,,,,,,,,,,1,,,,,24,,,,,,52,25,10,,4,,,,2,2,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,2,30,1,,,,,73,,,,,,17,64,,,,,1,4,1,,,,,,,,,,,,,,3,,14,,,,,,
44,--/3248/--,--/3024/--,327623.5625,107,13911,3,0.600000024,1,,,3,,1,,1,148,,,,12,,,,,,,,,,,,1,,,,1,8,,,,,,47,17,4,1,7,1,,,1,3,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,28,,,,,,72,,,,,,18,40,1,,,,3,1,,,,1,,,,,,,,,,,1,2,8,1,,,,,
45,--/3523/--,--/3239/--,852048.75,33,13911,3,0.800000012,2,,1,2,,,,,210,,,,1,,1,,,,,,,,,,,,,,,12,,,,,,70,3,1,,1,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,20,,,,,,86,,,,10,,6,36,,,,,2,5,,,1,,,,,,,,,,,,2,,4,1,,,,,
46,--/3799/--,--/3455/--,672786.5625,66,13911,3,0.5,1,,,1,1,,,,135,,,,7,,1,,,,,,,1,,,,,,,,27,,,,,,66,14,5,,2,,,,1,,1,,,1,,,,,1,,,,,,,,1,,,,,,1,,,,,26,,,1,,,111,,2,,9,,12,29,,,3,,,3,,,,,,,,,,,,,,,,1,9,1,,,,,
47,--/4074/--,--/3670/--,932261.375,31,13911,3,0.800000012,,,2,2,,,,,175,,,,7,,,,,,,,1,,,,,,,,1,13,,,,,,63,10,6,,3,,,,,6,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,28,,,2,,,95,,,,1,,8,45,,,,,,6,,,,1,,,,,,,,,,,1,,11,,1,,,,
48,--/4350/--,--/3885/--,821411.4375,42,13911,3,0.600000024,1,,1,1,,,,,158,,,,6,,,1,,,,,,,,,1,,,,,19,,,,,,66,6,1,1,4,,,,2,2,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,23,,,,,,86,,,,,,8,27,,,1,,,7,1,,,1,,1,,,,,,,,,1,1,9,,,,,,
49,--/4625/--,--/4101/--,1632058.375,21,13911,3,0.800000012,,,,,,,,,212,,,,2,,,,,,,,,,,,1,,,,,4,,,,,,151,2,,,5,,,2,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,27,,1,,,1,45,,,,1,,6,34,,,,,1,3,,,,,,,,,,,,,,,2,,1,,,,,,
50,--/4900/--,--/4316/--,978828.5625,55,13911,3,0.600000024,4,,,3,,,,,225,,,,6,,1,2,,,,,,,,,1,,,,,19,,,,,,178,7,5,3,,,,,,,,,,9,,,,,1,,,,,,,,,,,,,,,1,,,,27,,,,,,55,,,,,,6,41,,,,,,,,,,,,,,,,,,1,,,,2,5,,,,,,
51,--/5176/--,--/4532/--,671943.4375,55,13911,3,0.899999976,,,1,2,,2,,,297,,,,5,,1,2,,,,,,,,,2,,,,1,6,,,,,,147,9,2,,6,,,,,2,,,,,,,,,4,,,,,,,,1,,,,,,1,,,,1,53,,,,,,14,,,,3,,19,52,,,,,,,,,1,,,,,,,,,,,,1,1,9,,,,,,
52,--/5451/--,--/4747/--,506557.125,99,13911,3,0.600000024,2,,1,1,,2,,,228,,,,2,,,,,,,,,,1,,,,,,,19,,,,,,64,55,10,,1,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,89,,,,,,40,,1,,2,,11,73,,,1,1,,1,,,,,,,,,1,,,,,,,2,13,,,,,,
53,--/5537/--,--/4805/--,525921,49,13911,3,0.800000012,2,,2,1,,1,1,,104,,1,,1,,,,,,,,,,,,,,1,,,14,,,,,,43,20,6,1,,1,2,,1,1,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,69,,,,1,1,90,,,,,,17,50,,,,,,,,,2,1,,,,,,,,,,,1,,83,,,,,,
54,--/5560/--,--/4825/--,292247.9063,119,13911,3,0.600000024,1,2,,6,,3,1,,83,,,,3,,1,,,,,,,1,,,2,,,,,23,,,,,,30,22,3,,9,,,,2,,,,,2,,,,,,,,,1,1,,,,,,,,,,,,,,87,,,,,,89,,,,,,22,45,2,,1,,2,1,,,5,,,,,1,,,5,,,,,,81,2,,,,,
55,--/5583/--,--/4844/--,1115904.125,23,13911,3,0.800000012,,,1,6,,,,,118,,,,1,,,,,,,,,1,,,1,,,,,53,,,,,,12,7,1,,,,,,4,7,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,40,,,,,,214,,,,,,14,36,1,,,,,1,,,2,1,,,,,,,,,,,,,11,,,,,,
56,--/5607/--,--/4863/--,580437.4375,53,13911,3,0.699999988,3,,,8,,,,2,124,,1,,6,,,,,,,,,,,,3,,,,,30,,,,,,26,17,3,,1,,,,,10,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,61,,,,,,123,,1,,,,14,54,,,,,2,2,,,,,,,,,,,,,,,1,,21,,,,,,
57,--/5630/--,--/4882/--,1551076.5,15,13911,3,0.800000012,,,,5,,,,,153,,,,2,,,,,,,,,,,,,,,,,20,,,,,,20,3,1,,,,,2,1,4,,,,2,,,,1,1,,,,,1,,,,,,,,,3,,,,,47,,,,,,111,,1,,,,13,42,,,1,1,,1,1,,2,,,,,1,,,,,,,2,1,11,,,,,,
58,--/5653/--,--/4902/--,604059.875,53,13911,3,0.699999988,1,,1,4,,,,,167,,,,2,,,,,,,,,,,,,,,,,13,,,,,,45,4,3,1,2,1,1,1,1,5,,,,1,,,,,,,,,1,1,,,,,,,,,1,,,,,63,,,,,,113,,1,,,,21,26,,,2,,3,3,,,1,3,,,,1,,,,,,,1,4,21,,,,,,
59,--/5676/--,--/4921/--,690668.9375,57,13911,3,0.600000024,2,,,,,,,1,163,,,,3,,2,1,,,,,,,1,,,,,,,18,,,1,,,45,3,4,,,1,,,,8,,,,2,,,,1,1,,,,,3,,,,,,,,,1,,,,,84,,,,,,111,,1,,1,1,22,44,,,1,,,1,,,,3,,,,,,,,,,,1,,15,,,,,,
61,--/5722/--,--/4959/--,539667.875,47,13911,3,0.899999976,,,2,4,,1,,,186,1,1,,,,,2,,,,,,2,,,,,,,1,18,,1,,,,34,12,2,,4,,2,,,7,,,,1,,,,,,,,,,,,,1,1,,,,,1,1,,,1,84,,,,,,92,,,,1,1,15,26,1,,3,,2,3,,,1,,,,,,,,,,,,1,4,13,,,,,1,
62,--/5745/--,--/4978/--,549677.6875,72,13911,3,0.600000024,3,,1,2,,1,1,,173,,1,,3,,1,,,,,,,,,,,,,,,21,,,,,,56,16,4,,2,1,,,1,2,,,,3,,1,,,,,,,2,1,,,,,,,,,1,2,,,,77,,,,,1,69,,,,,,18,42,1,1,,,1,,,,,,,,,1,,,1,,,,,2,22,,,,,,1
63,--/5768/--,--/4998/--,973128.9375,31,13911,3,0.699999988,2,,,,,,,,165,,,,3,,2,1,,,,,,,,,1,,,,,22,,,,,,42,4,1,,2,1,,,2,3,,,,,,,,,1,,,,,2,,,,1,,,,,,,,,,50,,,,,,120,,1,,3,1,9,32,1,,,,,,,,2,1,,,,2,,,,,,,1,1,20,,,,,,
64,--/5791/--,--/5017/--,1114663.5,39,13911,3,0.600000024,,,1,4,,1,,,174,,,,2,,,,,,,,,,,1,1,1,,,,23,,1,,,,110,4,2,,,,,1,,2,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,72,,,,,,67,,,,1,,15,42,,,,,2,1,,,,1,,,,,,,,,,,2,,11,,,,,,
65,--/5814/--,--/5036/--,895807.25,39,13911,3,0.699999988,,,,2,,1,,,209,,,,4,,,,,,,,,1,,,,,,1,,14,2,,,,,55,,2,,2,,,1,,3,,,,2,,,,1,,,,,1,2,,,,,,,,,,,,,,84,,,,,,86,,1,,3,,14,43,,,,,,5,,,,,,,,,,,,,,,,2,13,,,,,,
66,--/5908/--,--/5131/--,691202.8125,64,13911,3,0.600000024,2,,,1,,,,,200,,,,1,,,,,,,,,1,,,,,,,2,24,,,,,,81,10,3,1,,,,,,2,1,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,108,,,,,,69,,4,,,,16,30,,,,1,2,2,,,,,,,,,,,,,,,1,3,18,,,,,,
67,--/6026/--,--/5245/--,591886.3125,52,13911,3,0.800000012,1,,,2,,,,,223,,,,2,,2,,,1,,,,2,1,,,,,,,21,,,,,,58,2,1,,2,,,,1,2,,,,1,,,,,,,,,,6,,,,1,,,,,,1,,,1,99,,,,,1,58,,,,,,9,43,,,,,,,,,5,2,,,,,,,,,,,4,,15,,,,,,
68,--/6143/--,--/5360/--,499427.7188,61,13911,2,0.600000024,1,,,1,,1,,2,148,,1,,5,,3,,,,,,,,,,1,,,,,30,,,,,,84,3,4,,1,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,143,,,,,,100,,,,,1,13,39,,,,1,3,1,1,,,,,,,,,,,,,1,,,9,,,,,,
69,--/6261/--,--/5474/--,980622.6875,29,13911,3,0.699999988,2,,1,,,1,,,156,,,,3,,,,,1,,,,,,,2,,,,,22,,,,,,28,1,,,1,,,,,4,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,103,,,,,,93,,,,,,8,29,,,,,2,1,,,2,2,,,,,,,1,,,,,1,13,,,,,,
70,--/6378/--,--/5588/--,756758.375,25,13911,2,0.699999988,,1,,1,,,,,140,,2,,2,,1,,,,,,,,,,1,,,,1,22,,,,,,10,10,2,,5,,1,1,,1,1,,,,,1,,,,,,,,2,,,1,,,,,,,,,,,88,,,1,,1,95,,2,,,,18,45,1,,1,,4,,1,,4,,,,,3,,,,,,,1,1,6,,,,,,
71,--/6496/--,--/5702/--,2389711,12,13911,3,0.699999988,,,,1,,,,,147,,,,1,,1,,,,,1,,,,,1,,,1,,30,,,,,,6,4,1,,,,,1,1,4,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,93,,,,,,131,,,,1,1,16,45,1,,,,,3,1,,2,1,,,,2,,,,,,,,,16,,,,,,
72,--/6613/--,--/5816/--,751988.9375,25,13911,2,0.699999988,1,,2,2,,,1,,152,,1,,1,,1,,,,,2,,,,,1,,,,,43,,,,,,2,,,,,3,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,131,,,,1,,19,38,,,,,3,3,,,1,1,,,,,,,2,,,,,,11,,,,,,
73,--/6731/--,--/5930/--,481756.5313,62,13911,3,0.699999988,1,,10,1,,1,,,133,,,,1,,3,,,,,,,1,,,3,,,1,,32,,,,,,11,,,,,2,2,,1,,,,,1,,,,,,,,,,2,,,1,,,,,,1,2,,,,126,,,,,1,118,,,,2,,9,54,10,,,,1,,,,,1,,,,,,,,,,,1,3,3,1,,,,,
74,--/6848/--,--/6044/--,669788.875,27,13911,2,0.699999988,1,,10,,,,,1,137,,,,,,1,,,,,,,,1,,,,,,,32,,,,,,14,1,,2,,,1,,,1,1,,,2,,,,,,,,,,1,,,1,1,,,,,,1,,,,100,,,,,1,91,,3,,,2,24,36,9,1,,,,3,,,1,,,,,,,1,,,,,3,4,8,,,,,,
75,--/6966/--,--/6158/--,158361.8281,160,13911,3,0.699999988,,,2,6,,,,,212,,,,,,1,,,,,,,,,,2,,,,,20,,,,,,7,1,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,6,,,,74,,,,,,55,,,,,,13,39,1,,,,1,1,,,,,,,,,,,,,,,,,15,,,,,,
