Depth,EPDRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Abies,Acer,Alisma,Alnus,Amaranthaceae,Apiaceae,Artemisia herba-alba-type,Artemisia vulgaris-type,Asteroideae,Astragalus-type,Betula,Betulaceae,Boraginaceae,Brassica-type,Bupleurum-type,Butomus umbellatus,Calligonum,Calystegia,Campanula-type,Capsella-type,Carpinus betulus,Caryophyllaceae,Castanea,Centaurea,Centaurea cyanus-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Cichorioideae,Cistaceae,Cladium mariscus,Clematis-type,Corylus,Cotinus coggygria,Cyperaceae,Dryopteris-typespore,Ephedra distachya-type,Ephedra fragilis-type,Epilobium,Equisetumspore,Ericaceae,Euphorbia,Fabaceae,Fagus,Filipendula,Frangula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Hedera,Helianthemum,Helleborus,Hippophaë,Humulus/Cannabis,Hypericum perforatum-type,Isoëtesspore,Juglans,Juniperus,Lemna,Liliaceae,Loranthus,Lotus-type,Lythrum,Malva,Matricaria-type,Melampyrum,Menyanthes trifoliata,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Nymphaea,Olea,Onobrychis-type,Onosma-type,Ophioglossumspore,Ostrya/Carpinus orientalis,Paliurus,Pediastrum duplexcolony,Pediastrum undiff.colony,Persicaria maculosa-type,Phillyrea,Picea,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago maritima-type,Plantago media-type,Plantago undiff.,Platanus,Plumbaginaceae,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Populus,Potamogeton,Potentilla-type,Pseudopediastrum boryanumcolony,Pseudopediastrum kawraiskyicolony,Pteridiumspore,Quercus ilex-type,Quercus robur-type,Ranunculaceae,Ranunculus repens-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Rhinanthus-type,Rosaceae,Rubus fruticosus,Rumex acetosa-type,Rumex hydrolapathum,Sagittaria,Salix,Sambucus,Sanguisorba-type,Scrophularia/Verbascum,Senecio-type,Solanum dulcamara,Sparganium-type,Symphytum-type,Teucrium,Thalictrum,Thelypteris palustrisspore,Thymus/Mentha,Tilia,Trifolium-type,Typha latifolia,Ulmus,Unknown/spore,Urtica,Utricularia,Valeriana,Valerianella,Viburnum-type,Viscum,Vitis,Xanthium
130,--/232/--,743/502/281,14,,1,16,17,5,7,4,2,1,,,,8,,,,,,,4,1,,,,,4,1,,,1,10,,30,64,,2,,,,,,19,1,,,8,3,1,,,,,,,,19,,,,1,3,,4,,,,1,,1,,,,53,1,,,,3,,173,1,,12,,,2,,,745,,9,,,1,5964,13,4,1,158,,,,,1,,,14,,,9,,,,,243,35,,1,,,,,2,32,4,14,89,,,,1,,1,
140,--/292/--,759/540/335,15,,2,9,63,8,9,4,4,1,2,,,9,,,,,,,6,1,,,,,,1,,1,1,9,,7,3,,,,,1,,,39,,,,8,4,,,,,,,,,27,,,,2,2,,3,,,,1,,3,,1,,48,,,,,1,,191,1,,13,,,2,,,1908,6,11,,2,1,126,8,10,2,127,,,1,,1,1,,41,17,,2,,2,1,,,16,,,,,4,,,14,8,2,2,,,,,,1,
150,--/361/--,777/578/389,24,,3,3,28,20,6,6,5,,1,,,156,,1,,,,9,3,,,,,,1,3,,,,2,,71,6,,,,,,,1,11,,,2,3,7,,1,,,,,2,,16,8,,,,3,,2,,,,,4,,,,,17,,,,,1,,235,,,3,,,,,,1083,2,8,,,,56,,4,,187,1,,,6,,,,6,1,,2,,,,,1,98,,,,,8,1,,10,3,38,1,,,,,,,
160,--/441/--,796/616/442,18,,,4,29,6,4,3,2,,,,,34,,1,,,,,4,1,,,,,,2,,,,3,,42,4,,,,,,,1,12,,,1,,,,,,,,,110,,19,,,,1,2,,,,,,,1,,,,,10,,1,,,1,1,219,,,4,,,2,,,821,3,2,,,,52,,7,1,151,,,,1,1,1,,1,,,1,,1,,,1,46,,,,,2,1,,5,1,30,,,,,,,,
170,--/531/--,819/654/494,18,,,4,9,6,1,1,,,,,,144,,,,,1,9,1,,,,,,,2,,,,3,,56,3,,1,,,,,,9,,,2,5,1,1,,,,,1,,,2,,,,,,,,,,,,,,,,,18,,,,,,1,230,,,1,,,1,,,339,2,1,,,,149,,2,,218,5,,,23,,1,,7,,,2,,,,,,76,,,,,,,,2,3,50,,,,,,,,
180,--/634/--,846/693/545,19,1,1,29,10,8,3,5,2,,1,,,51,,,,,,4,6,,,,,,1,1,,,,12,,55,11,,1,,,1,,,11,,,,1,5,1,,1,,,,,,8,4,,,2,,,,,,,4,1,1,,,,70,,14,,,,,177,,,6,,,,3,,519,8,4,,,,2160,51,6,,214,,,,6,,1,,7,1,,9,2,,,,7,55,,,,,5,2,2,9,3,24,2,,,,,,1,
190,--/749/--,872/731/590,6,,,1,10,3,,,2,,2,,,15,,,,,,1,,,,,,,,,,1,,3,,20,4,,1,,,2,,1,4,,,1,3,1,,,,,,,,,10,4,,,,1,,,,,,3,,,,1,,24,,12,,,,,120,,,2,,,,,,457,,1,,,1,1805,71,4,1,150,,,,2,,,,2,,,4,,,,,1,28,,,,,,,,1,1,8,3,,,,,1,,1
200,--/878/--,900/769/632,2,,,10,14,1,13,,24,,1,,,3,,,,,,,2,,,,,,2,,,8,,9,,24,17,,1,,,1,,,22,,,1,3,,,,,,1,,,2,11,,,,1,3,1,2,,,,4,1,1,1,,,17,,800,,,,,34,2,3,3,,2,1,3,,243,9,2,,,,3080,9200,4,5,67,,,,1,,,,4,,,7,,1,,,3,19,,,,1,,,2,,3,2,1,,,,,,,
218,--/1146/--,957/838/697,4,,,20,10,5,7,7,7,,,,,4,,,,,,,5,,,,,,2,1,,,,10,,44,11,,,,,2,,,35,1,,1,10,4,,,,,4,1,,11,4,2,,,,1,,2,,,,,1,,,,,50,,,,,,,72,1,,19,,4,,10,,359,15,5,,,,9999,150,2,,172,1,2,,6,,,,15,,,3,1,,,,9,27,,,,,2,1,1,6,,11,8,,,,,,3,
230,--/1352/--,1151/1038/897,7,,,24,28,4,13,9,14,1,4,,,26,1,,,,1,,4,,,2,,,1,,,,,11,1,81,22,,,,,3,,1,34,,,,5,2,,,1,,6,2,,3,11,2,,1,,2,,1,,,,1,,,,,,47,,7,,,1,,129,1,,6,,5,,6,,486,13,4,1,,,9000,180,8,,270,1,,,3,,,,7,1,,11,1,2,2,,23,33,1,,1,,5,1,,12,1,12,16,,,,,,1,
238,--/1502/--,1671/1561/1444,3,1,,15,10,2,2,4,7,1,1,,,10,,1,,,,,4,1,,,,1,2,,1,,,4,,60,15,,,,,1,,,29,,,1,4,6,,,,,4,2,1,,3,,,,1,1,,,1,,,,2,,,,,30,,4,,,3,,53,,,1,,,2,2,,183,10,5,,2,,1931,81,4,,145,2,2,,1,2,,,3,1,,12,,,,,6,8,,,,,2,,5,2,2,7,6,,1,,,,1,1
250,--/1749/--,2467/2345/2226,11,,,83,21,5,2,3,6,1,1,,,13,,,,,,1,7,1,,,,,3,1,,,,6,,37,51,,1,1,1,1,,,22,,,2,4,3,1,,,,,1,,,12,3,,,1,8,,,,,,1,3,1,,,,52,,42,,,3,,190,1,,2,,,3,2,,333,6,4,,,,2814,210,,1,210,,1,,1,,,,13,,,21,1,,3,,18,26,,,,13,5,1,5,11,5,10,16,,,,,,1,
261,--/1997/--,3259/3065/2914,11,,1,3,22,8,,4,,,,,1,28,,,1,,,4,5,,1,,,,,1,,,,3,,29,2,,,,,3,,,12,,,4,3,3,,,,,,1,,,8,3,,,,1,,,,,,,,,,,,31,,,,1,,,139,,,1,,,2,,,320,2,3,,,,302,,4,3,163,1,,,,,,,10,,,1,,,,,2,16,,,,,2,,,,6,7,,,,,,,,
270,--/2218/--,3900/3653/3477,10,,,10,38,52,4,,,,,,,121,1,,,,,41,3,,,,,,,1,,,,3,,31,,,,,,,,,10,2,,,3,1,,,,,,3,,,3,1,,,,,,,,,,1,3,,,,1,16,,,,,,,137,,,1,,,,,,417,,13,,,,234,,1,,217,,,1,2,,1,,6,,,,,,,,,64,,,,,,,,2,5,18,,,,,,,1,
279,--/2454/--,4538/4242/4036,15,1,,6,12,1,,1,1,,,,1,23,,,,,,4,,,,,,,1,,,,,3,,332,2,,,,,2,,,7,,,1,5,1,,,,,,,,,9,,,,,3,,,,,,64,,1,,,,14,,,,,,,189,,,,,,,,,67,,5,,,,120,,1,1,148,,1,,11,,1,,1,,,1,,1,,,,422,,,,,,1,,1,6,27,1,1,,,,,,
290,--/2766/--,4984/4687/4483,22,,,6,11,,1,,1,,1,,,25,,,,,,3,1,,,,,1,1,,,,,,,108,5,,,,,1,,1,1,,,,1,,,,,,,,,,3,1,,,,,,,,,,,,,,,,6,,,,,,,211,1,,2,,,,,,220,,2,,,,115,,1,1,102,,,,5,,,,2,,,,,,,,,55,,,,,,,,26,4,20,,,,,,,,
302,--/3135/--,5299/5033/4847,25,,,70,24,2,3,,3,,,,,160,,,,,,55,19,,,,,,1,1,,,,10,,134,30,,1,,,1,,,2,,,,5,,,,,1,,,,,10,,,,,1,,,,,,,,,,,,82,,,,,,,453,,1,4,,,,,,615,,5,,,,90,,5,1,471,,1,,,,,,3,,,5,,,,1,,48,2,,1,,1,2,,4,18,21,3,,,,,,,
310,--/3398/--,5510/5263/5088,28,1,,25,10,5,3,2,1,,,,1,61,,,,,,6,14,,,,,,6,2,,,,19,,82,3,,,,,2,,,1,4,,,,1,,,,,,,,,4,,1,,,2,,1,,1,,1,,,,,,84,,,,,1,,329,,,2,,,,,,115,3,,,,,188,,3,,286,1,,,1,,2,,1,,,15,,,1,,,132,,,2,,2,3,2,2,8,17,,,,,,,1,
317,--/3641/--,5694/5465/5300,38,,,30,18,1,3,1,1,,2,,1,91,,,,,,2,18,,,,,,3,3,,,,25,,100,14,,,,,1,,,2,2,,4,5,1,1,,,,,,,,13,2,,,,2,,,,,,,,,,,,61,,13,,,,1,479,1,,4,,,,,,120,1,8,,,,368,,3,1,317,,,,3,,,,2,,,5,,,2,,,152,,,,,1,3,,46,15,20,5,,,,,,1,
330,--/4122/--,6005/5839/5693,62,,,2,9,2,5,3,3,,,,,21,,,,,,7,,,,,,,,1,,,,1,,22,906,,1,,,,,1,,,,,3,1,,,,,,,,,3,,,,,1,,,,,,,,,,,,3,,,,,,,364,,,1,,,,,,201,,6,,,,44,,,,94,,,,3,,,,1,,,,,,,,,9,,,1,,1,3,,2,3,15,,,,,,,,
338,--/4439/--,6208/6070/5933,19,1,,1,1,,1,,,,,,,8,,,,,,,,,,,,,1,2,,,,3,,18,80,,,,,,,1,,,,,,1,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,106,,,,,,,,,32,1,3,,,,9,,2,,20,,,,,,,,,,,,,,,,,6,,,,,,4,,,1,,,,,,,,,
350,--/4944/--,6543/6415/6287,2,,1,18,16,32,5,3,7,,2,,1,27,,,,,,,,,,,,,,1,,,,1,,63,14,,,,,,,,,,,2,,10,,,,,,,,,1,1,,,,,,4,,,,,34,,,,,5,,1,,,,,57,,,,,,,,,600,,1,,1,,56,,,,126,1,,,6,,,,3,,,,,4,2,,1,271,,,1,,3,,,3,19,8,2,,,,,,1,
360,--/5393/--,6833/6704/6580,22,1,,23,22,12,15,16,2,,4,,,34,,,,,1,,3,,,,,,,2,,,,27,,86,97,,,,,,,,,,,4,6,6,,,,,6,,,,10,7,1,1,1,2,,1,,,,14,20,,,,,11,,14,,,1,,126,2,,2,,,1,,,860,1,13,,,2,4095,,1,,155,1,,,6,,1,,15,,,,,5,14,,107,98,,,2,,4,4,,2,5,9,420,,,,,,,
370,--/5869/--,7125/6992/6866,29,,1,15,31,7,9,8,5,,3,,,35,,,,,,1,2,3,,,,,,1,,,,30,,34,210,,,,,,,1,2,,,3,9,4,,,,,,,,,6,10,,,,1,,3,,,,5,12,,,,,15,,525,,,,,182,1,,3,,,,,,632,4,15,,,,338,,,,208,1,1,,10,,,,2,,,,1,1,1,,,79,,1,1,,4,10,,6,12,13,,,,,,,,
380,--/6373/--,7419/7280/7143,29,,,14,11,2,6,12,1,,1,,,11,,,,,,1,3,,,,,,,,,,1,35,,21,50,,,,,,,2,1,,,3,6,,,,,,1,,,,16,6,,,,,,1,,,,,,,,,,18,,186,,,,,180,1,,4,,,1,,,276,6,12,,,,2801,8,2,,174,,,,3,,,,12,,,1,,,,,4,9,,,,,,5,,2,10,9,5,,,,,,1,
390,--/6905/--,7759/7568/7417,30,,1,22,4,6,2,2,2,,,,1,51,,,,,,,5,1,,,,,1,2,,,,11,,66,14,,,,,1,,2,2,,1,,4,1,,,,,,1,,,1,,,,,1,,,,,,1,1,,,,,33,,5,,,,,352,,,2,,,,,,262,,2,,,,826,108,,1,226,,,,10,,,,4,,,1,,,,,1,143,,,,,,2,,33,8,30,2,,,,,,2,
400,--/7467/--,8074/7856/7692,11,,,8,52,2,12,10,,,3,,,35,,,,,1,,1,,,,,,1,2,,,,18,,18,21,,,,,,,,1,,,8,1,2,,,,,,,,,17,11,1,,,1,,,,,,2,,,,,,8,,18,,,,,89,1,,1,,,,,,589,,9,,,,648,,,1,118,,,,11,,,,8,,,,,2,,,,20,,,1,15,2,2,,1,9,5,7,,,,,,,
410,--/8059/--,8591/8419/8273,17,,,8,74,2,51,25,,,,,,3,,1,,,,,1,1,,,,,1,5,,,,35,,12,5,,,,,,,,,,,4,7,4,,,,,,,,,7,,1,,,1,,1,,,,,1,,,,,6,,,,,1,,71,4,,1,,,1,,,600,3,16,,,,72,,2,,138,,,,44,,,,8,1,,2,1,5,,,,12,,,,,1,3,,,5,9,,,,,1,,,
420,--/8681/--,9230/9074/8914,7,,5,10,22,55,9,,9,,3,,,37,,,,,,7,1,1,,,1,,1,24,,,,2,,40,355,,,,,,,4,1,,,1,1,10,,,,,,,,,2,,,,,,,1,,,,3,48,,,,,,,,,,,,96,,,,,,,,,372,,,,,2,58,1,,,178,,,,7,,2,,,,,,,5,,,,221,,,,,5,3,,44,7,64,1,,,,,,4,
430,--/9336/--,9896/9729/9512,36,,,11,108,7,48,6,1,,4,,,5,,,,,,1,1,3,,,1,,,,,,,30,,12,15,,,,,,,2,,2,,3,7,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,98,2,,1,,,,,,820,1,22,,,,11,,1,,163,,,,8,,,,,,,,,2,,,,11,,,,,,16,,2,5,16,1,,,,,1,1,
437,--/9813/--,10382/10187/9929,4,,,15,75,41,27,1,5,,23,,,29,,,,,,1,1,2,,,,,1,4,,,,1,,72,4,,,,,,1,,,1,,4,2,29,,,,,,,,,4,,,,,3,,4,,,,103,64,,,1,,2,,4,,,,,68,2,,,,,2,,,966,,1,,1,,745,2,3,,186,,,,18,,1,,17,,,3,,3,,,1,612,,,5,,2,2,,6,11,5,1,,,,,,,
447,--/10523/--,11057/10809/10485,,,1,2,62,12,28,,3,,10,,,7,,,1,,,1,,1,,,,,1,1,,,,,,46,,1,,,,,,,,3,,,,10,,,,,,,,,1,,1,,,1,,,,,2,122,9,,,1,,,,,,,,,18,,,,,,,,1,587,,2,,2,2,283,,,,72,,1,,20,1,,,19,,,1,,1,,,,261,,,7,,,1,,2,3,4,1,,,,,,,
450,--/10743/--,11271/11005/10659,1,,1,2,90,14,30,,4,,5,,,7,,,,,,4,,1,,,,,1,2,,,,,,25,,,,,,,,,,,,2,1,13,,,,,,,,,4,,,,,,,3,,,,199,,,,,,,,,,,,,25,,,,,,1,,,382,,,,1,,558,,,,48,1,,,34,,3,,7,,,,,,,,,205,,,7,,2,1,,,5,5,,,,1,,,,
460,--/11498/--,11990/11660/11235,1,,5,,83,20,59,,3,,5,,,6,,,,,,,,1,,,,,,6,,,,,,66,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,2,,,,1,,,,,,,,,,,,,10,,,,,,,,,32,,3,,,,2,,,,9,,,,9,,,,,,,1,,,,,,96,,,4,,,,,,,21,,,,,,,,
470,--/12287/--,12714/12315/11809,1,,2,,178,38,163,,5,,1,,,20,,2,,,,,,1,,,,,2,4,,,,,,32,,5,,,,,,,,,,,,2,,,,,,,,,,,,,,,,4,,,,5,,,,,,,,,,,,,82,,,,,,,,,105,,4,,,,6,,,,27,,,,17,,1,,,,,,,,,,,417,,,4,,,,,,,25,,,,,,,,1
490,--/13975/--,14163/13624/12954,1,1,5,1,106,3,45,,2,,2,2,,8,,,,,,2,1,,1,,,,1,1,,,,5,,38,3,2,,,,,,,,,,,,3,1,,,,,,,,1,,,,,,,,,,2,7,3,,,,,1,,6,95,1,,,37,1,,,,,,,,118,,1,,,,90,11,1,,35,,,,8,,,,2,,,,,,,,,181,,,1,,,,,,2,19,1,,,,,,,
500,--/14875/--,14890/14279/13526,,,6,,35,7,75,,16,,2,2,,12,,1,,,,5,,1,,,,,4,2,,,,,,16,3,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,1,,,2,10,,,,11,,,,,,,,,56,,2,,,,17,21,,,7,,,,9,,,,,,,,,,,,,1280,,,1,,,,,1,,15,,,,,,,,
510,--/15813/--,15615/14934/14098,,,7,1,83,9,100,,4,,4,3,,7,,,,,,2,,,,,,,,7,,,,,,19,,3,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,14,,,,37,,,,,,2,,3,68,,1,,,,9,4,,,6,,,,11,,,,,,1,,,,,,,1099,,,,,1,,,1,,16,,,,,,,,
536,--/18438/--,17503/16636/15584,2,,,1,21,1,20,,,,,,,2,,,,,,,,1,,,,,,2,,,,,,4,3,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,6,1,,,,1,1,,2,,,,,5,,,,,1,,,,63,1,,,,,45,15,,,9,3,,,,,,,1,,,1,,,,,,81,,,1,,,,,2,,25,,,,,,,,
