Depth,Calendar years BP,Eucalyptus spikecounted,Eucalyptus tabletsconcentration,Eucalyptus tabletsquantity added,Sample quantityvolume,Abies,Acer,Alnus,Amaranthaceae,Anthemis-type,Apiaceae,Artemisia,Asphodelus,Betula,Boraginaceae,Brassicaceae,Buxus,Carpinus betulus,Caryophyllaceae,Castanea,Centaurea solstitialis-type,Cichorioideae,Cirsium-type,Cornaceae,Corylus,Cupressaceae-type,Cyperaceae,Ephedra fragilis-type,Ericales,Euphorbiaceae,Fabaceae undiff.,Fagus,Filipendula,Fraxinus excelsior-type,Galium-type,Hedera,Helianthemum-type,Ilex,Ostrya-type,Phillyrea,Picea,Pinus,Pistacia,Plantago,Poaceae,Polypodiophyta (monolete)spore,Polypodiophyta (trilete)spore,Potamogeton,Quercus,Ranunculus-type,Rosaceae undiff.,Rumex,Salix,Sambucus,Scrophulariaceae,Solidago-type,Thalictrum,Tilia,Typha angustifolia/Sparganium,Ulmaceae,Unknown/spore,Viscum,Vitis,mimosoid clade
83,--/101566/--,515,30600,1,0.5,15,4,35,,2,4,7,,3,,,,21,,,,,,,,2,,,1,,,19,,,2,,1,,17,1,,4,,1,28,1,1,,202,,,1,,2,1,1,,2,1,9,1,,,
83.2,--/101567/--,543,30600,1,0.5,19,3,23,2,,1,5,,2,,,1,15,,,,1,,,2,,1,,,,1,20,,,1,1,,,16,,,5,1,1,27,2,,,214,,,1,,1,,,,3,,5,,,,1
83.4,--/101568/--,350,30600,1,0.5,11,5,38,2,1,,1,,5,,1,1,14,,,1,1,,,4,1,1,,1,,,18,,,,,,,16,,,7,,1,14,,2,,187,,,1,,2,1,1,,2,2,7,1,,,
83.7,--/101569/--,198,30600,1,0.5,39,2,49,,,,8,,6,,,1,24,,,,1,,,5,,,,,,,43,,1,,2,1,2,20,,,10,,1,32,,4,,297,,,,2,1,1,1,,3,1,14,,,,
83.9,--/101570/--,238,30600,1,0.5,12,3,29,2,,2,3,,6,,1,,10,1,,,1,,,,,1,,,,,31,,,1,,,,9,,,8,,1,32,,,,236,,,,,2,,1,,,2,6,,,,
84.1,--/101571/--,394,30600,1,0.5,11,1,40,1,,3,3,,2,,,,26,,,,1,,,3,,,,1,,,25,,,1,3,,1,16,2,,2,,,28,,1,,237,,,,,1,,,,3,1,15,,,,
84.4,--/101572/--,330,30600,1,2,30,,40,,1,1,5,,6,,,,24,,,,1,,,,,1,,,,,19,,2,,1,,,16,,,6,,,28,1,1,,265,,,,,2,,1,,3,1,17,,,,
92,--/101573/--,52,30600,1,1,60,3,46,3,,2,2,,,,,,13,1,,,1,,,,1,1,,2,,,30,,,,,,,11,,,4,,1,26,1,2,,285,,,,,1,,1,,,2,11,,,,
92.4,--/101574/--,45,30600,1,1,16,4,34,1,1,1,5,,4,,,2,21,,,,,,,,,2,,1,,,33,,2,1,,,,11,,,10,,3,23,,4,,268,,,,,,,2,1,5,3,8,1,1,,
92.8,--/101576/--,69,30600,1,1,72,4,47,2,,5,1,,1,,,,18,,1,,2,,,2,,2,,,1,,52,,1,,1,,1,16,,1,11,,2,39,,,,279,1,,,,1,1,,,,,10,,,,
93,--/101577/--,151,30600,1,0.5,25,8,33,2,1,2,7,1,3,,1,1,17,,,1,2,,,2,,2,,1,,,36,,,1,2,1,,15,,1,7,,2,31,,1,2,284,1,,,,,1,2,1,2,,12,,,,
93.2,--/101578/--,157,30600,1,0.5,29,,35,,,2,7,,2,,1,,10,,,,,,,1,2,2,,2,,,29,,2,,1,,,14,,1,8,,,24,1,,,245,,1,,1,1,,1,,1,,9,1,,,
93.4,--/101579/--,203,30600,1,0.5,21,,25,,,3,5,,3,,1,,10,,,,4,,,1,1,,,2,,,38,,3,,,1,,12,,,8,,1,37,1,1,,257,,,,1,,,2,,1,1,8,,,,
93.6,--/101580/--,169,30600,1,0.5,39,6,28,2,,3,3,,1,,1,1,30,,,,2,,,,1,,,,,2,25,,,,1,,,13,,,9,,4,25,,,,297,,,,,,,,,4,1,7,,,,
