Depth,EPD defaultRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Dinoflagellatacyst,Abies,Acer,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asphodelus,Asteroideae,Betula,Brassicaceae,Buxus,Cannabaceae,Carpinus,Caryophyllaceae,Cichorioideae,Cistus,Convolvulus,Corylus,Cyperaceae,Ephedra,Epilobium,Ericaceae,Euphorbia,Fabaceae,Fagus,Fraxinus,Geraniaceae,Hedera,Helianthemum,Juglans,Juniperus,Lamiaceae,Ligustrum,Lygeum-type,Malva,Monocotyledoneae,Myriophyllum,Nymphaea,Olea,Persicaria amphibia,Phillyrea,Pinus,Pistacia,Plantago,Poaceae,Poaceae (Cerealia-type),Polygonum,Poterium sanguisorba,Pseudoschizaeapalynomorph,Quercus ilex-type,Quercus robur-type,Ranunculaceae,Rhamnus,Rosaceae,Rubiaceae,Rumex,Salix,Scabiosa,Sparganium-type,Thalictrum,Thymelaea,Tilia,Typha latifolia-type,Ulmus,Unknown (monolete)spore,Unknown (trilete)spore,Vitis,Zygnemataceaepalynomorph
990,--/4994/--,5840/5708/5582,,2,,2,,6,,5,42,1,,,,,10,3,,,2,1,4,,2,,1,,,3,,,,,2,,,1,,,,30,,,13,,54,25,,25,,,,2,,,,,,,,,,,,,,,20,1,
1000,--/5036/--,5893/5755/5629,,,,6,3,30,2,2,20,1,,1,,,1,1,,,4,,2,,4,1,,,,2,,,,6,1,,,,,,,79,,2,6,,63,17,,10,,,5,4,,,,1,,,,1,,,1,,,,21,2,
1010,--/5078/--,5947/5803/5673,,,,,8,29,1,1,25,,,3,,,6,4,,,1,1,3,,6,,,1,,4,,,,8,1,,,,,,,31,,,14,,53,7,,11,,3,,3,,,,,,,,,,,,,,2,17,4,
1020,--/5120/--,6003/5850/5712,,,,19,6,9,13,2,6,11,,49,,,,,,,22,,12,,6,,,,,,,,,43,2,,,,,,,3,,1,42,,8,17,,1,,,19,36,,,,,1,,,7,1,,,,2,,2,,
1030,--/5145/--,6027/5875/5739,,,,10,1,2,7,,1,1,,26,,,,,,,12,1,4,,3,,,,,,,,,41,2,,,,,,1,3,,,39,,1,8,,,,1,14,30,,,,,,,,3,,,,2,,,2,,
1040,--/5169/--,6051/5900/5765,,,,15,4,6,3,4,18,7,,61,,,,,,,24,,20,,9,,,1,,,,,,53,2,,,,1,,,6,,,55,,1,14,,,,,45,29,,,,,,,,,,,1,1,1,,11,,
1050,--/5194/--,6075/5925/5792,,,,3,4,22,3,2,55,2,,5,,,7,3,5,,,5,8,,2,,5,,,3,,,,9,3,,,,,,,60,,4,13,,89,12,4,2,,,6,,,,,,1,,,2,,,,2,,8,45,2,1
1100,--/5316/--,6193/6050/5923,,,,10,5,2,11,,3,3,,63,,,,,,,14,,13,,8,,,1,,,,,,47,,,,,,,,10,,,42,,,7,,,,,13,26,,,,,,,,7,,,,1,,1,4,,
1115,--/5353/--,6229/6088/5962,1,2,,19,5,4,9,2,6,4,,63,,,2,,1,,35,3,15,,9,,,6,1,,,,,60,4,,,,,,,10,,3,47,2,4,13,2,,,,24,43,,,,,1,,,7,,,1,3,1,3,6,1,
1130,--/5390/--,6264/6125/6001,,1,,10,7,6,5,2,18,6,,129,1,,,,2,,33,1,13,,13,,,5,,,1,,,68,5,,,,,,,5,,4,40,,3,16,1,1,,,34,44,,,,,1,,,6,,,1,1,1,3,14,,1
1145,--/5427/--,6300/6163/6040,3,2,,13,13,10,13,1,14,6,1,146,,,,,,,29,4,16,,8,,,,,,,,,196,6,,,,1,,,10,,1,57,,,14,,1,,,30,51,,,,,,,,14,,,1,1,2,1,4,,1
1160,--/5463/--,6335/6200/6079,,1,,11,7,14,2,1,19,4,1,6,,,,2,,,6,1,4,,6,,1,2,,,,,,5,1,1,,,,,,394,,2,17,,56,11,23,1,,,31,19,,,,,,,,10,,,1,1,2,2,3,6,
1175,--/5500/--,6371/6238/6118,1,,,21,17,12,3,1,25,1,2,42,,,,1,,,15,4,3,,7,,1,4,,,2,,,37,2,,,,,,,32,,2,42,1,5,48,1,2,,1,25,40,,,,,,,,25,,,,1,2,,3,1,1
1190,--/5537/--,6406/6275/6157,,,,7,2,25,2,,17,1,,,1,,,1,,,4,1,1,,2,,2,,,,,,,3,,,,,,,,160,,1,2,,30,11,3,2,,,12,6,,,,,2,,,5,,,1,1,,1,1,3,
1205,--/5574/--,6442/6313/6196,,,,17,3,9,14,,19,6,1,114,3,,1,,,,27,1,8,,10,,1,1,,,,,,26,3,1,,,,,,5,,1,54,2,2,27,,,,1,42,41,,,,,1,,,24,,,1,3,,,5,,
1220,--/5611/--,6479/6350/6236,,,,13,4,6,6,5,40,5,,45,,,1,1,3,,22,2,14,,14,,2,,,,,,,27,4,,,,,,,2,,,56,1,1,7,,,,1,18,15,1,,,,2,,,3,,,,2,,1,20,,
1235,--/5647/--,6515/6388/6275,,1,,12,4,9,6,,16,6,,156,,,1,,,,23,,6,,8,,1,,,,,2,,63,7,,,,,,,10,,,45,,2,9,,,,1,30,44,,,,,3,,,9,,,,3,3,,5,,1
1250,--/5684/--,6550/6425/6313,,,,19,2,10,8,1,13,3,,179,,,2,11,,,39,,16,,14,,,2,,,,,,45,3,,,,,1,,10,,,16,,4,8,11,,,,20,23,,2,,,3,,,15,,,1,1,2,1,1,,
1265,--/5721/--,6586/6463/6352,,,,11,5,5,9,,4,11,,105,,,,,,,34,,9,,6,,2,3,,,,,,24,2,,,,,,,4,,,19,,2,9,3,,,,38,37,,,,,1,,,19,,2,,7,2,,5,,
1280,--/5758/--,6622/6500/6391,,1,,16,5,7,,,8,,1,101,,,,,,,33,1,10,,6,,2,,,,,,,74,3,,,,1,,,2,,1,30,3,3,18,1,,,,21,6,,,,,,1,,6,,2,1,3,1,,10,1,1
1295,--/5795/--,6657/6538/6429,,,,10,6,8,2,,6,4,,94,,,,,1,,23,3,9,2,2,,,1,,,,,,53,6,,,,,,,5,,,25,,2,7,2,,,1,29,15,,,,,,,,16,,,,,1,,2,2,1
1310,--/5831/--,6693/6575/6468,,,,4,4,20,7,1,15,5,,241,,,,,,,7,1,12,1,3,,2,,,1,,,,43,9,,,,,,,13,,,15,,,5,,,,,14,3,,,,,,,,13,,2,,1,,1,11,,2
1325,--/5868/--,6729/6613/6507,1,,,10,1,11,7,1,19,1,,119,,,,,,,19,1,11,,22,,1,3,,,,,,48,5,,,,,,,9,,,31,,1,5,,,,1,30,17,,,,,1,,,9,,1,1,1,,,5,,1
1340,--/5905/--,6765/6650/6545,,,1,11,1,7,6,1,4,5,,135,,,,,,,33,,12,,8,,4,,,,,,,61,8,1,,,,,,4,,1,30,,3,4,1,,,,31,37,,1,,1,,,,13,,,1,1,,,,,1
1355,--/5942/--,6801/6688/6584,,,,5,1,7,1,,3,,,186,,,,,,,9,,6,,1,,1,,,,,,,30,3,,,,,,,2,,,9,,,8,,,,,11,6,,,,,,,,52,,1,1,2,,1,5,1,8
1370,--/5978/--,6837/6725/6623,,,,2,28,7,2,,5,1,,175,,,,,2,,14,3,2,,2,,,,,,,,,20,3,,,,,,,2,,,13,,,10,,,,,9,6,,,,,,,,41,,,,2,,,2,,4
1400,--/6052/--,6909/6800/6700,,1,,6,2,20,7,,10,3,,197,,,,,,,23,2,7,,2,,2,,,,,,,5,3,,,,,,,1,,,18,1,1,12,,,,,14,4,,,,,,,,74,,2,,,,,7,,1
1435,--/6138/--,6993/6888/6789,,,,3,2,11,3,,26,1,1,171,,,2,,,,27,2,5,,,,2,,,,,,,20,5,,,,1,,,,,,22,,1,6,2,,,1,22,4,,,1,,,,,40,,4,,,1,1,10,,3
1470,--/6224/--,7077/6975/6879,,,,5,3,31,9,,20,3,,172,,,1,,,,47,2,3,,3,,1,,,,,,,22,2,,,,,,,,,,18,,,9,,1,,1,13,2,,,,,,1,,30,,2,2,,,,8,,3
1505,--/6310/--,7161/7063/6968,,,,2,2,13,3,,18,1,,319,,,1,,,,24,,7,,2,,4,,,,,,,14,,,,1,,,,,,,13,1,,5,1,,,3,10,8,1,,,,,,,21,,1,1,,1,,13,,2
1540,--/6395/--,7246/7151/7058,,,,1,4,13,2,,11,,,210,,,1,,,,20,,6,,1,,2,,,,,,,20,,,,,,,,,,,17,,,4,3,,,2,10,2,,,,,,,,13,,1,,,1,,14,,1
1575,--/6481/--,7331/7238/7146,,,,,2,30,5,,9,2,,146,,,,1,,,25,,8,,1,,3,,,,,,,15,,,,,1,,,1,,1,10,,,8,1,,,1,18,9,,,,,,,,45,,2,1,,,,9,,1
1610,--/6567/--,7417/7326/7235,2,,,1,2,35,4,,21,1,,188,,,,,,,50,,11,,7,,4,,,,,1,,14,2,,,,,,,1,,,9,1,1,9,3,1,,,16,18,1,,,,,,,42,,,1,1,5,,14,,3
1645,--/6653/--,7503/7413/7323,1,,,2,1,18,1,1,24,2,,221,,,1,,,,41,,5,,6,,1,,,,,,,20,4,,,,,,,,,1,13,,2,11,1,,,,12,13,2,,,,,,,34,,2,1,,1,,6,,3
1680,--/6739/--,7590/7501/7411,,,,6,2,34,2,,28,1,1,256,,,,,,,52,,11,,9,,7,,1,,,,,22,6,,,,,,,2,,2,21,,3,14,2,,,,28,15,2,,,,,,,55,,2,,,3,,9,,1
1700,--/6788/--,7639/7551/7461,,,,1,1,17,1,,12,,,173,,,,,1,,28,,6,,6,,1,,,,,,,20,4,,,,,,,1,,,13,,1,4,1,,,3,14,8,,,,,,,,32,,,1,,1,,6,,4
1730,--/6862/--,7714/7626/7537,,,,8,4,35,12,,21,1,,294,,,,,,,43,3,9,,13,,,,,,,,,19,1,,,,,,,2,,1,23,1,1,17,3,2,,1,21,9,,1,,,,1,,43,,3,2,,2,3,10,,
1760,--/6935/--,7789/7701/7613,,,,2,1,24,2,,12,2,,270,,,,,,,51,1,6,,2,,,,,,,,,19,4,,,,,,,1,,,41,,8,13,1,,,1,26,20,,2,,,,,,39,,1,1,2,2,1,12,,2
1790,--/7009/--,7864/7776/7689,,,,4,5,41,5,1,11,2,,250,,,,,,,77,,14,1,4,,4,,,,,,,15,6,,,,,,,1,,,16,,8,23,2,,,1,25,17,,,,,,,,27,,3,,1,2,,9,,2
1820,--/7082/--,7938/7851/7764,,,,3,1,21,3,,6,,,243,,,,,,,30,,3,,2,,,,,,,,,15,1,,1,,,,,,,1,9,,5,8,,1,,2,18,6,,,,,,,,18,,,3,,,,4,,
1850,--/7156/--,8014/7926/7839,,,1,3,7,34,6,1,24,1,1,284,,,3,,1,,47,,12,,3,,4,,,,,,,20,2,,,,,,,1,,1,13,,3,15,,,,1,26,17,,,,1,,,,17,,1,3,,8,,3,,
1880,--/7229/--,8089/8001/7913,,,,5,1,8,8,,17,,1,186,,,,,,,28,,4,,1,,2,,,,,,,18,,,2,,,,,2,,,9,,2,10,2,,,1,19,24,,1,,,,,,8,,1,1,,2,,5,,1
1910,--/7303/--,8166/8076/7988,,,,5,2,1,,,9,,,164,,,,,,,40,1,6,,,,1,,,,,,,18,1,,,,,,,,,,13,,,10,,1,,,15,7,1,,,,,,,19,,,,1,,,1,,1
1940,--/7377/--,8243/8151/8062,,,,3,,9,2,1,15,,,402,,,,,,,42,1,10,1,1,,4,,,,,,,28,,,,,,,,,,1,26,,,15,3,,,,17,14,,,,,,,,13,,3,1,,3,,7,,2
1970,--/7450/--,8319/8226/8134,,,,2,3,34,4,1,27,1,,228,,,,,,,44,,10,,3,,1,,,,,,,20,4,,,,1,,,2,,,21,,4,14,1,1,,1,35,20,,,,,1,,,15,,,,,5,,13,,
2000,--/7524/--,8397/8301/8208,,,,2,2,16,2,,12,1,,171,,,,,1,,24,1,,,3,,1,,,1,,,,17,4,,1,,,,1,3,,2,15,1,1,7,1,,,,9,9,1,,,,,,,13,,1,,,2,2,5,,1
2030,--/7597/--,8474/8376/8280,,,1,1,5,28,3,,25,3,,220,,,,,,,33,4,7,,8,,,,,,,,,25,4,,,1,,,,,,,17,,1,12,,,,1,13,4,,,,,,,,21,,,1,,1,1,16,,1
2080,--/7720/--,8603/8501/8400,,,,6,2,1,8,1,2,,,437,,,,,,,22,2,3,,6,,,,,,,,,17,1,,,,,,,2,,1,16,,2,10,2,,,,23,10,,,,,1,,,14,,,,,,1,2,,
2090,--/7726/--,8610/8510/8413,,,,,,11,2,,16,,,236,,,,,,,17,,5,,2,,1,,,,,,,4,1,,,,,,,,,,21,,3,7,,,,2,4,1,,,,1,,,,8,,,2,,,1,11,,1
2110,--/7739/--,8624/8528/8435,,,,1,3,7,,,21,,,91,,,,1,,,14,,3,,,,1,,,,,,,12,2,,,,,,,2,,1,21,1,3,,,,,,5,5,,,,,,,,9,,,2,,,1,4,,
2130,--/7751/--,8641/8546/8455,,,,,2,11,2,,18,,,101,,,,3,,,18,,4,,5,,,,,,,,,17,,,,,,,,,,1,30,,4,1,1,,1,1,4,6,,,,,,,,14,,1,1,,1,,5,,
2150,--/7764/--,8659/8564/8471,,,,,1,12,5,,26,,,142,,,,4,,,15,1,3,,6,,1,,,,,,,8,,,,,,1,,1,,,29,,1,1,,,,1,5,7,,,,,,,,25,,1,2,,2,1,8,,
2170,--/7776/--,8680/8582/8485,,,,2,2,5,1,,29,,,118,,,,,,,16,,2,,1,,,,,,,,,10,1,,,,,,,,,,24,,2,4,,,,2,7,14,,,,,,,,27,,5,,,,1,7,,
2190,--/7789/--,8705/8600/8500,,,,2,2,9,2,,31,2,,104,,,,2,,,15,1,5,,1,,,,,,,,,29,,,,,,,,,,,23,,4,,,,,2,4,10,,,,,,,,10,,1,3,,,3,9,,
2210,--/7801/--,8728/8618/8511,,,,1,1,10,3,,32,1,,106,,,,2,,,22,4,9,,3,,,,,,1,,,27,1,,,,,2,,,,1,38,,7,1,,,,2,10,10,,,,,,,,13,,1,,,1,1,7,,
2230,--/7814/--,8754/8636/8523,,,,1,1,15,3,,20,,,99,,,,2,,,19,1,7,,5,,,,,,,,,15,,,,,,1,,,,1,33,1,2,,,,,2,2,6,,,,,,,,19,,,1,,,2,6,,
2250,--/7826/--,8781/8653/8534,,,,,2,9,1,,21,,,89,,1,,3,,,14,2,9,,,,,,,,,,,27,1,,,,,1,,1,,,22,,4,4,1,,,,7,11,,,,,,,,15,,,,,,1,10,,
2270,--/7839/--,8808/8671/8544,,1,,1,1,8,2,,12,1,,99,,,1,2,,,19,,4,,2,,,,,,,,,25,,,,,,6,,,,1,48,,6,3,,,,1,9,9,,,,,2,,,17,,,1,,2,1,6,,
2290,--/7851/--,8836/8689/8554,,,,,3,18,4,,46,1,,147,,,1,2,,,45,1,10,,6,,1,,,,,,,35,2,,,,,1,,1,,,52,,8,1,,,,4,11,15,,,,,1,,,26,,,2,,2,1,12,,
2300,--/7858/--,8851/8698/8559,,,,1,2,12,2,,29,1,,130,,,,,,,25,,12,,7,,,,,,,,,38,,,,,,,,,,,25,,2,5,,,,1,12,6,,,,,,,,17,,1,2,,,2,10,,
2310,--/7864/--,8865/8707/8563,,,,2,3,11,10,,35,2,,103,,,1,,,,39,1,12,,4,,,,1,,1,,,23,1,,,,,,,1,,1,24,1,7,3,,,,1,11,8,,,,,,,,6,,1,4,,,,10,1,
2320,--/7870/--,8879/8716/8567,,,,1,4,20,4,,41,2,,108,,,,,,,50,2,8,,2,,,,,,,,,28,1,,,,,,,1,,,21,,1,5,,,,1,12,5,,,,,,,,8,,,2,,2,4,11,,
2330,--/7876/--,8894/8725/8571,,,,1,6,13,2,,35,,,141,,,1,1,,,40,1,15,,1,1,,,,,,,,22,,,,,,,,3,,,27,,5,6,,,,2,3,6,,,,,1,,,8,,2,1,,2,,10,,
2340,--/7882/--,8908/8734/8575,,,,2,2,15,1,,37,1,,88,,,,,,,27,1,3,,,,,,,,,,,28,,,,,,,,1,,,25,3,1,10,,,,4,9,4,,,,,,,1,15,,,2,,,2,12,,
2350,--/7889/--,8923/8743/8578,,,,2,2,17,3,,33,2,,194,,,,1,,,33,2,13,,2,,1,1,,,,,,30,,,,,,1,,1,,,42,,7,10,,,1,3,5,9,,,,,,,,8,,1,3,,1,3,9,,
2360,--/7895/--,8938/8752/8582,,,,,3,16,1,,37,2,,200,,,,,,,38,1,16,,1,,,,,,,,,23,2,,,,,1,,,,,33,,4,4,,,,2,8,6,,,,1,,,,7,,,2,,2,3,17,,
2370,--/7901/--,8953/8761/8585,,,,,2,9,2,,20,1,,159,,,1,1,,,45,2,13,,2,,,,,,,,,21,2,,,,,2,,2,,,28,,3,4,,,,1,4,4,,,,,,,,9,,,2,,1,,11,,
2380,--/7908/--,8968/8770/8589,,,,,1,16,1,,22,,,120,,,1,1,,,25,,4,,,2,1,,,,,,,22,1,,,,,2,,2,,,10,,3,2,,,,3,9,4,,,,,,,,2,,,,,2,,14,,
2400,--/7920/--,8998/8788/8594,,,,,6,5,2,,16,1,,107,,,,,,,27,,7,,,,,,,,,,,20,1,,,,,2,,,,1,24,,4,3,,,,1,3,2,,,,,,,,9,,,1,,1,,12,,
