Depth,CAL BP,C14 BP,Abies,Acer,Alisma,Alnus,Amaranthaceae,Anthemis,Apiaceae,Arceuthobium,Artemisia,Asphodelus,Asplenium-type (spore),Aster,Asteroideae,Atriplex,Betula,Boraginaceae,Brassicaceae,Bupleurum,Buxus,Calligonum,Calluna,Campanulaceae,Carlina-type,Caryophyllaceae,Cedrus,Centaurea,Centaurea nigra,Centaurium,Cerastium,Cichorioideae,Cirsium,Cistus,Cistus salviifolius,Cladium-type,Colchicum,Cornus sanguinea,Corylus,Crassulaceae,Cuscuta,Cyperaceae,Daphne gnidium,Dipsacoideae,Echium,Ephedra fragilis-type,Erica arborea-type,Erodium,Euphorbia,Fabaceae,Fedia,Filago,Filipendula,Fraxinus,Galeopsis,Genista-type,Geranium,Hedera,Hedysarum,Helianthemum,Hippophaë,Hypericum,Isoetes (spore),Juniperus,Lamiaceae,Lemna,Liliaceae-type,Linaria-type,Linum maritimum-type,Linum usitatissimum-type,Lotus,Lygeum spartum,Lythrum,Matthiola,Mentha,Myriophyllum alterniflorum-type,Myriophyllum verticillatum-type,Myrtus,Nymphaea,Odontites,Olea,Ononis,Ononis-type,Ophioglossum lusitanicum (spore),Osmunda regalis (spore),Paronychia-type,Phillyrea,Pinus,Pinus pinaster-type,Pistacia,Plantago coronopus-type,Plantago lagopus-type,Plantago maritima-type,Poaceae,Poaceae (Cerealia),Poaceae (Cerealia-type),Polycarpon-type,Polygonum aviculare,Polypodium,Potamogeton-type,Poterium sanguisorba,Primula,Prunus,Quercus,Quercus ilex-type,Quercus suber-type,Ranunculaceae,Rosaceae,Rubiaceae,Rumex,Rumex conglomeratus,Rumex hydrolapathum-type,Sagina,Salix,Scabiosa,Scrophularia-type,Selaginella denticulata (spore),Silene,Silene-type,Solanum dulcamara,Spergula,Thalictrum,Theligonum,Theligonum cynocrambe,Thelypteris palustris-type (spore),Thymelaeaceae,Trifolium-type,Typha latifolia,Typha/Sparganium,Ulex,Ulmus,Unknown (monolete) (spore),Unknown (trilete) (spore),Valerianoideae,Verbascum,Viburnum,Vicia-type,Vitex,Vitis
305,16577,13884,,,1,,3,,9,,5,,,,4,,,,1,,,,,,,,23,2,,,,7,,,,,,,,,,31,,,,2,,,,,,,,,,,,,,3,,,7,4,3,3,1,,,,3,,5,,,,1,,,,,,,,,1,,30,115,,3,1,1,56,,,,,,4,,,,13,,,1,,,1,,,,1,,1,,,,,,,,,,,,,7,,,1,,,,,,,
315,16761,14033,2,,4,,1,,11,,17,2,,,5,,,,2,,,,,,,3,5,,,,,12,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,11,3,5,1,2,,,,,,1,,,,2,,,,,,,,,,,22,113,,5,,1,48,,,,4,,5,,,,,,2,15,,4,1,,,,3,,,,,,,,,,,,,,,26,,2,,,,,,,,
325,16946,14182,2,,1,1,6,,4,,15,2,,,5,,,,2,,,,,2,,4,26,,,,,6,,,,,,,,,,24,,,,1,,,,,,1,1,,,,,,,2,,,7,7,1,2,,,,,2,,2,,,2,,,,,1,,,,,,,39,169,,5,,1,132,,,,,,6,,,,17,,,10,1,1,4,,,,9,,5,,,,,,,,1,,,,,15,,,,1,,,,1,,
335,17131,14332,3,,2,1,5,,15,,23,3,,,6,,,,16,,,,,3,,2,23,2,,,,8,,,,,,,,,,16,,,,3,,,,1,,,,,,1,,,,2,,,6,11,4,4,2,,,,,,3,,,,,,,1,,2,,,,8,,32,241,,18,1,4,205,,,,,,6,,,,10,,,13,,6,20,,,,7,2,6,,,,7,,2,,,,,,,16,,2,,,,,,,,
345,17315,14481,1,,10,,4,,17,,21,,,,5,,,,3,,,,,,,2,9,2,,,,12,,,,,,,,,,17,,,,2,,,,4,,,,,,,,1,,1,,,37,4,3,3,2,,,,,,2,,,1,,,,,,,,,,4,,26,93,,62,,10,77,,,,,,6,,,,,,2,23,1,4,8,,,,2,2,5,,,,,,,,,,,,,42,,,,,,,,,,1
355,17500,14630,,,5,2,12,,36,,23,9,,,16,,,,9,,,,,3,3,126,12,10,,,4,22,,1,,,,,,,,30,,,,2,,,,3,,,,,,,,,,3,,,57,4,7,8,2,,,,9,,7,,,6,2,,,,,,,,,,,11,120,,34,10,18,197,,,,3,,5,,,,8,,,39,3,12,13,,,,2,,12,,,,,,6,,,,,4,,38,,1,,3,,,,,,
365,17684,14779,,,,2,2,4,12,,15,,,9,,,,,,9,1,,,,,4,,,6,,,1,,,,,,,,,1,17,,,,1,,,1,,,1,2,,,,,,3,,1,,52,7,,,,1,,,1,,10,,,1,1,,,,2,,,,,1,2,70,128,2,37,15,2,120,,4,,3,,2,,,,6,1,,2,,6,13,1,,,1,,,,,,,,,,,,,,1,1,1,,,,,,,,,
375,17869,14928,1,,4,,5,,16,,8,,,,8,,,,,,,1,,,,3,6,1,,,,5,,,,,,,,,,18,,1,,1,,,1,,,,,,,1,1,,,2,,,21,8,,,1,,,,,,1,,,2,,,,,,,,,,,,17,19,,12,,1,70,,,1,4,,,1,,,3,,,7,1,3,13,,1,,,,,,,,,,,,,,,2,,1,,,,,,,,2,,
385,18054,15078,,,,,3,,13,,14,1,,,10,,,,,,,,,,,3,14,2,,,,15,,1,,,,,,,,15,,1,,,,1,1,,,,,,,2,,,,2,1,,,11,,,1,,,,,,,,,1,,,,,,,,1,,1,,17,15,,18,2,1,90,,,,1,,3,,,,5,,,3,1,3,33,,,,1,,,,,,,,1,,,,,,,3,,,,26,,,,,,
395,18238,15227,1,,,,8,,16,,16,,1,,9,,,,1,,,,,,,,17,4,,,,2,,1,,,,,,,,32,,1,,1,1,1,,,,,2,,,2,,,,2,,,22,,,,2,,,,,,1,,,11,,,,,,,,2,,1,,20,12,,35,,1,185,,,1,2,,23,,,,7,,3,8,1,6,50,,,,,,,,,1,,,3,,,,,,,14,,,,,,,,,,
405,18423,15376,,,3,,1,,6,,6,6,,,3,,,,6,,,,,,,,4,1,,,,1,,,,,,,,,,315,,1,,1,,,,1,,,,,,,,,,,,2,4,3,4,3,3,1,,,,,1,,,,,,,,1,,,,,4,,48,82,,22,,,62,,,,,,4,,,,,,,11,,16,2,,,,2,,1,,,,,,,,,,,,,6,,,,,,,,,,
415,18608,15525,1,,,,12,,8,,24,,1,1,,,,,2,,,,,,,1,4,,1,,,1,1,,,15,,,,,,708,,2,,2,,,,,,,1,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,140,84,,23,,,104,2,,,,,,,1,,2,,4,5,,12,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
425,18792,15674,,,,,5,,4,,9,25,,,1,,,,2,,,,,,,7,3,,,,,1,,,,,,,,,,128,,,,2,,,,,,,,,,,,,,4,,,2,1,2,2,14,,,,1,,1,,,,,,,,,,,,,3,,25,54,,12,5,2,73,,,,,,4,,,,1,,,19,,6,2,,,,,,1,,,,,,,,,,,,,15,,,,,,,,,,
435,18977,15824,3,,,1,13,3,14,,33,,,4,,,,,1,6,,,,,,3,14,,1,,,3,,,,1,,,,2,,282,,,,1,3,,1,,,,,,,,,,,2,,,3,3,,,,,,,1,,7,,,,,,1,2,,,,,,1,,144,66,,13,1,3,180,6,,,,,,,,,8,,8,7,,33,7,,,,,,,,,,,,4,1,,,,1,,,,,1,,,,,4,,
445,19161,15973,,,2,,26,,11,,8,12,,,7,,,,3,,,,,,,6,12,3,,,,7,,,,,,,,,,108,,,,11,,7,,,,,,,,,,,,2,,,7,2,2,17,4,,,,12,,,,,,,,,,6,,,,,4,,12,102,,7,6,3,92,,,,,,4,,,,3,,,26,,28,2,,,,1,,9,,,,,,,,,,,,,5,,,,,,,,,,
455,19337,16122,,,2,,5,,7,,9,12,,,11,,,,5,,,,,,,3,7,2,,,,22,,,,,,,,,,52,,,,,,,,2,,,,,,,,,,,,,2,,4,6,7,,,,4,,,,,,,,,,,,,,,4,,17,116,,11,5,2,102,,,,,,6,,,,2,,,11,,12,2,,,,,,12,,,,8,,1,,,,,3,,11,,,,,,,,3,,
465,19521,16271,,,,,2,,3,,2,4,,,,,,,,,,,,,,,5,5,,,,2,,,,,,,,,,80,,1,,3,1,,,,,,,,,,,,,,,,20,2,,,,,,,,,,,,,,,,,,,,,,,,135,52,,4,5,,26,,3,,,,16,,,,7,1,3,2,,,3,,,,1,,,,,,,,,,,,,,,1,,,2,,,,,,,
475,19706,16420,,,,2,3,11,6,,34,,,31,,1,,,2,,,,1,,,2,,,7,,,5,,,,,,,,,1,140,,2,,1,2,,,,2,,,,,,,,,,,,24,1,,,,,,,,,1,,,,,,,,,,,,2,,,173,54,,,,1,8,,,,1,,,,,,3,,,1,,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
