Depth,Radiocarbon years BP,Abies,Acanthus,Acer,Aconitum-type,Adonis,Alisma,Allium,Alnus,Amaranthaceae,Amaranthus-type,Anagallis,Anchusa/Pulmonaria,Anisosciadium-type,Apiaceae,Apium-type,Aquilegia-type,Arctium/Jurinea,Armeria/Limonium,Artemisia herba-alba-type,Artemisia vulgaris-type,Asparagus-type,Asperula-type,Asphodelus albus-type,Asteroideae,Atropa,Betula,Biscutella,Boraginaceae,Botrychiumspore,Brassica-type,Bryonia,Bunium-type,Bupleurum-type,Butomus,Buxus,Caltha,Campanula-type,Capsella-type,Carpinus betulus,Carthamus,Caryophyllaceae,Castanea,Cedrus,Centaurea cyanus-type,Centaurea solstitialis-type,Chrozophora,Cichorioideae,Cirsium/Gundelia,Cladium mariscus,Convolvulus,Cornus sanguinea,Corylus,Cotinus coggygria,Cousinia,Cyclamen,Cyperaceae,Daphne,Datisca,Delphinium-type,Descurainia,Dioscorea communis,Dipsacus-type,Dorycnium hirsutum,Dryopteris-typespore,Elaeagnus,Ephedra distachya-type,Ephedra fragilis-type,Epilobium,Ericaceae,Erodium,Eryngium-type,Euphorbia,Fabaceae,Fagopyrum,Fagus,Ferula-type,Filago-type,Filipendula,Fraxinus angustifolia subsp. oxycarpa-type,Fraxinus excelsior,Fraxinus ornus,Galanthus,Galium-type,Gentiana,Geranium,Glaucium,Halothamnus-type,Hedera,Hedysarum/Ebenus,Helianthemum,Heliotropium-type,Helleborus,Hibiscus,Humulus/Cannabis,Hyoscyamus,Hypecoum,Hypericum,Hypericum hirtellum var. assyriacum-type,Hypericum perforatum-type,Inula-type,Isoëtesspore,Jasione-type,Juglans,Juniperus,Juniperus sabina,Knautia,Lathyrus-type,Leontice leontopetalum,Linum,Lomelosia rotata-type,Lotus-type,Lythrum,Maianthemum,Malabaila,Malva,Matricaria-type,Matthiola,Menyanthes trifoliata,Mercurialis-type,Micranthes nivalis-type,Myrica,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Myrtus,Nigella,Noaea-type,Nuphar,Nymphaea,Olea,Onobrychis-type,Ononis-type,Onopordum-type,Ostrya/Carpinus orientalis,Paliurus,Papaver,Periploca,Persicaria maculosa-type,Phillyrea,Phlomis,Picea,Pimpinella-type,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Plantago media-type,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Populus,Potentilla-type,Prosopis,Prunus-type,Psoraleeae,Psylliostachys,Pteridiumspore,Punica,Quercus coccifera-type,Quercus robur/Q. cerris,Ranunculus asiaticus-type,Ranunculus parviflorus-type,Ranunculus peltatus-type,Ranunculus repens-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Rhamnus,Rhinanthus-type,Rhus,Rosa-type,Rumex acetosa-type,Salix,Sambucus,Sanguisorba-type,Saxifraga exarata-type,Saxifraga rosacea,Scabiosa columbaria-type,Scilla-type,Scrophularia/Verbascum/Digitalis,Senecio-type,Silene-type,Solanum dulcamara,Sparganium-type,Spergularia-type,Spinacia-type,Stachys-type,Styrax,Tamarix,Taxus,Teucrium,Thalictrum,Theligonum,Thelypteris palustris-typespore,Thesium,Thymus/Mentha,Tilia,Tofieldia,Tribulus,Trifolium-type,Turgenia-type,Typha latifolia,Ulmus,Urtica dioica-type,Urtica pilulifera-type,Valerianella,Verbascum-type,Verbena,Viburnum-type,Vicia-type,Vitis,Xanthium,cf. Atraphaxis,cf. Genista,cf. Myricaria,cf. Orobanche
140,--/8813/--,,,,,,3,,5,95,,,,,4,4,,,,102,2,,,,,,1,,,,27,,6,3,,,,,,,2,25,1,3,2,24,,100,1,,,,2,,,,139,,,,,,1,,8,,,2,,1,,1,5,1,,1,3,1,,,,24,,1,,,1,,,,,1,1,1,1,,,,,,,10,1,14,4,1,,,,,,,1,,,1,54,,,,,,,11,,,1,,,23,,,1,3,1,,,,,,,,16,4,,10,1,2,1,3,150,6,37,,,,,1,,7,,16,29,,,,6,7,,,1,,,4,28,1,22,,,,1,,8,1,,96,,,,,2,,1,5,1,,,,,,,8,,,,1,,,,,,,5,,,,,
150,--/9500/--,,,,,,2,,1,75,,,,1,14,,,,,94,,,,,,,1,,,,27,,3,,,1,,,,,,31,1,3,2,29,,78,1,,,,,,1,,60,,,,,,,,7,5,,,,,,,2,2,,,1,2,2,,1,19,1,,,,,,,,1,,,,1,,,,,,,16,,10,3,,,,1,,,,,,,1,38,,,,,,,3,,1,,,1,24,,,,4,,,,,,,,1,10,,2,1,,5,,,67,2,36,,,,1,,,10,,22,9,,,2,1,,,,,,,,16,1,11,,,,1,,1,,,68,,,,,,,,3,,,,1,,,,5,,,1,,,,,,,1,12,1,,,,
160,--/10143/--,,,,,,1,,6,141,,,,,3,1,,,1,76,2,,,,,,,,,,29,,8,,,2,,,,1,2,24,1,2,,27,,130,1,,,,,,1,,84,,,1,,,,,6,2,,1,,,,2,3,,,,1,1,,,1,31,,3,,,,1,1,,,,,,,1,,1,,,,13,,14,1,,,,,,,,2,,,,38,1,,,,,,1,,,,,1,37,,,1,1,,,,,,,,,12,3,,8,,1,,1,175,9,36,,,,,1,1,5,,11,30,1,,,1,2,1,1,1,,,2,23,,14,,,,,,10,,,79,,,,,,1,,9,2,,,,,,,2,,,2,,,,,,,,2,,,,,
170,--/10429/--,,,,,,1,,4,110,,,1,,14,,,1,,102,1,,,2,,1,,,,,38,,6,1,,,,,1,,2,50,,4,,50,,100,3,,,,1,,,,71,,,1,1,,,,9,2,,4,,,,8,7,,,1,,1,1,,,16,,1,,,,,1,,2,,,,,,,,,,,26,,3,,,1,,,,,,,,,,72,,,,,,,1,,,8,,,78,,,,4,,,,,1,,,1,13,,,6,,1,,2,130,3,72,,,,,,,27,,26,38,,,6,,,,,,,1,4,14,,14,,,,,,19,,1,147,,,,,,,,5,,,,,,,,2,,,,,,1,,,,,7,3,,,,
180,--/10714/--,,,,,,1,,3,67,,,,,10,2,,,,49,,,,1,,,,,,,22,,3,2,,,,,1,,2,18,,2,,26,,144,8,,,,,,,,56,,,1,,,1,,8,,1,,,,,1,2,,,,2,1,,,,16,,1,,,1,,,,,,,,,,,,,,,8,,1,2,1,,,,,,,1,,,,42,,,,,,1,,,,,,2,32,,,1,1,,,,,,,,1,4,,1,7,2,,1,,100,5,31,,,,,,,13,,6,12,,,3,2,,,,,1,,2,10,,2,,,,,,9,,,40,,,,,,,,10,,,,,,,,7,,,,1,,,,,,,1,,,,,
185,--/10857/--,,,,,,1,,1,88,,,,,8,2,,,,75,,,,1,,,2,,,1,12,,4,1,,,,,,,3,12,1,,,37,,43,1,,,,,,,,53,,,,,,1,,4,2,1,2,,,,2,6,,,,2,1,,,,12,,2,,1,,,,,2,,,,,,,,,,,14,,,1,,,,,,1,,1,,,,60,,,,,,,3,,,1,,,17,,1,1,1,,,,,,,,,11,,,4,,,,2,53,3,36,1,,,,1,,17,,13,12,,,,,,,,,,,2,5,,9,,,,,,6,,,28,,,,,,,,,,,,,,,,2,,,1,,,1,,,,,5,,,,,
190,--/11000/--,,,1,,,1,,1,86,,,1,,13,,,,,76,,,,2,,,,,,,35,,1,,1,,,,3,,3,20,,3,,30,,117,4,,,,1,,1,,81,,,1,,,,,9,1,,1,,2,,2,5,,,,1,,,,,3,,,,,,,,,1,1,,,,,,,,,,18,,3,2,1,,,,,1,,1,,,,49,,,,,,,,,,,,,15,,,,2,,,,1,4,,,1,7,1,,3,,2,,1,108,7,23,,,,,1,,15,,21,25,1,,1,1,,,2,,1,,6,13,1,5,,,,1,,6,,,52,,,,1,,,,2,,1,,,,,,2,,,1,,,,,,,,,,,,,
195,--/11077/--,,,,,,1,,5,114,,,,,13,1,,,,57,,,,3,,,,,,,22,,5,1,1,,,1,1,,3,18,1,,1,48,,113,5,,,,,,1,,73,,,1,,,,,8,1,1,1,,,,1,3,,,,1,2,,,,2,,1,,,,,,,,,,,,,,,,1,,14,,2,1,,,,,,,,1,,,,80,,,1,,,,,,,,,,16,1,,1,2,,,,,,,,,5,1,,2,,2,,3,69,9,17,,,2,,,,13,,21,25,1,,,,1,,,,1,,3,9,3,5,,,,2,,6,,,21,,,,,,,,2,,,,,,,,5,,,,,,,,,,1,4,,,,,
200,--/11153/--,,,,,,,,2,150,,,1,,12,2,,1,,116,2,,,1,,,2,,,,31,,5,,,,,,1,,2,25,1,1,,50,,179,6,,,,,,3,,118,,1,,1,,2,,4,,1,,,,,2,9,3,1,,1,2,,,,4,,1,,,,,2,,,,,,,,,,,,,12,,2,1,,,,,,,,1,,,,51,,,,,,,1,,,,,,18,,,,4,,,,,,,,,8,1,,10,1,4,3,2,158,12,20,,,,,1,,17,2,20,54,,2,3,1,,,1,1,2,,1,12,,3,,,,,1,10,,,59,,1,,,,,,6,1,1,,,,,,2,,,2,1,,1,,,,,,1,,,,
205,--/11230/--,,,,,1,,,39,174,,,,2,38,1,,1,,170,4,,,2,1,,,,,,11,,7,1,,,,1,1,,1,13,4,,,47,,113,4,,,,,,1,,67,1,,,,,2,,7,,2,,,,,2,5,2,,,1,,,,,4,,3,,,,1,,,,,,,,,,,,,,19,,,,,,,1,1,,,1,,,,74,1,,,,,,,,,3,,,15,,,,10,,,1,,,,1,1,1,7,,,,2,1,6,45,,18,,,1,1,2,,7,,24,57,,,,,2,,,,2,,4,,,4,,,,,,8,,,22,,,,,,,1,6,,,,,,,,,1,,,,,1,,,,,4,,,,,
210,--/11307/--,,,,,,,,18,122,,,,,8,2,,,,99,,,,1,1,,,,,,36,,12,2,,1,,,,,2,12,,1,,34,,148,3,1,,,,,1,,110,2,,,,,1,,,,,1,1,,,2,,1,,,,4,,,,14,,5,,,,,,,,,,,1,,,,,,1,21,,2,5,,,,,,,,2,,,,33,1,,2,,,,,,,1,,,6,2,,1,8,,,,,,,,,50,7,1,7,,9,,3,189,4,6,,,,1,,,7,,28,133,,1,,,2,,,,,,5,25,,5,,,,,,10,,1,55,,,,,,,,1,,,,,,,,2,,,3,,,,1,,,,3,,,,,
215,--/11383/--,,,,,,1,,55,201,,,,,37,1,,1,,172,,,1,,,,2,,,,13,,13,4,,,,,,,1,6,8,3,1,33,,65,3,,,,,,1,,49,,,1,,,,,6,1,,1,1,,,3,3,3,,,7,3,1,,,1,,3,,,,,,,1,,,,1,,,1,,1,,23,,,,,,,,,,,1,,,,52,,1,2,,,,1,,,3,,,8,,,,5,,,,,,,,2,8,1,,,,1,,7,52,2,8,,,1,1,,,3,,25,38,1,,,1,2,,1,,,,5,,,6,,,,,,5,,,10,,,,,,,,5,1,,,,,,,6,2,,1,,,,,,,,4,1,,,,
220,--/11460/--,1,,1,,,1,1,47,111,1,,,,16,,4,,,108,,,,2,,,1,,,,27,,8,1,,,,1,2,,1,24,3,4,,11,,105,2,,,1,,,,,56,,,1,,,1,,1,,,1,,,,3,1,,,,,2,1,,1,6,,3,,,1,,,,,,,,,1,,,,,1,6,,,1,,,,,,,,2,1,,,49,,1,,,,,,,,3,,,17,,,,2,,,,,,,,1,50,5,,1,,6,,1,134,1,4,,,,,,,3,,23,94,2,,3,2,,,1,,,1,1,4,,3,,,,1,,8,,1,11,,,,,,,,1,2,,,,,,,3,,,2,,1,1,,,,,1,,,,,
230,--/11613/--,,,,,,2,1,78,260,,,,1,14,2,,,,237,,,,1,,,,,,,51,,21,7,,,,1,1,1,1,29,,4,,33,,99,1,,,,1,,2,2,61,,,1,,,,,5,,,1,,,,8,3,,,,,1,1,,,,,1,,,,,,,,,,,,,,,1,,,22,,,3,,,,,,,1,2,,,,52,1,,1,2,,,1,,,2,,,17,,,,9,,,,,,,,,10,4,3,3,1,2,,9,77,2,23,,,1,,,,9,,44,85,2,,,2,3,,1,,,,4,,,3,,,,,1,12,,,23,,,,,,,,7,,,,1,,1,,4,1,,,1,,,,,,,6,,1,,,
240,--/11767/--,,,,,1,1,,38,196,,,,,26,4,,,,125,,,,4,,,,,1,,8,,19,4,,,1,,1,,3,26,,1,,30,,108,5,,,,1,1,,,57,,1,,,,,,15,,,2,,1,,2,1,,,1,1,5,,,,,,4,,,,,,,,,,,1,,,,,,,17,,,1,,,,,,,,2,,,,40,,,2,,,,,,,2,,,8,,,,2,,,,,,,,2,7,3,,2,1,,1,2,68,7,18,,,,,,,6,,42,92,1,,,,2,,2,,1,,,8,1,2,,1,,1,,13,,,15,,,,,,,1,3,,,,,,,,3,,,2,1,,,,,1,1,4,,,,,
250,--/11920/--,,,,,,2,,20,218,,,,1,32,1,1,,,191,,2,,1,2,,1,,1,,36,,20,2,1,,,,2,1,3,47,,2,,33,,197,2,,,,,,,,145,,,1,,,1,,13,,5,3,,,,2,7,3,,,1,,1,,1,,,10,,,,,,1,,,,,1,,,,,,,23,3,,2,,1,1,,,,,4,,1,,65,1,,,,,,1,,,4,,,41,,,,15,,1,,,1,,,7,16,20,,,1,6,4,3,237,7,26,,,,,,,21,,63,144,4,,2,7,,,2,,1,,14,9,,3,2,,,,1,17,1,1,12,1,,,,,1,1,5,,,,,,,,2,4,1,4,1,,,1,,,,8,1,,,1,
265,--/12150/--,,,,,,,,2,97,,,,,12,,,,,102,,,,1,,,,,,,21,,5,,,,,,,,,15,,3,,19,,149,,,,,3,,,,59,,,1,,,,,5,,,1,,,,4,2,1,,1,,2,,1,,1,,3,,,,,,,,,,,1,,,2,,,2,14,,1,4,,,,,,,,1,,,,38,1,,4,,,,8,,,2,,1,23,,,,6,,2,,,,1,,,28,3,,1,,3,,4,148,3,9,,,,,,,7,,27,95,,,3,,,,,,,,5,6,,9,,,,1,,7,,,45,,,,,,,1,5,,,,2,,,,2,,,1,,1,1,,,,,1,,,,,
280,--/12380/--,3,,,,,,,1,101,,,,1,14,2,1,,,87,,,,,1,,,,,,19,,11,,1,,,1,,2,2,17,,2,,17,,185,,1,,,,,,,75,,,,2,,,,3,,3,1,,,,,1,5,,,,3,1,,,,,3,,,,,,,,,,,2,,,,,,,5,,,1,,,,,,,,1,,,,42,,,2,,,,2,,,1,,,10,,,,4,,1,,,,,,,36,5,,2,3,2,,,131,25,3,,,,,,,4,,1,125,2,,2,,,,,,,,1,2,,5,,,,,,5,,,14,,,,2,,,,1,3,,,1,,,,2,,,3,,,,,,,,1,,,,,
290,--/12533/--,,,,,,,,,154,,1,,,12,,,,,84,,,,3,,,,,,,8,,3,,,,,,,,,10,1,1,,19,,47,,,,,1,,,,67,,,,,,,,5,,,,,,,1,,,,,,1,1,,,,,3,,,,,,,3,1,,,,,,1,,,,3,,,1,,,,,,,,,,,,28,,,1,,,,1,,,3,,,5,,,,7,,,,,,,,1,12,3,,,,2,,,73,,4,,,,,,,4,,36,98,1,,,1,,,1,,,,4,,,8,,,,1,,2,,,14,,,,1,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,
300,--/12687/--,,1,,,,,1,1,99,,,,,6,1,,,,26,,,,,,,,,,,8,,3,,,,,,,,,8,,3,1,22,,43,2,,,,2,1,,1,31,,,,,,1,,8,,,,,,,2,,,,,,1,,,,,,3,,,,,,,1,,,,,,,,,,,2,,,1,,,,,,,,,,,,27,1,,,,,,,,,3,,,2,,,,3,,,,,,,,,4,2,,,,1,,,16,,,,,,1,,,,,17,49,1,,,,,,,,1,,1,1,,1,,,,,,2,,,7,,1,,1,,,,1,,,,,2,,,1,,,,,,,,,,,,,,,,1
310,--/12840/--,,,,,,,,1,156,,,,1,12,1,,,,98,1,,,1,,,,1,,,12,,9,,,,,1,,,,16,1,3,,21,,138,5,,,,1,,2,,92,,,,,1,,,3,,1,1,,,,2,1,,,,,5,,,3,3,,1,,,,,,,,,,,,,,,,,,9,2,,4,,,,,,,,,1,,,31,,,1,,,,,1,,9,,,7,1,,,11,,,,,,,,3,6,6,2,2,,4,,1,105,2,2,,,,,,,1,,30,108,2,,,,,,,,,,,1,,4,,,,,1,7,,,16,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,2,,,,,
320,--/12993/--,,1,,,,1,,3,160,,,,,11,1,,,,53,,,,,,,,1,,,15,,14,,,,,,1,,2,13,1,1,1,24,,83,,,,,1,,,,58,,,,,,,,5,,,,,,,1,1,1,,,2,1,1,,,,,4,,,,,1,,,,,,,,,,,,,9,,,,,,,,,1,,1,,,,20,,,1,,,,,,,2,,,,,,,9,,,,,,,,5,20,3,,1,,1,,,88,2,,,,,,,,1,,53,100,1,,2,1,,,,,1,,1,1,,,,,1,,1,4,,1,8,,,,,,,,1,,,,1,,,,1,,,2,,,,,1,,,3,,,1,,
330,--/13147/--,,,,,,,1,,121,,,,2,7,,,,,61,,,,,,,1,,,,12,,10,2,,,,,,,2,12,,1,,12,,52,,,,,,,,,29,,,,,,,1,1,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,7,,,,,,,,,,,1,,,,37,1,,,,,,1,,,2,,,11,,,,7,,,,,,,,,3,5,,1,,4,,,30,1,8,,,,,,,,,31,57,,,,,,,,,,,1,2,1,2,,,,,,8,,,3,,,,,1,,,,,,,,,,,,1,,,1,,1,,,,,1,,,,,
343,--/13346/--,,,,,,,,,27,,,,,2,,,,,19,,,,,,,,,,,1,,,,,,,1,,,,6,,,,4,,14,2,,,,,,,,21,,,,,,,,3,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,1,3,,,,,,,,,1,3,,1,,1,,,10,,,,,,,,,,,11,22,,,,,,,,,,,2,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,
