Depth,Lycopodium spikecounted,Lycopodium tabletsconcentration,Lycopodium tabletsquantity added,Sample quantityvolume,Tinner et al. (2016)Calendar years BP,Abies,Acer,Agrimonia-type,Ailanthus,Alisma-type,Allium-type,Alnus glutinosa-type,Amaranthaceae-type,Ammi-type,Anemone hortensis-type,Anemone-type,Anogramma leptophyllaspore,Anthemis-type,Anthoceros laevisspore,Anthyllis,Apiaceae undiff.,Apium-type,Artemisia,Asparagus,Asphodelus albus-type,Asphodelus fistulosus,Asplenium-typespore,Aster-type,Astragalus-type,Athyrium filix-feminaspore,Betula,Boraginaceae,Botrychiumspore,Brassicaceae,Bupleurum,Calendula,Calligonum,Callitriche,Caltha-type,Calystegia,Cannabis sativa,Carduus,Carlina,Carpinus betulus,Carthamus,Castanea sativa,Celtis australis,Centaurea nigra-type,Cerastium-type,Ceratophyllumspine,Cercophora-typespore,Cerinthe,Chaerophyllum hirsutum-type,Cichorioideae,Cirsium,Cistus,Consolida-type,Convolvulus,Corrigiola litoralis,Corylus avellana,Cuscuta,Cyclamen hederifolium,Cynoglossum officinale-type,Cyperaceae,Cyperus-type,Daphne,Daucus,Dianthus superbus-type,Diporothecaspore,Dipsacus,Dorycnium,Dryopteris dilatata-typespore,Dryopteris filix-mas-typespore,Echinops,Echium,Ephedra fragilis-type,Epilobium,Erica arborea-type,Erodium,Eryngium,Eucalyptus,Euphorbia,Euphrasia-type,Fabaceae undiff.,Fagus sylvatica,Falcaria-type,Fedia cornucopiae,Ficus carica,Foeniculum-type,Fraxinus excelsior-type,Fraxinus ornus,Gelasinosporaspore,Genista-type,Geranium,Gladiolus-type,Glomusspore,Gnaphalium-type,Hedera helix,Helianthemum,Heliotropium,Heracleum,Humulus lupulus,Hypericum perforatum-type,Ilex aquifolium,Isoëtesspore,Jasione,Juglans regia,Juncaceae,Juniperus-type,Knautia,Lamiaceae undiff.,Lemnoideae,Liliaceae-type,Linaria-type,Linum catharticum-type,Loranthus europaeus,Lotus-type,Lysimachia vulgaris-type,Lythrum portula,Matthiola-type,Mentha-type,Mercurialis annua,Myrtus communis,Nigella,Odontites-type,Oenanthe,Olea,Ophioglossum vulgatumspore,Ornithogalum-type,Ornithopus,Ostrya-type,Papaver rhoeas-type,Paronychia-type,Persicaria maculosa-type,Peucedanum-type,Phillyrea,Pimpinella major-type,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major,Plantago maritima-type,Platanus,Poaceae,Poaceae (Cerealia),Podospora-typespore,Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Prunus-type,Pseudopediastrum boryanum var. boryanum sensu latocolony,Pteridium aquilinumspore,Pteridophyta (monolete) undiff.spore,Quercus cerris-type,Quercus ilex-type,Quercus pubescens-type,Ranunculus acris-type,Ranunculus sect. Batrachium,Reseda-type,Rhamnus,Rhynchospora,Ricciaspore,Rosa,Rosaceae,Rubiaceae,Rubus,Rumex acetosa-type,Rumex obtusifolius-type,Rumex scutatus-type,Salix,Sanguisorba minor-type,Saxifraga granulata-type,Scandix pecten-veneris-type,Scorzonera humilis-type,Scrophulariaceae,Sedum-type,Senecio-type,Serratula-type,Silene dioica-type,Silenoideae-type,Smyrnium-type,Solanum dulcamara,Sorbus-type,Sparganium-type,Spergula-type,Sporormiellaspore,Thalictrum,Theligonum cynocrambe,Trifolium pratense-type,Trifolium repens-type,Tuberaria,Turgenia latifolia,Typha latifolia-type,Ulmus,Urtica dioica-type,Urtica membranacea-type,Urtica pilulifera,Utricularia,Verbena officinalis,Viburnum tinus,Vicia-type,Vitis
150,179,18583,3,1,--/379.21/--,,15,,,1,,,2,,,,,3,,,1,,2,1,2,,,3,2,,,,,,,,,,,,,1,,,,2,,,,30,328,,,4,,,,,4,,,2,,41,2,,4,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,1,,,,12,,,,,,,1,,,,1,,,14,,,,,,,,,,1,,,1,59,,,,,,,1,,2,,,,,1,1,,,,100,,1,,,,7,1,1,,,1,39,8,321,,10,,,,,,,3,2,,,2,,,,,,,,,,,,2,1,2,15,,2,,,,1,,,,5,,,,,,,,
160,115,18583,3,1,--/408.22/--,,13,,,,,1,2,,,,,,,,1,,5,,,,,3,,,,,,2,,,,7,,,,1,,,,1,,,,17,28,,,12,,,,,10,1,,,,33,3,,7,,,,,,,,,1,,1,,1,,,,,,,,1,,,1,,,1,,,,9,,,,,,,,,,,2,,,9,,,,,,,,,,,,,,42,,,1,,,,,,1,,,1,2,6,,,,,112,2,,,,1,13,5,1,,2,1,25,4,215,,3,,,,,,,4,,,,1,,,,,,,1,,,,,2,1,,14,,1,,,,1,,1,,3,,,,,,,1,
170,186,18583,3,1,--/437.24/--,,14,,,,,,1,,1,,,,,,,,4,,,,1,,,,,,,1,1,4,,4,,,,,,,1,,,,,56,2,,2,2,,,,,,1,,1,,29,2,,4,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,5,,,,,,,,,,,1,,,3,,,,,,,,,,1,,,,30,1,,,,,,1,,,,,1,2,2,1,,,,56,,,,,,2,,,,1,,24,4,221,1,5,,,,,,,1,,,,1,3,,,,,,,,,,,5,1,,2,,,,,,1,,,,3,,,,1,,,,
190,383,18583,3,1,--/495.26/--,1,5,,,,,1,1,,,,,1,,,,1,6,,1,,,2,,,,,,5,,1,,5,,,1,2,,,,,1,,,106,,,1,5,,,,,3,,,1,,48,,,2,,,,,,,,1,,,,,,,,,,,,,,2,,,,1,,,,,1,,,,,,,,1,,,1,,,7,,,,,,,,,,1,,,,25,1,,,,,,1,,2,1,2,,3,4,3,1,,,153,1,,,,,14,1,,2,6,,42,8,133,,36,1,,,,,,6,,1,,1,1,,,1,1,,,,,,,1,,,9,,3,,,,1,,,,,2,1,,,,,,
210,293,18583,3,1,--/553.29/--,,3,,,,,,1,,,,,1,,,,,5,,,,,1,,1,,,,1,,,,,,,1,,,,,,,,,89,2,,,4,,,,,,,1,,,17,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,,,,,,,,,,,,,,9,,,,,1,,,,1,,,,,,2,,,,83,2,,,,,7,,,4,1,1,11,3,99,1,1,,,1,,,,,,,,,,,,2,,,,,,,,1,,,1,,1,,,,,,,,5,1,,,,,,1,
230,360,18583,3,1,--/611.32/--,,,,,,,,17,,,1,,5,,,1,1,6,,2,,,11,,,,,,7,,6,,,,,,1,,1,1,,,1,,87,19,,4,72,,,,,8,2,,,,20,6,,5,,,,1,,,,2,,,,,,,,,,,,,,1,,,,1,,,,,1,1,,,,1,,1,,,,1,,,,,,,,,,,,1,,,,,13,2,,,,,,3,,2,,,1,,16,10,,,,201,5,1,1,1,,12,1,,7,2,2,5,2,5,,117,,,3,,,,9,1,,1,8,,,,2,,,,2,,,,1,4,,64,1,6,,,,5,,1,,,7,,,,,,3,
250,407,18583,3,1,--/669.35/--,,,,,,,,4,,,,,6,,,3,1,4,1,,,,22,31,,,,,2,,7,,,,,,2,,,,,,,,32,6,,3,36,,,,,2,,1,1,,46,,,3,,1,,,,,,3,,,,,,,,,1,,1,,,1,,,1,,,,,,2,,,,,,,,1,,,,,,8,,,,,,,,,,1,,,,9,,,,,,,1,,15,,,,1,8,6,1,,,160,3,,1,,,6,2,,,2,1,6,1,4,,13,,,1,,,,3,1,,2,,,,,1,,,,1,,,,1,3,,,,9,1,,1,2,,,,1,2,,,,,,4,
270,195,18583,3,1,--/727.38/--,,18,,,,,,2,,,,,2,,,3,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,40,8,,1,7,,,,,1,,,,1,23,,,4,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,1,,,,,,,,5,,,,,2,1,,,,133,2,,,,,24,,,1,1,,4,2,2,,27,,,,,,,2,,,,3,1,,,4,,,,,,,,1,,,,,1,,,,,,1,,5,,,,,,,,
290,985,18583,3,1,--/785.4/--,,1,,,,,,3,,,,,14,,,5,,1,1,7,1,,7,,,,,,4,,,,,,,,3,,,,,,,,1,9,,2,80,1,,,,,1,,,,17,,,1,,,,,,,,2,,,,1,,,,,1,,,,,,,,2,,,,1,3,1,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,3,1,,,,,,2,,,,,1,,10,1,,,,118,3,1,1,4,,6,,,,3,6,5,6,38,,,,,,,,,2,,,,2,,,,,,,,1,,,2,1,,,,,14,,,1,6,1,,,2,2,,,,,,,
310,467,18583,3,1,--/843.43/--,,,,,,,1,2,,,,,6,,,2,,2,,2,,,3,,,,,,1,,2,,1,,,,7,,,,1,,,1,1,7,,5,107,,,,,1,,,,,20,1,,2,,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,3,1,1,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,19,,,,,,,1,,1,,,1,,2,3,,,,170,3,4,1,3,,9,,,,2,7,5,8,54,,,,,1,,,,1,,1,,12,,,,,,,,,,,1,1,1,,1,,20,,1,1,6,,,,,,,,2,,,2,
340,366,18583,3,1,--/930.47/--,,13,,,,1,2,6,1,,,,12,1,,3,,3,1,,,,3,,,,,,4,,,,,,,1,,,,1,,,2,,26,6,1,2,11,,,,,,,1,1,,42,2,1,24,,,,,,,1,,,,,,1,,1,1,,,1,,,4,1,,,,1,,,,1,,,,,1,,,,1,,1,,,34,,1,,,,,1,,1,1,,,,49,4,,,,1,1,3,,3,,,1,2,5,7,,2,,245,5,,,,,40,,,,4,4,14,15,86,,6,,,,,,2,3,5,1,,3,2,,,,,,,,,,,,5,,6,,1,,1,,,1,6,2,5,3,,,,,,,
350,207,18583,3,1,--/959.49/--,,1,,,,,1,7,,,1,,5,,,,,1,,1,,,2,,,,,,,,,,,,,,3,1,,,,,,1,16,44,,4,11,,,,,1,,,,,7,,,8,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,2,,,,,4,,,,,,,,,14,,,,,,,,1,3,1,,,,38,1,,,,1,,,2,1,1,,,1,5,3,,,,112,5,1,1,3,,88,3,1,,11,2,15,8,172,,4,,,,,,1,12,6,,,2,,,,,,,,,,,1,1,4,,8,,6,,,,,,,1,4,3,,,,,,,
370,253,18583,3,1,--/1017.52/--,,1,,,,,1,1,,,,,11,,,,,2,,,,,1,1,,,,,3,,,,,,,,1,,,,,,,,3,7,,,3,,,,,,1,,,,2,1,,7,1,,,,,,,,1,,2,,,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,,,,,,16,,,,1,,,,,1,1,,,,10,1,,,,,,1,,,1,,1,1,2,4,,,,105,2,,3,6,,228,4,1,,4,9,37,11,275,,2,,,,,,,2,14,,,,,,,,,,,,,,,,2,2,5,,2,,,1,6,,,,1,1,,,,,,,
390,133,18583,3,1,--/1075.54/--,,22,,,,,1,3,,,,,7,1,,,,6,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,16,3,,1,,1,,,,1,,,,,7,,,3,,1,,,,,,,,,1,,,,,,1,,,,,,,1,1,,,,1,,8,,,,,1,,,,,,,,,5,1,,,,,,,,,,,,,16,2,,,,1,,2,,1,1,,2,2,,2,,,,59,1,,,3,,13,3,1,,4,13,35,9,347,1,3,,,,,,,4,,,,3,,,,,,,,,,,,1,4,2,2,,1,1,,,,,,,15,1,,,,,,,
410,269,18583,3,1,--/1133.57/--,,3,,,,,,3,,,,,2,,,1,,2,,1,,,1,,,,,,2,1,,,,,,,1,,1,,,,,1,9,2,,,,,,,,,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,7,,,,,,,1,,,,,1,6,1,,,,,48,,,,5,,74,,,,2,5,28,15,264,1,,,,,,,,1,,1,,6,1,,,,,,,,,,,,,,5,,3,,,,,,,,3,13,,,,,,,1
430,71,18583,3,1,--/1191.6/--,,3,,,,,,,,,1,,1,,,,,1,1,,,,1,,,,,,,3,,,,,,,1,,,,,,,,7,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,2,,,,1,,,,,,,,30,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,2,2,,,,2,,,,,,1,1,3,1,,,,,31,,,,1,,1,1,,,3,4,20,8,270,,3,,,,,,,3,4,,,2,,,,,,,,,,,,1,,1,1,,,,,,,,,,5,4,,,,,,,
450,409,18583,3,1,--/1249.31/--,,2,,,,,,3,,,,,4,,,1,,2,,,,,1,,,,,,1,,1,,,,,,1,,,,1,,,,22,4,,1,7,,,,,,1,,,,26,1,,1,,,,,,1,,,,,1,,,,,,,,,,,,2,1,1,1,,,,,24,,,,,1,1,,,,,,,,8,,,,5,,,,,,1,,,,5,1,,,,,,,,2,,,12,4,2,1,,,,70,2,,,1,,14,1,,,3,7,20,12,201,1,4,,,,,,,1,1,1,,1,,,,,,1,,,,,,,1,,5,,4,,,,3,,,,1,1,,,,,,,
470,107,18583,3,1,--/1307/--,,2,,,,,2,1,,,,,1,,,,,5,1,,,,1,,,,,,2,,,,,,,,1,1,,,2,,,,19,,,2,,,,,,,1,,,,2,,,,,,,,,,,,1,,1,,,,,,,,,,,1,1,2,1,,,,1,,37,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,2,2,,,,2,,3,,1,,1,,5,3,1,,,,12,,,,1,,3,3,1,,1,1,25,9,225,,5,,,,1,,,1,3,,,,1,,,,,,,,,,,,,1,5,1,1,,,,1,1,,,7,1,,,,,,,1
490,125,18583,3,1,--/1364.69/--,,,,,,,4,2,,,1,,3,1,,,3,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,22,,,4,,,,2,,1,2,,5,,2,,,6,,,,,,,,2,,,1,,,,2,,,,,,,,2,1,,1,,,,,9,,,,,,,,,,,1,,,3,,,,,1,,,,,,,,,22,3,,,,1,,2,,3,,,,4,2,,,,,46,,,,1,,18,3,,,2,2,30,7,219,,5,,,,,,,,6,,,1,,1,,,,,,,,,,1,,,,1,,,,1,2,,,,6,,,,,,,,1
510,297,18583,3,1,--/1422.38/--,,2,,,,,,1,,,,,4,,,,1,2,,1,,,3,,,,,,,1,,,,,,,1,,,,,,,,2,3,,1,3,,,,,1,,,1,,7,,,9,,,,,,1,,1,1,,1,,1,,3,,1,,,,,,1,1,3,3,,,2,,3,,,,,,,,,,,,,1,6,,,,1,1,,,,,,,,,24,,,,,1,,,,3,1,,2,3,,,,,,72,1,1,,1,,54,6,,,1,1,73,12,242,,,,,,,,,5,1,,,,,,,,,,,,1,,,4,,,1,,4,,,,,,,,5,1,,,,,,3,
530,121,18583,3,1,--/1480.07/--,,,,,,,,1,,,1,,3,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,1,1,7,,,8,,,1,,,,1,,,,6,,,40,,,,,,,,,,,3,,,,1,,,,3,,,10,,,,,,,,,1,,,,,1,,,,,,1,,,6,,,,,,,,,,,,,,42,3,,,,,,,,3,,25,,3,1,1,,,,60,,,,5,,73,3,,,4,1,46,10,264,,4,,,,,,,3,2,,,,,,,,,,,,,,,5,,,,,,,,,,,,,8,1,,,,,,,
550,109,18583,3,1,--/1537.76/--,,,,,,,,1,,,,,2,,,,,1,,,,,,,,,,,1,,,,,,,,2,,,,,,,,9,1,,2,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,2,,,,,,13,,,,,,,,,,,1,,,3,,,,,1,,,,,,,,,1,3,,,,1,,2,,,,,1,2,,,,,,54,,,,7,,5,,,,3,1,55,6,325,,1,,,,1,2,,1,,1,1,,1,,,,,,,,,,,9,,,,,3,,,,,,,,21,,,,,,,,
