Sample,Sample name,Site name,Calibrated dates BC (95.4% prob.) Mercuri et al. 2008 Journal of Arid Environments,"Radiocarbon dates (Grandi G.T., Lippi M.M.& Mercuri A.M. 1998. Wadi Teshuinat - Palaeoenvironment and Prehistory in south-western Fezzan (Libyan Sahara) pp.95-106)",Depth (cm),Pollen sum,Trees,shrubs,herbs,Acacia,Rhus,Anacardiaceae undiff.,Acanthaceae,Araliaceae,Artemisia,Cheno-Amaranthaceae,Asclepiadaceae,Celtis,Calligonum,Capparis,Maerua,Capparaceae undiff.,Ficus,Ephedra,Cistaceae,Cassia,Caesalpiniaceae undiff.,Fabaceae undiff.,Moltkiopsis,Rhamnaceae,Salvadora persica,Tamarix,Vitaceae,Zilla cf.,Brassicaceae undiff.,Fagonia,Ziziphus,Myrtus,Cupressus type,Pinus,Quercus deciduous,Quercus ilex,Olea,Pistacia,Fraxinus,Ulmus,Populus,Other woody plants,Ricinus ,Euphorbiaceae undiff.,Paronychia,Caryophyllaceae undiff.,Pulicaria,Cichorieae undiff. ,Asteraceae undiff.,Echium,Trichodesma,Boraginaceae undiff.,Cucurbitaceae,Cyperaceae,Poaceae undiff.,Panicum type,> 40 micron,Hypericum,Lamiaceae,Liliaceae,Lotus,Plantago,Rumex,Zygophyllum,Tribulus,Umbelliferae,Urticaceae,Typha,Potamogeton,Lemna,Juncus,Other herb plants,Concentration (p/g)
3,UA,Uan Amil,,,,100,20,22,58,1.1,0,1.4,0,0,7.3,9.2,0,0,1.1,0.8,0,0,0.3,0,0,0,0.3,0.8,0,0,0.5,15.8,0,0.3,3.3,0,1.6,0,0,0.3,0.5,0,0.3,0,0,0,0,0.5,0,0,11.4,6,4.6,1.4,6.8,1.1,0.3,0.3,0.3,2.4,11.7,0,0,0,0,0,0,0.8,0,0,0.5,0.8,0.5,1.1,0,0,0,4.9,15400
31,UAF-0a,,,,,100,1,1,98,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1.2,0,12.8,0,0,0,0,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1,0,79.9,1.9,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.8,0,0,0,0,1.6,2507075
32,UAF-0b,,,,,99,0,3,96,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0,0,10.8,0,0,0,0.2,0,0,0.5,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.6,0.6,1.6,2.8,73.4,1.4,0,0,1,0.5,0.1,0,0,0.8,0.2,0,0,0,0.2,0,0,0.6,0.1,0,0,0,2,824219
33,UAF-1,,,,,100,2,5,93,0,0.4,0,0,0,1,1,0,0,0,0,0,0.8,1,0.4,0.2,0,0,0.2,0,0,0,0.2,0,0.2,0.2,0,0,0.2,0,0,0.4,0,0,0,0,0,0,0.8,0,0.2,0,0.6,0,11.3,11.3,1.5,0.6,0.4,0,4.2,24,15.7,11.7,0.4,0.4,0.6,0.2,0.4,0,0,0,0,1.5,5,0.2,0.2,0,2.9,60833
34,UAF-2,,,,,101,2,10,89,0,2.8,0,0,0,0.9,2.5,0,0,0,0,0.3,0.6,1.5,0.3,0,0,0,2.5,0.6,0,0,0,0,0.3,0.3,0,0.3,0.3,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0.6,1.2,6.8,14.8,1.2,0.3,0.3,0,9,35.5,1.9,1.9,0,0,0,0.3,0,0,0.3,0.3,0.3,1.9,5.2,0.6,0,0,3.7,1921
35,UAF-3,,,,,101,2,11,88,0.3,7.9,0,0,0,0.4,0.5,0,0.1,0,0.4,0.5,0,0.4,0,0,0,0,0.7,0,0,0,0.1,0,0,0.1,0.4,0,0,0.3,0,0.3,0,0.3,0,0,0,0,0.1,0,0.3,0,0.1,1.5,24.5,7.3,4.8,2.9,0.7,0,7,9.8,5.7,9.7,0.7,0.3,0.1,0.1,0.5,0,0,0,0,7.9,0.8,0,0,0,2.3,186000
36,UAF-4,,,,,100,1,7,92,0,2.8,0,0.1,0,0.5,0.4,0,0,0,0,0.8,0.1,0.3,0,0.3,0,0,1.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1,0,0.1,0,0,0,0.1,0,0.1,0,0.3,0.5,1.3,3.5,8.2,0.9,0.3,0,6.4,15.9,4,6.8,6.1,0.1,0,0.5,0.1,0,0.7,0,0.1,29.5,1.5,0.7,0,0,5.1,135795
37,UAF-5,,,,,100,3,59,38,0.1,5.6,0.2,0,0,42.4,0.2,0,0,0,0.2,0.3,1.1,0,0.2,0,0,0.1,2.5,0,0,0.5,2.4,0,0.1,2.5,4,0,0.1,0,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0,0.8,0,2.4,2.2,0.4,0,0,0,0.1,3.7,2.8,11.3,1,0.2,0.5,0,0,0,0.2,0.1,0,6.1,0.2,0.1,0,0.1,5.3,21983
45,UAF-6,,,,,101,2,8,91,0.4,0,0,0.4,0,2,2.3,0.1,0,0,0.1,0.2,0.7,0,0.1,0.1,0,0.1,0.4,0,0,0,1,0,0.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0.2,0,0.5,0.1,24,21.1,0.1,0,0.4,0,3.2,14.1,2.5,13.9,0,0.1,0,0,0.4,0,1.1,0,0.1,0.5,4.3,0.1,0,0.6,3.3,6274
4,UMH-1,,,,,101,7,29,65,1.4,2.4,0,0,0,0.3,26.7,0,0,2.9,1.1,0.3,0.5,0.2,0.2,0,0,0,0.5,4.8,0.2,0,3.7,0,5,8.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4,11,1,0.3,2.9,0.2,0,0.2,0,0,1.6,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,2.2,47000
28,UMH-10,,,,,101,1,5,95,0.2,0,0,0,0,4.6,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.4,2.1,5.8,0,0,0,0,13.5,14.6,0.2,0,0.4,0,0.2,0,0,0,0,0,0,0.2,53.8,0,0,0,1.3,27500
30,UMH-11,,,,,100,1,4,95,0.4,0,0,0,0,3.6,0,0,0,0,0,0,0.2,0.4,0,0,0,0,0.2,0,0,0,0.2,0,0,0.4,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.6,2.4,3.6,7.7,0,0,1,0,10.5,33.1,0.8,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,33.1,0.6,0,0,0.2,45600
5,UMH-2,,,,,100,11,30,59,1.9,0.6,0,0,0,4.8,24.5,0,0.2,13,1.3,0.6,0,0,0,0,0.2,0,0.6,2.1,0,0,5,0,1.7,1.1,1.1,0.2,0,0,0,0.2,0,0,0,0,0,0,0.4,0,1.5,0.2,6.9,4.6,1.7,7.5,0.2,0,0,0.2,3.4,6.9,1.7,0.2,0,0.2,0,0.2,0.2,0,0,0.2,0,0.4,0,0,0,0,4.2,44000
6,UMH-3,,,,,99,6,42,51,1.3,0.9,0,0,0,3.2,34.2,0,0,3.9,0,0,0,0,0,0.2,0,0.4,0.9,13,0,1.3,3,0,1.7,1.5,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0.4,0,0.2,0.9,3.4,3.6,0.8,7.3,0,0,0,0.2,2.1,5.5,2.1,0.4,0.2,0.8,0,0.2,0,0.4,0,0,0,0.8,0.4,0,0,0,4.7,84400
7,UMH-4,,,,,100,23,14,63,2.5,0.2,0,0,0,5.5,10,0,0,0.2,0.8,0.4,2.2,0.2,0.2,0,0,0.4,0.4,4.3,0,0,18,0,1.4,1.6,0.4,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,2.7,6.1,0.6,3.7,1.4,0,0,0,5.1,19.8,4.7,1,0.2,0.8,0.2,0,0.4,0,1,0.2,0,0.4,0.6,0,0,0,2.3,14700
24,UMH-5,,,,,100,2,76,22,0.3,0.3,0,0,0,71.1,3.4,0,0,0.7,0,0.6,0.9,0,0.1,0,0,0,0,0.3,0.1,0,0.4,0,0,0.7,1.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,1.8,0.9,3.5,0,0,0,0,0.3,8.7,1.3,0.1,0,0,0,0.4,0.1,0,0.1,0,0,0.3,0.3,0,0,0,0.6,19100
25,UMH-6,,,,,100,10,41,49,0,0,0,0,0,37.2,0.6,0,0,0,1.4,0.2,0.2,0,0,0,0,0,1.1,0,0,3,4,0,0,1.3,2.4,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0.6,0,0.3,0.2,1.1,4,0.8,6.4,0.3,0,0,0,9.4,18.5,1.3,0.3,0.3,0,0.2,0.2,0,0,0,0,0.3,0.5,1.3,0,0,0,2.1,24100
26,UMH-8,,,,,101,3,17,81,0.6,0,0,0,0,15.1,0.4,0,0,0,0,0,0.2,0.4,0,0,0.8,0,0.4,0,0,0,1,0,0,1,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0.6,2,0.8,7.8,0,0,0,0,7.7,23,17.5,0.2,0,0.2,0.4,0,0.2,0,0,0,0,0,15.7,0,0.4,0,3.2,28000
27,UMH-9,,,,,101,3,2,96,0,0,0,0,0,1.6,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0.2,0,0,0,0,1.4,0,0.2,0.4,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0.4,0,0,0,0.4,0.8,1.2,4.6,0.2,0,0,0,20.6,14.6,1.8,0,0,0,0.6,0,0,0,0,0,0,0.4,48.6,0,0,0,1,36000
15,UT1,Uan Telocat,3650–3100,4675 + 75,30,100,21,24,55,4.1,0,0,0,0.6,2.1,0.9,0,1.5,0.6,14.7,0.6,3.8,8,0,0,0,0.9,5.6,2.1,0.3,0.3,0,0,0,0,0,0,0,0.3,0,1.5,0,1.2,0,0,0,0,0.6,0,0.3,0,0.3,1.2,0.9,8.3,5.6,0.6,0.6,0,2.4,7.4,0,2.4,3.8,0,1.5,0,0.6,0.6,0,0.3,0,4.7,0,0,0,0,9.1,120000
20,UT2,Uan Telocat,4320–3990,5484 + 75,60,99,13,12,74,0,0.3,0,0,0,0,1,0,0,0,0.9,9.4,0.7,0,0.3,0,0,1.9,27.3,1,0,0.3,0,0,0,1.2,0,0.3,0,0,0,0.3,0,2.3,0,0,0,0,0.7,0,0.2,0,4.2,2.8,2.1,0.7,6.3,4.9,2.1,0,4,7.7,0,4.5,0,1.6,6.3,0,0,0,0,0.2,0.2,0.9,0,0,0,0,3.1,106000
21,UT2a,Uan Telocat,4320–3990,5484 + 75,80,100,25,18,57,1.4,0,0,0,0,0,0.5,0,0,0,9.3,10.2,4.2,3.7,0,0,0,0.5,26.4,0,0,0,0,0,0,0,0,0,0,0.5,0,0.9,0,2.3,0,0,0,0,0.9,0,0,0,0.5,1.4,0,1.4,1.4,0.5,0,0,3.7,14.4,0,4.6,1.4,1.4,0.9,0,0,0,0,0.5,0,1.9,0,0,0,0,5.6,15400
23,UT3,Uan Telocat,4950–4540,6082 + 80,120,100,10,2,88,0,0,0,0,0,0,0,0,0,0,0,2,5.9,2,0,0,0,0,3.9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0,2,0,0,0,0,19.6,15.7,0,27.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,49
38,UTB-1,,,,,99,10,37,52,0,10.7,0,0,0.3,14.5,0.9,0,0,0,0.3,0.3,0.3,0.9,0,0,0,0,0.3,0,0,0.3,2.9,0,0.3,0.6,0,0,0,1.2,3.5,0,0.3,0,0.3,0,0,0,0.3,0,0,0,0,1.2,1.2,4.1,0,0.3,0.3,0,7,9,2,4.6,3.8,0,0.3,0,0,0,6.7,0,0,0.3,13.3,0.3,0,0.3,7.6,8600
43,UTB-10,,,,,100,2,16,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,5.6,0,0,0.5,0,0,22.4,2.6,1.5,0,0,0,0,0,0,15.8,0,0,4.6,43.9,0,0,0,2,2300
44,UTB-11,,,,,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.6,0,0,0,0,6.6,35.5,30.3,13,0,0,0,0,0,0,0,0,0,0,12.4,0,0,0,0.9,29200
46,UTB-14,,,,,100,6,6,88,0,0,0,0,0,0,0,5.9,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,2.9,2.9,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,17.6,2.9,11.8,0,0,0,0,2.9,0,0,0,0,0,23.5,0,0,0,20.6,500
39,UTB-2,,,,,101,9,13,79,0,0,0,0,0,3.8,1.4,0,0,0,5.9,0,0,0.3,0,0,0.2,0.2,0.2,0.9,0,0,4.9,0,0,0.2,0,0,0,0.5,0.5,1.3,0,0,0.2,0,0,0,0.5,0,0.3,0,0.2,2.7,2.5,4.4,0.2,0,0,0,9.2,24.2,0.9,1.4,0.2,0.2,0.2,0,0,0.2,0,0.3,0,0.2,27.8,0.2,0,0.5,3.6,4700
40,UTB-5,,,,,100,10,10,80,0.1,0,0,0,0,1.7,0.2,0,0,0.3,5.4,0,0,0.1,0,0,6.5,1.6,4.6,0.4,0,0.3,0.3,0,0,0.1,0,0,0,0.3,0,0.4,0,0,0,0,0,0,0,0,0,0.1,0,4,0,5.3,1,0,0,0,4.3,40,0.1,0.1,4.3,0.1,0,0,0,0,0.1,0,0,0.8,8.5,0,0,0,8.9,8000
41,UTB-7,,,,,99,1,6,92,0,0,0,0,0,0.5,0.4,0,0,0.4,0.2,0,0,0.4,0,0,0,0,0.5,0.4,0,0,0.7,0,0,0,0,0,0,0.3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,2,0.3,0.8,0,0,0,0,1.9,5.3,0.4,0,0.2,0,0.1,0,0,0,3.8,0,0,0,78.7,0,0,0,2.9,238800
42,UTB-8,,,,,101,1,2,98,0,0,0,0,0,0.9,0,0,0,0,0.9,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.5,0,0,0,0,2.8,22.7,4,8.3,0.3,0,0,0,0,0,0,0,0,0,57.1,0,0,0,0.6,42500
9,UTB-PS0,,,,,100,8,13,79,2.1,2.1,0.3,0,0,1.1,0.3,0,0,3.2,1.1,0.3,0,0,0,0,0.3,0,3.7,0.3,0,0,4,0.3,0.8,3.4,0,0,0,0.3,0,0.3,0,0.3,0,0,0,0,0.8,0,0.5,3.4,0.5,5.3,1.6,2.7,3.7,4.2,1.1,0.6,9.5,6.6,13,12.2,0,0.3,0,1.3,0,0,0.5,0,0,0.5,0,0,0,0,8,205312
