Depth,Radiocarbon years BP,Abies,Acer,Alisma,Alkanna,Alnus,Amaranthaceae,Anemone,Apiaceae,Arceuthobium oxycedri,Artemisia,Asphodelus albus-type,Asteroideae,Azollaspore,Betula,Boraginaceae,Botrychiumspore,Brassica-type,Brassicaceae,Bupleurum-type,Butomus,Buxus,Calystegia,Campanulaceae,Capsella-type,Carpinus betulus,Caryophyllaceae,Castanea,Celtis,Centaurea,Centaurea cyanus-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Cichorioideae,Cirsium/Gundelia,Cladium mariscus,Corylus,Cyperaceae,Cyperus longus-type,Dipsacus-type,Dryopteris-typespore,Ephedra distachya-type,Ephedra fragilis-type,Equisetumspore,Ericaceae,Fabaceae,Fagus,Fallopia convolvulus-type,Filipendula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Gentiana cf. G. pneumonanthe,Gentianaceae,Hedera,Helianthemum,Humulus/Cannabis,Hypericum perforatum-type,Hystrix,Iris pseudacorus,Isoëtesspore,Juglans,Juniperus,Knautia,Lamiaceae,Ligustrum,Liliaceae,Linum,Loranthus,Lotus-type,Lythrum,Lythrum portula-type,Matricaria-type,Monactinus simplexcolony,Myriophyllum spicatum/M. verticillatum,Myrtus,Nuphar,Nymphaea,Olea,Oleaceae,Onobrychis-type,Ophioglossumspore,Ostrya/Carpinus orientalis,Parrotia,Pediastrum boryanum var. divergenscolony,Pediastrum boryanum var. granulatumcolony,Pediastrum duplexcolony,Pediastrum muticum var. scutumcolony,Pediastrum undiff.colony,Pediastrum undulatumcolony,Persicaria maculosa-type,Phillyrea,Picea,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Plantago media-type,Plantago undiff.,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodiumspore,Potamogeton,Potentilla-type,Pseudopediastrum boryanumcolony,Pseudopediastrum boryanum var. longicornecolony,Pseudopediastrum brevicornecolony,Pteridiumspore,Pteridium undiff.spore,Quercus ilex-type,Quercus robur-type,Ranunculaceae,Ranunculus,Ranunculus peltatus-type,Ranunculus repens-type,Rhamnaceae,Rhinanthus-type,Rhus,Rosaceae,Rumex acetosa-type,Rumex hydrolapathum,Salix,Salviniaspore,Salviniamassula,Sambucus nigra-type,Sanguisorba-type,Scabiosa,Scrophularia/Verbascum,Scrophulariaceae,Solanum dulcamara,Sparganium-type,Spergula,Stachys-type,Taxus,Teucrium,Thalictrum,Thelypteris palustrisspore,Thymus/Mentha,Tilia,Trifolium-type,Typha latifolia,Ulmus,Unknown/spore,Unknown (trilete)spore,Urtica,Valeriana,Viburnum-type,Vicia-type,Vitis
260,--/6029/--,11,,,,2,4,,4,,4,,1,,,,,6,,,,,,,,14,,,,,,1,,1,,,21,13,,,22,,,,,,1,,,9,41,4,,,2,,1,,,,3,,,,,,,,,,,,1,2,3,,,9,,,1,,117,,,,,,,2,,13,,29,28,,2,,2,1,1,,132,2,1,,3,,21,10,,5,5,,309,,,,,,2,,2,5,,2,16,,,1,,,,,13,,,,,,14,,6,,3,4,4,,,,,,3
280,--/6754/--,8,,,,4,1,,2,,,,2,,1,,,1,2,,,,,,2,1,2,,,,,,,1,,,11,6,,1,7,,,,1,,,,1,4,13,1,,,,,,,,,,,1,,,,,,,,,,,9,,,,8,,,,,19,,,,4,2,1,,1,2,,15,8,,1,,,,,,85,1,,,,,12,11,,1,,1,238,,,,,,,,,1,,1,,41,,4,,1,,,4,,,,,,18,,13,,,4,3,,,,,,
303,--/7383/--,3,,,,3,5,,5,,9,,1,,,,,,,,,,,,,1,,1,,,,,1,1,,,16,15,1,,13,,,3,,,,,,4,1,2,,,,,,,63,,,1,5,,,,,,,,1,,1,3,,,,14,,,,,10,,,,4,,,1,,,,22,16,,3,,,,,,130,11,,,1,,18,15,,2,,3,276,1,,,,,,,,7,,7,,,,7,,,1,1,10,1,,,,,5,,10,,2,4,10,,2,,,,
320,--/7847/--,4,,,,3,3,,5,,5,,2,,,,,1,,,,,,,,,,,,,,,,3,,1,9,10,,,23,,,,,,1,,,3,7,3,,,,1,,,,,2,,1,,,,,,,,,,1,1,,,,32,1,,,,10,,4,,1,1,,,,2,,16,30,,1,,,,1,,150,5,,,,,,7,,5,,,210,,,,,,,,,13,,2,,4,,4,,3,,,14,,,,,1,,,9,,1,5,4,,1,,,,
340,--/8394/--,9,2,1,,9,24,,9,,14,,9,,6,,,1,5,,,1,,,,1,1,,,,,,,5,1,,16,12,2,,9,1,2,2,1,1,1,1,,8,11,2,,1,3,,1,1,,,,,8,,,,,1,,,,,6,,6,,,15,,,,,5,,,,,,2,,,2,,30,126,,2,,3,,2,,560,16,,,6,,11,48,,2,,1,690,,,,,,,,2,78,2,,,113,,38,,,1,,15,,,,,2,,1,16,,1,15,,,,,,,2
360,--/8940/--,5,2,1,,5,47,,8,,10,,3,,9,,,4,,,,,,1,,2,1,,,,,,1,13,,,8,21,,,11,1,2,,,,1,,,10,2,6,,,,,2,,,,1,,5,,,,1,,,,1,,8,1,4,,,8,,,,,1,,,,10,,,,,,,40,61,,4,,4,2,,,430,18,,,23,,48,64,,5,,4,377,2,,,,,,,,82,2,1,,36,,12,1,,,,7,,,,,3,,,5,,,14,5,,,1,,,
380,--/9487/--,11,3,1,,9,59,,6,,19,,10,,5,,,10,,,,,,,2,2,1,,,,,3,1,16,3,,6,83,,1,2,1,9,,,1,,,,1,6,6,,,,,,,,,,,4,,,,,,,,,,12,,,,,,,,,2,2,,,,7,,2,,19,,,72,6,,2,,,,2,,446,3,,,20,,29,,,1,,,185,2,,,,,,,,36,3,,,45,,2,,,,,19,,,,,2,,2,2,1,,9,10,,,,,,
400,--/10033/--,5,3,1,,1,31,,3,,7,,4,,,,,1,,,,,,,,2,1,,,,1,,2,11,5,,2,4,,,2,5,1,,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,2,,,,,,,,,,,14,2,,,,,,,,87,1,2,,,,13,2,,,,,119,,,,,,,,,3,,,363,,,,,,,,8,,,,,,,,1,,,3,15,,,,,,
402,--/10088/--,10,1,4,,8,46,,7,,13,,13,,6,1,,3,2,,1,,,,,7,1,,,,,,1,24,1,,9,42,,,3,5,2,1,1,,,1,,,,3,,,,,,,166,,3,,4,1,,,,,,,,,,1,4,,,6,,,,,10,,,,3,,,,3,,,36,2,,1,,,,,,186,,2,1,4,,14,4,,,,5,221,,,,,,,,,1,,,,,,3,,,,,46,,,,,1,1,,7,1,1,15,30,,,,,1,
425,--/10716/--,62,4,1,,36,5,,1,,15,,,,2,,,,,,,,,,,74,1,,,,,,,,,,9,4,,,14,,,,3,,8,,,,,,,,1,,,,,,,,1,,,,,,,,,,2,,,,,1,,,,,10,,,,,,,,,,,82,1,,,,,,,,10,,,,,,,,,,,14,194,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,68,53,,,,,,
460,--/45000/--,21,1,,,7,4,,4,,9,,1,,,,,3,,,,,,,2,41,,,1,,,,1,,,2,4,26,,,3,,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,14,,,,,,,,,,,303,,,,,,,,,11,,,,,,,,,2,,7,320,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,14,72,1,,,,,
485,--/45533/--,71,,,,13,8,,,1,12,,,,,,,4,1,,,14,,1,,11,,,3,,,,,,,81,3,14,,,7,1,,,22,,,,,,,,,,2,,,,,,,,16,,,,,,,,,,1,,1,,,,11,2,,,51,12,,,,,,,,,,279,,,2,,,,,,22,,1,2,,,,,,1,,45,270,1,,,,,,,,,,,,,,,,2,,1,3,,,2,,,,,2,,1,28,125,,,,1,,7
500,--/45853/--,30,,,,14,3,,5,,5,,15,,1,,,2,3,,,34,,,,5,,1,3,,,,,4,,44,2,13,,,32,,3,,26,2,,,,2,5,1,,,,,2,,,,,,108,,,,3,,,,,,2,,,,,1,9,,,,46,67,,,,,,,,5,,112,1,,,,6,,,,49,,,,,,,,,2,,20,205,,,,,,,,,1,,2,,,,,,,,,10,,,,,,,,14,,1,44,173,,,,,,10
507,--/46002/--,253,,,,53,1,,,,1,,,,1,,,1,,,,84,,,1,23,,,6,,,,,,,5,2,1,,,19,,,,13,,,,,9,2,1,,,1,,,,,,,,3,,,,,,,,,,1,,,,,,1,,,,71,93,,,,,,,,,,189,,,2,,,,,,8,,,2,,,2,,,,,3,108,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,21,,,7,15,,,,,,5
525,--/46386/--,123,,,,50,5,,,,9,,4,,,,,2,,,,71,,,4,47,,,6,,,,,,,5,2,4,,,17,,2,,11,,,,,10,1,2,,,,,3,,,,,,3,,,,,,,,1,,,,,,,,1,,,,80,65,,,,5,,,,,,128,7,,2,,1,,5,,22,,,,,,1,1,,6,,12,158,,,,,,,,2,2,,1,,,,,,,,,,,5,,1,,,,27,,,33,8,1,,,,,2
545,--/46813/--,247,,,,89,2,,,,1,,,,1,,,,,,,56,,,1,40,,,4,,,,,,1,6,3,2,,,25,,,1,12,,,,,9,4,,,,1,,1,,,,,,2,,1,,,,,,,,,,,1,,,,,1,1,74,54,,,,4,,,,1,,215,8,,,,,,1,,12,,,2,,,3,,,5,,11,188,,,,,,,,,,,,,1,,,,,,,,,,,,,,,25,,1,19,4,,,,,,2
565,--/47240/--,419,,,,3,,,,,,,,,,,,,,,,4,,,,8,,,,,,,,1,,,,7,,,11,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,8,,,,,,,,,,,104,2,,,,,,,,5,,,1,,,,,,1,,,20,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,5,,,2,,1,2,,,,
