Depth,Tinner et al. (2016)Calendar years BP,Lycopodium spikecounted,Lycopodium tabletsconcentration,Lycopodium tabletsquantity added,Sample quantityvolume,Abies,Acer,Agrimonia-type,Ailanthus,Allium-type,Alnus glutinosa-type,Amaranthaceae-type,Amaranthus,Ammi-type,Androsace,Anemone-type,Anthemis-type,Anthoceros laevisspore,Anthriscus sylvestris-type,Apiaceae,Apium-type,Artemisia,Asparagus,Asphodelus albus-type,Aster-type,Asteroideae,Astragalus-type,Athyrium filix-feminaspore,Betula,Boraginaceae,Borago officinalis,Botryococcuscolony,Brassicaceae,Bupleurum-type,Buxus sempervirens,Calendula,Calligonum,Callitriche,Calystegia,Campanula-type,Cannabis sativa,Carduus,Carlina,Carthamus,Castanea sativa,Celtis australis,Centaurea nigra-type,Cerastium-type,Ceratophyllumspine,Cercophora-typespore,Cerinthe,Chaerophyllum-type,Cichorioideae,Cistus,Corrigiola litoralis,Corylus avellana,Cuscuta,Cyclamen hederifolium,Cyperaceae,Cyperus-type,Daphne,Daucus,Diporothecaspore,Echinops,Echium,Ephedra fragilis-type,Erica arborea-type,Eryngium,Eucalyptus,Euphorbia,Euphrasia-type,Fabaceae,Fagus sylvatica,Falcaria-type,Ficus carica,Foeniculum-type,Fraxinus excelsior-type,Fraxinus ornus,Gelasinosporaspore,Genista-type,Geranium,Gladiolus-type,Glomusspore,Gnaphalium-type,Hedera,Heracleum,Hippocrepis-type,Hypericum perforatum-type,Isoëtesspore,Juglans regia,Juncaceae,Juniperus-type,Knautia,Lemnoideae,Liliaceae-type,Linum,Lotus-type,Lygeum spartum,Lysimachia vulgaris-type,Lythrum,Lythrum portula,Mentha-type,Mercurialis annua,Myriophyllum spicatum,Odontites-type,Oenanthe,Olea,Ornithopus,Ostrya-type,Paronychia-type,Pediastrumcolony,Persicaria maculosa-type,Peucedanum-type,Phillyrea,Picea,Pimpinella major-type,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major,Plantago maritima-type,Poaceae,Poaceae (Cerealia),Podospora-typespore,Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton-type,Potentilla-type,Prunus-type,Pteridium aquilinumspore,Pteridophyta (monolete) undiff.spore,Quercus cerris-type,Quercus ilex-type,Quercus pubescens-type,Ranunculus acris-type,Ranunculus sect. Batrachium,Rhus,Rhynchospora,Ricciaspore,Rosa,Rosaceae,Rubiaceae,Rubus,Rumex acetosa-type,Rumex acetosella,Rumex obtusifolius-type,Rumex scutatus-type,Sagina,Salix,Sambucus nigra,Scabiosa,Scandix pecten-veneris-type,Secale,Sedum-type,Senecio-type,Serratula-type,Silene dioica-type,Silenoideae-type,Smyrnium-type,Solanum dulcamara,Sorbus-type,Sparganium-type,Spergula-type,Sporormiellaspore,Thalictrum,Theligonum cynocrambe,Tordylium maximum,Trifolium pratense-type,Trifolium repens-type,Tuberaria,Turgenia latifolia,Typha latifolia-type,Ulmus,Urtica dioica-type,Ustulina deustaspore,Utriculariaspine,Valeriana,Valerianella locusta-type,Vicia-type,Vitis
110,--/730.76/--,192,18583,3,1,,,,,,,4,,,,,,,,1,,7,,,,,1,,,,,93,,,,,,,,,,,,,,,,,73,,,,1,,13,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,1,51,4,,,,,,,,,,24,6,52,1,,,,,,,,,,1,,,,,,,,,,,,,,,2,2,,,1,,,,,,1,,4,,,,,,,,
120,--/802.6/--,280,18583,3,1,,,,,,2,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,292,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,48,,,,,,1,,,1,,2,3,39,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,2,,,2,,,,,,,2,1,1,,,,,,
130,--/868.01/--,143,18583,3,1,,,,,,,2,,,,,,,,11,,6,,1,1,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,1,,,,,8,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,7,,,,,,,,,150,,,,,,,,3,,,,67,2,,,,,38,,,1,,,3,6,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,
140,--/936.64/--,175,18583,3,1,1,,,,,2,2,,,,,2,,,,1,3,,2,1,,,,1,,,16,1,,,,,,,,,,,,,,1,,42,,,,3,,5,,,,41,,,1,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,2,,,,,,,,2,,1,,,,,,2,85,,,,,,,,,2,,,43,5,,,,,26,,,1,1,,2,10,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,2,,
160,--/1082.82/--,390,18583,3,1,,,,,,4,2,,,,,5,,5,,3,5,,,8,,,,1,1,,6,3,,,,,11,,,,5,,,,,,,8,,,9,11,,4,2,,,11,,,1,,,1,,2,,,,,,,1,,,11,2,,,,,,,,,,,,,,4,,,,,,,,,,,,9,,1,,,4,,,,,,,1,1,,1,10,1,2,272,16,,,4,,3,,,11,6,20,5,117,1,4,,,,,1,1,,,5,,,,,,,,,2,,,,4,,1,,37,,,4,,,4,,,,,,,,,,,3,
170,--/1142.51/--,56,18583,3,1,,,,,,1,5,,,,,2,,,14,,1,,2,5,,2,,,,,12,,,,,,,,,,,,,,,,,,,,,18,,38,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,1,,,,1,,,,,,,,,,,,,4,,2,1,,,,1,,,,,,,,,1,2,1,,,73,5,,,2,,18,,,3,,46,9,168,,,,,,,,1,,,,,,,3,,,,,,,,1,,,,,,,15,,,,,,,,,2,,,,,,,
180,--/1222.92/--,57,18583,3,1,,1,,,1,1,1,,,,,5,,1,1,2,,,,4,,,,,,,12,3,,,,,11,,,1,1,,1,,,,,1,,,2,6,,70,2,,,7,,,3,,,,,,,,,,,2,,,,1,,,5,,,,,11,,,,,,,2,,11,,,2,,,1,,2,,6,,,,,1,,1,,,,,,1,,,1,,,82,1,,,1,,,,,2,1,99,9,265,,1,,,,,1,1,,,2,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,99,,,,,,,
190,--/1410.39/--,37,18583,3,1,,,,,,1,7,,,,,14,,,17,,1,,,13,,,,,,,10,6,,,,,,,,,,,,,1,,1,,,,,5,2,61,,,,1,,,,,,,,1,1,,,,1,,,,,,,,,,,,3,,,,,,,,2,,,1,,,,,,,3,,,,,2,,1,,,,,,,,,2,,2,,1,59,2,,,2,,5,,,,,28,4,162,1,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,1,,,,,2,,,,17,,,,,,,
200,--/1629.95/--,30,18583,3,1,,1,,,,3,1,,,1,,9,,1,2,8,3,,,6,,,,1,,,5,,,,,,,,,,1,,1,,,,,,,,2,1,,22,1,1,,1,,,,,,,1,1,,,,,,1,1,,,,,,2,,,,,7,,,1,,,,1,,2,,,,,,1,,,,1,,2,2,,,,,,,,,,,,,,2,,35,,,,3,1,,,,2,4,123,14,289,,1,,,,,,,,,,,,,,,,,,,,,,,6,,,2,,,1,,,,,,,1,43,2,,,,,,
210,--/1837.92/--,24,18583,3,1,,,,,,1,2,,,,,5,,,17,,1,,,4,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,2,2,,,,1,,,,,,,,,,,,,1,,5,2,,11,,,,,,,,,,,,,1,,,45,,,,1,,,,,,,42,8,242,4,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,21,,,,,,,
220,--/2051.18/--,,18583,3,1,,,,,,1,1,,,,,5,,1,1,1,1,,,6,,,1,1,1,,1,3,,,,,3,,,,1,,,,,,,,,,1,4,1,4,2,,,7,,,4,,1,,,3,,,,,,1,,,,,,,4,1,,,,1,,,1,,,,1,,3,,,,,,,,,,2,,1,10,,1,,,,1,1,,,1,,,1,,,32,1,,,,,,,,,7,213,20,260,,4,,,,,1,,,,1,,3,,,,,,,,,1,,,1,,,,,,,,,1,,,,,4,2,,,,,1,
240,--/2472.41/--,109,18583,3,1,,,,,1,4,,,,,1,3,,2,1,2,2,,1,14,,,3,1,,,1,3,,,,,3,,,,2,,,,,,,,,,3,6,,17,1,,,16,,,1,,1,,,1,,,,,,,,,,1,,,1,1,,,,,,,12,,,,3,,,,,,,,2,,,,2,,2,1,,,,,,4,2,,1,,,1,,1,,38,2,,,3,,,,,2,2,141,25,283,,7,,,1,,1,1,,,3,,,,,,,,,2,,,,1,3,1,,,1,,,,,,,,,,,3,,,,,,
250,--/2692.97/--,230,18583,3,1,2,,,,,1,6,,,,,22,2,,19,,1,,9,43,,,,,,,,1,,,,,,,,,,,,,,,,,,,,67,,9,,,,14,,,,,,,,9,,,,,,,,,,,,,,,,,23,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,2,,1,,77,1,,,3,,,,,53,,26,2,76,,,,,2,,3,1,1,,1,,,1,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,
270,--/3112.06/--,377,18583,3,1,,1,,,1,,1,,,,,9,,,11,,3,,6,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,26,1,5,,,,9,,,,,,,,,,,,,,,,,,2,2,,,,,,11,,,,,,,,1,1,,1,,,,,,,1,,,1,2,,,,,,,4,,,,,,,,,,32,1,,,,,,1,,7,,31,3,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
290,--/3497.33/--,406,18583,3,1,,,,,1,,,,,,,12,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,6,,,,6,,,,,,,,1,,,,,,,,,,,1,,,,,,8,,,,,,,,2,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,8,,,,,,,,1,1,,20,2,87,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
300,--/3689.97/--,354,18583,3,1,,,,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,8,,7,,,,4,,,,,,,,,,,,,,,,,,1,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,2,,10,1,58,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
320,--/4075.3/--,511,18583,3,1,,,,,,,,,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,7,,12,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,1,,4,,,4,,15,2,42,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,
399,--/5597.1/--,462,18583,3,1,,1,,,,1,,,,,,22,,,6,,,,2,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,8,2,47,,,,12,,,,,,,,,,,,,2,1,,,,2,3,,,,,,,,,1,1,,,,1,1,,7,,,,1,,,,,1,1,6,,,1,,,,2,,,,,,1,,,,46,,,2,3,,18,,,2,,53,11,160,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,2,2,,,1,,,,1,14,1,,,1,,1,
