Depth,Sample age (C14 BP),Sample age (cal BP),Charcoal>10 µm,Lycopodium spikecounted,Sample quantitymass,Adiantum capillus-venerisspore,Alchemilla,Allium-type,Alnus,Amaranthaceae,Arbutus,Armeria-type,Artemisia,Asphodelus,Asteraceae,Asteroideae,Astragalus-type,Berberis,Betula,Botryococcusspore,Brassicaceae,Bryophyta (trilete)spore,Bupleurum,Caryophyllaceae,Centaurea nigra-type,Cheilanthesspore,Cichorioideae,Cistus,Closteriumfilament/cell,Corylus,Crassulaceae,Cyperaceae,Daphne,Ephedra fragilis-type,Ephedra major subsp. major,Erica arborea,Erodium,Fabaceae,Fallopia convolvulus/F. dumetorum,Fraxinus angustifolia-type,Fungispore,Fungi undiff.spore,Gelasinosporaspore,Genista-type,Helianthemum,Helleborus foetidus,Hypecoum,Indeterminable (unknown)/spore,Juglans regia,Juncus,Juniperus-type,Lamiaceae,Lamiaceae (hexacolpate),Lamiaceae (tricolpate),Liliaceae,Mougeotiaspore,Olea,Ononis-type,Papaver,Paronychia-type,Pedicularis,Phillyrea,Pinus nigra-type,Pinus pinaster,Pistacia,Plantago lanceolata-type,Poaceae,Poaceae (Cerealia),Polyadosporitesspore,Polygala,Polypodiumspore,Primula,Prunus-type,Pseudoschizaeapalynomorph,Pteridium aquilinumspore,Pteridophyta (monolete)spore,Quercus (deciduous),Quercus (evergreen),Rhamnus,Riccia cf. R. sorocarpa (type 165spore,Rubiaceae,Salix,Scabiosa,Sideritis,Spirogyra (psilate)filament/cell,Spirogyra (type 132filament/cell,Taxus,Teucrium,Thalictrum,Typha angustifolia,Ulmus,Unknown (type 128palynomorph,Vitis,Zygnemafilament/cell,Zygnemataceaefilament/cell
8,--/782.7273/--,--/743.7/--,169,32,50,,,,,6,,,11,,32,11,,6,1,3,,23,,13,8,,21,,,,,12,,4,,11,,,138,56,,36,,18,,,6,21,,,1,10,1,3,,,,2,1,,1,,120,10,2,7,36,3,20,,,,8,,,1,4,16,1,1,1,2,1,,1,,,6,1,,2,48,3,40,49
36,--/2555/--,--/2590/--,59,28,31,,,,,6,,,21,,26,16,,,,,6,14,,2,,,10,2,,,,6,,,,,,,46,,3,,,,,,,4,,,2,,,,,,,,,,,,138,4,,,21,,,,,,,,,,1,3,2,2,,,,,13,8,,,,,,10,,35,52
82,--/3326.835/--,--/3634.8/--,25,77,26,,,,,12,,,41,,49,46,,,,2,,2,,1,,,3,,3,,,,,,12,,,,11,,,,,,1,,,12,,,36,9,1,8,1,,,,,,,,29,1,,,151,,,,,,,,,,,,,8,1,,2,,,4,,,,,,12,,,
124,--/8170/--,--/9131.5/--,99,128,41,,,,,12,,,26,,22,4,,,,6,,1,,,,,18,,19,,,,,,7,2,,,2,,,1,,,,,,19,,,9,7,1,6,3,,,,,,,,28,,,,56,,,,,,,,,,,,,11,,,,,,,,,,,,56,,1,1
28,--/2155/--,--/2061/--,80,32,31,,,1,1,13,1,,13,1,19,8,,,1,,1,11,1,5,,,11,,,2,,14,,2,,20,1,,50,12,7,,,,,,,11,,,7,13,6,4,,1,,1,,,,,223,6,2,,51,,29,,,,3,,,12,13,49,,,,,1,1,41,,1,2,1,,,62,,100,171
54,--/2894.43/--,--/3087.6/--,97,73,35,,,,,3,,,23,,56,44,,,,,1,11,,1,,,12,,,,,,,,1,,,,21,,,,,,11,,,3,,,7,6,2,3,1,,,,,,,,39,,,,128,,,,,,,,,,1,,,7,1,,,1,,29,,,,,,12,,1,1
88,--/3506.75/--,--/3746.9/--,22,46,25,,,,,1,,,,,3,3,,,,,,1,,,,,,,,,,,,,,,,,35,4,,,,,,,,7,,,8,,,,,,,,,,,,146,,,,36,,,,8,,,,,,,,,12,,,2,,,,,,,,,86,,1,1
112,--/6903.333/--,--/7082.4/--,144,152,19,,,,,,,1,,,28,4,,,,26,,4,,,,,24,,1,,,,,,,,,,18,8,,8,,,,,6,8,,,26,1,,1,,,,,,,,,162,1,,,69,,,,1,,,,,,11,,,36,,,,,,,,,,,,81,,9,9
14,--/1098.696/--,--/1040.3/--,109,41,47,,,,,13,,,14,,65,27,,,,2,5,21,,2,,,38,,2,,,,,,,1,,,55,2,,2,,,2,,,11,,,30,2,,2,,,,,,1,,,89,,,,130,,,,,,,,,,,,,1,,,1,,,,,,,,,30,,,1
18,--/1345.652/--,--/1253.6/--,62,36,20,,,,,12,,,18,,57,26,,,,6,,15,,,,,31,,,,,,,3,,,,,34,,2,2,,,,,,9,,,31,,,,,,,,,,,,104,,,,86,,2,,,,,,,18,3,2,,1,,,2,,,1,,,,,,89,,,
34,--/2455/--,--/2510.5/--,89,46,28,,,,,,,,5,,14,10,,,,,21,11,,3,,,4,,,,,18,,,,8,,1,50,5,7,,,,2,,,9,,,3,,,,,,,3,,,,,221,12,,,16,,7,,,,,,,,6,3,,14,1,,1,,,,,,,1,,73,,42,49
58,--/2956.203/--,--/3164.9/--,44,65,48,1,,,,15,,,29,,14,12,,,,,1,12,,,,,2,,,,,,,,8,,,,17,2,,,,,1,,,5,,,9,1,1,,1,,,,,,,,32,,,,71,,,,,,,,,3,,,,5,,,,,,7,,,1,,,14,,,
74,--/3203.291/--,--/3483.1/--,86,28,42,,,,,4,,,17,,33,27,,,,2,3,8,,6,,,6,,3,,,,,,7,,,,17,,,,,,,,,4,,,10,2,,2,,,,,,2,,,36,2,,,116,,,,,,,,,,,,,8,,,2,,2,,,,,,,53,,4,7
90,--/3750.25/--,--/3783.2/--,135,47,30,,,,,2,,,,,8,,,,,,,2,,,,1,8,,,,,,,,,,,,125,12,,11,,,,,,7,,,8,2,2,,,,,,,,,,70,,,,34,,10,,,,,,,,3,,,21,,,,,,1,,,,1,,44,,16,16
96,--/4480.75/--,--/4337.7/--,13,46,21,,,,,6,,,1,,21,,,,,8,,6,,2,,,21,,,,,,,,,,,,49,2,,14,,,,,,12,,,9,,,,,,,,,,,,125,7,,,42,,7,1,,,,,,,10,1,,1,,,,,,,,,,,,18,,,15
20,--/1469.13/--,--/1364.3/--,113,24,43,,,,,5,,,21,,39,16,,,,2,6,4,,16,,,23,,,,,6,,1,,8,,,30,8,2,2,,,,,,17,,,26,3,2,1,,,,,,,,,142,,,,122,,,,,,,,,11,17,11,2,,,,,,1,15,,,,1,,25,,11,14
44,--/2740/--,--/2876.9/--,39,38,35,,,,,12,,,41,,15,12,,,,2,2,7,,,,,3,,,,,,2,,2,,,,19,,,,,,3,,,9,,,15,4,3,1,,,,,,1,,,25,,,,103,,,,,,,,,2,,,,22,1,,1,,,2,,,,,,79,,,
80,--/3295.949/--,--/3597.1/--,120,37,23,,,,,12,,,36,,49,42,,,,,3,1,,4,,,7,,,,,,,,,,,,5,,,3,,,,,,13,,,9,4,1,3,3,,,,,,,,26,3,,,110,,,,,,,,,,,,,20,,,1,,,,,,,,,76,,6,6
116,--/7770/--,--/7965/--,151,59,17,,,,,4,,,5,,12,10,,,,18,,1,,,,,2,,3,,,,,,,,,,72,10,,3,,,,,,16,,,11,,,,,,,,,1,,,168,2,,,48,,,,,,,,,,7,4,,30,,,2,,,,,,,,,73,,27,33
10,--/851.7391/--,--/840.3/--,54,38,34,,,1,,3,,1,32,,24,7,,1,,,,1,,,,,17,,2,,,,1,1,,,,,78,,2,2,,,,,1,4,,,18,,,,,,,,,,,,103,4,,,93,,3,,,,,,,1,1,2,,,,1,,,,6,,,,,,13,,18,18
40,--/2672.308/--,--/2744.5/--,71,44,38,,,,,14,,,23,,22,16,,,,,2,11,,1,,,6,,,,,,,,,,,,,,,,,,1,,,6,,,5,,,,,,,,,,,,51,,,,99,,1,,,,,,,,,,,,,,1,,,,,,,,,80,,,
84,--/3356.667/--,--/3672.9/--,90,38,31,,,,,16,,,56,,62,55,,,,1,,3,,2,,,7,,,,,,,,16,,,,3,,,,,,,,,17,,,7,9,3,6,,,,,,,,,28,,,,169,,,,,,,,,5,,,,10,,,,,,,,,,,,102,,7,7
118,--/7870/--,--/8396.8/--,87,95,20,,,,,11,,,70,,23,14,,,,17,,2,,,,,9,,21,,,,,,21,,,,,3,,,,,,,,8,,,6,5,1,4,,,,,,,,,48,,,,228,,,,,,,,,,,,,25,,,,,,,,,,,,57,,4,4
1,--/--/--,--/97.8/--,135,14,37,,2,,,20,,2,10,,25,9,1,2,,3,13,4,2,1,10,,16,,,,1,10,,3,,,,,116,63,,17,1,18,10,3,,3,1,6,1,16,3,11,,3,,4,,,,,272,13,,16,17,,20,1,,,10,,,,17,11,13,,,2,2,1,10,,,1,3,3,6,89,1,45,74
32,--/2355/--,--/2425.5/--,91,32,44,,,,,4,,,16,,11,7,,,,,7,12,,1,,,4,,,,,8,,6,,6,,,103,6,1,,,,,,,4,,1,3,,,,,,,,,1,,,234,13,,,19,,6,,,,,,,4,2,3,3,15,,,,,8,16,,,,1,,,,20,36
70,--/3141.519/--,--/3404.4/--,53,29,18,,,,,6,,,28,,39,36,,,,2,4,9,,2,,,3,,13,,,3,1,,4,,,,8,,,,,,,,,6,,,32,20,3,17,1,,,,,,,,71,,,,105,,,,,,,2,,,2,,,8,,,,,,8,,,,,,18,,2,2
108,--/6036.667/--,--/6230.2/--,19,78,16,,,,,12,,,13,,,,,,,29,,2,,11,,,,,3,,,,,,,4,,,49,,,7,2,,,,,10,,,,,,,,,,,,,,,96,3,,,21,,14,,,,,,,,18,,,28,,,,,,,,,,,,89,,9,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,,,,,,29,,,
