,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,440.0,8143.147,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,470.0,8318.383,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,490.0,8435.206,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,500.0,8493.617,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,510.0,8552.029,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,520.0,8610.441,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,540.0,8727.265,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,570.0,8902.5,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,590.0,9046.346,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,600.0,9118.27,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,610.0,9190.192,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,630.0,9334.038,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,640.0,9405.962,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,650.0,9477.885,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,660.0,9549.808,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,670.0,9621.73,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,690.0,9765.577,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,710.0,9869.5,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,740.0,9965.5,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,770.0,10061.5,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,780.0,10093.5,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
