Depth,EPDRadiocarbon years BP,FossilvaRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Abies,Abutilon,Acer,Acorus calamus,Adonis,Alisma,Allium,Alnus,Amaranthaceae,Apiaceae,Aquilegia-type,Armeria/Limonium,Artemisia herba-alba-type,Artemisia vulgaris-type,Asphodelus albus-type,Asteroideae,Azollaspore,Betula,Boraginaceae,Botrychiumspore,Brassica-type,Brassicaceae,Bupleurum-type,Butomus umbellatus,Buxus,Calligonum,Caltha,Campanula-type,Capsella-type,Carpinus betulus,Caryophyllaceae,Castanea,Centaurea cyanus-type,Centaurea jacea-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Centaurea undiff.,Cichorioideae,Cirsium/Gundelia,Cistaceae,Cistus,Cladium mariscus,Clematis-type,Colchicum,Convolvulus,Cornus,Corylus,Crataegus-type,Cyperaceae,Delphinium-type,Dipsacoideae,Dipsacus-type,Dryopteris-typespore,Echinops,Ephedra distachya-type,Ephedra fragilis-type,Epilobium,Equisetumspore,Ericaceae,Erodium,Euphorbia,Fabaceae,Fagus,Fallopia convolvulus-type,Filipendula,Fraxinus,Fraxinus excelsior,Fraxinus ornus,Galium-type,Genista-type,Geraniaceae,Geranium,Geum-type,Hedera,Helianthemum,Helleborus,Herniaria-type,Hippophaë,Hippuris,Humulus/Cannabis,Hypericum perforatum-type,Ilex,Isoëtesspore,Juglans,Juniperus,Juniperus sabina,Knautia,Lamiaceae,Lemna,Leontice leontopetalum,Liliaceae,Linum,Lonicera,Lotus-type,Lysimachia,Lythrum,Malva,Matricaria-type,Matthiola,Menyanthes trifoliata,Mercurialis,Monactinus simplexcolony,Muscari,Myosotis,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Nigella,Noaea-type,Nuphar,Nymphaea,Nymphoides,Olea,Oleaceae,Onobrychis-type,Ophioglossumspore,Ostrya/Carpinus orientalis,Paliurus,Papaver,Pediastrum divergenscolony,Pediastrum duplexcolony,Pediastrum longicornecolony,Persicaria amphibia,Persicaria maculosa-type,Phillyrea angustifolia,Picea,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Plantago media-type,Plantago undiff.,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Pseudopediastrum boryanumcolony,Pseudopediastrum brevicornecolony,Pseudopediastrum kawraiskyicolony,Pteridiumspore,Quercus ilex,Quercus robur-type,Ranunculaceae,Ranunculus,Ranunculus acris,Ranunculus circinatus,Ranunculus repens-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Rhamnaceae,Rhinanthus-type,Rhus,Rosaceae,Rumex acetosa-type,Rumex hydrolapathum,Rumex patientia var. kurdicus,Sagittaria,Salix,Salviniaspore,Sambucus nigra-type,Saxifraga oppositifolia,Saxifraga rotundifolia,Scabiosa,Scilla-type,Scorzonera-type,Scrophularia/Verbascum,Senecio-type,Solanum dulcamara,Sparganium-type,Spergularia-type,Sphagnumspore,Stachys-type,Stratiotes,Succisa,Symphytum-type,Taxus,Teucrium,Thalictrum,Thelypteris palustrisspore,Thymus/Mentha,Tilia,Trifolium pratense,Trifolium-type,Typha latifolia,Ulmus,Unknown/spore,Urtica,Utricularia,Valeriana,Viburnum-type,Vicia-type,Viscum,Vitis,Xanthium,cf. Lycopodiumspore
820,--/34554/--,--/34543/--,40190/38867/37686,44,,1,,,,,5,5,1,,,26,2,,2,,,,,2,,,,,,,,,61,1,,,,,2,,1,,,,,,,,,13,,4,,,,2,1,,,,,,,,,29,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,13,,,,,,,,,,2,,,,8,2,,1,,,131,,,1,,,,2,,53,4,,,,,,,38,,14,,,102,,,,,1,,1,,,,,4,,,,,,,,,,,,,,,3,,,,,,,,,1,,,1,,,,5,,,,,,,,,,
830,--/34997/--,--/34988/--,40706/39358/38154,73,,2,1,,,,2,18,2,,,53,,,4,,3,,,5,,,,,,,,,24,1,,,,,3,,1,,,,,,,,,12,,46,,,,3,,,3,,1,,,1,,11,,,,,,1,,,,,,2,,,,,1,,,,,,,,,,,1,,,,,1,,5,,,,,,,2,25,,,,4,,,,,,2,,,,39,11,,,,,312,,,,,1,,1,,112,2,,,,,1,,61,,109,,,186,,,,,4,,,,,,,1,,,,,,,,,,,,,1,,13,,,,,,,,,1,,,1,,,,7,3,,,,,,,,,
840,--/35441/--,--/35433/--,41222/39848/38623,134,,4,,,,,2,10,,,,21,1,,1,,1,,,6,,,,,,,,,20,,,,,1,,,,,,,,,,,,8,,13,,,,4,,1,,,,,,,,14,1,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,10,,,,2,,,,,,3,,,,37,7,2,1,,,303,,,,,,,,,59,2,1,,,,,,49,,83,,,81,1,,,,,,,,,,,2,,,,1,,,,,,,,,,,3,,,,,,,,,1,,,,,,,1,,,,,,,,,,
850,--/35885/--,--/35879/--,41738/40339/39091,72,,1,,,,,2,5,1,,,9,,,,,,,,1,,,,,,,,,110,3,,,,,1,,,,,,1,,,,,16,,2,,,,2,,4,5,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,3,,,,2,2,,4,,,192,,,,,3,,,,16,3,,,,,,,35,,12,,,92,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,1,,1,,,,13,,,,,,,,,,
865,--/36551/--,--/36547/--,42512/41076/39793,154,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,37,,,,,,,,,2,,,,,,,,4,,3,,,,1,,,2,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,31,12,,,,,219,,,,,,,,,2,,1,,,,,,18,,46,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,
880,--/37216/--,--/37215/--,43286/41812/40496,139,,1,,,,,1,1,,,,9,,,,,,,,,,,,,,,,,55,,,,,,,,,1,,1,,,,,,4,,,,,,1,,,1,,,,,,,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,13,,,,,238,,,,,,,,,9,2,,,,,,,16,,,,,49,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,6,,,,,,,,,,
890,--/37660/--,--/37660/--,43801/42303/40963,125,,,,,,,2,3,,,,9,,,2,,1,,,,,,,,,,,,77,1,,,,,2,,,,,,,,,,,19,,6,,,,,,1,3,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,5,4,,,,,157,,,1,,,,,,22,1,,,,,,,4,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,,,,,,,,,
900,--/38104/--,--/38105/--,44316/42794/41429,29,,4,,,1,,7,23,2,,,56,1,,4,,2,,,1,,,,,,,,1,71,4,,,,,,,6,,,,,,,,,22,,13,,,,3,,,3,,,,,,,10,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,1,,,,7,8,,1,,,224,,,,,,,9,,64,5,2,,,1,,,11,,,,,322,1,,,,,,,,1,,1,5,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,15,3,,,,,,,,,
910,--/38548/--,--/38551/--,44832/43285/41897,10,,2,,,,,4,9,3,,,33,,,,,1,,,,,,,,,,,,51,4,,,,,3,,2,2,,,,,,,,26,1,,,,,1,,1,5,,,,,,,6,,,,,1,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,7,,,,,4,,,,,113,1,,,,1,,,,34,,1,,,,,,3,,,,,212,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,21,,,,,,,,,,
920,--/38991/--,--/38996/--,45348/43776/42365,38,,12,,,1,,12,50,6,,,167,3,,9,,5,,,1,,1,,1,,,,5,141,11,,,,,4,,17,,,,,,,,1,104,,20,,,,4,,2,10,,,,,,,15,,,,1,3,1,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,7,,,,1,9,,,2,,393,2,,2,,,,6,1,196,12,2,,,1,1,,34,,,,1,979,2,,,,,1,1,,,,,13,,,,1,,,,,1,,,,,,4,,,,,,,,,1,5,,8,,,,67,9,,,,,,1,,,
930,--/39435/--,--/39441/--,45863/44267/42832,6,,5,,,1,,9,28,3,,,68,,,4,,4,,,,3,,,,,,,,31,6,,,,,8,,3,,,,1,,,,,51,,15,,,,7,,3,14,,2,,,,,7,,,,,4,1,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,1,8,,4,,,141,,,2,,4,1,,,81,11,1,,,,,,4,,,,1,460,,,,,1,,1,,,,,2,,,,1,,,,,,,,,,,3,,,,,1,,,,2,,,,,,3,28,4,,,,,,,,,
