Depth,Giesecke et al. 2014 (MADCAP)Calendar years BP,EPD uncalibratedRadiocarbon years BP,EPD calibratedCalendar years BP,Eucalyptus spike,Eucalyptus suspensionquantity added,Eucalyptus suspensionconcentration,Abies,Acer,Allium-type,Alnus,Amaranthaceae,Anthemis-type,Apiaceae,Armeria maritima (type B),Artemisia,Asphodelus-type,Betula,Boraginaceae,Botrychiumspore,Brassicaceae,Bryophyta undiff.spore,Buxus,Campanulaceae,Cannabaceae,Carpinus betulus,Caryophyllaceae,Castanea,Centaurea cf. C. cyanus-type,Centaurea cf. C. nigra-type,Centaurea cf. C. scabiosa-type,Cichorioideae,Cirsium-type,Cladium mariscus,Cornaceae,Cornus,Corylus,Cyperaceae,Echium-type,Ephedra distachya,Ephedra fragilis-type,Equisetumspore,Ericales,Euonymus europaeus,Fabaceae,Fagus,Filipendula,Fraxinus excelsior-type,Fraxinus ornus,Galium-type,Geranium,Hedera,Helianthemum-type,Hippophaë,Ilex,Indeterminable/spore,Juglans,Juniperus-type,Larix,Liliaceae-type,Malvaceae,Mentha-type,Menyanthes trifoliata,Myriophyllum alterniflorum,Myriophyllum spicatum,Myriophyllum verticillatum,Nuphar,Nymphaea,Ornithogalum-type,Ostrya-type,Oxyria-type,Papaveraceae,Phillyrea,Picea,Pinus,Pistacia,Plantago,Plantago coronopus-type,Plantago lanceolata-type,Plantago major/P. media,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonaceae,Polypodiumspore,Populus,Potamogeton,Potentilla,Poterium sanguisorba,Primulaceae,Pteridiumspore,Quercus ilex,Quercus undiff.,Ranunculus-type,Resedaceae,Rhamnaceae,Rosaceae,Rumex,Salix,Sambucus,Saxifragaceae,Scrophulariaceae,Serratula-type,Solidago-type,Taxus,Thalictrum,Tilia,Typha angustifolia-type,Typha latifolia,Ulmus,Unknown/spore,Unknown (monolete)spore,Unknown (trilete)spore,Urtica-type,Valerianoideae,Viburnum,Vicia-type,Vitis,cf. Acorus,cf. Alchemilla,cf. Armeria (type A),cf. Baldellia,cf. Cedrus,cf. Centaurium,cf. Daphne,cf. Epilobium,cf. Euphorbia,cf. Hypericum,cf. Lonicera,cf. Myrtus,cf. Olea,cf. Persicaria amphibia,cf. Polygonum,cf. Succisa,cf. Viscum
124,1610/1586/1564,--/1895/--,--/1852/--,,,,1,1,,45,1,,2,,,,1,,,,,,,1,32,,,,,,,,1,,,8,,,,,,,,,69,,,3,,,,,,,,1,,,,,,,,,,,1,,47,,,3,,,4,,,2,1,,23,3,,,,1,,,,6,15,85,,,,3,1,,,,,,,1,,,,,2,4,2,,,,,,,,,,,,,,,,,,,10,,,,
134,1776/1752/1729,--/1948/--,--/1909/--,155,,,,2,,33,2,1,,,,,3,,,,,,,,15,1,3,,1,,,,,,,5,2,,,,,,,1,87,,4,,,,,,,,,,1,,,,,,,,,,2,,29,,,,,,,2,,,,,22,1,,,,,,,,,,124,,,,,2,,,,,,1,,,,,,3,,,2,1,,,,,,,,,,,,,,,,,3,,,,1
154,1945/1910/1872,--/2089/--,--/2047/--,38,,,,2,,47,,,2,,1,,1,,,,,,,,67,,1,,,,,,1,,,12,,,,,,1,,,48,,,4,,,,,,,2,,3,,,,,,,,,,1,,68,,,8,,,8,,,4,,,7,1,,,1,,,,,,13,95,,,,,,,,,,,,,,,,,4,1,,2,,,,,,,,,,,,,,,,,,4,,,,
178,2136/2106/2075,--/2425/--,--/2419/--,151,,,,,,60,,,,,2,,3,,,,,,,,21,,,,,,,,,,,10,6,,,,,1,,,21,,3,,,,,,,,,,9,,,,,,,,,,,,30,,,8,,1,,2,,,,,31,,,,,,1,,,,,204,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,9,,,,
184,2218/2185/2153,--/2452/--,--/2478/--,122,,,,1,,54,1,,1,,2,,2,,,1,,,,1,39,,,,1,,,,2,,,16,4,,,,,2,,,37,,1,3,,,,,,,5,2,1,,,,,,,,,,2,,52,,,3,,,1,3,,2,1,,17,,,,1,,,1,,2,9,172,1,,,1,,,,,1,,,1,1,,,,2,3,1,,,,,,,,,,,,,,,,,,,1,,,,
194,2391/2354/2316,--/2502/--,--/2520/--,132,,,,2,,100,2,,1,,,,2,,,,,,,,41,,,,1,,,,2,,,9,4,,,,,1,,,15,1,1,1,,,,,,,3,3,1,,,,,,,,,,1,,37,,,2,,1,,,,2,,,19,1,,,,,,,,3,20,124,,,,3,1,,,,,,,,,,1,,3,,2,,,,,,,,,,,,,,,,,1,,,,,,
218,2603/2566/2529,--/2811/--,--/2898/--,,2,59600,,,,69,,1,,,2,,4,,,2,,,,,38,,3,,,,1,,,2,2,20,1,,,,,2,,,27,,1,,,,2,,,,,,,,,,1,,,,,1,2,,17,3,,,,,,2,1,,1,,33,,,,,,,,,1,6,117,1,,,,8,3,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,6,,,,
223,2699/2648/2595,--/2870/--,--/2981/--,76,,,4,1,,69,,,,,1,,,,,,,1,,,28,,,,2,,,,2,,,23,3,,,,,2,,,33,,,2,,,1,,,1,3,,2,,,,,,,,,,3,,41,,,,,3,1,,,3,,,28,4,,,,,,,,2,13,105,,,,,2,1,,,,,,4,,,,,3,1,1,,,,,,1,,,,,,,,,,,,,3,,,,
243,3018/2981/2942,--/3081/--,--/3314/--,32,,,6,,,72,,,,,1,,1,,,,,,,1,68,,,,,,1,,1,,,61,,,,,,2,,1,24,,1,,,,2,,,2,1,,1,,,,,,,,,,3,,48,,,,,1,2,,,2,1,2,10,1,,,,,,,,2,11,58,,,,1,2,2,,,1,,,2,,,1,,2,1,1,,,,,,1,,,,,,,,,,,,,1,,,,
263,3363/3314/3266,--/3366/--,--/3608/--,,,,36,1,,52,,,,,1,,,,,,,,,1,58,3,,,1,,,,,,,27,,,,,,1,,1,29,,3,4,2,,4,,,1,,,1,,,,1,,,,,,5,,66,,,10,,1,1,1,,3,,,25,2,,,,,,,,,30,26,,,,1,,,,,,,1,19,,,,,11,,,,,,,,,,,,,,,,,,,,,1,,,,
273,3515/3456/3395,--/3492/--,--/3756/--,17,,,25,,,86,2,,,,1,,1,,,,,,,,27,,,,,,,,,,,11,1,,,,,1,,2,20,,2,5,,,4,,,,,,,,,,,,,,,,3,1,47,,,5,,1,1,,,2,,,13,,,,,,,,,1,10,65,,,,1,,,,,,,,24,,,2,,27,2,1,,,,,,1,,,,,,,,,,,,,,,,,
313,4076/4018/3959,--/3808/--,--/4198/--,37,,,24,,,47,3,,2,,,,,,,,,,,,29,1,1,,,,,,,,,10,,,,,,1,,,10,1,1,,1,,4,,,,2,,1,,,,,,,,,,,,67,,,16,,1,1,1,,,3,,16,,,,,2,,,,2,14,106,1,,,3,,,,,,,,13,,1,,,13,,,,,,,,1,,,,,,,,,,,,,1,,,,
318,4108/4050/3991,--/3831/--,--/4246/--,,2,59600,9,2,,25,2,,4,,1,,2,,,,,,,,21,,1,,,1,1,,,,,27,1,,,,,1,,1,6,,12,,,,,,,,,,4,,,,,,,,,,3,1,36,,,,,3,1,,,5,,,9,,,,,,,,,,27,125,,,,,,,,,,,1,7,1,,,,9,,,,1,,,,,,,,,,,,,,,,,3,,,,
418,5432/5335/5239,--/4875/--,--/5631/--,18,2,59600,6,2,,82,1,,1,,,,6,,,,,,,,15,,,,,,,,,6,,39,1,,,,,,,1,5,,3,,,,1,,,,,,,,,,1,,,,,,,,37,2,,,,6,,4,,1,,,15,,,,,,,,,,,94,1,,,,,1,,,,,,,,,,,4,,,1,,,,,4,,,,,,,,,,,,,6,,,,
513.5,6928/6804/6676,--/6208/--,--/7092/--,101,2,59600,26,,,62,2,,2,,,,,,,,,,,,17,,,,,,1,,,,,11,1,,,,,1,,1,17,,11,,,,2,,1,,,,,,,,,,,,,3,1,,27,,,,,1,,,,1,,,16,,,,,,,,,,,205,1,,1,,,1,,,,,1,,,,,,6,,3,,,,,,,,,,,,,,,,,,,,,,,
622,9197/9063/8933,--/8384/--,--/9411/--,143,2,59600,1,,,35,3,,5,,1,,,,,,,,,,6,,,,,,1,1,,,,41,1,,,,,,,1,14,,14,,,,2,,,,,,1,,,,,,,,,1,2,,45,,,,,,,,,1,,,17,,,,,2,,,,,,269,,,1,,1,,5,,,,,,,5,,,5,,,,,,,,4,,,,,,,,,,,,,13,,,,
724.5,11147/10984/10813,--/10016/--,--/11440/--,113,2,59600,,2,,2,9,,7,,,,4,,,,,,,,,,,,,,,,,,,14,2,,,,,1,,2,14,,15,,,,3,,,,1,,1,,,,,,,,,,,,,,,,,4,,1,,,,,39,,,,,,,,,,,273,1,,,2,5,6,,,,,,,,2,1,,18,,4,,,,,,3,,,,,,1,,,,,,,,,,,
741,11520/11344/11170,--/10144/--,--/11737/--,38,,61666,,,,,2,,2,,5,,4,,,9,3,,,,,,1,,,,1,,,2,,1,8,,,,,,,1,6,2,9,,1,,3,,,,,,3,,,,,,,,,,,,,,,,,5,,2,,,,,62,,,,1,,,1,1,,,207,,,,,7,2,7,3,,,1,,1,5,,,4,,,1,,,,,,,,,,,,,,,,,,2,,,,
746.5,11754/11504/11288,--/10265/--,--/11824/--,89,1,73000,,,,,3,,4,,3,,8,1,,5,,,,,,,,,,,2,,,,,,1,1,1,1,,,,,3,,5,,1,,2,,,,1,,1,,,,,,,,,,,,6,,,1,,6,,,,,,,75,,,,5,,,,,1,,174,,,,,9,9,2,,,,,,2,13,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
752.5,11887/11653/11423,--/10268/--,--/11968/--,149,1,73000,,1,,1,4,,2,,6,,11,1,,2,,1,,,,2,,,,,1,,,,,,4,1,,,,,,,2,,7,,1,,,,,,4,,4,,1,,,,,,,,,,,,,1,,6,,,,,,,62,,,,3,,,1,,,,186,,,,,5,,10,,,,1,,1,3,6,,11,,,1,,,,,,,,,,,,,,1,,,,,,,,
757,11878/11668/11460,--/10277/--,--/12081/--,74,,70200,,,,2,5,,5,,4,,8,1,,6,,,,,2,2,1,,,,3,,,1,,1,9,,,1,,,,1,4,,5,,,,2,,1,,3,,,,,,,,,,,,,,1,,,1,,3,,,,,,,77,,,,2,1,1,,,,,170,2,,,,11,3,1,1,,,,,2,6,,,8,,,1,,,2,,,,,,,,,,,2,,,,,,,,
762,11933/11755/11581,--/10348/--,--/12169/--,127,1,73000,,,,3,5,,2,,7,,21,,,1,,,,,,,,,1,2,2,,,,,1,5,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,,,,2,,,1,,5,,2,,,,,82,,,,1,,,,,,,192,,,,,9,6,2,,,,,1,,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,
766,11985/11812/11633,--/10359/--,--/12180/--,154,1,73000,,1,,3,5,3,2,,26,,28,,,1,,,,,,,,,,2,2,,,,,1,2,,1,,,1,,,2,,2,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,13,,1,,,,,94,,,,2,,,,,,,197,,,,,5,2,5,,,,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,12080/11908/11728,--/10362/--,--/12190/--,207,1,73000,,,,2,4,1,6,,29,,37,,,1,,,,1,,2,,1,1,,1,,,,,,,,1,,,,,,1,,1,,2,,,,,,1,,3,,,,,,,,,,,,,,,,,19,,,,,,,100,,,,,,,,,,,154,,,,,1,,4,,,,2,,3,5,,,3,,1,1,,,,,,,,,,,,,,,,,,,,,,
774,12210/11997/11788,--/10367/--,--/12218/--,190,1,73000,,,,1,6,,7,,32,,41,,,3,,,,,,1,,,,,2,,,,,,,,1,,,,,,3,,6,,3,,,1,1,,1,,4,,1,,,,,1,,,,,2,,,,,13,,1,,,,,131,,,,,,1,,,,,182,1,,,,1,,3,,1,1,2,,2,6,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
778,12290/12111/11943,--/10368/--,--/12266/--,138,1,73000,,,,1,5,,5,,40,,31,,,,,,,,,,,,,1,1,,,,,,3,,1,,,,,,4,,1,,2,,,,,,,,1,,,,,,,,,,,,1,,,,,15,,,,,,,103,,,,,,,,,,,217,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,12381/12140/11896,--/10376/--,--/12302/--,195,1,73000,,,,1,15,1,6,,24,,28,,,1,190,,,,,,,1,,,,,,,,,5,,4,1,,,,,4,,4,,5,,,,1,,,,,,,,,,,,,,,,2,,,,,12,,,,,,,83,,,,,,,,,,,154,1,,,,3,2,2,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
782,12413/12167/11934,--/10384/--,--/12322/--,29,,61666,,,,3,6,1,9,,29,,29,,,1,20,,,,1,2,,,1,,2,,,,,,3,,,,,,,,5,,9,,3,,,,,,,,3,,,,,,,,,,,,,,,,,11,,,,,,,72,,,,,,,,,,,147,,,,,6,3,,,,,1,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,
786,12360/12181/12003,--/10510/--,--/12436/--,215,1,73000,1,,,,12,3,1,,33,,49,,,1,,,,,,4,,,,,1,,,,,,1,,1,1,,1,,,3,2,4,,2,,,1,,,1,,4,,,,,,,,,,,,3,,,1,,10,,,,,,,70,,,,,1,,,,,,146,,,,,2,1,3,,,,,,1,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
790,12362/12194/12022,--/10543/--,--/12554/--,149,1,73000,,2,,2,9,1,6,1,22,,50,,,,,,,,,3,,,,,,,,2,,,5,,,2,,,,,2,,3,,6,,,,,,,,5,,,,,,,,,,,,,,,,,8,,1,,,,,59,,,,,,,,,,,145,,,,,2,,1,,,,2,,,1,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,
794,12429/12220/12006,--/10547/--,--/12662/--,182,1,73000,,,,2,2,1,2,,20,,44,,,,,,,,,3,,,,1,1,,,,,1,3,,,,,,,,2,,5,,4,,,,,,,,3,,,,,,,,,,,,3,,,,,9,,,,,,,92,,,,,,,,,,,181,,,,,2,,3,,,,,,,,1,,3,,,,,,,1,,,,,,,,,,,,,,,,,,
798,12443/12267/12079,--/10571/--,--/12771/--,383,1,73000,,,1,3,9,1,4,,23,,38,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,6,,1,,,1,,,,,4,,,,,,,,,,,,4,,,,,11,,,,,,,90,,,,,,,,,,,137,,,,,2,2,1,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,12538/12321/12116,--/10769/--,--/12889/--,36,1,61666,,,,,9,1,2,,26,,70,1,,,34,,,,,1,,,,,1,1,,,,3,3,,1,,2,,,,2,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,9,,,,,,,89,,1,,,,,,,,,115,,,,,1,2,1,1,1,,1,,,5,2,,7,,,1,,,,,,,,,,,,,,,,,,,,,,
806,12631/12432/12226,--/10941/--,--/13006/--,150,1,73000,,,,,10,4,3,,27,,36,,,,,,,,,1,,,,,,,,1,,1,3,,,1,,,,,3,,3,,4,,,,,,1,,4,,,,,,,,,,,,,,,,,8,,,,,,,102,,,,,,,,,,,179,,,,,2,4,3,,,,,,2,1,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,
810,12769/12554/12342,--/11112/--,--/13128/--,232,1,73000,,,,,11,2,4,,42,,43,,,,,,,,,1,,,,,1,,,,,2,1,1,2,,,,,,4,,2,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,14,,1,,,,,77,,,,,,,,,,,183,,,,,1,2,4,,,,,,1,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
814,12897/12659/12424,--/11284/--,--/13261/--,141,1,73000,,,,1,5,,5,,23,,26,,,1,,,,,,2,,,,,1,,,,,,1,,1,4,,,,,1,,,,1,,,,,,1,,6,,,,,,,,,,,,,,,,,11,,,,,,,71,,,,,,1,,,,,128,,,,,4,4,5,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,
818,13030/12771/12517,--/11474/--,--/13394/--,173,1,73000,,1,1,1,6,,4,,27,,14,,,2,,,,,,2,,,,1,1,,,,,2,2,,2,,,,,,2,,6,,5,,,,,,,,6,,,,,,,,,,,,,,,,,13,,,,,,,77,,,,,,1,,,,,239,1,,,,2,2,4,,1,,2,,4,3,2,,15,,,,,,,,,,,,,,,,,,,,,,,,,
822,13104/12884/12658,--/11664/--,--/13528/--,100,2,59600,,5,,3,8,,5,,8,,14,,,2,,,,,,1,,,,,,,,,,8,2,,,,,,,,28,,20,,2,,,,1,,1,,2,,,,,,,,,,3,,,,,,,9,,,,,,,54,2,,,,,,,,,,232,,,,,3,3,,,,,1,,1,29,,,19,,,1,,,,,,,,,,,,,,2,,,,,,,,
832,13367/13188/13004,--/11827/--,--/13862/--,122,2,59600,,5,,1,5,1,8,,10,,17,,,,,,,,,4,,,,,1,,,,,1,1,,,,,,,,12,,19,,3,,,,,,2,,2,,,,,,,,,,1,,3,,,,,10,,,,2,,,54,,,,2,1,,,,,,230,,,,1,1,4,,,,,1,,7,28,,,6,1,,,,,,,1,,,,,,,,,,,,,,,,,
842,13794/13529/13256,--/12124/--,--/14106/--,87,2,59600,,4,,1,7,,7,,16,,53,,,1,,,,,,3,,,,,2,1,,1,,4,10,,,,,,,,15,,21,,3,,1,,,,4,,5,,,,,,,,,,,,,,,,,11,,,,,,,82,,,,3,,,,,,,139,,,,,7,6,,,,1,1,,1,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
852,14090/13865/13641,--/12369/--,--/14299/--,,2,59600,,,,5,4,,7,,20,,24,,,,,,,,,1,,,,1,5,,,,,10,,,,,,,,1,10,,6,,7,,,,,,,,2,,1,,,,,,,,,,6,,,,,15,,,,,,,142,,,,5,,,,,,,79,,,,,3,4,,,,1,2,,1,1,,1,2,,1,,,,,,,,,,,,,,,,1,,,,,,,
862,14365/14099/13836,--/12502/--,--/14556/--,128,2,59600,,,,,4,,12,,17,,97,1,,1,,,,,,2,,,,,2,,,,,5,2,,,,,,,1,4,1,6,,4,,,,,,2,,1,,,,,,,,,,,,1,,,,1,11,,,,,,,156,,,,,,,,,,,29,1,,,1,13,3,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,14785/14552/14326,--/12632/--,--/15075/--,43,2,59600,,,,1,20,,11,,75,,26,,,2,,,,,,3,,,1,,1,,,,,1,6,,,,,,,,4,,,,3,,,1,,1,,,12,,,,,,,,,,,,,,,,,9,,,,1,,,145,,1,,,,1,,,,,13,1,,,,3,2,,,,5,6,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,15101/14804/14515,--/12656/--,--/15296/--,58,2,59600,,,,2,27,2,8,,82,,32,1,,2,,,1,,1,4,,1,,2,1,1,,1,,1,14,,3,,,,,,1,2,,,4,,,,1,,10,,43,,,,,,,,,,,,2,,,,,13,,1,,,,,118,1,,,,,1,,,,,13,1,1,,1,6,3,,,1,,2,,3,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
903,15310/15081/14828,--/13020/--,--/15655/--,37,2,59600,1,,,,24,,7,,83,,10,1,,,,,,,,2,2,,,1,2,,,,,,6,,,,,,,,3,,3,,4,,,1,,,,,85,,,,,,,,,,,,1,,,,,23,,,,1,,,128,,,,,,,,,,,13,,,,,3,1,4,,,3,2,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
913,15547/15297/15041,--/13233/--,--/15907/--,26,20,59600,,,,,31,3,8,,83,,5,1,,2,,,,,,9,,,1,,,,,,,,10,,2,1,,,,,,,1,,7,,,1,,,5,,64,,,,,,,,,,,,,,,,,11,,,,2,,,126,3,,,,,,,,,,6,1,1,,1,2,5,,,,,1,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
923,15952/15653/15349,--/13406/--,--/16107/--,11,2,59600,,1,,2,44,,3,,118,,11,,,1,,,,,,2,,1,1,,,,,1,,1,3,,,,,,,,,,,,5,,,5,2,,4,,22,,,,,,,,,,,,2,,,,,15,,,,2,,,132,,,,,,,,,,,3,,,,,2,5,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
943,16353/16109/15858,--/13811/--,--/16574/--,66,2,59600,,,,,30,4,4,,95,,3,,,3,,,,,1,3,,,,,1,,,,,,,,,,,,,1,,,,,7,,,3,,,2,,77,,,,,,,,,,,,,,,,,21,,,,,1,,89,,,,,,,,,,,2,3,,,2,,,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,
982,17198/16884/16561,--/14519/--,--/17387/--,32,2,45700,,,,,31,7,8,,120,,,2,,2,,,,,1,5,,1,,,,,,,,,4,,5,,,,,1,,,,,7,,,2,5,,5,,37,,,,,,,,,,,,,,,,,34,,2,,,,,142,,1,,,,,,,,,3,1,,,,5,1,,,,,1,,6,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,
1002,17644/17384/17122,--/14845/--,--/17763/--,22,2,45700,1,,,2,6,4,4,,68,,1,1,,2,,,1,,,1,,,,,2,,,,,,5,,2,,,,,,,,,,13,,,8,,,8,,56,,,1,1,,,,,,,,,,,,1,66,,3,,,,,168,10,,,1,,,,,,,2,1,,,,1,1,,,,,1,,6,,,,,3,,,1,,,,1,,,,,,,,,,,,,,,,,
1022,18079/17758/17427,--/15264/--,--/18245/--,6,2,59600,,,,2,11,,3,,104,,6,,,3,,,,,,1,2,,,,2,1,,,,,10,,,,,,,1,2,5,,,6,,,9,,,2,,22,,,,1,,,,,,,,,4,,,,65,,2,,3,,,177,2,,,,,,,,,,2,,,,,1,1,,,,,8,,3,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,
