Depth,C14 BP,CAL BP,Abies,Alnus glutinosa,Amaranthaceae,Apiaceae,Asphodelus,Asteroideae,Campanulaceae,Caryophyllaceae,Cedrus,Cichorioideae,Cistus monspeliensis,Corylus,Cyperaceae,Ephedra,Erica arborea,Fabaceae,Fraxinus,Hypericum,Isoetes (spore),Lamiaceae,Linaceae,Lythrum,Myriophyllum,Olea europaea,Pinus,Pistacia lentiscus,Plantago coronopus-type,Poaceae,Polygalaceae,Polygonum,Quercus canariensis,Quercus coccifera,Quercus ilex-type,Quercus suber,Salix,Sambucus,Typha latifolia,Typhaceae,Unknown (spore),Unknown (monolete) (spore),Unknown (trilete) (spore)
130,5678,6490,,,,2,2,2,,6,1,6,,,,,84,,,,1,,,,4,,49,,,80,,,,,,82,,,,,319,,
135,5928,6755,,,,2,2,2,,4,,4,,,,,44,,,,,,,,,,50,,,50,,,8,,,46,,,,,212,,
140,6177,7021,1,12,,,2,4,,12,3,10,,,,,46,,,,,,,,,2,71,,,70,,,,,,50,,,,,284,,1
145,6426,7286,,10,,2,4,2,,9,6,8,,,,,40,,,,2,,,,6,,58,,2,40,,,,,,48,,,,4,242,,1
150,6675,7551,2,8,,,2,10,,8,6,2,,,,,30,,,,2,,,,6,,29,,,50,,,,,,40,,,8,2,206,,1
155,6924,7817,,12,,,2,8,,6,30,2,,,,,31,,,,1,,,,4,,35,,,32,,,,,,46,,,10,2,222,,1
160,7173,8082,5,28,,1,,35,,1,95,14,,7,,,9,,,,,,,,1,,140,,,35,,,,,,11,,,4,1,389,,2
165,7422,8348,,15,,1,1,20,,1,60,8,,6,,2,10,,,,,,,,,,50,,,28,,,,,,10,,,3,,216,,1
170,7672,8613,,8,,4,,18,,4,80,,,,,,15,,,,,,,,1,,60,,,16,,,,,,18,,,2,,226,,
175,7921,8878,10,4,,6,,21,,6,82,,,,,,17,,,,,,,,4,,73,,,25,,,,,,26,,,2,,276,,
180,8170,9144,45,1,1,,,10,,4,100,4,,,,,17,,,,,,,,1,,89,,4,24,,,,,,18,,,4,,322,,
185,9776,11160,65,3,1,2,,9,,3,70,1,,,,,,,,,,,,,1,,60,,5,21,,,,,,19,,,3,,263,,
190,11382,13177,49,11,1,1,,8,,2,78,1,,,,,5,,,,,,,,1,,53,,3,19,,,,,,15,,,2,,249,,
195,12988,15194,50,10,3,1,,12,,3,104,9,,,2,,4,,,,,,,1,1,,77,,14,31,,,,,,17,,,3,,342,,
200,14594,17210,30,14,1,,,6,,3,29,9,,,2,2,7,,1,,,,,,4,,61,,3,20,,,,,,14,,,4,,210,,
205,16200,19227,25,16,1,,,20,,2,43,10,,,1,1,1,,,,,,2,,2,,38,,45,18,,,,,,12,,,4,,241,,
210,17806,21244,50,14,13,,,28,,7,95,18,,1,,1,1,,1,,,,1,,,,105,,66,30,,,,,,16,,,5,,452,,
215,19412,23260,58,46,10,4,,24,,6,149,18,,,2,1,2,,3,,,,1,,2,,159,,52,46,,,,,,16,,,2,,602,1,
220,21018,25277,52,43,8,3,,12,,5,96,13,,,2,2,1,,2,,,,2,,1,,105,,28,35,,,,,,14,,,1,,426,1,
225,22624,27294,46,40,,,,18,,8,89,32,,,,1,1,,1,,,,1,,6,,90,,33,56,,,3,,,12,,,3,,440,,
230,24230,29310,45,44,3,1,,17,,5,103,14,,,1,,,,1,,,,,,,,130,,29,65,,,4,,,18,,,4,,484,,
235,24353,29415,42,39,4,2,,19,,4,108,12,,,1,,1,,1,,,,,,,,100,,17,55,,,,,,16,,,2,,423,,
240,24476,29521,70,36,1,2,,16,,1,65,14,,,,,2,,1,,2,,,,,,105,,15,38,,,,,,17,,,1,2,388,,
245,24599,29626,82,32,1,1,,23,,1,50,10,,,,,1,,2,,3,,,,,,91,,33,35,,,,,,12,,,4,2,384,,1
250,24723,29731,40,41,4,,,19,,2,62,7,,,,,1,,1,,3,,,,2,,93,,30,53,,,1,,,18,,,,3,382,1,1
255,24846,29836,49,38,2,,,21,,1,44,4,,,,,1,,,,2,,,,1,,65,,30,43,,,,,,15,,,,2,318,,
260,24969,29941,38,25,2,3,1,19,,4,86,16,,,,,,,,,8,,,,,,102,,27,68,,,2,,,10,,,3,9,424,,1
265,25092,30046,54,22,1,4,,10,,3,121,12,,,,,,,,,7,,,,,,25,,34,50,,,,,,11,,,2,7,365,,2
270,25215,30152,33,14,1,7,1,17,,10,43,12,,1,1,,1,,,,5,,,,1,,97,,42,52,,,1,,,19,,,,3,362,,1
275,25338,30257,100,12,1,6,1,16,,5,57,13,,,1,,2,,,,3,,,,1,,35,,80,51,,,,,,18,,,,2,406,1,1
280,25461,30362,55,16,3,6,2,14,,5,42,12,,,6,,1,,,,10,,,,,,97,,78,93,,,,,6,20,,,1,5,472,,
285,25585,30467,30,10,2,5,1,17,,3,88,10,,,5,,2,,,,9,,,,,,32,,43,79,,,5,,6,21,,,,7,376,1,
290,25708,30572,39,14,1,7,4,16,,6,42,7,,1,6,,1,,,,8,,1,1,5,,45,,50,71,,,11,,6,13,,,,11,367,,1
295,25831,30677,33,17,1,4,3,14,,5,67,11,,1,7,,1,,,,10,,1,,5,,30,,70,80,,,12,,7,14,,,,10,403,,
300,25954,30783,71,18,1,6,4,10,,7,25,12,,,5,,,,,,9,,1,1,10,,29,,21,78,,,14,,8,12,,,,8,351,,1
305,26077,30888,39,22,6,5,1,11,,8,41,4,,,2,,5,,,,11,,,2,14,,69,,25,72,,,15,,2,8,,,,7,369,,
310,26200,30993,11,10,5,6,2,10,,7,72,9,,,1,,3,,,,10,,,1,10,,42,,32,60,,,17,,2,10,,,,6,326,,
315,26323,31098,28,15,2,7,3,10,,8,55,11,,,1,,1,,,,9,,,1,11,,49,,20,63,,,20,,2,11,,,,5,332,,
320,26447,31203,33,10,4,5,1,11,,5,34,4,,,,,1,,,,8,,,,12,,35,,15,52,,,21,,3,9,,,,6,269,,
325,26570,31308,12,15,1,4,1,9,,4,29,9,,,1,,4,,,,7,,,,14,,41,,17,48,,,18,,,7,,,,6,247,,
330,26693,31413,16,10,1,3,2,17,,8,33,10,,,,,2,,,,5,,,,11,,25,,10,50,,,15,,,6,,,,7,231,,
335,26816,31519,10,14,1,7,1,14,,7,41,11,,,1,,1,,,,6,,,,10,,14,,15,45,,,26,,1,5,,,,8,238,,
340,26939,31624,15,14,2,6,2,10,,10,20,12,,,,,2,,,,10,,,,14,,20,,25,50,,,17,,,10,,,,5,244,,
345,27062,31729,9,8,1,5,,11,,10,21,10,,,,,3,,,,2,,,,10,,23,,14,49,,,19,,,9,,,,5,209,,
350,27185,31834,4,12,1,4,,13,,7,37,8,,,,,1,,,,2,,,,11,,8,,13,50,,,42,,2,13,,,,4,232,,
355,27309,31939,9,11,2,3,,14,,7,11,7,,,1,,1,,,,3,,,,12,,27,,18,60,,,15,,2,5,,,,5,213,,
360,27432,32044,5,10,1,4,,12,,6,19,8,,,,,,,,,4,,,,13,,21,,15,56,,,36,,,9,,,,2,221,,
365,27555,32150,7,1,1,3,,7,,1,25,5,,,6,,3,,,,8,,,,5,,26,,8,30,,,22,,,2,,,,2,162,,
370,27678,32255,8,1,1,1,,6,,1,30,7,,,4,,2,,,,4,,,,6,,9,,11,42,,,30,,,1,,,,2,168,,2
375,27801,32360,10,8,3,2,,8,,2,85,6,,,3,1,4,,,,13,,,1,7,,19,,23,64,,,38,,,,2,,,8,307,,
380,27924,32465,11,7,2,1,,6,,1,22,5,,,4,1,3,,,,10,,,1,8,,62,,24,53,,,40,,,1,1,,,9,274,,2
385,28047,32570,11,8,3,1,,17,,8,33,12,,,1,,1,1,,,16,1,,1,5,,78,,57,97,,,23,,,2,,,2,9,387,,
390,28171,32675,14,10,2,1,,15,,7,62,11,,,1,1,1,1,,,11,1,,,4,,21,,48,85,,1,21,,,1,1,,1,10,332,,1
395,28294,32781,15,9,3,2,,12,,5,50,9,,,2,,1,,,,9,1,,1,5,,22,,36,63,,1,18,,,1,,,,8,274,,1
400,28417,32886,20,11,3,1,,13,,6,59,10,,,,,2,1,,,12,1,,,3,,19,,51,90,,1,19,,,1,1,,1,9,335,,1
405,28540,32991,2,291,5,2,,5,,1,18,1,,,2,,1,,,,1,,1,8,,,3,,13,20,,1,16,,,3,20,,,3,417,,
410,29266,33465,4,280,6,1,,4,,1,14,1,,,1,,1,1,,,1,1,1,7,,,7,,12,21,,,97,,,2,23,,,4,490,,
415,29991,33939,3,291,4,1,,2,,1,4,3,,,1,2,6,,,,1,1,,16,5,,3,,10,40,,,168,,,3,92,,4,,662,,1
420,30717,34413,1,250,3,1,,1,,1,5,2,,,,1,4,1,,,1,1,,14,4,,5,,11,37,,1,170,,,2,85,,3,4,609,,1
425,31442,34887,2,231,2,1,,1,,1,7,1,,,2,2,4,,,,5,1,1,12,3,,4,,10,39,,1,174,,,1,87,,4,3,600,,1
430,32168,35362,4,45,3,5,,12,,2,53,8,,,2,,5,,,,4,,1,2,7,,20,,37,82,,1,115,,,1,5,,3,10,427,,
435,32893,35836,7,52,2,4,,10,,1,42,8,,,2,,3,,,,5,1,1,1,5,,16,,25,71,,,120,,,1,6,,2,11,397,,1
440,33619,36310,10,60,3,5,,11,,1,25,7,,,3,,4,,,,3,,1,1,1,,16,,19,69,,,125,,,1,8,,3,9,386,,1
445,34344,36784,2,178,2,2,,7,,,14,1,,,1,,3,,,,4,,,4,2,,7,,6,23,,2,131,,,2,28,,,4,424,,1
450,35070,37258,3,143,1,2,,6,,,13,1,,,2,,2,,,,5,,,3,2,,5,,5,31,,2,120,,,1,21,,,3,372,,1
455,35796,37732,3,122,1,2,,5,,,11,1,,,,,3,,,,3,,,2,2,,5,,1,32,,3,111,,,2,19,,,2,331,,1
460,36521,38206,2,177,6,3,,18,,6,3,1,,,,,2,,,,3,,5,,,,2,,20,17,,,113,,,3,40,,,1,422,,
465,37247,38681,2,152,3,2,,17,,4,4,1,,,,,1,,,,,,3,13,,,2,,22,18,,1,120,,,3,34,,,2,404,,
470,37972,39155,1,140,2,2,,15,,3,3,1,,,,,,,,,2,1,3,2,,,3,,19,17,,1,112,,,2,42,,,2,373,,
475,38698,39629,1,84,,2,,,,,3,2,,,,,2,,,,1,1,2,1,,,2,,4,2,,1,64,,,2,54,,,,228,,
480,39423,40103,1,100,,4,,1,,,3,3,,,,,2,,,,3,1,2,1,,,4,,5,8,,,85,,,2,62,,,2,289,,
485,40149,40577,2,98,,3,,2,,,3,2,,,5,,3,,,,2,,2,,,,5,,4,6,,,92,,,2,59,,,2,292,,
490,40874,41051,1,130,3,15,,7,,,8,2,,,3,,2,,,,1,,1,,,,3,,7,28,,,114,,,6,20,,,,363,,12
495,41600,41526,1,125,2,10,,4,,3,7,1,,,2,,2,,,,12,,1,,,,3,,5,23,,,111,,,4,18,,,1,345,,10
500,42326,42000,,110,1,9,,3,,2,5,1,,,2,,3,,,,9,,,,5,,4,,6,20,,,109,,,5,21,,,1,325,,9
505,43051,42474,13,21,3,6,,12,,1,9,1,,,1,,2,,,,5,,1,,3,,4,,19,32,,,111,,,6,29,,,3,284,,2
510,43777,42948,7,19,3,4,,1,,4,9,1,,,3,,,,,,,,1,,2,,5,,20,34,,,113,,,2,25,,,2,257,,2
515,44502,43422,4,15,1,2,,9,,3,8,1,,,2,,,,,,,,,,,,6,,13,30,,,120,,,3,21,,,1,240,,1
520,45228,43896,16,56,8,2,,12,,1,24,6,,,,2,,,,,,,,2,,,15,,30,54,,,58,,,2,2,,,8,302,,4
525,45953,44370,15,32,6,2,,9,,2,16,5,,,,2,,,,,,,,1,,,14,,27,42,,,46,,,1,1,,,6,230,,3
