,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,419,3846.171,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,439,4286.4,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,459,4726.628,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,479,5166.857,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,499,5607.086,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,519,6047.314,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,539,6487.543,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,559,6927.771,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,579,7368,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,599,7492.431,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,619,7616.861,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,639,7741.292,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,659,7865.723,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,679,7990.154,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,699,8114.584,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,719,8239.016,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,739,8363.446,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,759,8487.877,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,779,8612.308,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,799,8736.738,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,819,8861.169,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,839,8985.6,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,859,9110.031,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,879,9234.462,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,899,9358.893,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,919,9483.323,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,939,9607.754,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,959,9732.185,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,979,9856.615,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,999,9981.046,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,1019,10105.48,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,1039,10229.91,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,1059,10354.34,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,1079,10478.77,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,1099,10603.2,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,1119,10727.63,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,1139,10852.06,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,1159,10976.49,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,1179,11100.92,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,1199,11225.35,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,1219,11349.78,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,1229,11412,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
