Pollen Samples (PS),location/depht (cm),Licopods contati,grammi,Licopods messi,Cotinus,Pistacia,Rhus-type,Schinus-type,Boscia-type,Capparis,Capparis/Labiatae,Maerua-type,Helianthemum,Cornus,Corylus,Ostrya,Ephedra fragilis-type,Acacia sottile,Acacia spessa - raddiana?,Genista cf.,Quercus ilex-type,Quercus undiff.,Ficus,Myrica,Olea,Hyphaene-type,Phoenix,Rhamnus-type,Ziziphus,Salvadora ,Tamarix,Grewia-type,Tilia,Ambrosia undiff.,Artemisia ,Artemisia (herba alba type),Aster-type,Bellis-type,Centaurea-type pulata,Centaurea-type nigra,Cichorieae undiff.,Asteraceae undiff.,Anchusa,Echium,Heliotropium,Lithospermum,Boraginaceae undiff.,cf. Phyteuma,Campanula-type,Cleome-type,Gynandropsis (in cleome type),Cerastium-type,Paronychia,Silene-type,Spergula-type,Caryophyllaceae undiff.,Cornulaca monacantha-type,Chenopodiaceae undiff.,Commelina-type,Cruciferae undiff.,Carex/Cyperus ,Cyperaceae <25,Cyperaceae 25-50,Cyperacea > 50,Mercurialis,Astragalus ,Astragalus/Hedisarum,Indigofera cf.,Lotus,Onobrichis/Hediasarum (Onobrichis type),Ononis,Rhynchosia,Trifolium-type,Phragmites,Gramineae <40,Gramineae 40-50,Gramineae 50-60,Gramineae >60,Mentha-type,Leonotis-type,Leucas-type.,Teucrium,Lamiaceae undiff.,Allium,Asparagus,Asphodelus cf. tenuifolius,Liliaceae undiff.,Malvaceae undiff.,Plantago,Calligonum polygonoides,Polygonum,Polygonum cf. equisetiforme,Rumex,Saxifraga cf.,Parietaria/Urtica dioica-type,Urtica-type,Urticaceae undiff.,Tribulus cf. terrestris,Zygophyllum,Acalypha,Euphorbia-type,Euphorbiaceae undiff.,Fabaceae undiff.,Solanaceae undiff.,Umbelliferae undiff.,Juncus cf.,Lemna,Potamogeton,Sparganium erectum-type,Typha angustifolia ,Typha latifolia-type,Typha minima,Varia Undeterminated,similar to Lonicera,Delphinium/Scrophulariaceae,Urtica/Ficus,Tricolporato striato,POLLEN SUM,Concentration  (N° grains/g)
11,53.5,5,6.34,10679,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,14,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,0,0,0,4,7,0,0,1,0,0,0,0,0,0,0,8,220,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8,0,1,0,0,0,0,316,106453.123
12,58.5,5,6.41,10679,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,3,1,0,30,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,2,230,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,2,0,0,0,0,320,106623.4009
13,61.5,1,8.09,10679,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,2,16,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,2,15,0,0,0,0,0,0,0,0,0,0,8,233,16,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,320,422407.911
14,66,2,7.39,10679,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,6,0,0,0,0,0,0,0,1,0,0,29,225,11,0,0,0,0,2,0,1,0,0,0,1,0,0,0,4,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,321,231932.2733
15,71.5,1,7.04,10679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,42473.29545
16,75,71,7.53,10679,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,4,205,59,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,4,9,0,0,0,0,0,0,312,6232.063296
17,81,10,5.16,10679,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,2,1,7,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,10,0,7,1,1,11,0,0,0,0,0,1,0,0,0,1,4,182,64,3,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,326,67468.10078
18,84,3,7.29,10679,0,1,0,1,2,4,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,0,5,0,8,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,2,3,0,2,4,0,0,0,0,0,0,0,1,0,0,6,204,27,1,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,325,158695.7019
19,87.5,8,8.09,10679,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,4,0,0,5,0,3,12,0,0,0,13,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,5,31,3,7,0,2,4,0,0,0,0,0,0,0,2,0,0,6,205,4,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,339,55936.04759
20,91.5,7,5.62,10679,0,0,0,0,6,1,0,9,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,3,0,57,17,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,8,2,5,0,4,22,1,0,0,0,0,0,0,1,0,0,5,142,17,1,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,4,2,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,335,90937.08693
21,97,9,8.02,10679,0,0,0,0,24,1,0,5,0,0,0,0,1,0,1,0,0,0,2,0,0,1,3,0,0,0,8,0,0,0,0,122,6,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,2,0,2,14,0,0,0,0,0,0,0,0,0,0,0,135,5,0,0,0,0,2,0,3,1,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,370,54741.34109
22,101,19,8.09,10679,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,16,0,0,30,37,0,8,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,2,0,0,2,0,13,3,0,2,38,0,0,0,0,0,0,0,0,0,0,5,143,43,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,367,25497.31963
23,105,9,8.03,10679,0,0,0,0,0,3,0,2,0,0,0,0,1,1,0,0,0,0,10,0,0,0,0,0,2,0,17,0,0,3,0,48,14,0,0,0,14,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,7,11,3,7,0,2,4,0,0,0,0,0,0,0,1,0,0,4,127,14,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,0,1,0,0,0,0,2,4,0,0,0,0,0,0,324,47875.96513
24,110,21,8.02,10679,0,0,0,0,11,2,0,3,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,36,1,0,4,0,52,8,0,0,1,10,3,1,2,0,0,0,1,0,2,0,0,0,0,0,3,2,11,5,2,0,3,6,0,0,0,0,0,0,0,1,0,0,2,121,16,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,2,0,0,0,2,0,0,2,0,2,4,0,0,0,0,0,0,341,21621.77295
25,115,54,8.29,10679,1,0,0,0,4,2,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,7,7,2,0,1,7,12,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,5,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,7,163,62,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,1,0,0,0,0,331,7896.057276
26,120,34,9.91,10679,0,0,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,19,0,0,5,0,26,25,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,0,0,7,0,0,0,0,0,0,0,7,0,0,2,145,14,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,2,3,0,1,0,0,0,0,0,0,2,0,3,4,1,3,0,0,0,0,366,11600.02968
28,121,43,9.87,10679,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,20,0,8,8,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,5,274,23,11,1,3,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0,1,0,393,9888.661907
29,122.5,13,9.58,10679,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,4,3,9,5,0,0,1,2,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,8,220,26,4,0,2,0,12,0,2,0,0,0,1,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,3,0,3,1,0,0,0,0,0,1,344,29497.15754
27,130,307,9.89,10679,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,101,0,0,3,1,8,2,0,0,1,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,2,148,31,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,328,1153.638558
30,132,18,9.82,10679,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,1,12,4,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,4,3,0,1,0,0,0,0,0,0,0,11,184,34,10,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,1,0,0,0,0,319,19272.46549
