"age_NA","ageolder_BP","ageyounger_BP","depth","Salix","Potamogeton","Potentilla","Alnus","Poaceae (Cerealia-type)","Quercus","Apiaceae","Juniperus","Ranunculus acris-type","Amaranthaceae","Galium-type","Artemisia","Pinus","Poaceae","Cyperaceae","Typha latifolia","Ephedra fragilis-type","Ephedra distachya-type","Cistus undiff.","Erica lusitanica","Anthemis-type","Brassicaceae","Corema album","Bidens-type","Cichorioideae","Serratula-type","Lactuca","Gentiana","Typha angustifolia","Scilla-type","Plantago major-type","Asphodelus","Centaurea nigra-type","Calluna vulgaris","Picea","Daphne","Mercurialis","Polypodium","Sambucus","Lotus-type","Plantago lanceolata","Plantago coronopus","Myriophyllum alterniflorum","Sparganium","Loeflingia","Prunella-type","Rumex crispus-type","Vicia sylvatica-type","Isoëtes","Lythrum","Hydrocotyle","Fabaceae","Polypodiophyta","Mentha","Armeria","Pimpinella","Erica australis-type","Vicia cracca-type","Trifolium","Corylus","Ononis subspicata-type","Betula","Genista","Erodium","Erica umbellata-type","Lamiaceae","Gentianella","Sorbus","Caryophyllaceae","Rhinanthus"
NA,NA,NA,102.5,NA,NA,NA,NA,NA,11,3,NA,9,NA,NA,28,17,305,42,NA,NA,NA,5,23,8,NA,12,14,6,5,5,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,60.5,NA,NA,NA,NA,NA,NA,5,NA,NA,12,5,23,91,308,72,NA,NA,3,2,3,4,NA,3,2,28,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,42.5,NA,NA,NA,NA,NA,1,NA,NA,9,4,10,23,171,203,260,NA,NA,NA,8,1,19,1,16,NA,15,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,18.5,1,NA,2,NA,2,NA,29,NA,1,10,1,87,189,135,13,NA,NA,1,3,22,4,1,NA,NA,NA,8,8,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,98.5,NA,NA,NA,NA,NA,NA,NA,NA,8,2,1,27,83,301,48,NA,1,2,5,10,9,NA,10,4,18,7,7,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,104.5,NA,NA,NA,NA,NA,NA,NA,2,14,1,NA,21,16,271,56,NA,NA,1,4,69,8,4,3,3,24,2,2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,74.5,NA,NA,NA,NA,NA,NA,8,NA,4,4,NA,34,100,279,92,NA,NA,NA,5,6,7,2,NA,8,31,5,5,NA,NA,2,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,70.5,NA,NA,NA,NA,NA,NA,3,NA,NA,6,1,26,120,284,124,NA,NA,NA,4,8,6,NA,NA,21,13,4,4,NA,NA,5,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,94.5,NA,NA,NA,NA,NA,NA,4,NA,2,5,NA,23,115,241,56,NA,NA,1,1,13,15,2,15,2,25,NA,NA,6,NA,2,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,96.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,30,46,284,140,NA,NA,4,NA,22,13,NA,12,4,21,18,18,NA,NA,4,NA,1,16,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,10.5,4,NA,NA,NA,NA,NA,4,NA,6,12,3,47,273,123,280,NA,NA,3,1,3,5,NA,NA,NA,1,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,52.5,NA,NA,NA,NA,NA,NA,1,4,7,11,6,29,90,307,320,NA,NA,4,NA,1,10,3,NA,6,16,6,6,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,14.5,NA,NA,1,NA,NA,NA,14,2,6,7,6,50,239,159,188,NA,NA,2,NA,8,4,4,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,68.5,NA,NA,NA,NA,NA,NA,4,NA,NA,3,1,23,104,307,11,NA,NA,1,5,4,9,NA,3,2,21,4,4,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,48.5,NA,NA,NA,NA,NA,2,3,NA,9,17,6,59,85,279,392,NA,NA,1,NA,5,10,2,NA,NA,13,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,46.5,NA,NA,NA,NA,NA,2,3,4,13,12,6,29,90,290,336,NA,NA,3,NA,5,16,3,NA,1,17,3,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,44.5,NA,NA,NA,NA,NA,NA,1,1,7,3,7,35,136,229,232,NA,3,1,2,9,15,2,1,2,35,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,76.5,NA,NA,NA,NA,NA,NA,5,NA,2,4,2,37,125,267,124,NA,NA,1,1,6,10,1,5,4,25,2,2,NA,NA,2,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,72.5,NA,NA,NA,NA,NA,NA,7,NA,1,4,1,28,140,252,72,NA,NA,NA,7,6,7,2,3,4,23,8,8,NA,NA,NA,NA,10,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,92.5,NA,NA,NA,NA,NA,NA,5,NA,NA,2,2,22,155,217,24,NA,NA,NA,2,5,12,2,23,4,23,5,5,NA,NA,4,NA,2,7,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,100.5,NA,NA,NA,1,NA,5,NA,NA,11,1,1,34,38,319,20,NA,NA,2,3,28,9,NA,6,2,7,10,10,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,28.5,4,NA,NA,1,1,8,16,1,7,1,NA,38,212,108,6,NA,NA,NA,7,29,4,NA,31,NA,1,21,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,108.5,NA,NA,1,1,NA,1,4,1,6,NA,NA,17,43,330,64,NA,NA,NA,NA,7,8,NA,9,5,48,9,9,NA,NA,5,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
NA,NA,NA,38.5,NA,NA,NA,NA,NA,NA,10,1,11,4,16,50,186,152,408,NA,1,NA,19,23,4,NA,5,NA,18,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,12.5,NA,NA,3,NA,NA,2,11,2,3,9,5,42,213,186,172,NA,NA,NA,2,5,6,2,NA,NA,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,78.5,NA,NA,NA,NA,3,NA,8,NA,NA,4,NA,27,114,248,112,NA,NA,1,7,7,5,1,4,1,41,7,7,NA,2,2,NA,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
NA,NA,NA,32.5,8,NA,NA,NA,NA,2,6,NA,7,4,4,43,151,157,42,NA,NA,NA,20,35,7,NA,25,1,4,5,5,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,20.5,NA,NA,2,NA,1,2,26,NA,6,1,3,69,180,166,56,NA,1,NA,2,11,3,6,9,NA,NA,8,8,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,62.3,NA,NA,NA,NA,1,NA,4,1,6,3,6,16,99,309,100,NA,NA,NA,2,1,6,NA,8,7,32,4,4,NA,NA,1,NA,4,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,84.5,NA,NA,NA,NA,2,NA,1,NA,1,4,1,32,134,258,120,NA,NA,1,4,3,9,1,NA,2,16,1,1,NA,NA,2,NA,7,7,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,86.5,NA,NA,NA,NA,1,NA,1,NA,1,5,2,29,129,256,140,NA,NA,1,5,2,3,1,10,4,33,2,2,NA,NA,2,NA,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,24.5,3,NA,3,1,NA,NA,10,NA,NA,6,5,39,195,150,28,NA,NA,1,5,2,8,5,34,NA,3,16,16,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA
NA,NA,NA,80.5,NA,NA,NA,NA,NA,NA,2,1,4,9,3,32,155,230,60,NA,NA,NA,6,7,7,1,5,9,22,8,8,2,NA,NA,NA,13,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,NA,22.5,NA,NA,NA,NA,3,NA,18,1,2,5,2,62,165,165,92,NA,NA,NA,2,11,10,NA,26,2,1,14,14,7,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,90.5,NA,NA,NA,NA,NA,NA,1,NA,2,2,NA,22,111,240,40,NA,NA,1,7,17,8,4,7,3,30,5,5,2,NA,NA,NA,6,12,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,40.5,NA,NA,NA,1,NA,1,5,3,13,7,7,34,193,187,404,NA,1,NA,NA,21,13,NA,NA,2,3,3,3,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,7,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,88.5,NA,NA,NA,1,1,NA,3,NA,5,3,1,36,121,246,80,NA,NA,1,6,6,11,NA,7,2,33,6,6,NA,NA,1,NA,5,13,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,34.5,1,1,2,NA,1,4,15,2,22,3,7,37,145,150,172,NA,NA,NA,40,20,5,3,27,3,10,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,16.5,3,NA,1,NA,3,NA,18,1,3,8,4,61,188,180,32,NA,NA,NA,2,7,6,1,NA,NA,1,8,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,10,NA,NA,NA,NA,NA
NA,NA,NA,66.5,NA,NA,NA,1,3,NA,9,NA,NA,2,1,30,137,254,120,NA,2,4,2,6,3,2,3,5,24,12,12,NA,NA,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,26.5,5,NA,NA,1,1,6,16,1,NA,3,2,36,202,110,10,NA,NA,1,12,55,6,NA,16,NA,NA,19,19,3,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
NA,NA,NA,82.5,NA,NA,NA,NA,NA,NA,9,1,2,4,5,28,139,225,84,NA,NA,3,5,7,11,NA,8,5,37,7,7,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,30.5,1,NA,2,3,NA,4,22,NA,5,3,2,32,168,162,16,NA,1,NA,12,41,6,NA,9,NA,2,14,14,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2
