"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Eucalyptus tablets","Sample quantity","Angiospermae undiff. (herbs)","Potentilla-type","Rosaceae undiff.","Papaveraceae","Trifolium-type","Scrophulariaceae undiff.","Filipendula","Euphorbia","Galium","Rumex","Salix","Ranunculus-type","Hippophaë","Ephedra distachya","Veronica-type","Centaurea solstitialis-type","Ephedra fragilis-type","Helleborus foetidus","Caryophyllaceae","Cichorioideae","Typha angustifolia","Ulmaceae","Ostrya","Androsace-type","Apiaceae","Solidago-type","Fagus","Abies","Equisetum","Thalictrum","Plantago undiff.","Alnus","Quercus","Cyperaceae","Cirsium","Anthemis-type","Helianthemum","Pinus","Cupressaceae-type","Amaranthaceae","Artemisia","Poaceae","Eucalyptus spike","Mentha-type","Carpinus betulus","Vicia","Centaurea cyanus-type","Mercurialis","Brassicaceae","Betula","Bistorta officinalis-type","Ericaceae","Bupleurum-type","Polypodiophyta (monolete) undiff.","Polypodiophyta (trilete) undiff.","Sambucus","Saxifragaceae","Myriophyllum spicatum-type","Hedera","Tilia","Liliaceae undiff.","Potamogeton","Fraxinus excelsior-type","Acer","Poterium sanguisorba","Picea","Armeria","Anemone nemorosa-type","Polypodiophyta undiff.","Onobrychis-type","Lithospermum","Vitis","Dipsacoideae","Fritillaria-type","Buxus","Chrysosplenium","Marrubium","Asphodelus-type","Urtica-type","Corylus","Fabaceae undiff.","Quercus ilex","Calligonum-type","Myriophyllum","Taxus","Scilla-type","Linum","Helleborus viridis-type","Celtis","Epilobium","Castanea","Consolida ambigua-type"
27194.35,NA,NA,1423.925,"66900, 1","3","","1","","","","","2","","7","6","","","6","4","","1","","2","16","7","","1","","","4","10","4","11","2","9","7","4","25","12","3","24","9","41","204","74","243","385","448","","1","2","1","1","2","6","","","","2","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","",""
27199.75,NA,NA,1424.225,"66900, 1","3","","1","","","","","","","5","1","","9","","4","","12","1","8","25","27","2","","","2","8","16","","","","3","3","1","4","","12","20","3","29","4","108","225","192","139","","","1","","","39","1","","","1","","","","2","","","","","5","","","1","","","3","","","","","","","1","1","","","","","","","","","","","","","","","",""
27208.3,NA,NA,1424.525,"66900, 1","2.2","","","1","","","","","","","","","1","","4","","5","2","6","59","39","","","","","7","7","","3","","","1","","","","10","10","3","26","1","106","148","148","265","","1","","","","16","","","","","","2","","","","","","","1","","","","","","8","","","","","","","","","1","5","","","","","","","","","","","","","",""
27213.7,NA,NA,1424.825,"66900, 1","1.8","","","","","","","","","2","","","7","","6","","12","","3","22","41","","","","2","6","11","","","","2","","","","6","21","2","1","26","10","85","105","347","609","2","","1","","","24","","","","","","","","","","","","1","7","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
27219.1,NA,NA,1425.125,"66900, 1","4.2","","1","1","","","1","","","6","1","","14","","9","","14","","4","23","37","3","","","3","9","10","2","3","","4","5","","1","3","19","18","6","31","4","229","169","263","109","","","3","3","1","52","","","1","","","","","","","","","","6","","","","","","4","","","","","","","","","","","","1","1","","","","","","","","","","",""
27224.05,NA,NA,1425.425,"66900, 1","2.6","","","","","","","1","","12","6","","10","","7","","16","1","8","25","51","1","","","2","10","12","","1","","10","5","","6","5","18","18","5","58","14","136","232","380","237","1","","","3","","63","","","","1","","","","1","","","","2","9","","","","1","","7","","","","1","","","","","","","","","","1","1","","","","","","","","",""
27230.35,NA,NA,1425.725,"133800, 1","2","","","","","","","","","6","","","7","","4","","4","1","3","26","37","","","","1","7","11","","","1","3","5","","","","18","8","2","40","25","54","158","378","654","","","","1","","69","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27235.75,NA,NA,1425.975,"66900, 1","2.2","","","1","","","1","","","2","1","","5","","2","3","8","2","5","17","30","","","","","7","15","","","","1","3","1","","2","13","5","1","23","11","33","176","220","323","","","","2","","64","1","","","","","","","1","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
27242.95,NA,NA,1426.275,"66900, 1","2.4","","","1","","","","1","","1","2","","3","","5","2","3","","2","23","27","","","","","2","8","","","","2","1","1","4","1","19","7","1","31","14","33","101","295","357","","","","","","75","2","3","","","","","","1","","","","1","2","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
27248.35,NA,NA,1426.75,"133800, 1","2.4","1","1","1","","","","","","3","4","2","1","","5","","1","1","2","15","37","","","1","1","1","25","","","","1","","","1","1","11","5","3","32","6","26","85","263","4737","","","","3","","46","","","","","","","","1","","","","","4","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
27253.3,NA,NA,1427.05,"133800, 1","3.3","","","2","1","","","1","","3","1","1","","","3","2","4","","8","16","69","","","","","5","18","2","1","","2","2","1","2","2","13","6","12","41","13","60","72","302","3020","","1","","1","","33","2","","","","","","","1","","","","2","","","","","1","","","","","","","1","","","2","","","","","","1","","1","","","","","","","",""
27256,NA,NA,1427.35,"133800, 1","4.4","","","","","","","1","","18","1","","6","","2","","11","5","3","24","39","3","","","1","13","22","","","","2","5","2","","4","22","21","4","31","4","98","234","315","1605","1","","","2","","40","1","","","","","","","","","","","","4","","","","","","","","","","","1","","","","","","","","1","","","","1","1","","","","","",""
27257.4,NA,NA,1427.625,"133800, 1","3.2","1","","","","","","1","","14","1","","3","","4","1","5","3","1","28","31","7","","2","","8","15","1","","","4","6","","1","","16","8","7","47","7","243","113","338","2931","1","","","1","","54","1","","","","","","","","1","","","3","2","","","","","","","","","","","1","","","","","","","","","","","","","","1","1","","","",""
27260.2,NA,NA,1427.975,"133800, 1","2.6","","","1","","","","1","","13","5","1","2","4","5","","6","2","4","26","32","1","","","2","3","13","1","8","","6","3","4","3","1","10","13","6","37","41","95","231","500","6538","","","1","1","1","19","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","",""
27263,NA,NA,1428.275,"133800, 1","3.6","1","","","","1","","","","10","2","","","3","2","1","12","","","9","11","1","1","","","15","14","3","2","","6","4","3","4","2","10","29","7","30","5","69","209","321","1613","","","","1","1","33","3","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
27265.8,NA,NA,1428.675,"200700, 1","2.9","2","","","","","","","","16","2","1","","1","3","","9","","1","14","51","1","1","1","","6","22","","1","","2","6","","2","2","8","17","6","40","15","71","95","402","6265","3","","","","","62","4","","1","","","","","","","","","","","","","","1","","","","","","","6","","","","","","","4","","","","","","","","","","","1",""
27268.6,NA,NA,1428.975,"200700, 1","3.8","1","1","1","","","","","","11","","","1","2","3","","1","4","","19","42","","","","1","10","22","1","1","1","1","3","3","2","","13","10","11","36","21","102","133","527","4051","","","","1","","9","1","","","","","","","","","","","","","","","","1","","","","1","","","1","","","","","","","","","","","","","","","4","","","1","1"
27271.4,NA,NA,1429.25,"133800, 1","3.6","","","1","","","","","","5","","","1","","4","","4","3","1","29","24","","","","","9","18","","","5","","2","","","1","17","15","12","29","5","75","129","404","3798","2","","","2","","2","","","","","","","1","","1","","","1","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","",""
27274.2,NA,NA,1429.4,"66900, 1","2.2","","","","","","","","","","","","","","1","2","","","","4","3","","","","","4","8","","1","","2","1","","1","","2","14","3","7","5","22","192","126","1804","","","","1","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
