"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Allium","Thalictrum","Ulmus","Populus","Rosaceae","Plantaginaceae","Echinops","Convolvulus","Olea","Carduus-type","Fraxinus excelsior","Paliurus","Thymus/Mentha","Apium-type","Armeria/Limonium","Datisca","Pimpinella-type","Ranunculus asiaticus-type","Aquilegia-type","Calligonum/Pteropyrum","Anisosciadium-type","Cichorioideae","Vitis","Bupleurum-type","Theligonum","Delphinium-type","Centaurea solstitialis-type","Matthiola","Ranunculus repens-type","Plantago tenuiflora-type","Ranunculus sceleratus-type","Hammada-type","Isoëtes","Fabaceae","Pistacia","Brassica-type","Tamarix","Noaea-type","Filago-type","Carthamus","Polygonum aviculare-type","Lythrum","Artemisia herba-alba-type","Nymphaea","Senecio-type","Platanus","Asteroideae","Galium-type","Bunium-type","Rumex acetosa-type","Cyperaceae","Apiaceae","Sparganium-type","Matricaria-type","Mercurialis annua","Poaceae (Cerealia-type)","Amaranthaceae","Unknown","Quercus coccifera-type","Pseudopediastrum boryanum","Quercus cerris-type","Poaceae","Monactinus simplex","Euphorbia","Potentilla-type","Sagittaria","Alnus","Pinus","Plantago lanceolata-type","Persicaria maculosa-type","Cedrus","Rhinanthus-type","Plantago media-type","Artemisia vulgaris-type","Centaurea scabiosa-type","Plantago maritima-type","Cladium mariscus","Solanum nigrum","Nuphar","Salix","Potamogeton","Capsella-type","Plantago ovata-type","Inula-type","Ranunculus sect. Batrachium-type","Myriophyllum spicatum/M. verticillatum","Ferula-type","Typha latifolia","Dryopteris-type","Corylus","Crataegus-type","Epilobium","Liliaceae","Ranunculaceae","Campanula-type","Sanguisorba-type","Juniperus","Asphodelus","Cousinia","Ostrya/Carpinus orientalis","Centaurea jacea-type","Betula","Helianthemum","Filipendula","Ephedra fragilis-type","Eryngium-type","Caryophyllaceae","Lonicera","Humulus/Cannabis","Genista-type","Leontice leontopetalum","Rheum","Rumex hydrolapathum","Centaurea cyanus-type","Asphodeline","Androsace","Paronychia-type","Xanthium","Dipsacus-type","Sphagnum","Pteridium","Scrophulariaceae","Papaver","Scilla-type","Oenothera","Cirsium/Gundelia","Periploca","Nitraria","Halothamnus-type","Malva","Myriophyllum alterniflorum","Ephedra distachya-type","Spinacia-type","Malabaila","Viola","Arctium/Jurinea","Nigella","Brassicaceae","Hypericum perforatum-type","Scrophularia/Verbascum","Solanum dulcamara","Sisyrinchium","Trifolium-type","Hedera","Sambucus nigra-type","Heliotropium-type","Tulipa-type","Lomelosia rotata-type","Veronica","Hedysarum/Ebenus","Ophioglossum","Urtica dioica-type","Acer","Zygophyllum","Rhamnus","Sanguisorba officinalis","Dipsacoideae","Knautia","Anagallis","Cuscuta","Hippophaë","Turgenia-type","Crassulaceae","Stachys-type","Onopordum-type","Malcolmia","Viscum","Geranium","Lysimachia","Butomus umbellatus","Cichorium","Daphne","Calendula","Salvinia","Prunus-type","Lilium","Colchicum","Castanea","Linum","Loranthus","Thesium","Urtica pilulifera-type"
8426,NA,NA,1285,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,2,NA,NA,3,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,5,3,2,5,NA,NA,NA,3,25,NA,3,2,NA,NA,3,2,11,5,11,NA,NA,6,30,1,16,67,391,163,1323,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,4,3,NA,NA,NA,2,3,7,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8647,NA,NA,1310,1,NA,NA,NA,2,NA,NA,NA,3,NA,4,NA,1,1,NA,4,1,1,2,1,NA,NA,6,NA,NA,1,2,NA,1,NA,NA,2,2,1,7,4,NA,1,NA,NA,4,14,38,4,2,3,1,5,3,3,16,20,31,5,2,9,38,9,24,15,440,154,270,NA,NA,NA,NA,3,NA,1,2,NA,1,NA,1,NA,NA,NA,NA,12,NA,4,NA,NA,4,1,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8824,NA,NA,1330,1,1,NA,NA,2,NA,NA,NA,2,1,10,NA,NA,1,1,8,NA,NA,NA,NA,NA,5,7,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,16,7,NA,1,NA,NA,2,8,19,5,1,14,NA,6,2,10,34,11,14,6,2,6,25,8,37,145,373,188,951,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,23,NA,NA,1,NA,4,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8912,NA,NA,1340,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,3,NA,NA,3,NA,NA,NA,1,NA,4,4,1,1,1,1,1,2,NA,2,NA,3,1,18,12,NA,NA,NA,NA,3,17,26,23,3,6,1,6,2,4,53,21,35,2,1,9,35,7,17,37,439,222,777,NA,NA,1,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,5,NA,3,1,NA,11,2,9,2,4,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9125,NA,NA,1360,NA,1,NA,NA,1,3,NA,NA,3,NA,9,NA,1,NA,NA,6,NA,2,6,1,NA,13,10,NA,4,NA,7,NA,NA,NA,1,NA,1,4,12,9,NA,3,2,1,2,19,32,15,5,26,8,4,5,16,49,22,19,11,NA,12,56,9,33,73,384,342,2376,NA,NA,NA,1,3,NA,NA,2,NA,NA,NA,NA,NA,2,NA,1,24,1,NA,2,NA,6,NA,8,2,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,1,2,1,12,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9500,NA,NA,1390,2,1,NA,NA,1,NA,NA,NA,NA,NA,9,NA,2,NA,NA,3,3,4,1,1,NA,19,4,NA,3,NA,4,2,NA,1,1,NA,NA,2,8,11,NA,1,3,NA,4,8,16,7,2,8,3,5,2,13,34,27,17,5,4,5,23,14,22,4,300,269,187,NA,NA,NA,NA,8,1,NA,NA,1,3,NA,NA,NA,1,NA,NA,10,NA,NA,NA,NA,8,1,10,2,1,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9875,NA,NA,1420,NA,NA,NA,NA,2,5,NA,NA,1,NA,7,NA,1,NA,NA,2,NA,6,1,2,NA,11,7,NA,4,NA,1,1,1,NA,NA,NA,NA,1,2,6,NA,1,1,NA,1,8,20,15,2,4,NA,2,NA,13,31,25,17,10,2,8,37,6,10,312,154,203,19998,NA,NA,1,NA,3,1,NA,1,1,6,NA,NA,NA,1,NA,NA,10,NA,1,NA,NA,7,NA,5,8,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10154,NA,NA,1450,NA,1,NA,NA,1,NA,NA,NA,1,1,4,NA,NA,1,NA,2,1,NA,1,NA,NA,4,3,NA,1,NA,7,NA,2,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,14,7,86,3,5,1,4,12,9,2,32,29,64,9,NA,10,58,15,19,NA,193,276,34,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,18,NA,4,NA,NA,14,9,15,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10346,NA,NA,1475,2,NA,NA,NA,NA,NA,NA,NA,NA,1,19,NA,3,4,NA,3,2,NA,1,NA,NA,5,1,NA,NA,1,4,NA,NA,NA,1,NA,1,5,NA,5,NA,6,NA,NA,21,1,84,3,3,NA,4,8,1,2,55,20,69,8,NA,21,94,12,3,13,122,253,NA,NA,NA,NA,1,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,29,NA,3,NA,NA,15,17,14,NA,1,NA,NA,NA,NA,NA,2,1,3,NA,4,1,NA,NA,NA,NA,1,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10462,NA,NA,1490,1,NA,NA,NA,2,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,1,NA,1,2,NA,8,1,1,NA,NA,4,1,28,2,2,NA,NA,3,NA,1,33,11,32,3,NA,2,39,10,3,1,59,117,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,NA,NA,12,1,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10538,NA,NA,1500,1,NA,NA,1,1,1,NA,NA,NA,3,6,NA,1,2,NA,1,NA,NA,NA,1,NA,6,NA,NA,1,NA,5,1,NA,NA,1,2,NA,1,NA,11,NA,2,NA,NA,9,1,31,4,NA,NA,3,3,NA,NA,35,14,35,3,NA,10,42,13,5,13,55,151,21,NA,NA,NA,NA,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,13,1,7,NA,NA,12,2,12,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
