"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Euphorbia","Plantago lanceolata","Salix","Ulmaceae","Calystegia","Alisma plantago-aquatica","Ilex aquifolium","Galium","Papaveraceae","Artemisia herba-alba","Polygonaceae","Caryophyllaceae","Cichorioideae","Urtica","Myriophyllum","Asteroideae","Pinus halepensis","Amaranthaceae","Aizoaceae","Illecebrum","Apiaceae","Ranunculaceae","Olea europaea","Rosaceae","Potamogetonaceae","Typha angustifolia","Typha latifolia","Cyperaceae","Juncaceae","Brassica","Quercus ilex","Cedrus atlantica","Poaceae","Helianthemum","Nerium","Cupressaceae","Hedera","Juglans","Primulaceae","Campanula","Poaceae (Cerealia)","Acacia","Lamiaceae","Geranium","Plumbaginaceae","Hippocastanoideae","Nymphaeaceae","Liliaceae","Scrophulariaceae","Tamaricaceae","Centaurea cyanus","Boraginaceae","Myrtaceae","Vitaceae","Alnus","Fraxinus","Daphne","Taxus","Ephedra fragilis","Corylus avellana","Paronychia","Passifloraceae","Laurus","Berberis","Saxifraga","Erica arborea"
2932,NA,NA,80,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,18,4,NA,12,5,2,NA,19,12,7,1,14,33,35,8,38,3,32,141,78,83,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
3064,NA,NA,85,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,3,4,1,5,17,25,4,NA,11,9,19,12,2,24,1,5,76,2,50,148,55,110,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
3190,NA,NA,90,NA,3,NA,13,NA,NA,NA,NA,NA,4,2,NA,18,3,NA,13,42,5,NA,11,12,7,15,7,27,16,15,76,7,39,167,68,122,NA,NA,13,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
3312,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,1,3,24,56,4,NA,23,6,11,NA,6,10,7,17,40,8,10,53,28,66,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3429,NA,NA,100,NA,2,1,5,NA,NA,1,NA,NA,NA,1,NA,9,NA,NA,18,2,5,NA,20,25,7,2,NA,41,24,36,72,NA,80,57,62,141,NA,NA,NA,1,NA,1,6,NA,1,NA,NA,2,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
3651,NA,NA,111,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6,NA,15,4,4,3,NA,11,6,9,2,3,34,18,NA,53,NA,26,36,11,111,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3756,NA,NA,115,NA,NA,NA,NA,1,NA,NA,1,NA,NA,3,1,2,1,22,15,15,5,NA,5,3,1,1,5,10,1,17,12,NA,11,48,3,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3957,NA,NA,126,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,2,4,14,55,4,NA,28,28,3,NA,1,27,15,NA,6,1,14,19,3,104,NA,3,NA,NA,NA,1,NA,NA,3,2,1,NA,2,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
4054,NA,NA,130,NA,1,NA,NA,5,NA,NA,NA,NA,3,3,2,23,3,11,74,124,4,3,39,13,2,1,1,19,13,27,30,NA,35,160,15,335,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,8,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4147,NA,NA,135,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,4,11,5,7,25,90,6,1,39,3,4,4,2,26,6,17,34,2,22,108,9,117,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
4238,NA,NA,140,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,3,23,2,2,32,211,7,NA,53,10,4,NA,NA,10,2,45,47,2,13,99,NA,88,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA
4328,NA,NA,145,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,6,1,5,41,70,6,NA,8,8,3,4,3,44,13,6,24,14,7,101,16,121,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
4415,NA,NA,150,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,20,1,4,19,92,NA,NA,31,11,14,2,26,4,NA,2,36,18,8,69,NA,87,NA,NA,9,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4586,NA,NA,160,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,1,8,2,NA,10,41,2,NA,5,8,6,3,NA,1,2,4,12,NA,10,36,NA,22,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
4754,NA,NA,171,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,16,128,4,NA,17,12,6,1,1,12,1,NA,70,NA,15,13,5,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
5087,NA,NA,190,NA,NA,NA,1,NA,2,7,2,NA,NA,8,2,13,NA,NA,26,138,3,NA,57,14,27,8,3,5,9,15,26,NA,7,49,NA,49,NA,NA,18,NA,NA,NA,NA,NA,NA,8,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5522,NA,NA,216,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,17,NA,2,7,108,7,NA,25,7,9,4,1,38,11,NA,38,NA,15,22,1,58,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5806,NA,NA,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,5,16,103,3,NA,52,6,NA,1,NA,16,NA,2,30,2,8,21,1,96,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6116,NA,NA,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,12,2,14,10,204,2,NA,15,8,3,6,2,30,5,NA,61,NA,8,43,NA,98,NA,1,NA,NA,NA,NA,NA,6,1,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
6227,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,12,79,6,NA,46,12,NA,5,NA,23,9,NA,71,NA,23,37,NA,221,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1
