Depth (cm),Acacia,Acanthaceae,Acanthus,Acer,Alchornea,Alnus,Antidesma-type,Apiaceae,Artemisia,Aurates,Berlinia,Betula,Borreria,Brassicaceae,Burseraceae,Butyrospermum,Caesalpinioideae,Calligonum,Canthium,Cassia-type,Celtis,Centaurea scabiosa-type,Chenopodiaceae/Amaranthaceae,Combretaceae/Melastomataceae,Corylus,Cyperaceae,Elaeis guineensis,Ephedra distachya-type,Ephedra fragilis-type,Erica,Eugenia,Euphorbia,Euphorbiaceae,Gaillonia-type,Gramineae,Gymnosporia,Haloragaceae,Helianthemum,Hygrophila,Hymenocardia,Hyphaene,Ilex,Indetermines,Isoetes,Juniperus,Lannea,Liguliflorae,Liliaceae,Linaceae,Maerua,Malvaceae,Manilkara,Melia,Mendoncia,Mitracarpus,Moltkia,Morelia,Myrica,Neurada,Papilionoideae,Paullinia,Periploca,Petersianthus,Picconia,Pinus,Pistacia,Plantago,Polycarpaea,Polycnemum-type,Polygala,Proteaceae,Ranunculaceae,Rhizophora harrisonii,Rhizophora mangle,Rosaceae,Rotala,Rubiaceae,Rumex,Rutaceae,Sanguisorba minor-type,Sapindaceae,Scrophuliaraceae,Sebea-type,Sterculia,Symphonia,Syzygium,Tribulus,Tubuliflorae,Typha,Typha latifolia,Ulmaceae,Ulmus,Urticaceae,Vitaceae
305,,,,,22,1,1,,14,,1,,,1,,,,3,,,,,39,12,,84,,,24,,,,10,,218,,,,,5,,,29,1,,1,,2,,,,2,,,1,,,,,15,1,,,,1,,,10,13,,,1,21,9,,,3,1,,,,,,,,,,1,1,,,,,
325,,,1,,5,,,,5,1,,,,1,,,2,1,,,,1,174,15,,100,,,30,,,,2,,64,1,1,,,,,,12,,,,,,,2,,3,1,,1,1,,,,12,,1,,4,1,,1,2,14,,,1,10,7,,,1,1,,,,,,1,,1,,2,3,,,,1,
345,,4,1,,17,1,,,7,1,1,,,4,,,,3,1,,,1,34,16,,83,,2,102,,,1,6,,141,,1,,,9,,,27,,,,,,,3,,6,,,7,,,,,14,,,,3,2,,,4,22,,,,11,12,,,3,,,,,,,,,,,4,2,,,1,,
365,,,,,12,,1,,7,1,,,,,,,1,2,,,,,66,7,,82,,,73,,,,5,,167,1,,,,2,,,20,1,,,,,1,,,7,,,,,,,,20,,1,,2,,,,5,8,,2,,21,7,,,,1,,,,1,,3,,1,,8,1,,1,,,
385,,,1,,19,,,,5,2,,,2,,,,1,1,,,1,2,31,10,,85,,,92,,,2,10,,125,1,,,,3,,,33,,,1,,1,,1,,5,,,,,,,,16,,,,2,,,,4,2,,,,37,12,,,3,,,,,,,3,,,,1,4,,,,,1
405,,,,,26,,5,,15,,,,,2,,,6,2,1,,,,26,25,,61,3,,79,,,,10,,133,,,,,5,,,23,,,3,,,,,,8,,,,,,,,14,,,,,2,,,2,,,,,35,18,,,4,,,,,,,,,2,,2,5,,,,,3
425,1,,,,11,,,1,37,,,,,1,,1,5,1,,,1,,34,16,,65,3,,78,,1,,4,,120,,,,1,11,,,21,,,1,,,,,,5,1,,,,,,,16,,,,6,2,,,8,3,,1,,34,14,1,1,1,,,,1,,,2,,1,,4,8,1,,1,,
445,,,1,,22,,1,,7,1,,,,,1,,5,1,2,,6,,21,11,,61,1,,13,,,,16,1,142,1,,,1,11,,,33,,,1,,,,,,11,2,,,,,,,18,,,,,,,,3,1,,,,98,24,,,14,,,,1,,,8,,,,2,9,1,,3,,
465,,,,,2,,,,8,,,,1,2,,,5,,1,,,,182,14,,89,,,36,,,,3,,102,1,,,1,9,,,21,,,1,,,,,,4,,,,,,,,14,,,,4,2,,,,2,1,,,17,5,1,,1,,,,,1,,1,,,,7,3,,,,,
485,,,,,21,,,,23,,,,,,1,,2,,1,,,1,28,4,,66,,1,19,,,,11,,151,1,,,1,8,,,34,,,,,,,1,,4,,,,,,,,20,,,,,1,,,3,1,,,,74,29,,,7,,,,,,,3,,,,6,10,1,,1,1,
505,1,1,,,15,,,,4,,,,,1,,,3,,,,,,43,7,,89,,,74,,,,9,,166,,,,,3,,,13,,,,,,,,,1,1,,,,,,,5,,,,,1,,,5,1,,,,56,12,,,,,,,1,,,1,,,,8,12,,,1,1,
515,1,1,1,,7,,,,3,,,,1,,,,3,2,,,,,43,16,,79,3,2,121,,,,6,,155,,,,,1,,,21,,,,,1,,1,,,,,,,,,,8,,,,,3,,,,,,,,22,10,1,,2,1,,,1,,,1,,,,2,4,,,,3,
545,1,1,,,7,,,,5,1,2,,1,,1,,4,3,,,,1,63,15,,66,,,116,,,,3,,144,,,,3,3,,,27,,,4,,,,,,3,1,,,,,,,13,,,,,1,,,3,1,,,,23,9,,,1,,,,,,,,,,,4,2,,,4,1,
565,2,1,,,16,,,,5,,,,1,,,,3,1,,,,1,56,18,,106,,1,87,,,,4,,157,,,,,4,,,23,1,,2,,1,,1,,2,2,,,,,,,7,,1,,,3,,,1,3,,,,19,10,,,3,,,,,,,,,1,,5,2,,,,1,
