"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Platanus","Arbutus","Cupressaceae","Rumex","Ephedra","Typha angustifolia-type","Tamarix","Herniaria-type","Ranunculaceae","Cyperaceae","Apiaceae","Casuarina","Plantago coronopus","Caryophyllaceae","Pistacia","Centaurea","Poaceae (Cerealia-type)","Brassicaceae","Rosaceae","Plantago lanceolata-type","Quercus ithaburensis-type","Phoenix","Sarcopoterium","Cichorioideae","Plantago","Pinus","Olea","Asteroideae","Artemisia","Poaceae","Quercus coccifera-type","Amaranthaceae","Lycopodium spike","Symphytum","Ceratonia","Phillyrea","Varia","Salix","Rubiaceae","Ziziphus","Zygophyllum","Mentha-type","Alnus","Fabaceae","Cistus-type","Polygonum","Ostrya","Vitis","Sambucus","Populus","Laurus","Fraxinus","Urtica","Hypericum","Acacia","Cedrus","Geranium","Liliaceae","Anemone","Juglans","Asphodelus","Thymelaea","Euphorbia","Echium","Xanthium","Cirsium-type","Crataegus","Scrophulariaceae","Papaveraceae","Carpinus","Helianthemum","Mercurialis","Knautia","Corylus","Typha latifolia"
4120,NA,NA,570,NA,NA,NA,4,4,NA,NA,NA,3,4,4,NA,3,10,8,7,2,6,6,5,46,NA,NA,21,10,2,175,40,9,32,9,255,131,NA,NA,4,7,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
4310,NA,NA,596,NA,NA,NA,NA,24,NA,1,NA,NA,NA,5,NA,NA,NA,7,6,2,5,2,NA,18,NA,NA,60,1,4,40,57,5,17,4,290,95,NA,NA,NA,21,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4480,NA,NA,620,NA,NA,NA,2,11,NA,NA,1,NA,NA,7,NA,NA,4,NA,5,3,8,NA,3,11,NA,NA,61,10,1,42,32,50,11,NA,262,72,NA,NA,NA,16,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4670,NA,NA,645,NA,NA,NA,NA,2,NA,NA,5,5,NA,165,NA,NA,2,4,2,NA,8,2,1,28,1,NA,21,3,1,41,35,14,33,11,138,147,NA,NA,NA,28,NA,NA,NA,1,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4880,NA,NA,669,NA,NA,NA,12,4,NA,2,3,5,2,19,NA,4,10,NA,9,9,15,19,6,43,6,3,19,17,3,64,31,15,68,8,122,173,NA,NA,2,18,2,1,NA,5,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5100,NA,NA,697,NA,NA,NA,6,1,NA,1,4,1,NA,10,NA,2,10,10,1,NA,11,6,3,19,NA,NA,35,8,1,29,49,12,36,1,235,68,NA,NA,NA,9,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
5410,NA,NA,746,NA,NA,NA,4,3,NA,2,5,1,4,9,NA,2,3,8,3,2,13,2,NA,26,2,NA,44,10,4,69,56,13,34,4,174,139,NA,NA,NA,17,1,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5570,NA,NA,773,NA,NA,NA,3,7,NA,NA,1,NA,NA,8,NA,1,11,1,11,2,32,1,2,13,NA,NA,71,9,1,20,77,12,16,4,231,105,NA,NA,NA,17,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
5740,NA,NA,800,NA,NA,NA,3,4,NA,1,9,1,4,9,NA,1,6,1,8,2,8,3,1,23,NA,NA,87,9,2,52,46,13,47,5,134,155,NA,NA,5,7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
5950,NA,NA,837,NA,NA,1,2,2,NA,4,NA,1,5,8,NA,4,9,5,8,6,14,10,4,29,NA,NA,81,12,2,57,67,22,44,2,257,221,1,NA,2,12,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6090,NA,NA,885,NA,NA,NA,1,4,NA,NA,NA,1,2,4,NA,1,13,5,8,3,13,5,3,22,NA,NA,90,7,2,45,84,19,40,4,230,150,NA,NA,4,10,1,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,1,NA,NA,NA,NA
6230,NA,NA,935,NA,1,NA,9,4,NA,2,NA,NA,3,10,NA,1,11,5,3,5,16,4,3,21,NA,NA,80,8,7,93,37,42,37,7,160,230,NA,NA,5,10,NA,1,NA,NA,2,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
6380,NA,NA,986,NA,NA,NA,3,5,NA,1,NA,2,NA,1,NA,NA,9,NA,4,1,23,2,2,2,1,NA,110,3,NA,17,68,12,18,3,200,154,NA,NA,1,12,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
6510,NA,NA,1036,NA,NA,NA,NA,3,NA,1,NA,1,NA,6,NA,1,11,NA,1,2,16,2,1,5,NA,NA,145,8,NA,17,80,39,18,3,200,111,NA,NA,1,23,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
