"age_NA","ageolder_BP","ageyounger_BP","depth","Asteroideae","Pinus pinaster-type","Myriophyllum","Unknown (trilete)","Plantago coronopus-type","Poaceae","Salix","Erica arborea","Quercus suber","Quercus canariensis","Unknown","Asphodelus","Cichorioideae","Apiaceae","Cistus monspeliensis","Alnus glutinosa","Myrtus communis","Cyperaceae","Ephedra","Lamiaceae","Typha latifolia","Typhaceae","Phillyrea angustifolia","Caryophyllaceae","Hypericum","Amaranthaceae","Allium","Corylus","Lythrum","Fabaceae","Thymelaeaceae"
NA,NA,NA,130,2,4,12,14,2,34,18,50,50,62,268,2,NA,10,NA,NA,2,2,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA
NA,NA,NA,115,NA,8,NA,12,4,32,20,24,58,62,252,NA,2,2,NA,NA,NA,4,2,NA,NA,NA,10,NA,NA,8,NA,NA,2,2,NA
NA,NA,NA,125,2,2,16,6,2,36,12,54,54,60,272,2,NA,12,NA,4,NA,4,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA
NA,NA,NA,110,NA,2,2,8,9,20,16,13,56,73,222,NA,2,7,NA,NA,2,3,NA,NA,NA,NA,3,NA,2,2,NA,NA,NA,2,NA
NA,NA,NA,140,4,14,NA,9,12,48,2,56,20,16,229,NA,2,10,10,NA,NA,8,NA,NA,12,NA,NA,NA,NA,2,NA,NA,2,2,NA
NA,NA,NA,20,12,4,NA,34,4,58,28,20,70,78,356,NA,NA,4,2,NA,2,18,NA,NA,NA,6,6,NA,6,NA,NA,4,NA,NA,NA
NA,NA,NA,100,4,4,12,20,NA,24,12,16,44,76,256,NA,NA,8,NA,8,4,4,NA,NA,NA,NA,8,NA,4,4,NA,NA,NA,4,NA
NA,NA,NA,60,2,2,NA,10,6,25,15,29,65,85,261,NA,NA,2,2,NA,5,6,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,2,2
NA,NA,NA,65,3,1,NA,3,6,20,15,10,47,89,210,NA,NA,3,NA,NA,1,1,1,NA,2,NA,2,NA,NA,4,NA,NA,1,1,NA
NA,NA,NA,220,9,2,2,27,NA,6,3,78,4,3,223,7,12,10,49,NA,2,NA,NA,NA,3,NA,NA,4,NA,1,NA,NA,NA,1,NA
NA,NA,NA,55,2,NA,NA,14,2,30,38,12,50,92,286,NA,2,8,4,NA,2,12,NA,NA,NA,NA,10,NA,NA,2,NA,2,2,2,NA
NA,NA,NA,15,2,6,2,70,8,28,14,12,68,76,366,NA,2,6,NA,2,NA,14,NA,NA,NA,36,14,NA,2,4,NA,NA,NA,NA,NA
NA,NA,NA,85,2,2,1,8,6,25,14,15,66,77,275,NA,1,47,1,NA,2,2,1,NA,NA,NA,3,NA,NA,NA,NA,1,NA,1,NA
NA,NA,NA,35,1,6,4,11,3,38,24,16,79,109,326,NA,NA,4,2,NA,2,15,NA,NA,NA,1,6,NA,1,2,NA,1,NA,1,NA
NA,NA,NA,75,1,2,3,10,5,20,17,15,60,100,269,NA,1,5,3,NA,1,11,NA,NA,NA,3,7,NA,NA,3,NA,1,NA,1,NA
NA,NA,NA,80,2,1,2,20,3,28,20,16,83,115,328,NA,1,7,4,NA,1,9,NA,NA,2,2,8,NA,1,3,NA,NA,NA,NA,NA
NA,NA,NA,5,6,4,NA,46,4,36,18,56,24,66,330,NA,2,8,NA,2,2,8,2,NA,NA,26,10,NA,4,2,4,NA,NA,NA,NA
NA,NA,NA,70,1,4,3,4,7,23,16,16,67,117,288,1,1,4,2,NA,1,6,1,NA,NA,4,8,1,NA,NA,NA,1,NA,NA,NA
NA,NA,NA,40,8,1,4,6,4,38,43,32,85,150,414,NA,3,8,5,NA,1,5,NA,NA,NA,4,6,NA,2,5,NA,1,1,2,NA
NA,NA,NA,10,5,2,NA,17,10,40,25,13,33,62,270,NA,1,6,1,2,2,7,NA,2,NA,30,8,NA,1,1,NA,NA,1,1,NA
NA,NA,NA,45,6,1,3,7,3,35,42,29,70,110,338,1,2,5,4,NA,1,4,NA,NA,NA,3,6,NA,1,3,NA,NA,1,1,NA
NA,NA,NA,0,26,12,NA,40,8,40,NA,48,40,46,351,2,8,20,4,NA,NA,23,NA,2,2,2,4,8,4,2,NA,NA,4,6,NA
