"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ericaceae","Euphorbia","Salix","Thalictrum","Ranunculaceae","Brassicaceae","Rubiaceae","Prunus dulcis-type","Unknown (trilete)","Caryophyllaceae","Platanus","Rumex","Ulmus","Populus","Lamiaceae","Rosaceae","Eucalyptus","Typha angustifolia/Sparganium","Quercus robur-type","Poaceae (Cerealia-type)","Artemisia","Cyperaceae","Plantago lanceolata","Asteroideae","Juniperus","Amaranthaceae","Olea","Quercus ilex","Juglans","Poaceae","Pinus","Vitis","Lythrum","Fraxinus","Apiaceae","Cichorioideae","Plantago","Potamogeton","Urticaceae","Gentianaceae","Rhamnus","Tuberaria lignosa","Quercus suber","Pistacia","Betula","Corylus","Centaurea","Cistus ladanifer","Alnus","Viburnum","Helianthemum","Cedrus","Phillyrea","Polypodiophyta (monolete)","Scrophulariaceae","Poterium sanguisorba","Thymelaeaceae","Fabaceae","Filipendula","Mercurialis","Isoëtes","Dipsacoideae","Ephedra","Arbutus","Taxus","Linum","Acer","Campanulaceae","Erodium","Asphodelus","Polygonum","Liliaceae","Arceuthobium oxycedri","Hippophaë","Myriophyllum","Armeria","Erica","Alisma","Epilobium"
8521,NA,NA,200,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,22,NA,3,30,NA,2,2,2,3,40,NA,80,27,NA,NA,2,1,4,1,NA,NA,NA,NA,NA,12,6,1,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8715,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,21,NA,NA,46,NA,1,2,NA,1,47,NA,85,12,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,6,3,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8887,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,31,10,NA,NA,9,NA,NA,2,NA,NA,18,NA,21,15,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9048,NA,NA,230,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,28,18,2,NA,52,NA,1,2,NA,NA,65,NA,70,11,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,15,4,NA,NA,NA,2,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9377,NA,NA,250,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,5,22,NA,1,20,NA,NA,NA,3,2,71,NA,110,5,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,13,5,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9559,NA,NA,260,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,9,NA,1,32,NA,1,NA,1,NA,4,NA,37,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9749,NA,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,17,3,2,1,27,NA,NA,NA,2,1,14,NA,36,4,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9945,NA,NA,280,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,7,NA,NA,42,NA,NA,NA,2,NA,24,NA,103,9,NA,1,1,NA,9,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10143,NA,NA,290,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,11,17,2,3,41,NA,NA,1,6,1,51,NA,70,8,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,4,6,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10338,NA,NA,300,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,16,28,NA,8,72,NA,1,2,8,NA,75,NA,73,7,NA,NA,6,2,2,4,NA,NA,NA,NA,NA,NA,8,2,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10527,NA,NA,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,17,22,1,NA,52,NA,1,3,5,1,42,NA,66,8,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10710,NA,NA,320,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,21,NA,NA,30,NA,NA,4,1,NA,26,NA,28,3,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10887,NA,NA,330,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,2,NA,NA,1,NA,NA,14,35,NA,4,160,1,1,3,5,NA,56,NA,47,11,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,3,8,1,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11060,NA,NA,340,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,12,9,NA,3,45,NA,NA,2,5,NA,53,NA,28,12,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8,1,NA,NA,NA,NA,NA,2,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11231,NA,NA,350,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,80,21,NA,6,35,NA,NA,3,11,NA,77,NA,36,4,NA,NA,2,2,1,2,NA,NA,NA,NA,NA,1,6,NA,1,1,NA,1,NA,1,1,NA,4,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11402,NA,NA,360,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,6,55,1,31,20,NA,1,8,11,1,90,NA,43,12,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,3,14,5,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11583,NA,NA,370,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,35,1,36,63,NA,4,11,24,NA,50,NA,45,64,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
11791,NA,NA,380,NA,NA,NA,1,1,NA,NA,NA,1,2,NA,1,1,NA,NA,NA,NA,1,28,NA,36,43,NA,3,18,26,1,21,NA,37,57,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12045,NA,NA,390,1,NA,2,4,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,8,42,NA,62,88,NA,5,20,31,NA,21,NA,45,54,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12362,NA,NA,400,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,NA,55,45,1,4,20,43,NA,26,NA,52,50,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12540,NA,NA,405,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,NA,31,5,NA,3,16,18,NA,16,NA,13,17,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12725,NA,NA,410,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,NA,5,4,NA,NA,4,3,NA,25,NA,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13088,NA,NA,420,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,12,13,NA,6,3,NA,1,NA,2,NA,57,NA,18,44,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
13432,NA,NA,430,1,NA,NA,6,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,10,52,NA,23,8,NA,2,33,1,NA,110,NA,48,16,NA,NA,2,2,NA,NA,NA,NA,1,NA,NA,4,5,4,NA,NA,NA,2,NA,NA,1,NA,4,NA,1,NA,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
13768,NA,NA,440,1,NA,NA,2,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,6,35,NA,7,20,NA,4,15,1,NA,30,NA,50,28,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA
14107,NA,NA,450,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,5,16,NA,2,3,NA,NA,2,5,NA,36,NA,11,7,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14282,NA,NA,455,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,6,30,NA,11,20,NA,1,9,2,NA,25,NA,53,22,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,2,NA,NA,NA,1,NA,NA,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14462,NA,NA,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,7,NA,5,5,NA,NA,NA,2,NA,18,NA,4,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14649,NA,NA,465,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14,NA,5,4,NA,NA,NA,NA,NA,2,NA,9,62,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14844,NA,NA,470,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,10,10,NA,46,60,NA,3,9,3,NA,2,NA,104,22,NA,NA,NA,1,1,2,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
15048,NA,NA,475,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,14,6,NA,21,43,NA,NA,3,3,NA,NA,NA,101,16,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
15264,NA,NA,480,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,10,2,NA,18,5,NA,1,NA,8,NA,5,NA,81,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
15354,NA,NA,482,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,3,NA,27,12,NA,1,3,10,NA,NA,NA,65,28,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
15540,NA,NA,486,NA,NA,NA,2,1,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,16,1,NA,11,16,13,NA,2,NA,56,155,NA,NA,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,1,NA,1,NA,6,15,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
16270,NA,NA,500,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,60,210,NA,1,3,35,NA,NA,NA,46,125,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16878,NA,NA,510,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,50,200,NA,2,1,38,NA,NA,NA,30,95,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17548,NA,NA,520,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,30,275,NA,1,7,4,NA,1,NA,40,89,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
