"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Pistacia","Quercus undiff.","Cedrus (broken)","Pinaceae (broken)","Amaranthaceae (crumpled)","Poaceae (broken)","Poaceae (Cerealia-type, broken)","Cyperaceae (crumpled)","Unknown","Indeterminable (broken)","Caryophyllaceae","Centaurea undiff.","Poaceae (Cerealia-type)","Aster-type","Pinaceae (crumpled)","Amaranthaceae","Sparganium","Anthemis-type","Quercus coccifera-type","Cichorieae","Unknown (type 610)","Pinaceae","Cedrus","Quercus cerris-type","Pinus (degraded)","Indeterminable (crumpled)","Coelastrum","Nymphaea","Pinus (corroded)","Poaceae","Pinus (crumpled)","Cyperaceae","Pinus (fragmented)","Pinus (broken)","Pseudopediastrum boryanum-type","Lycopodium spike","Pediastrum simplex-type","Pinus","Pediastrum clathratum-type","Botryococcus","Unknown (type 130)","Typha latifolia","Ranunculaceae","Brassicaceae","Oleaceae undiff.","Juglans regia","Centaurea cyanus-type","Centaurea solstitialis-type","Olea-type","Cyperaceae (corroded)","Artemisia vulgaris-type","Plantago coronopus","Indeterminable (corroded)","Pinaceae (degraded)","Algae? (type 128A, HdV)","Ceratophyllum","Asteraceae undiff.","Urtica-type","Humulus/Cannabis-type","Typha latifolia (broken)","Thelypteris phegopteris-type","Plantago lanceolata","Cyperaceae (broken)","Indeterminable (obscured)","Unknown (type 207)","Spirogyra (type 132, HdV)","Juniperus","Sanguisorba minor-type","Cedrus (crumpled)","Cornaceae-type","Algae? (type 128B, HdV)","Salix-type","Poaceae (degraded)","Unknown (type 165)","Plantago undiff.","Sparganium (broken)","Quercus ilex-type","Myriophyllum","Potamogeton","Galium-type","Ostrya/Corylus-type","Ulmus","Oleaceae (broken)","Quercus undiff. (broken)","Indeterminable (degraded)","Castanea","Quercus coccifera-type (broken)","Poaceae (corroded)","Caprifoliaceae","Erodium","Quercus undiff. (obscured)","Asteraceae undiff. (broken)","Vitis","Apiaceae","Convolvulaceae","Quercus undiff. (crumpled)","Poaceae (Cerealia-type, crumpled)","Epilobium-type","Pinaceae (corroded)","Cyperaceae (degraded)","Cystopteris fragilis-type","Gelasinospora-type","Poaceae (crumpled)","Dipsacoideae","Ericaceae","Oleaceae (crumpled)","Asteraceae undiff. (crumpled)","Oleaceae (obscured)","Carduus-type","Lythrum","Thymus-type","Lemna-type","Quercus coccifera-type (crumpled)","Amaranthaceae (broken)","Abies","Poaceae (Cerealia-type, corroded)","Sparganium (degraded)","Dinoflagellata","Serratula-type","Platanus","Fraxinus ornus-type","Cedrus (degraded)","Plantago major/P. media","Ephedra fragilis-type","Calystegia-type","Pinaceae (obscured)","Zygnema-type","Ephedra distachya","Echinops-type","Malvaceae","Quercus undiff. (degraded)","Sparganium (crumpled)","Polygonum-type","Quercus undiff. (corroded)","Typha latifolia (crumpled)","Quercus coccifera-type: corroded","Asplenium fontanum-type","Valerianella-type"
1553.333,NA,NA,103.5,NA,1,NA,2,NA,NA,4,1,2,NA,1,1,NA,4,2,NA,NA,1,NA,7,2,4,4,12,NA,10,1,4,NA,NA,12,11,14,7,80,3,139,NA,124,NA,NA,2,NA,NA,NA,1,1,NA,NA,2,NA,9,1,NA,NA,NA,36,2,NA,NA,NA,NA,NA,3,3,30,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1718.333,NA,NA,112.5,NA,1,5,1,1,NA,7,1,8,2,9,NA,NA,7,1,3,4,5,1,17,6,42,2,NA,4,1,9,80,NA,2,42,11,21,44,102,91,290,37,54,93,NA,NA,NA,3,1,1,4,NA,3,3,NA,14,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,16,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,4,NA,NA,NA,5,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865,NA,NA,120.5,NA,NA,NA,1,NA,NA,6,NA,5,NA,NA,NA,1,11,NA,1,NA,1,6,7,6,7,NA,4,NA,7,1,31,NA,1,16,11,13,4,74,6,156,NA,108,1,3,1,NA,1,NA,2,9,1,3,7,NA,6,NA,NA,NA,NA,31,3,1,NA,NA,NA,NA,7,1,49,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,126.5,NA,1,1,1,NA,NA,4,5,14,1,4,2,3,11,3,NA,5,4,3,23,8,3,NA,6,NA,16,4,44,7,3,32,39,36,46,120,2,114,NA,161,4,6,2,NA,NA,NA,3,12,NA,7,4,NA,15,NA,1,NA,NA,15,1,NA,1,NA,5,2,11,6,88,NA,1,3,NA,NA,NA,NA,1,4,NA,NA,NA,2,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,2,NA,NA,NA,1,1,1,2,NA,NA,NA,1,NA,1,1,1,1,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2158.333,NA,NA,136.5,NA,NA,1,1,NA,NA,2,2,NA,NA,2,1,1,4,2,NA,2,5,4,16,1,4,NA,6,NA,6,1,16,1,6,9,5,15,7,76,2,65,NA,121,10,NA,1,NA,1,1,3,8,NA,2,5,NA,10,NA,NA,NA,NA,11,NA,NA,NA,NA,2,1,4,3,18,2,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2305,NA,NA,144.5,NA,NA,5,1,1,1,7,2,11,7,11,1,NA,3,1,4,11,6,NA,32,6,31,5,1,8,NA,10,726,9,NA,53,2,21,26,73,41,200,4,45,40,NA,NA,NA,NA,NA,NA,7,1,3,21,NA,28,NA,NA,NA,NA,NA,NA,2,3,NA,5,1,17,4,NA,NA,7,NA,NA,NA,NA,1,NA,NA,1,NA,NA,3,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2451.667,NA,NA,152.5,NA,1,NA,1,NA,NA,6,NA,3,3,1,1,NA,5,7,NA,3,6,1,22,4,6,NA,6,1,3,4,59,3,5,27,8,38,30,71,6,86,1,92,7,1,NA,NA,4,NA,1,4,1,1,11,NA,9,1,NA,2,NA,11,NA,NA,NA,NA,2,NA,3,1,26,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2598.333,NA,NA,160.5,NA,3,NA,2,NA,NA,4,2,5,NA,1,NA,1,1,1,1,2,4,NA,5,3,3,NA,3,5,1,NA,34,4,NA,27,3,25,15,46,NA,94,NA,63,6,NA,2,1,1,1,NA,5,NA,1,3,1,8,2,1,NA,NA,7,1,NA,NA,NA,3,NA,14,6,13,1,NA,4,NA,NA,NA,NA,NA,10,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2654.877,NA,NA,168.5,NA,2,NA,3,NA,NA,5,2,4,NA,NA,NA,NA,6,2,1,5,2,3,17,2,NA,NA,5,3,5,1,94,1,NA,37,7,17,6,82,3,61,NA,97,10,NA,1,3,1,NA,3,5,NA,2,9,NA,9,2,NA,NA,NA,6,NA,NA,NA,NA,2,3,4,NA,15,NA,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,2,NA,1,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2681.38,NA,NA,176.5,NA,1,9,1,2,NA,15,NA,7,1,2,1,NA,7,7,3,4,1,1,16,4,32,1,2,7,NA,2,974,1,NA,96,1,29,9,54,9,152,5,40,92,NA,NA,1,3,NA,1,5,2,3,20,NA,18,NA,2,NA,NA,NA,NA,2,2,NA,2,3,20,3,NA,NA,2,4,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,2,NA,NA,NA,3,NA,NA,2,1,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2707.884,NA,NA,184.5,NA,3,3,NA,NA,NA,12,1,2,NA,NA,NA,NA,2,NA,NA,2,2,2,16,1,15,NA,7,NA,4,NA,122,1,NA,32,2,37,12,110,NA,41,1,77,28,5,1,1,3,1,NA,3,NA,2,9,NA,7,3,NA,NA,NA,10,1,NA,1,NA,2,NA,4,4,26,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2734.386,NA,NA,192.5,NA,7,NA,1,NA,NA,11,1,1,NA,2,1,1,8,3,1,1,1,2,19,1,28,NA,1,13,2,NA,1,2,NA,77,9,23,34,65,12,259,2,65,8,NA,NA,NA,1,NA,1,2,NA,3,3,NA,5,3,1,1,NA,8,NA,1,NA,NA,3,2,10,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,1,2,1,NA,NA,NA,NA,NA,2,1,3,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2760.89,NA,NA,200.5,NA,2,NA,1,1,NA,19,4,2,NA,4,1,2,3,2,NA,2,1,6,15,9,4,1,2,3,20,3,1,NA,NA,29,5,6,4,77,2,146,NA,34,NA,1,NA,1,1,NA,2,1,NA,2,17,NA,30,1,NA,NA,NA,3,9,NA,NA,NA,NA,1,3,5,51,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,2,NA,2,1,1,3,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2794.018,NA,NA,210.5,NA,2,NA,NA,NA,NA,7,1,NA,NA,NA,1,NA,6,NA,1,NA,1,1,13,1,12,NA,2,1,8,NA,4,NA,5,32,7,25,NA,96,24,418,8,95,9,NA,NA,NA,NA,NA,NA,1,NA,2,1,2,NA,2,2,NA,NA,7,5,NA,NA,NA,4,NA,7,1,35,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,2,3,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2820.521,NA,NA,218.5,NA,NA,NA,1,NA,NA,5,3,NA,NA,NA,NA,NA,6,4,NA,2,1,4,20,NA,2,NA,2,2,2,NA,NA,NA,1,33,3,13,NA,84,8,72,1,117,1,1,NA,1,NA,NA,NA,2,2,3,9,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,3,18,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2847.025,NA,NA,226.5,NA,NA,1,1,NA,NA,5,1,2,NA,NA,NA,NA,1,NA,NA,NA,1,2,2,NA,3,NA,2,1,3,NA,1,NA,NA,19,1,11,18,31,29,123,12,46,8,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2860.276,NA,NA,230.5,NA,1,1,NA,NA,NA,3,1,1,1,NA,1,1,4,4,NA,NA,3,2,10,6,8,NA,3,2,3,1,NA,NA,1,62,3,8,28,72,19,71,1,110,4,NA,NA,1,1,NA,NA,NA,1,2,6,NA,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,4,2,3,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,4,NA,1,NA,NA,NA,1,1,NA,4,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2873.528,NA,NA,234.5,NA,NA,3,4,NA,NA,3,2,1,NA,NA,NA,1,5,NA,1,3,1,2,15,NA,8,NA,3,8,5,3,NA,NA,2,35,7,9,21,73,5,62,NA,113,NA,1,1,NA,1,NA,2,1,NA,1,NA,NA,6,1,NA,2,NA,3,1,NA,NA,NA,1,1,3,NA,9,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
