"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Artemisia","Salix","Juglans","Pistacia","Amaranthaceae","Potentilla","Sparganium","Corylus avellana","Eryngium","Fraxinus angustifolia","Alnus glutinosa","Castanea sativa","Quercus ilex-type","Anthemis-type","Juniperus communis","Sphagnum","Poaceae (Cerealia)","Plantago lanceolata-type","Genista-type","Pinus sylvestris-type","Pteridium aquilinum","Cistaceae","Calluna vulgaris","Erica umbellata","Cyperaceae","Erica australis","Betula pubescens","Ranunculus","Rumex acetosella-type","Quercus robur-type","Olea europaea","Erica arborea-type","Poaceae","Pinus pinaster","Lycopodium spike","Menyanthes trifoliata","Arenaria","Spergula","Sedum-type","Narcissus bulbocodium","Polypodiales (monolete)","Vitis","Phillyrea","Hedwigia","Galium-type","Daphne/Thymelaea","Gentiana lutea/G. pneumonanthe","Aster-type","Plantago major-type","Cirsium-type","Jasione-type","Apiaceae","Daucus","Halimium/Tuberaria","Asphodelus albus","Ulmus","Viburnum tinus","Peucedanum-type","Plantago coronopus","Filipendula","Echium","Colchicum montanum","Cytisus scoparius","Plantago","Potamogeton","Alismataceae","Fagus sylvatica","Frangula alnus","Poterium sanguisorba","Paronychia polygonifolia-type","Ephedra fragilis-type","Helianthemum","Berula erecta","Nymphaea","Ilex aquifolium","Campanula","Solidago","Armeria","Chaerophyllum temulum","Polygonum aviculare-type","Lythrum","Lysimachia","Silene foetida-type","Centaurea nigra-type","Sambucus nigra","Sorbus aucuparia","Micranthes stellaris-type","Meum-type","Bupleurum","Fritillaria lusitanica","Lavandula","Myrtus communis","Thalictrum","Dianthus lusitanus-type","Tilia","Fumaria","Rosaceae undiff.","Anemone","Taxus baccata","Angelica palustris-type","Ammi","Myriophyllum alterniflorum","Reseda/Sesamoides","Saxifraga granulata-type","Carum verticillatum","Hypericum perforatum-type","Lemna","Pimpinella saxifraga-type","Filago-type","Physospermum cornubiense","Botrychium","Marchantiophyta","Torilis arvensis-type","Anthriscus cerefolium","Acer","Rumex obtusifolius-type","Viola","Thelypteris palustris","Brassicaceae","Astrantia","Caryophyllaceae (porate)","Lotus","Ornithopus"
2895.71,NA,NA,170,"11329, 1","0.282","1","","","2","","","2","6","","","24","","17","","","12","","","14","4","10","","3","2","13","7","108","6","16","217","1","45","446","18","226","","","","2","2","1","","10","","","","1","","","","1","1","1","","","2","","","","","1","","","","3","","","2","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3026.46,NA,NA,180,"11329, 1","0.282","5","8","","","1","","7","2","","","13","","13","","","2","2","","9","7","7","","7","2","8","6","165","","11","177","2","33","220","28","76","1","","","5","","1","","9","","","","2","","","","1","","3","","","","","1","","","","","","","15","","","1","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3157.21,NA,NA,190,"11329, 1","0.282","3","","","1","","","18","","1","","12","","14","1","","3","3","1","11","","6","","19","2","18","13","183","10","14","180","","34","307","38","111","","","","5","","2","1","9","1","","1","1","1","","","1","","4","","1","","","1","1","","","1","","","15","","","","","","","","","","","1","","","1","","","1","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3261.81,NA,NA,198,"11329, 1","0.282","","2","","","1","","5","1","1","","11","","12","","","","","1","9","5","13","","8","1","7","12","205","3","10","156","3","43","208","18","137","","1","","2","","2","","8","1","1","","1","1","","","","","1","","2","","","","1","","1","","","","49","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3287.96,NA,NA,200,"11329, 1","0.282","1","","","","1","","8","1","","","20","","12","","","1","1","2","10","","6","","12","3","9","9","266","2","11","184","1","47","306","30","87","","1","","2","1","","","9","","","","3","","1","","","1","2","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3418.71,NA,NA,210,"11329, 1","0.282","2","3","","1","2","","4","1","1","","13","","8","2","1","3","2","1","13","2","6","","9","","11","9","182","4","7","191","","29","251","18","62","","","","2","","","","2","1","","1","2","2","1","2","3","4","2","1","1","3","","1","","","","","","","","","","4","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3558.35,NA,NA,220,"11329, 1","0.282","1","3","","2","1","","12","1","","","16","","11","","","","","2","8","","5","","17","1","5","9","281","5","19","279","","46","314","30","77","","","","2","1","","","5","2","","1","1","1","","","2","2","1","","1","1","","1","","","","","1","","","","","3","","","","","","","","","","1","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3697.99,NA,NA,230,"11329, 1","0.282","1","7","","","","","7","8","","","17","","4","","","","","","12","3","16","","14","4","1","8","224","5","13","237","","47","255","39","72","","1","","3","","","","7","2","","","1","","1","1","3","1","4","","","1","","2","","","","","","","","","","1","1","","","","","","","","1","","2","","","","","","","","1","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3837.63,NA,NA,240,"11329, 1","0.282","2","5","","2","","","3","5","","","17","","11","","","","","1","9","3","3","","4","2","2","13","195","2","11","255","1","18","294","24","75","","","","","","","","8","","1","","1","1","","","1","","1","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3977.27,NA,NA,250,"11329, 1","0.282","4","1","","3","1","","1","8","1","1","32","","19","","","","","","12","7","12","","17","8","5","14","319","3","16","311","4","76","280","38","110","","1","","9","","","","9","2","","","1","","","","","4","2","","2","","","1","","","","","","1","","","1","4","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4110.89,NA,NA,260,"11329, 1","0.282","3","3","","1","1","","","7","","1","9","","15","","","","","1","2","2","6","","11","5","1","8","266","1","18","303","","39","310","18","81","","","","6","1","1","","11","2","","","","1","1","","1","1","3","","","1","","","","","","1","","","","","","4","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4244.52,NA,NA,270,"11329, 1","0.282","6","1","","","","","1","2","","","11","","21","1","","","","","5","4","8","","6","1","1","5","184","1","16","212","","23","231","20","75","","","","3","","","","6","1","1","","","1","1","1","1","1","2","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
4378.14,NA,NA,280,"11329, 1","0.282","2","8","","2","1","","3","3","","","19","","8","","2","","","","7","4","4","","12","3","1","7","229","4","20","227","1","35","314","26","95","","","","1","","1","","4","5","","","1","1","","","1","2","1","","1","1","","2","","","","1","","","","","","2","","","","","","","1","","","","","","","","","","","","1","","1","","","","","","","","2","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
4511.76,NA,NA,290,"11329, 1","0.282","4","8","","1","","","6","5","1","","17","","10","","","","","","14","5","10","","11","4","3","14","231","5","17","245","","35","250","22","64","","1","","4","","1","","4","","2","","1","1","","1","","3","2","","","","","","","","","1","","1","","","","2","","","","","","","","","","","","","","","","","","","1","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4645.38,NA,NA,300,"11329, 1","0.282","1","","","","","1","6","5","","","15","","5","","1","","","5","1","5","12","1","2","6","3","14","195","1","13","248","1","42","296","21","66","","","","4","","","","7","","","","","1","1","","2","","2","","1","","","2","","","1","","","","","","","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","1","1","","","","","","","","","","","","","","","","","","","","","",""
4779.01,NA,NA,310,"11329, 1","0.282","2","2","","2","1","","5","","3","2","13","","19","","1","","","","3","8","11","","11","1","4","13","248","1","27","193","1","50","249","32","107","","1","","7","1","","","6","3","","1","","2","","1","1","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","",""
4912.63,NA,NA,320,"11329, 1","0.282","2","2","","1","1","","5","5","1","","22","","12","","","","","","1","4","5","","10","2","1","7","191","2","21","183","","37","167","21","68","","","","7","","","","7","4","","","","1","3","","1","1","1","","4","2","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","1","1","3","","","","","","","","","","","","","","","","",""
5075.12,NA,NA,330,"11329, 1","0.282","2","2","","","","","","1","1","1","15","","8","","","","","","","6","6","","6","2","1","8","248","1","19","266","","36","252","27","81","","","","4","","1","","3","","","","","1","1","1","1","5","2","","1","1","","","","","","2","","","","","","5","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","",""
5237.62,NA,NA,340,"11329, 1","0.282","4","2","","1","1","","2","3","2","","21","","12","","","","","","5","1","11","2","2","4","1","9","273","3","13","218","2","39","250","26","78","","2","","4","","4","","3","","","","","","","","","1","3","","2","","","","","","","","2","","","","","1","","","","","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","",""
5400.11,NA,NA,350,"11329, 1","0.282","1","2","","4","","1","","2","","","6","","15","","","","","","2","4","11","1","1","1","4","7","206","1","29","295","2","49","250","32","88","","","","2","","","","5","","","","1","","","","1","","5","","","","","3","","","","","1","","","","","1","1","","","","","","1","","","","","","","","","","","1","1","","","","","","","","","","2","","1","","","","","","1","","","","","1","1","","","","","","","","","","","",""
5562.6,NA,NA,360,"11329, 1","0.282","5","1","","1","2","","2","1","1","2","14","","10","","1","","","","2","5","14","","2","3","","4","212","","19","340","3","45","263","36","84","","","","3","","1","","2","","1","","","1","1","","1","3","4","1","1","1","","3","","","","","","","","","","3","","","","","","1","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","",""
5725.1,NA,NA,370,"11329, 1","0.282","1","1","","2","","","1","2","2","","10","","9","","2","","","","2","3","6","","4","3","2","9","170","1","14","233","1","26","173","31","46","","","","4","","","","4","","","","","","1","1","1","2","6","","1","","","1","1","","","","1","","","","","3","1","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","2","","","1","1","","","","","","","","",""
5887.59,NA,NA,380,"11329, 1","0.282","2","","","","1","","1","1","","","4","","8","","1","","","2","1","","6","","2","1","1","7","148","3","14","222","2","26","210","23","74","","1","","1","","1","","1","1","","","","1","1","","1","2","1","","1","","","","","","","","1","","","","","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","","","","","",""
6050.08,NA,NA,390,"11329, 1","0.282","1","2","","","1","","1","","","","11","","7","","2","","","","5","2","14","","2","9","","5","156","1","21","213","","19","183","20","54","","1","","4","1","1","","3","3","","","1","1","3","","","","4","","1","","","","","","1","","1","","","","","3","","","","","1","","","","","","","","","","","1","","","3","","1","","","","","","","","2","","","","","","","","","","","","","","","","","","","1","","","","","","",""
6212.57,NA,NA,400,"11329, 1","0.282","3","2","","1","","","5","1","1","","14","","7","","","","","1","2","3","7","","1","1","2","4","218","","14","265","2","33","220","31","75","","2","","3","","2","","3","5","","","2","","","","1","","4","","1","","","3","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",""
6375.07,NA,NA,410,"11329, 1","0.282","6","","","1","","","4","4","1","1","11","","10","","","","","2","6","2","7","","4","4","9","5","204","","24","235","","25","216","44","76","","","","4","1","1","","3","1","2","","","","","","1","2","5","","1","","","1","","","1","","","","","","1","3","","","","","","","","","","","","","","","","1","","1","1","","","","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","",""
6537.56,NA,NA,420,"11329, 1","0.282","3","1","","3","","","4","2","","","8","","11","","","","","","5","4","10","","2","6","2","9","194","","29","202","2","35","172","23","76","","","","2","","1","","1","2","1","","","1","","","1","1","4","","1","","","2","","","","","","","","","","1","","","","","","","","1","1","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","3","","","","",""
6645.31,NA,NA,430,"11329, 1","0.282","","1","","1","","","3","1","","1","15","","10","1","","","","","1","1","12","","","1","","","223","","12","221","","34","174","33","64","","","","3","","","","3","","1","","1","1","","","","","4","","","","","2","","","1","","1","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",""
6753.05,NA,NA,440,"11329, 1","0.282","1","2","","","1","","4","3","1","2","10","","20","","1","","","","2","6","6","","","1","3","5","328","","20","371","2","37","223","58","67","","2","","1","3","3","","5","","","","1","3","","","","","3","","3","","","2","","","","","","","","","","3","1","","","","","","","","","","1","","","","","","","","2","","","","","","","","","","1","","4","","","","","","","","","","1","1","","","","","","1","","","1","1","","",""
6860.8,NA,NA,450,"11329, 1","0.282","2","","","","","1","6","","","2","34","","10","","","","","","4","14","4","1","","1","2","7","324","2","25","292","3","38","348","65","130","","","","4","","2","","1","","1","","","2","1","","3","2","7","","","","","3","","","","","1","","","","","6","","","","","","","","","","1","1","","","","","","","","2","1","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","1","","","",""
6968.54,NA,NA,460,"11329, 1","0.282","2","1","","1","","","5","10","","1","21","","12","","","","","","1","9","3","","","","3","2","217","","16","307","1","42","234","53","89","","","","3","","2","","1","","","","","2","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
7076.29,NA,NA,470,"11329, 1","0.282","1","","","2","1","","17","","","2","29","","7","","1","","","1","5","16","10","1","","5","1","3","318","5","21","433","5","39","276","78","115","","1","","9","","3","","4","","","","","","","","1","2","1","","1","1","","1","","","","","","","","","","4","","","","","","1","","","1","","","","","","","","","","1","","","","","","","","","","","","2","","","","","","","","","","","3","","","","","","","","","","","","",""
7184.03,NA,NA,480,"11329, 1","0.282","6","","","2","","","5","2","","3","37","","14","","2","","","","6","24","12","","","2","4","8","308","1","25","470","3","32","381","97","119","","1","","6","","5","","6","","1","","1","1","","","","3","9","","3","","","3","","","","","1","1","","","","3","","","","","","2","","1","","","","","","","","","","","3","","","","","","","","","","","","3","","","","","","","","","","","","1","","","","","","","","1","","","",""
7291.78,NA,NA,490,"11329, 1","0.282","","1","","","","","8","1","","3","28","","18","1","","","","","8","5","10","","","","5","9","383","1","25","414","2","52","533","82","107","","3","","6","","3","","3","1","","","","","","","","","4","","3","","","1","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","",""
7399.52,NA,NA,500,"11329, 1","0.282","3","3","","1","","","3","1","3","","27","","19","","","","","","6","16","21","","","3","4","7","503","6","45","620","1","54","353","139","138","","2","","8","","1","","1","","","","","1","","","1","5","8","","2","","","3","","","","","1","","","","","3","","","","","","","","","","","2","","","","","","","","3","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","",""
7507.27,NA,NA,510,"11329, 1","0.282","3","","","","1","","5","1","2","2","28","","22","","","","","","2","20","15","","2","3","3","9","559","5","41","772","12","62","295","152","113","","","","9","","","","6","2","2","","","1","2","","2","4","6","","","","","3","","","","","","","","","","3","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1"
7561.14,NA,NA,515,"11329, 1","0.282","","2","","1","","2","","1","1","1","16","","23","","","","1","","2","15","7","","4","","","3","324","3","18","302","","20","185","43","62","1","","","2","","","","","2","","","","","","","1","1","","","","","","1","","","","","2","","","","","1","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","2","","","1","","","","","","","","","","","","","",""
7615.02,NA,NA,520,"11329, 1","0.282","2","1","","2","","","3","4","1","1","11","","14","","","","","","1","10","9","","","3","","1","275","","17","283","3","15","192","81","39","","","","3","","2","","","","","","","","","","","1","5","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7722.76,NA,NA,530,"11329, 1","0.282","3","3","","6","","","1","2","1","","12","","12","1","","","","","5","10","7","","1","1","3","7","292","","26","358","","9","175","141","45","","1","","3","","","","1","2","","","1","","2","","","2","4","","3","","","1","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","1","","","","","","","","","","","",""
7830.51,NA,NA,540,"11329, 1","0.282","2","2","","3","","","1","4","","","16","","23","","","","","2","1","13","5","","2","","","8","278","","25","470","4","11","178","139","53","","1","","2","","","","2","","1","","","","","","1","2","2","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
7938.25,NA,NA,550,"11329, 1","0.282","","2","","","","","4","3","1","1","7","","17","","1","","","","","2","4","","","3","1","3","207","","37","334","3","3","163","135","48","","","","","","","","2","","","","","","","","1","3","3","","","","","1","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","",""
8046,NA,NA,560,"11329, 1","0.282","2","2","","2","2","","3","","","","17","","24","","","","","1","2","12","8","","2","1","1","3","214","1","30","338","","13","175","116","38","","1","","6","","","","1","","1","","","1","1","","","1","2","","","","","1","","","3","","1","","","","","4","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","3","","","","","","","","","1","","","","","","","","","","","","","","","","",""
8153.74,NA,NA,570,"11329, 1","0.282","5","1","","1","1","","1","2","","1","7","","58","2","1","","","1","4","12","6","","4","","5","5","264","2","31","408","2","12","234","129","50","","","","7","","","","2","","","","","","2","","2","","7","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","",""
