"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Botryococcus","Corylus","Elaeagnus","Fagus","Liliaceae undiff.","Morus","Prunus-type","Populus","Potamogeton-type","Carduus","Hedera","Phillyrea","Genista-type","Plantago maritima-type","Myrtus communis","Plantago coronopus","Cyperaceae","Lamiaceae undiff.","Saxifraga","Rumex acetosella-type","Alisma-type","Alnus glutinosa-type","Arctium","Quercus pubescens-type","Cistus monspeliensis-type","Teucrium","Aster-type","Urtica dioica-type","Fraxinus angustifolia subsp. oxycarpa-type","Quercus suber-type","Dinoflagellata","Cichorioideae","Sparganium-type","Thalictrum","Quercus ilex-type","Olea europaea","Plantago lanceolata-type","Lotus-type","Artemisia","Isoëtes","Brassicaceae","Erica arborea-type","Pinus","Ruppia","Pistacia","Juniperus-type","Amaranthaceae-type","Poaceae","Lycopodium spike","Lycopodium tablets","Myriophyllum","Salix","Ambrosia","Stachys-type","Mentha-type","Ranunculus-type","Rumex obtusifolius-type","Apium","Tamarix","Galeopsis-type","Asphodelus albus-type","Sedum-type","Thymelaea","Cistus albidus-type","Pteridium aquilinum","Anthoceros laevis","Pteridophyta (monolete) undiff.","Plantago media","Gentiana","Hordeum-type","Chamaerops humilis","Selaginella denticulata","Eryngium","Secale cereale","Vitis","Filago-type","Triticum-type","Campanulaceae","Trifolium","Helianthemum","Cornus sanguinea","Asparagus","Botrychium","Polypodium","Galium-type","Betula","Achillea-type","Caryophyllaceae undiff.","Anthoceros punctatus","Rubus","Castanea sativa","Ficus carica","Lavandula","Delitschia","Allium-type","Ranunculus aquatilis-type","Pteris cretica","Hypericum perforatum-type","Sporormiella-type","Ephedra","Rumex acetosa-type","Centaurea cyanus","Echium","Arbutus","Oenanthe","Ophioglossum","Sordaria-type","Apiaceae undiff.","Illecebrum verticillatum","Poaceae (Cerealia) undiff.","Sambucus","Theligonum cynocrambe","Falcaria","Alnus viridis-type","Euphorbia","Scrophulariaceae","Rosaceae undiff.","Rhamnus","Lathyrus-type","Linum austriacum-type","Carthamus","Pteridophyta (trilete) undiff.","Anogramma leptophylla","Ulmus","Ostrya-type","Paronychia-type","Linaria-type","Corrigiola litoralis","Lycopodium","Rhynchospora alba","Buxus","Silene dioica-type","Reseda-type","Riccia","Nerium oleander","Carlina","Centaurea nigra-type","Bupleurum","Geranium","Fabaceae undiff.","Veronica-type","Armeria-type","Orlaya","Gratiola officinalis","Convolvulus","Podospora-type","Neurospora","Sanguisorba minor-type","Consolida-type","Lamium album-type","Coniochaeta","Onosma","Spergula-type","Urtica pilulifera-type","Geum-type","Carpinus betulus","Polygonum aviculare-type","Avena-type","Daucus","Minuartia","Asphodelus fistulosus","Valeriana","Cannabis-type","Lythrum salicaria-type","Cercophora-type","Mercurialis","Onobrychis-type","Fraxinus ornus","Filipendula","Bryonia","Papaver rhoeas-type","Asplenium-type","Nuphar","Scabiosa","Crocus","Pisum sativum","Acer","Ranunculus arvensis","Ludwigia palustris","Tilia","Utricularia","Prunella-type","Callitriche","Primula","Pediastrum","Valerianella","Abies","Boraginaceae","Radiola linoides","Linum usitatissimum-type","Loranthus europaeus","Pimpinella major-type","Euphrasia","Verbascum","Thelypteris palustris","Taxus baccata","Fagopyrum","Styrax","Ceratonia siliqua","Pseudoschizaea"
4560,NA,NA,550,1,NA,5,NA,NA,NA,NA,NA,2,8,NA,NA,NA,NA,NA,6,NA,17,NA,1,16,NA,23,2,23,34,3,3,1,3,NA,23,31,NA,1,12,4,4,1,21,99,8,162,9,NA,68,10,38,28,692,62545,NA,NA,NA,NA,NA,NA,1,7,NA,1,NA,NA,NA,NA,2,9,5,NA,NA,NA,NA,1,1,1,2,4,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,7,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4636,NA,NA,560,1,NA,NA,NA,1,NA,NA,3,NA,5,2,NA,1,NA,NA,13,NA,8,1,NA,13,NA,60,NA,20,16,1,9,2,3,2,9,20,NA,NA,13,12,5,6,13,78,6,124,7,NA,76,11,34,33,272,62545,2,1,NA,2,NA,2,2,3,NA,2,1,NA,NA,NA,2,2,1,NA,NA,NA,1,1,5,1,1,NA,2,NA,1,NA,5,NA,NA,NA,1,2,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4717,NA,NA,570,1,NA,5,NA,3,NA,NA,NA,3,NA,NA,NA,3,NA,NA,2,NA,12,NA,NA,14,3,49,1,20,17,NA,3,3,3,5,14,14,NA,1,19,14,NA,5,12,38,3,113,15,NA,65,10,32,53,865,62545,NA,NA,NA,NA,NA,6,5,1,1,2,1,NA,NA,NA,3,3,1,NA,NA,NA,NA,1,3,4,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,2,NA,NA,1,2,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4800,NA,NA,580,1,NA,3,NA,2,NA,NA,2,1,1,4,NA,5,NA,NA,10,1,11,NA,1,15,1,48,NA,16,16,3,5,1,3,3,13,28,NA,1,5,2,3,4,15,63,10,108,5,NA,89,18,21,50,794,62545,NA,NA,3,NA,NA,2,2,2,NA,NA,2,2,NA,3,NA,5,3,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4887,NA,NA,590,1,NA,2,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,2,7,NA,14,NA,NA,27,NA,32,3,19,13,1,5,1,2,1,16,59,NA,1,11,7,5,9,12,77,8,111,6,NA,52,21,36,39,759,62545,NA,NA,NA,1,2,1,3,NA,NA,1,2,1,NA,1,10,2,2,NA,NA,NA,NA,1,1,1,2,4,2,NA,NA,NA,NA,NA,3,NA,NA,3,4,3,NA,2,NA,NA,NA,NA,NA,2,NA,2,13,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5065,NA,NA,610,1,NA,NA,NA,2,NA,NA,NA,NA,1,6,NA,NA,NA,1,NA,NA,14,1,NA,14,NA,44,3,13,17,2,7,1,1,1,2,113,1,1,5,13,3,7,19,67,11,135,5,NA,25,4,24,27,601,62545,2,1,NA,1,NA,2,1,NA,NA,3,1,NA,NA,1,2,6,2,NA,NA,1,NA,1,1,NA,NA,3,1,NA,NA,NA,3,1,1,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5247,NA,NA,630,1,NA,1,NA,1,1,NA,1,1,4,4,NA,NA,NA,NA,NA,NA,19,1,NA,19,NA,62,1,14,11,3,9,1,4,1,30,30,NA,NA,12,8,3,6,26,59,7,155,3,NA,32,12,33,21,586,62545,NA,2,NA,1,NA,NA,1,NA,NA,7,1,1,NA,1,5,6,3,NA,NA,1,NA,NA,3,NA,2,5,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5339,NA,NA,640,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,2,6,NA,25,NA,36,NA,31,20,NA,NA,1,1,3,215,82,NA,NA,12,2,3,2,8,143,12,80,4,1,31,5,27,50,804,62545,NA,1,NA,NA,1,NA,NA,NA,1,3,2,NA,NA,1,4,6,3,NA,NA,NA,NA,1,NA,1,NA,7,1,NA,NA,NA,1,NA,NA,NA,1,NA,12,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,7,1,3,NA,NA,NA,NA,NA,NA,6,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5429,NA,NA,650,1,NA,4,NA,2,NA,NA,2,1,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,11,NA,12,NA,30,20,1,11,NA,3,1,51,31,NA,NA,20,1,3,6,25,NA,11,180,4,NA,42,15,47,20,838,62545,NA,NA,NA,1,NA,2,2,1,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,3,1,3,NA,2,3,NA,NA,NA,NA,4,NA,2,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5520,NA,NA,660,1,NA,2,NA,2,NA,NA,3,2,3,NA,NA,2,NA,NA,1,NA,8,NA,1,8,NA,17,1,31,16,1,6,1,3,8,113,26,NA,NA,22,4,3,5,19,37,4,162,4,NA,36,12,48,37,546,62545,NA,2,NA,NA,NA,1,NA,NA,NA,8,1,NA,NA,NA,2,4,7,NA,NA,1,3,1,4,NA,2,NA,1,NA,NA,NA,4,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5610,NA,NA,670,1,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,1,NA,NA,12,NA,NA,6,NA,13,NA,57,8,NA,6,NA,3,9,29,8,NA,1,16,5,5,7,11,57,9,155,6,NA,55,20,52,69,461,62545,NA,8,NA,1,NA,NA,NA,1,1,5,NA,NA,NA,1,7,2,NA,NA,NA,NA,2,1,NA,NA,1,5,1,NA,NA,1,4,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5699,NA,NA,680,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,2,1,NA,18,1,NA,4,NA,11,1,24,19,2,2,NA,NA,4,40,19,NA,NA,12,5,3,8,29,47,2,156,4,NA,74,21,43,34,450,62545,NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,6,NA,1,NA,NA,NA,1,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5789,NA,NA,690,1,NA,2,NA,4,NA,NA,2,3,11,NA,NA,NA,NA,NA,2,NA,16,1,1,4,NA,7,NA,45,13,1,3,1,NA,2,50,12,1,1,6,2,2,6,21,68,4,223,4,NA,40,14,50,33,531,62545,NA,10,NA,NA,NA,1,1,1,NA,3,2,NA,NA,NA,2,3,1,NA,NA,NA,2,NA,1,NA,NA,1,1,NA,NA,3,2,NA,NA,NA,1,1,2,NA,NA,6,NA,NA,NA,1,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5967,NA,NA,710,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,16,3,NA,5,NA,2,NA,51,26,NA,12,1,NA,7,347,62,NA,1,7,2,1,2,38,109,1,107,4,2,41,8,23,53,569,62545,NA,8,NA,1,2,NA,NA,NA,2,NA,NA,1,NA,NA,1,8,2,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6056,NA,NA,720,1,NA,3,NA,1,NA,NA,NA,2,NA,1,1,1,NA,NA,NA,NA,15,2,NA,4,NA,4,NA,30,17,2,7,1,1,5,117,32,1,NA,16,NA,5,9,10,120,3,147,6,NA,52,23,22,38,669,62545,NA,4,1,NA,1,1,3,NA,4,1,2,NA,NA,6,4,5,1,NA,NA,NA,NA,NA,5,2,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,2,NA,NA,NA,NA,2,NA,NA,NA,1,NA,4,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6145,NA,NA,730,1,NA,4,NA,NA,1,NA,6,NA,1,3,NA,1,NA,NA,NA,NA,12,NA,1,6,NA,4,NA,16,21,3,8,NA,3,NA,26,54,NA,1,7,2,3,4,31,78,2,169,2,NA,48,31,32,28,457,62545,NA,2,NA,3,NA,4,NA,1,NA,NA,1,NA,NA,2,1,11,NA,NA,NA,NA,NA,1,2,NA,1,3,NA,NA,NA,1,NA,NA,2,NA,NA,NA,3,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,11,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6234,NA,NA,740,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,1,NA,2,NA,NA,14,NA,NA,5,NA,NA,2,4,8,NA,8,NA,NA,2,35,37,NA,NA,18,2,1,2,22,44,1,209,3,NA,64,25,46,25,490,62545,NA,6,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,9,NA,NA,NA,NA,1,NA,2,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6324,NA,NA,750,1,NA,3,NA,NA,NA,NA,6,2,6,NA,NA,NA,NA,NA,NA,NA,7,1,NA,5,NA,3,NA,22,10,NA,7,NA,3,14,61,6,NA,NA,71,4,1,9,6,19,13,160,4,NA,67,11,41,16,234,62545,NA,3,NA,2,NA,2,NA,NA,NA,8,NA,NA,NA,1,7,6,3,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,2,4,NA,NA,4,NA,NA,1,1,NA,NA,1,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6415,NA,NA,760,1,NA,3,NA,1,NA,NA,17,1,NA,NA,NA,NA,NA,1,NA,NA,12,NA,NA,9,NA,1,NA,53,10,3,3,1,6,14,8,7,NA,NA,18,17,2,8,15,26,4,137,4,NA,88,8,62,13,345,62545,NA,NA,1,5,NA,NA,NA,NA,NA,7,1,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,1,NA,1,2,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6506,NA,NA,770,1,NA,3,NA,1,NA,NA,9,NA,1,NA,NA,2,NA,3,NA,NA,7,NA,NA,5,2,NA,1,27,3,2,NA,2,7,28,9,8,NA,1,37,33,3,9,12,26,11,77,2,3,84,7,78,45,156,62545,NA,3,NA,7,NA,2,2,NA,2,2,NA,NA,NA,NA,5,NA,2,NA,NA,1,3,NA,3,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,1,3,NA,NA,NA,NA,NA,NA,NA,4,9,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6598,NA,NA,780,1,NA,2,NA,NA,1,NA,7,NA,2,NA,NA,5,NA,NA,NA,NA,8,NA,NA,6,NA,2,NA,70,7,1,4,NA,NA,7,46,9,NA,NA,30,26,NA,7,8,23,5,104,5,NA,92,20,56,17,563,62545,NA,NA,NA,4,NA,2,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6692,NA,NA,790,1,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,1,NA,NA,11,1,NA,10,NA,1,3,56,3,1,2,1,2,15,26,13,NA,NA,49,62,6,8,13,23,4,101,4,NA,71,8,43,11,372,62545,NA,1,NA,6,NA,2,NA,1,NA,5,1,NA,NA,NA,1,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
