"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Cichorioideae","Vitis","Brassicaceae","Typha angustifolia-type","Myriophyllum spicatum","Solidago-type","cf. Euphorbia","Indeterminable","Rhamnaceae","Potamogeton","Galium-type","Fraxinus ornus","Unknown (trilete)","Abies","Salix","Ulmus","Apiaceae","Acer","Juniperus-type","Juglans","Amaranthaceae","Fraxinus excelsior-type","Unknown","Betula","Rumex","Pinus","Carpinus betulus","Phillyrea","cf. Olea","Unknown (monolete)","Corylus","Artemisia","Plantago","Castanea","Cyperaceae","Fagus","Ostrya-type","Alnus","Poaceae","Quercus undiff.","Scrophulariaceae","Rosaceae","Potentilla","Pteridium","Typha latifolia","Plantago lanceolata-type","Ericales","Hedera","cf. Cedrus","Poaceae (Cerealia-type)","Cannabaceae","Tilia","Ranunculus-type","Anthemis-type","Ornithogalum-type","Fabaceae","Asphodelus-type","Nymphaea","Myriophyllum alterniflorum","Centaurea cf. C. nigra-type","Urtica-type","Pistacia","Quercus ilex","Platanus","Cirsium-type","Poterium sanguisorba","Plantago major/P. media","Eucalyptus spike","cf. Myrtus","Menyanthes trifoliata","Saxifragaceae","Ephedra fragilis-type","Populus","Thalictrum","Buxus","Sambucus","Filipendula","Taxus","Cladium mariscus","cf. Viscum","cf. Lonicera","Eucalyptus suspension","Nuphar","Mentha-type","Plantago coronopus-type","Cornus","Cornaceae","Oxyria-type","Ilex","Centaurea cf. C. scabiosa-type","Hippophaë","cf. Centaurium","Primulaceae","Bryophyta undiff.","Boraginaceae","Ephedra distachya","Echium-type","Liliaceae-type","Viburnum","Helianthemum-type","Centaurea cf. C. cyanus-type","Serratula-type","Armeria maritima (type B)","cf. Baldellia","Vicia-type","Allium-type","Polygonaceae","Equisetum","cf. Hypericum","Picea","Campanulaceae","Resedaceae","Malvaceae","Geranium","cf. Armeria (type A)","cf. Alchemilla","cf. Acorus","cf. Epilobium","Papaveraceae","cf. Succisa","Larix","Polypodium","Euonymus europaeus","Valerianoideae","cf. Daphne","Myriophyllum verticillatum","cf. Persicaria amphibia","cf. Polygonum","Botrychium"
4018,4076,3959,313,"1","","1","","","","","","2","","2","1","","","24","","13","2","","1","","3","1","","","","1","29","16","1","","10","","1","1","","10","67","47","16","106","","3","","2","","","1","4","","","","1","1","","","","","","","","","1","14","","","","3","37","","","","","","","","","1","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4050,4108,3991,318,"","1","","","","","1","","","","","","","","9","","9","4","2","4","","2","12","","2","","3","21","","3","","27","1","","1","1","6","36","25","9","125","","","","","","5","1","","","","","","","","1","1","","3","","","1","1","27","","","","","","","","","","","1","","","","7","","","","2, 59600","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5335,5432,5239,418,"","","4","","","","","","","","","","","1","6","1","4","1","2","","","1","3","","6","","6","15","","6","","39","","4","","1","5","37","82","15","94","","","","","","1","","1","","","","","1","","","1","","","","","","","","","","","","18","","","","","","","","","","","","","","2, 59600","","1","","","6","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6804,6928,6676,513.5,"","1","","","","","1","","","1","","","","","26","1","6","2","","","","2","11","","","","1","17","","","3","11","","","","1","17","27","62","16","205","","","","","","1","1","2","","","","","1","","","1","","1","","","","","","","","","","101","","","","","","","","","","","","","","2, 59600","3","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9063,9197,8933,622,"","1","4","","","","","","","1","2","","","","1","","5","5","","1","","3","14","","","1","","6","","13","","41","1","","","1","14","45","35","17","269","","","","","","1","","2","","","","5","","","","1","","2","","","","","","","1","","","143","","","","","","","","5","","","","","","2, 59600","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10984,11147,10813,724.5,"","","3","","1","","","","1","","","","","","","6","18","7","2","1","","9","15","","4","5","4","","","","4","14","","1","","2","14","","2","39","273","","2","","","","","1","3","","","","2","1","","","2","","","","","","","","","","","","113","","","","","","","","","","","","","","2, 59600","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11344,11520,11170,741,"","1","","9","","","1","","","","","1","","1","","2","4","2","","3","","2","9","","4","7","5","","","2","","1","5","2","1","8","6","","","62","207","","","","","","","","3","","","","5","","","","1","","","","","","","","","","1","","38","","","3","","1","1","","7","2","","","","","61666","","","","","2","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11504,11754,11288,746.5,"","2","","5","","","","","1","","","1","","","","9","2","4","","1","","3","5","","8","9","6","","1","","","","3","","","1","3","6","","75","174","","","","1","","","","2","","","","13","","","","","","","","","","","","","","","","89","","","","1","5","2","","2","","","","","","1, 73000","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11653,11887,11423,752.5,"2","1","","2","6","","1","1","1, 4","","","1","","1","","","11","2","1","4","","4","7","","11","5","6","","1","","","","6","","","4","2","","1","62","186","","","","","","","","","","","","3","","","","","","","","","","","","","","1","","149","","","","","3","1","1","10","","","","","","1, 73000","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
11668,11878,11460,757,"2","3","","6","","","","2","1, 3","","1","","","1","","3","8","5","","","","5","5","","8","11","3","2","1","","","1","4","","1","9","4","1","2","77","170","","","1","","","","","2","","","","6","2","","","1","","","","","","","","","","","","74","","","1","1","2","2","","1","","","","","","70200","","","","","1","","","","1","","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
