"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Cichorioideae","Vitis","Brassicaceae","Typha angustifolia-type","Myriophyllum spicatum","Solidago-type","cf. Euphorbia","Indeterminable","Rhamnaceae","Potamogeton","Galium-type","Fraxinus ornus","Unknown (trilete)","Abies","Salix","Ulmus","Apiaceae","Acer","Juniperus-type","Juglans","Amaranthaceae","Fraxinus excelsior-type","Unknown","Betula","Rumex","Pinus","Carpinus betulus","Phillyrea","cf. Olea","Unknown (monolete)","Corylus","Artemisia","Plantago","Castanea","Cyperaceae","Fagus","Ostrya-type","Alnus","Poaceae","Quercus undiff.","Scrophulariaceae","Rosaceae","Potentilla","Pteridium","Typha latifolia","Plantago lanceolata-type","Ericales","Hedera","cf. Cedrus","Poaceae (Cerealia-type)","Cannabaceae","Tilia","Ranunculus-type","Anthemis-type","Ornithogalum-type","Fabaceae","Asphodelus-type","Nymphaea","Myriophyllum alterniflorum","Centaurea cf. C. nigra-type","Urtica-type","Pistacia","Quercus ilex","Platanus","Cirsium-type","Poterium sanguisorba","Plantago major/P. media","Eucalyptus spike","cf. Myrtus","Menyanthes trifoliata","Saxifragaceae","Ephedra fragilis-type","Populus","Thalictrum","Buxus","Sambucus","Filipendula","Taxus","Cladium mariscus","cf. Viscum","cf. Lonicera","Eucalyptus suspension","Nuphar","Mentha-type","Plantago coronopus-type","Cornus","Cornaceae","Oxyria-type","Ilex","Centaurea cf. C. scabiosa-type","Hippophaë","cf. Centaurium","Primulaceae","Bryophyta undiff.","Boraginaceae","Ephedra distachya","Echium-type","Liliaceae-type","Viburnum","Helianthemum-type","Centaurea cf. C. cyanus-type","Serratula-type","Armeria maritima (type B)","cf. Baldellia","Vicia-type","Allium-type","Polygonaceae","Equisetum","cf. Hypericum","Picea","Campanulaceae","Resedaceae","Malvaceae","Geranium","cf. Armeria (type A)","cf. Alchemilla","cf. Acorus","cf. Epilobium","Papaveraceae","cf. Succisa","Larix","Polypodium","Euonymus europaeus","Valerianoideae","cf. Daphne","Myriophyllum verticillatum","cf. Persicaria amphibia","cf. Polygonum","Botrychium"
30819,31270,30362,2284.5,"11","1","","2","","","1","","1","","","1","","","","1","2","1","","3","","","","","6","","18","","","","","1","2","","","5","14","","","61","31","1","","","","","1","","","","","","2","","","","1","","","","","","","","","","","","28","","","","","","","","","","","","","","1, 46000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31051,31630,30467,2304.5,"2","1","","","","2","","","1, 5","","","6","","","1","3","2","7","2","8","","7","4","","4","2","50","3","","1","1","3","14","","1","6","8","7","","164","76","2","2","","","","","","","","2","","1","1","3","","","","","","","","","","","","","","56","","","","","","3","","","4","2","","","","2, 48000","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31335,31974,30711,2324.5,"4","","","","2","","1","","8","","","2","","","","","2","4","","28","","13","","1","2","","57","","","","","","41","1","","11","5","6","2","126","26","","","","","","3","","","","","","","","5","","","","","","","","","","","3","","1","31","","","","","","4","","","1","","","","","2, 48000","","","1","","","","","","3","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31740,32284,31199,2356,"2","1","","1","","","","","1, 7","","","","","","","","","1","","12","","26","","","2","","31","","","","","","20","","","2","","","","44","3","","1","","","","","","","","","","","","2","","1","","","","","","","","","","","","22","","","1","","1","","","","","2","","","","2, 48000","","","","","","","","1","3","","","","","1","","","","3","","","","","","","","","","1","","","","","","","","","","","","","","2","","","","",""
31829,32391,31266,2366,"","2","","","","","4","","","","","3","","","","","","7","","4","","56","","","1","","5","","","","","1","95","","","1","1","1","2","74","8","","","","","","2","","","","","","","","4","","1","","","","","","","","","1","","","","","","","","","1","","","","","","","","2, 48000","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31938,32406,31451,2376,"1","3","","1","1","","1","","1, 5","","","3","","","2","","","1","","5","","33","","","4","4","46","","","","1","","54","2","","4","1","1","","84","6","","1","","","","","","","","","","","","5","","","","","","","","","","","","","","27","","","","","","1","","","","","","","","2, 48000","","","2","","","","","1","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32069,32701,31422,2396,"2","1","","2","2","","1","","3, 4","","2","2","","1","1","","","1","","20","","29","","","","","31","","","","","","31","","","6","1","","","61","2","1","","","","","3","","","","","","","","2","","1","","","","1","","","","","3","","","35","","","","","","3","","","","","","","","2, 48000","","","","","","","","","2","","","","","6","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32199,32654,31727,2406,"1","","","","1","","1","","1, 3, 5","","","2","","","","","","2","","4","","35","","","","","5","1","","","","","23","1","","","2","","","39","","","","","","","1","","","","","","","","2","","1","","","","","","","","","1","","","13","","","","","","1","","","","","","","","2, 48000","","","","","3","","","1","2","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","",""
32459,33077,31827,2426,"3","4","1","1","1","2","2","","2, 11","","","2","","","","","","","","1","","44","","1","","","8","1","","","","","45","1","","1","","1","","39","2","","","","","","2","","","","","","","1","1","","","","","","","","","","","2","","","12","","","2","","","1","","","","","","","","2, 48000","","1","","","","","","3","1","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","2","","",""
32675,33182,32149,2445.5,"2","3","","2","","","12","","4, 34","","","1","","","1","","","3","","","","13","","","","","3","1","","","","","11","","","","","","1","52","12","","","","","","1","","","","","","","","","","","","","","2","","","","","3","","","31","","","2","","","","","","","","","","","2, 63700","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32785,33400,32198,2455.5,"5","7","","1","","","6","1","1, 17","","","2","","","","1","","1","","1","","36","","","","","18","","","","","","37","","","3","","","","94","6","","","","","","","","","","","","","1","3","","2","","","","1","","","","","3","","","51","","","","","","1","","","","","","","","2, 63700","","","","","","","","","","","","","","4","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32980,33650,32323,2477.5,"9","2","","1","","","4","2","2, 3","","","3","","","4","","1","5","","4","","50","","1","1","1","37","1","","1","","1","82","2","1","17","1","","4","94","8","","","","","","1","","1","","","","","","3","","","","","","","","","","","1","","","15","","","","","","2","","","","","","","","2, 63700","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
33034,33684,32370,2505.5,"3","5","","","","","1","","1, 6","1","","9","","","2","","1","2","","4","","15","1","","4","","63","1","","","","","29","","","5","5","2","1","156","20","","","","","","1","","","","","","1","","7","","","","","","","","","","","1","","1","36","","","","","","2","","","3","","","","","2, 63700","","","1","","","","","","2","","","","","6","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
33312,33794,32833,2525.5,"4","1","","","","","1","","1, 12","1","3","4","","","3","","1","6","","15","","17","","3","3","","55","","","","1","","54","","","4","4","","1","128","16","","","","","","4","","","","","","","","5","","","","","","1","","","","","3","","","33","","","","","","2","","","","","","","","2, 63700","","1","1","","","","","","2","","","","","","","","","2","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
33561,34250,32906,2550,"6","4","","","","","3","","2","","","9","","","3","","2","7","","3","","13","","","3","","37","1","","1","","","80","2","","6","6","","2","188","15","","3","","","","4","","","","","","","2","3","","2","","","","","","","","","1","","","20","","","","","","5","","","","","","","","2, 63700","","","","","","","","","1","","","","","2","","","","6","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
33791,34283,33309,2572,"2","1","","2","","1","","3","2, 5","","","7","","","4","","3","7","3","11","","18","","","5","2","39","3","","","","1","58","2","","2","11","1","4","155","28","","","","","","7","","","","2","","1","","2","","2","","","","1","","","","","","","3","12","","","","","","2","","","","","","","","2, 63700","","","","","","","","","2","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
34238,34765,33710,2610,"4","8","","1","1","","2","","1, 9","","","1","","","6","","1","4","","2","","10","","2","","","20","2","","","1","","38","","","","1","","4","49","11","","1","","","","1","","","","","","","","2","","3","","","","","","","","","2","","","33","","","","","","","","","","","","","","2, 63700","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34490,35004,33956,2630,"2","1","","","2","","3","","2, 3, 12","","","3","","","4","","1","2","","5","","44","","1","6","1","12","","","","","3","77","2","","","7","5","4","137","24","","","","","","2","","","","","","","","7","","2","","","1","","","","","","1","","","23","","","","","","1","","","","","","","","2, 63700","","1","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34766,35290,34255,2648,"","3","","1","1","","1","","2, 3","","","4","","","19","","5","5","","3","","53","","1","3","3","24","","","","","1","91","","","4","6","2","8","123","18","","","","","","2","","","","","","","1","11","","","","","","1","","","","","","","","18","","","1","","","3","","","1","","","","","2, 63700","","","","","","","","","","","","","","3","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
34963,35612,34266,2668,"2","3","","","3","","","","1, 4, 6","","","8","","","7","","2","5","","3","","11","2","","3","2","56","2","","1","","","22","2","","9","9","","3","148","42","","","","","","","","1","","","","1","1","2","","","","","","1","","","","","1","","","49","","","","","","6","","","","","","","","2, 63700","","","","","","","","","1","","","","","4","","","","2","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
35475,36037,34920,2708,"4","","","","12","","1","","3, 6","","","2","","","13","","4","7","4","15","","17","3","2","9","1","44","2","","1","","6","24","","","4","13","4","6","110","69","","1","","","","1","","","","","","","2","3","","1","","","","","1","","","","2","","","39","","","1","","1","","","","1","","","","","2, 63700","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35750,36274,35235,2728,"","4","","","13","3","","","1, 2, 5","","1","4","","","5","","8","13","5","12","","13","3","","32","","38","4","","","1","2","15","2","","9","24","4","2","103","62","","","","","1","1","","","","","","2","","3","","","","","","","","","","","1","","","33","","","","","","","1","","","","","","","2, 63700","","1","","","","","","","","","","","","2","","4","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","",""
36050,36557,35522,2750,"5","","","2","4","1","1","","3","","1","6","","","7","2","7","5","1","6","","10","5","","23","1","50","","","3","","2","19","1","","5","9","","3","119","37","1","","","","","","","","","","","","","2","","1","","","","","2","","","","","","","12","","","","","","4","","","","","","","","2, 72600","","","1","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
36296,36999,35598,2770,"5","1","","1","13","","1","1","4","","","4","","","7","","11","9","2","6","","7","10","","33","","33","9","","","","4","12","","1","4","11","1","8","79","82","1","1","","","","1","","","","","","6","","","3","2","","","","","","","","","","","","65","","","","","","2","","","3","","","","","2, 72600","","1","","","","","","","1","","1","","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","",""
36287,36874,35674,2850,"","","1","1","19","2","","","5","","1","","","","23","","11","4","2","3","","12","12","1","7","1","27","6","","","","4","15","","","6","23","5","8","79","79","","","","","","","","1","2","","","1","","","","","","","","","","","","","","","","42","","","","","","","","1","","","","","","2, 72600","","","","","1","","","","","","","","","3","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
36289,36827,35769,2830,"5","2","","4","1","1","","1","2, 4","","2","3","","","10","","6","7","","12","","19","3","2","11","","51","4","","","3","","62","","","5","11","1","15","109","45","","2","","","","","","","","7","","6","","4","","1","","","","","","","","","1","","","13","","","","","","3","1","","","","","","","2, 72600","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
36292,36807,35766,2810,"10","2","","","18","","1","","1, 2, 8","","1","4","","","2","","14","8","2","8","","5","8","","21","","46","5","","1","1","7","27","3","1","11","28","3","4","107","74","1","1","","","","","","","","3","","1","","2","","","","","","","","","","","1","","","23","","","","","","9","","","","","","","","2, 72600","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
36284,37005,35541,2870,"","2","","","1","","","1","","","","3","","","7","1","3","15","","3","","21","1","","8","2","60","2","","","","2","36","","","3","9","1","3","168","43","3","2","","","","","","","","","","","","3","","","","","","1","1","","","","","","2","29","","","","","","2","2","","","","","","","2, 72600","","1","","","","","","","2","","","","","1","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
36717,37400,36056,2910,"2","5","","1","5","","2","1","","","","10","","","14","","","7","1","6","","25","","2","3","1","31","2","","1","","","61","1","1","9","11","","8","166","23","","1","","","","1","","","","1","","1","1","4","","1","","","","","","","","","1","","","19","","","","","","2","","","","","","","","2, 72600","","","","","","","","1","1","","","","","4","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1",""
36922,37430,36414,2929,"1","1","","","","","1","3","2, 3","","","1","","","15","1","32","9","3","7","","7","5","","36","","30","5","","","","7","15","1","","4","25","4","2","61","94","","","","","","","","","","","","3","1","3","1","2","","","","","","","","","2","","","42","","","","","","5","1","","","","","","","2, 72600","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
37152,37931,36409,2945,"8","6","","2","1","","","1","","","1","8","","","9","2","1","4","","9","","24","2","3","2","6","35","1","","","","","54","","","4","5","","2","81","30","","","1","","","1","","","","2","","","","6","","","","","","","","","","","2","","","614","","","","","","1","1","","1","","","","","1, 22500","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","",""
37406,38138,36663,2965,"1","2","","6","","","1","","","","","9","","","5","1","1","","1","","","23","","","2","","36","","","","","","65","","","2","5","","4","140","9","","","","","","","","","","2","","","","11","","","","","","3","","","","","1","","1","136","","","","1","","1","","","","","","","","22500","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
37616,38340,36900,2985,"1","1","","2","","","3","","","","","7","","","11","1","3","8","1","5","","20","1","1","7","1","45","7","","","","1","53","","","5","28","2","8","120","50","","","1","","","2","","","","11","","","1","4","","","","","","","","","","","","","","223","","","","","","2","1","","2","","","","","22500","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
37877,38562,37154,2995,"","2","","","","","3","","","","","3","","","35","","7","4","2","2","","16","1","1","6","1","59","3","","","2","","29","","","8","27","","2","70","57","","","","","","","","","","9","","","","2","1","","","","","","","","","","","","2","190","","","","1","","1","","","","","","","","22500","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
38232,38773,37692,3010,"1","","","2","","","","3","","","","4","","","41","2","7","4","3","2","","15","1","2","10","2","48","6","","","1","4","24","3","","7","36","","4","87","88","","","","","","","","","","7","","","","3","","","","","","","","","","","","","","560","","","","1","","3","1","","","","","","","1, 22500","","","","","","","","","","","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
38806,39349,38232,3030,"","","","7","","","","","","","1","6","","","24","1","29","6","2","6","","16","10","1","46","4","31","10","","","","2","16","","","5","31","4","2","75","104","","","","","","2","","","","3","","4","1","1","","","","","","","","","","","1","","","220","","","","1","","","","","","","","","","1, 22500","","","","","","","","","","","","","","1","","","","","","","","","","","","4","","1","","","","","","","","","","","","","","","","","","",""
39270,39840,38671,3046,"2","","","2","","","","1","","","","3","","","7","","20","5","6","6","","9","11","4","42","3","25","9","","","","1","13","","","5","20","","2","63","82","","","","","","","","","","6","","4","","2","1","","","","","","","","","","1","","","157","","","","","","","","","","","","","","1, 22500","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
39815,40479,39179,3066,"2","1","","1","1","","","4","","","","8","","","1","","5","3","3","5","","12","1","3","69","1","38","3","","","","5","25","3","","4","7","","5","65","82","","1","","","","","","","","5","","1","","2","1","","","","","","","","","","","","","202","","","","","","2","","","","","","","","1, 22500","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
40888,41664,40057,3106,"1","1","","1","1","","","","","","","8","","","4","1","","3","1","41","","25","","","5","5","12","","","","2","","77","2","","6","4","","5","138","14","","1","","","","","","","","9","","","2","3","","","","","","","","","","","2","","","324","","","","1","","7","","","","","","","","1, 22500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
41441,42325,40614,3126,"","4","","1","4","","1","","","","","3","","","16","","","4","","1","","16","1","1","10","4","42","5","","","1","","38","3","","4","17","","5","160","39","","","","","","","","","","8","","","","4","1","","","","","","","","","","","","","450","","","","1","","2","","","","","","","","1, 22500","","","","","","","","","1","","","","1","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
41895,42592,41183,3149,"1","3","","4","1","","1","","","","4","8","","","9","1","","5","","2","","48","","4","2","6","22","1","","","3","1","66","3","","2","3","","4","119","20","","","","1","","","","","","8","","","1","6","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
41908,42730,41148,3168,"","","","5","6","","1","1","","","1","4","","","5","1","1","2","","","","16","","3","6","3","27","3","","","1","1","46","2","","4","8","","3","150","12","","","","","","","","","","16","","","1","5","","","","","","","","","","","","","1","","","","","2","","1","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
42304,42937,41677,3188,"","2","","1","3","","2","","","","","8","","","12","1","2","8","1","1","","20","2","2","6","2","36","3","","","1","1","33","","","8","16","","6","91","34","","","","","","1","","","","4","","1","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
42590,43463,41721,3198,"3","","","1","2","","2","","1","","","","","","4","","1","3","","","","1","","","20","","7","2","","","","","4","","","","7","","","27","27","","1","","","","","","","","5","","","1","","","","","","","","","","","","","","","24","","","","","","","","","","","","","","1, 46000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
42881,43498,42240,3208,"1","","","","","","1","","","","","5","","","12","3","6","6","","3","","16","1","1","5","1","41","8","","","2","3","28","","","4","18","","3","121","45","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
43427,44055,42810,3228,"","","","2","2","","3","","","","","5","","","26","1","2","7","","3","","19","2","3","9","2","53","1","","","1","","35","2","","8","14","1","11","145","35","","","","","1","","","","","9","","","","5","","","","","","","","","","","2","","","","","","","","","2","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
43963,44569,43356,3246,"","2","","2","2","","1","1","","","","3","","","42","","3","7","2","3","","11","","2","14","2","60","6","","","","1","34","","","6","9","","4","100","54","","","","","","","","","","6","","","","2","","","","","","","","","","","","","","187","","","","1","","2","","","","","","","","1, 27000","","","","","","","","","2","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
44463,45163,43735,3265,"","","","6","2","","2","","","","","2","","","39","1","1","5","1","1","","12","1","","","1","45","2","","","","6","19","","","5","11","1","","77","42","","","","","","","","","","2","","1","","1","","","","","","","","","","","1","","","124","","","","1","","","","","","","","","","1, 27000","","","","","","","","","1","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
45034,46017,44137,3285,"2","","","","1","","1","","","","","9","","","35","","9","5","1","3","","18","3","2","28","2","29","1","","","","3","27","","","6","18","3","4","103","47","","","1","","","","1","","","4","","1","2","1","","1","","","","","","","","","1","","2","","","","","1","","1","","","","","","","","1, 27000","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
45291,45981,44550,3294.5,"9","","","","1","","2","","","","","2","","","3","","","1","","1","","","","","4","","19","","","","1","","4","","","3","8","","3","47","14","","","","","","1","1","","","","","","","","","1","","","","","","","","","","","","18","","","","","","","","","","","","","","1, 46000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
45505,46211,44808,3305,"","","","1","1","","","","","","","1","","","43","1","2","4","1","5","","23","4","2","22","2","50","11","","","","3","20","1","","7","9","1","2","85","85","","","1","","","","","","","13","","3","","2","","","","","","","","","","","","","","30","","","","","","","1","","","","","","","1, 27000","","","","","","","","","1","","","","","","","","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
45746,46477,45001,3315,"","","","4","2","","1","","","","","4","","","60","1","7","3","","","","18","3","","13","4","44","5","","","2","2","27","","","4","21","","5","86","60","","","","","","","","","","4","","","1","1","","","","","","","","","","","","","2","","","","","1","","2","","","","","","","","1, 27000","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
45863,46600,45176,3325,"","","","2","2","","3","","","","","4","","","29","","10","5","4","3","","10","9","","8","1","46","6","","","","4","22","","","4","9","1","4","59","55","","","","","","1","","","","5","","1","","","1","","","","","","","","","","1","","","","","","","","","3","","","","","","","","1, 27000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
46167,46843,45444,3335,"","","","","","","1","1","","","","5","","","41","2","18","6","3","3","","15","5","","23","3","52","13","","2","","1","16","","","10","14","1","1","75","75","","","","","","","","","","5","","2","1","2","1","","","","","","","","","","","","","","","","","1","","1","1","","1","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
46435,47264,45644,3344,"","","","1","7","","","","","","","4","","","10","2","7","3","5","1","","20","7","","28","","33","6","","","1","4","23","","","4","25","","4","60","70","","","","","","3","","","","5","","5","","2","","","","","","","","","","","1","","","5","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
46824,47512,46120,3358,"1","1","","1","6","","1","","","","","4","","","40","2","9","2","4","4","","8","8","","20","4","28","8","","","5","5","20","","","1","20","1","2","62","99","","","","1","","1","","","","4","","4","","","","","","","","","","","","","","","","109","","","","","","1","","","","","","","","1, 27000","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
47099,48040,46166,3368,"","","","1","6","","1","","","","1","6","","","25","1","11","2","4","","","9","7","1","23","","38","10","","","2","3","13","","","2","14","1","1","63","71","","1","","","","","","","","6","","16","1","1","","","","","","","","","","","1","","","90","","","","1","","2","","","","","","","","1, 27000","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
47288,47980,46545,3375,"4","1","","1","4","","1","","","","1","1","","","9","2","3","3","","2","","4","","","12","1","9","1","","","1","1","3","","","","8","","4","31","38","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","25","","","","","","1","","","","","","","","1, 46000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
47639,48467,46826,3388,"","1","","","3","","1","","","","","4","","","8","4","14","7","4","1","","10","10","5","25","1","26","10","","","1","9","12","","","8","20","3","1","80","77","","","","","","","","","","5","","12","","","","","","","","","","","","","","","","89","","","","","","","","","","","","","","1, 27000","","1","1","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
47915,48603,47207,3398,"1","","","3","9","","","","","","1","5","","","11","2","13","6","2","1","","4","9","","45","","26","5","","","1","3","13","","","5","17","","3","49","90","","","","","","","","","","3","","8","1","1","","","","","","","1","","","","","","","137","","","","1","","1","","","","","","","","1, 27000","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
48189,49171,47246,3408,"","","","","11","","1","","","","1","2","","","5","2","18","3","5","1","","10","4","2","27","1","20","4","","","3","7","18","2","","4","27","1","3","55","96","","","","","","","","","","4","","5","","2","","","","","","","","","","","","","","142","","","","1","","","","","","","","","","1, 27000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
48461,49181,47741,3418,"1","","","","11","","","","","","3","5","","","13","","14","4","6","6","","2","4","1","30","","43","24","","","1","7","17","","","10","43","1","5","62","102","","","","","","","","","","2","","3","1","3","","","","","","","","","","","","","","187","","","","1","","1","","","","","","","","1, 27000","","","1","","","","","","","","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","",""
48733,49648,47876,3428,"3","1","","1","25","","","1","","","2","3","","","5","2","12","7","7","2","","14","9","","52","2","31","15","","","","3","31","","","6","37","","2","100","87","","1","","","","","","","","6","","1","","","","","1","","","","","","","","1","","1","238","","","","5","","1","1","","","","","","","1, 27000","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
49007,49732,48265,3438,"2","1","","","13","","2","","","","","3","","","2","1","8","3","4","4","","14","5","3","21","2","35","5","","","2","8","16","","","8","13","","4","71","57","","","1","","","","","","","5","","4","","1","","","","","","","","","","","1","","","152","","","","","","","","","","","","","","1, 27000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
49279,49965,48558,3448,"1","","","3","8","","3","","","","2","2","","","","","1","1","1","4","","","","","8","","12","1","","","","2","3","","","4","9","","1","39","25","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1, 46000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
49546,50290,48815,3458,"","3","","","15","","1","2","","","1","4","","","2","","10","8","7","3","","4","3","","30","1","55","1","","","","5","24","","","4","24","","2","82","51","","","","","","","","","","2","","1","","1","","","","","","12","","","","","1","","3","139","","","","1","","1","4","","","","","","","1, 27000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
49866,50867,48857,3469,"","3","","3","11","","2","","","","3","2","","","","","2","11","4","6","","6","1","1","19","","42","","","","2","2","15","","","8","12","","","95","53","","","","","1","","","","","4","","","","","","","","","","","","","","","","","","136","","","","1","","","","","","","","","","1, 27000","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
50248,51020,49476,3488,"","5","","1","","","1","1","","","3","7","","","","2","1","8","4","7","","35","","2","7","3","45","1","","","1","1","26","","","13","3","","1","106","31","","","","","","","","","","10","","1","","8","","","","","","4","","","","","","","","480","","","","","","","","","","","","","","1, 27000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",""
52063,53089,51026,3562,"3","","","3","","","","","","","","12","","","1","1","","11","1","8","","41","1","3","5","2","24","1","","","","","74","","","9","5","","3","180","28","","","","","","","","","","7","","1","","7","","","","","","","","","","","","","2","440","","","","","","6","","","","","","","","1, 22500","","","","","","","","","2","","","","","3","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
52493,53327,51680,3582,"","","","5","","","","2","","","3","5","","","5","1","","8","","14","","20","","4","17","2","40","","","","","","25","2","","9","12","","2","124","41","","","","","","","","","","15","","","","1","","1","1","","","","","","","","","","","435","","","","2","","","","","","","","","","1, 22500","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
53194,54073,52316,3612,"1","","","4","","","","2","","","","9","","","1","2","","3","","5","","42","","1","3","3","30","","","","","","77","","","5","","","2","134","10","","","","","","","","","","30","","","","3","","","","","","","","","","","","","","321","","","","","","2","","","1","","","","","1, 22500","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
