"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Betula","Nymphaea","Apiaceae","Vitis","Potamogeton","Sparganium","Fraxinus excelsior-type","Poterium sanguisorba","Caryophyllaceae","Cyperaceae","Fagus","Cichorioideae","Polygonum aviculare-type","Thalictrum","Ulmus","Alnus","Asteroideae","Brassicaceae","Rosaceae","Urtica","Centaurea","Ericales","Helianthemum","Olea","Amaranthaceae","Phillyrea","Abies","Pistacia","Carpinus betulus","Artemisia","Plantago","Fraxinus ornus","Corylus","Pteridium","Isoëtes","Pinus","Poaceae","Indeterminable undiff.","Ostrya/Carpinus orientalis","Quercus","Lycopodium spike","Ranunculaceae","Rubiaceae","Juniperus","Hedera","Cistus","Myriophyllum","Salix","Polypodiophyta","Juglans","Lamiaceae","Osmunda regalis","Typha latifolia","Ephedra","Tilia","Nuphar","Rhamnaceae","Daphne","Zelkova","Lycopodium","Rumex","Acer","Alisma","Polygonum","Sample quantity","Platanus","Buxus","Ilex","Taxus","Persicaria maculosa-type","Sphagnum","Liliaceae","Hippophaë","Campanulaceae","Lythrum","Boraginaceae","Pterocarya"
87944,88890,87028,41.5,"12077, 4","2","","","","","","","1","","","19","1","","4","4","1","1","1","","","","","","","7","1","29","","25","11","","1","9","","","54","25","23","8","115","1376","","","6","1","","","","1","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","",""
91054,91989,90148,42.5,"12077, 3","1","","1","","1","","1","","1","","26","1","","2","7","2","2","1","1","","","","","","7","","30","","24","15","","","3","","","50","32","27","8","88","154","","1","1","","","","","","","","","","2","1","","","","2","","","1","","","","","","","","","","","","","","",""
92609,93539,91708,43,"12077, 3","2","1","1","","","","","","","3","36","3","","1","5","2","3","","1","","","","","","8","","22","","24","22","","","14","","","54","46","24","","87","105","","1","","","","","1","","","","","","2","1","","","","1","","","","","","","","","","","","","","","","","",""
94165,95089,93268,43.5,"12077, 4","3","","1","","","","1","","2","1","69","","","4","13","2","1","","","","","","","","2","","22","","32","15","","","11","1","","34","28","28","13","97","109","","","1","","","","","5","","","","","","","","","","4","","","2","","","","","","","","","","","","","","",""
95720,96639,94827,44,"12077, 3","1","","2","","","","2","","1","4","11","","","","9","3","3","","","","","","","","3","2","25","1","29","13","","4","14","","","41","31","25","8","137","264","","1","","","","","","","","","","","","1","","","","2","","","","","","","","","","","","","","","","","",""
96497,97414,95607,44.25,"12077, 3","1","","","","","","","","2","","3","","","1","2","","3","","","","","","","","7","","15","","1","24","","","1","","","150","40","24","8","78","91","","","1","","","","","","","","","","1","","","","","","2","","1","","","","1","1","","","","","","","","","",""
97275,98189,96386,44.5,"12077, 3","5","1","1","","2","","1","","5","2","7","1","","1","6","6","2","1","","","","1","","","23","1","17","","16","45","","","10","","","30","53","32","1","143","172","","1","1","","","2","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","",""
98052,98964,97166,44.75,"12077, 3","1","","2","","","4","1","","","","26","","1","1","2","2","1","","1","","","","","","9","2","40","","29","20","","4","15","","","47","47","19","6","117","419","","1","3","","","","1","","","","","","3","2","","","","1","","1","","","","","","5","","","","","","","","","",""
98830,99739,97945,45,"12077, 3","","","2","","1","1","2","","","","32","","2","3","6","2","","1","1","","","","1","","11","","41","","29","26","","","23","","","49","43","41","4","114","306","","3","","","","","","","","","","","","4","","","","1","","2","","3","","","","19","","","","","","","","","",""
99607,100514,98724,45.25,"12077, 3","6","","","","","3","","","","","47","","","2","4","4","","1","","","","","","","8","","39","","41","23","","","19","","","31","39","47","9","109","151","","2","1","","","","","","","","","","2","1","","","","","","","","","","1","","17","","","","","","","","","",""
100385,101289,99503,45.5,"12077, 3","4","1","","","1","4","","","","","","1","4","1","","5","6","","","","","","1","2","16","4","6","","10","56","","","5","","","69","60","60","","159","232","","6","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
101162,102063,100281,45.75,"12077, 3","1","","3","","","1","","","1","","1","2","4","","2","1","2","3","","","1","","","","17","","17","","8","35","","1","","","","52","51","17","1","153","275","","1","3","","","","1","","","","","","1","1","","","","","","3","","","","","","1","","","","","","","","","",""
101940,102838,101060,46,"12077, 3","2","","","","","4","","","","","","","","","1","2","2","3","1","","","","","","5","","7","","9","26","","1","2","1","","54","17","18","2","172","56","","1","","","","","","1","","","","","","2","","","","2","","","","","","","","","","","","","","","","","",""
103495,104388,102618,46.5,"12077, 3","6","","","","2","1","","","1","","1","","1","1","3","1","2","","","","","1","","","6","1","7","","18","21","1","1","11","","1","43","34","18","3","251","57","","1","4","","","","","1","","","","","","3","","","","","","1","","","","","","1","","","","","","","","","",""
106605,107487,105732,47.5,"12077, 4","5","","","","","2","1","","","1","","","","1","5","5","4","","1","","","","","","","1","14","","22","21","","","19","","","47","31","33","5","251","89","1","1","2","1","","","","1","","","","","2","6","","","","","","","","","","","","","","","","","","","","","",""
109715,110586,108844,48.5,"12077, 3","5","","1","","1","1","1","","1","1","","","1","2","5","6","2","","","","","","","","6","2","19","","27","10","","1","12","","","43","38","23","1","211","71","","1","","","","","","","","","","","1","9","","","","1","","","","","","","","","","","","","","","","","",""
112826,113685,111956,49.5,"12077, 4","7","1","1","","3","1","","","","","","2","","2","8","8","2","","","","","","","","2","1","32","","74","15","1","1","6","","","30","22","28","8","155","64","","1","1","","","","","","","","","1","1","5","","","","1","","1","","","","","","","","","","","","","","","",""
115936,116784,115068,50.5,"12077, 3","9","1","1","","2","","","","1","","","","5","2","13","14","1","1","","","","","","","3","2","63","","208","15","2","","6","","","58","37","25","25","159","73","","","","","","2","","","","","","","","11","","","","1","","","","","","","1","4","1","","","","","","","","",""
119046,119882,118178,51.5,"12077, 4","20","","3","","4","","","","1","","","1","1","4","27","15","","2","","","","","","","2","2","125","1","312","22","","2","5","1","","104","39","56","62","230","213","","1","","","1","2","","7","","","","","","14","","","","3","","2","1","","","","","","","","","","","","","","",""
122156,122982,121289,52.5,"12077, 3","20","","","","1","","","","1","1","","1","","2","69","20","1","","2","","","","","1","11","","62","","208","20","1","","10","","","85","33","57","57","222","104","","2","","1","","1","","4","","","","1","","17","","","","","","","1","","","","","1","","","","","","","","","",""
125266,126083,124401,53.5,"12077, 3","18","","1","","7","","4","1","1","4","","2","","2","42","30","2","1","4","","","2","","","4","","60","","196","11","1","","16","3","","75","43","67","88","321","145","2","2","1","2","","5","","2","","","","1","","13","","","","2","","1","1","","","","2","1","","","","","","","","","",""
126821,127634,125957,54,"12077, 4","2","","2","","","","1","","5","","","1","2","3","33","11","","1","","","","2","","1","","4","36","1","317","5","","2","7","","","53","36","50","51","257","115","","2","","","","2","2","1","","","","","","12","","","","","","","2","","","","","","","","","","","","","","",""
128377,129186,127514,54.5,"12077, 4","1","","","","3","2","6","","","1","","1","4","2","27","4","4","","","","","3","","9","10","7","20","","23","11","","1","5","","11","120","55","106","63","545","112","","","2","2","2","2","","3","","","","","","5","","","","","","","","","1","","1","","","","","","","","","","",""
129932,130737,129070,55,"12077, 4","2","","8","","2","","8","","1","2","","6","4","","18","1","2","2","2","","1","9","","69","5","10","29","1","4","7","","8","7","","","128","74","65","29","549","168","","","","5","","1","","3","","","","","","3","","","","3","","","","","1","","","","","","","","","","","","",""
131487,132290,130627,55.5,"12077, 3","","","4","","1","1","2","3","","2","","2","3","1","12","2","4","","3","","1","4","","26","3","9","12","3","7","8","4","8","3","","3","90","43","63","9","579","94","","","1","2","1","1","","2","","","","2","","3","","","","","","1","","","1","","1","","","","","","","","","","",""
134597,135396,133742,56.5,"12077, 3","1","","4","","8","","6","3","","1","","1","","1","6","1","2","1","2","","","","","","5","3","3","","1","9","","6","5","","","68","27","58","5","250","56","","","4","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","",""
137707,138503,136856,57.5,"12077, 4","10","","2","","6","","5","4","","","","1","","2","17","2","4","1","1","","1","","","","6","","","2","1","8","","3","","","","47","50","68","2","166","103","","","17","","","","","","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","",""
140817,141611,139970,58.5,"12077, 3","10","","6","","14","3","","1","4","","1","1","","1","18","2","3","","","","1","","","","10","","1","","","11","","1","1","","","51","78","75","","229","87","","","9","","","","","4","","","","","1","","","","1","1","","7","","","","","","","","","","","","","","","",""
143927,144721,143086,59.5,"12077, 4","12","","5","","1","1","","","2","","","","","3","","","5","1","1","","1","","1","","22","","5","","3","88","1","2","","","","34","48","27","","51","481","","8","4","","","","","","","","","","2","","","","","","","1","1","","","","","","","","","","","","","","",""
147038,147832,146200,60.5,"12077, 3","4","","6","","2","6","","","1","1","","1","4","2","","2","4","","1","","2","","2","2","22","2","2","","","71","","","5","","","21","102","70","","64","384","","11","3","","1","","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","",""
150148,150943,149315,61.5,"12077, 2","5","","8","","","","","","6","2","","2","3","1","","","14","","","","1","","","","76","","1","","","121","3","","1","","","7","119","25","","59","264","1","18","3","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","",""
153258,154054,152428,62.5,"12077, 3","2","","4","","","1","","","4","","1","4","","2","","2","17","","1","","3","","","","45","","1","","","75","3","1","","1","","23","74","38","2","54","310","3","8","3","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
156368,157167,155541,63.5,"12077, 2","10","","7","","","","","","3","","","4","1","4","2","2","6","2","","","","","1","","45","","4","","3","110","","","1","","","20","119","24","","57","245","","12","1","","","","","","","1","","","2","","","","","","","1","","","","","","","","","","","","","","","",""
159478,160279,158653,64.5,"12077, 2","4","","6","","","4","","","1","3","1","","3","1","4","8","5","2","3","","","","","","13","","15","","13","59","1","1","6","","","43","100","29","2","178","101","","7","2","","","","","","","","","","1","3","","","","","","1","1","","","","","","","","","","","","","","",""
162589,163390,161764,65.5,"12077, 3","6","","5","","1","1","2","","1","1","","1","1","4","","1","11","","","","","","","","18","","3","","","92","","","2","1","","32","93","68","","28","225","","2","4","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
165699,166503,164875,66.5,"12077, 2","12","","4","","","1","","","2","","1","1","1","9","1","3","8","","","","1","","","","16","","12","","9","62","","","","","","84","87","12","3","35","115","","3","1","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","",""
168809,169614,167984,67.5,"12077, 2","1","","1","","1","1","","1","","1","1","3","6","2","3","2","2","1","","","","","","","24","","4","","","59","","","12","","","97","79","18","3","95","381","","1","9","","","1","","","","","","","2","","","","","1","","2","","","","","","","","","","","","","","","",""
171919,172725,171092,68.5,"12077, 2","","","3","","","","","2","2","1","","1","","1","4","4","5","1","","","1","","","","24","","3","","3","91","","","6","","","119","90","14","1","137","218","","1","6","","","","","","","","","","2","","","","","2","","","","","","","","","","","","","","","","","",""
175029,175837,174199,69.5,"12077, 2","6","","1","","","","1","","1","","","2","1","1","1","2","3","1","","","","","1","","14","","4","","","57","1","","4","","","97","88","16","2","112","269","","6","5","","","4","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
178139,178950,177306,70.5,"12077, 3","3","","5","","","1","","","","","2","2","1","1","5","4","2","","1","","1","","","","29","","3","","","68","1","","16","","","80","80","12","","111","374","","3","3","","","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","",""
181250,182061,180411,71.5,"12077, 3","1","","","","","1","","","9","","","2","1","3","","","9","","","","2","","1","","40","1","1","","","53","","","1","","","74","26","55","","87","571","","1","2","","1","","","","","","","","1","","","","","","","1","","","2","","","","","","","","","","","","",""
184360,185175,183516,72.5,"12077, 3","","","1","","","","","1","8","","","5","4","","7","1","7","1","","","","","1","","20","","3","","","40","","","7","","","60","69","30","2","86","899","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
187470,188289,186618,73.5,"12077, 3","1","","2","","","1","","1","2","","","2","5","","1","","5","","","","","","","","55","","5","","","71","1","","1","","","39","46","21","1","68","215","","6","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
190580,191403,189722,74.5,"12077, 3","1","1","2","","","2","","","10","","","1","5","1","1","1","4","","","","5","","","","21","","1","","","82","","","2","","","42","73","31","","55","740","","1","3","","","","","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","",""
193690,194519,192825,75.5,"12077, 3","4","","","","","1","","1","4","","3","1","1","1","","1","2","","","","","","","","25","","1","","","67","","","2","","","28","42","40","","93","314","","","4","","","","","","","","","","2","1","1","","","1","","","","","","","","","","","","","","","","","",""
196800,197637,195928,76.5,"12077, 3","","","","","","","","","3","","4","1","2","2","1","","2","","","","","","","","11","","8","","2","43","2","","5","","","84","66","16","","65","189","","1","4","","","1","","","","","","","1","2","","","","1","","","","","","","","","","","","","","","","","",""
199911,200755,199029,77.5,"12077, 3","2","","1","","","","","","1","","6","2","3","","1","","3","","","","","","","","15","","8","","2","42","","","3","","","147","76","23","1","49","246","","","11","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
203021,203874,202131,78.5,"12077, 3","3","","","","","1","","","2","","1","3","2","1","1","1","","2","","","","","","","15","","12","","2","57","2","1","2","","","172","59","25","","53","350","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
206131,206994,205232,79.5,"12077, 3","2","","","","","1","","","1","","3","","","","2","3","5","","","","1","","","","19","","26","","4","33","1","","6","","","172","54","26","","82","243","","","16","","","","","","","","","","","1","","","","3","","","","","","","","","","","","","","","","","",""
209241,210115,208332,80.5,"12077, 3","1","","","","","1","","","","","2","3","2","","","","","","","","","","","","7","","7","","1","18","1","","2","","","129","58","54","1","34","197","","1","1","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","",""
212351,213237,211431,81.5,"12077, 3","1","","1","","","","1","","2","","5","1","5","3","2","2","2","","","","1","","","","9","","12","","3","39","","","3","","","125","60","17","2","64","202","","","4","","","","","","","","","1","1","","","","","1","","","1","","","","","1","","","","","","","","","",""
215462,216357,214529,82.5,"12077, 3","3","","","","","","1","","2","","6","5","2","1","1","","3","","","","1","","","","13","","9","","2","16","","1","3","","","144","66","27","1","23","316","","2","4","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","",""
218572,219478,217626,83.5,"12077, 3","4","","","","","1","","","3","","5","4","3","","2","","3","","","","","","","","5","","10","","2","26","","2","4","","","133","51","25","1","41","406","","","6","","","","","","","","","","1","","","","","2","","","1","","","","","","","","","","","","","","",""
220127,221038,219174,84,"18470, 3","26","","3","","","4","","","3","","3","1","2","5","7","7","5","2","3","","","","","","10","1","51","","9","22","","","10","","","32","65","13","9","98","82","","5","","","","","","","","","","","2","","","","","1","","1","1","","","","","1","","","","","","","","","",""
221682,222599,220723,84.5,"12077, 3","","","2","","","1","1","","","","2","","1","","7","2","1","2","1","","","","","","4","","40","","4","21","","","12","","","28","6","8","4","218","53","","","8","","","","","","","","","","","3","","","","6","","","","","","","","3","","","","","","","","","",""
223237,224158,222270,85,"18470, 3","2","","1","","","3","1","","2","","13","","3","1","2","4","3","1","1","","","1","","","6","1","21","1","9","22","","","6","1","","13","25","24","3","217","43","","","2","","","","","","","","","","","1","","","","1","","2","1","","","","","1","","","","","","","","","",""
224792,225718,223818,85.5,"12077, 3","2","","","","","1","","","1","","2","","1","","","1","","","1","","","","","","6","1","20","","6","11","","1","10","","","19","18","67","3","188","42","","","1","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
