Depth,Foraminifera,Copepoda,Lezine et al 2017 Calibrated radiocarbon years BP,Aaronsohnia-type,Acacia,Aerva javanica,Aeschynomene,Aizoaceae undiff.,Albizia,Alchornea,Algae undiff.,Amaranthaceae undiff.,Amaranthus-type,Andrachne,Apiaceae undiff.,Apocynaceae (type 3),Armeria,Arnebia,Artemisia,Arthrocaulon-type,Ascolepis,Asteraceae undiff.,Atractylis,Atriplex-type,Avicennia,Balanites,Barbeya oleoides,Blepharis-type,Boerhavia-type erecta,Boscia/Cadaba,Botryococcus,Brassicaceae undiff.,Caesalpinioideae undiff.,Calligonum,Caryophyllaceae undiff.,Cassia,Caucanthus-type,Cedrus,Celosia argentea,Celtis,Centaurea jacea-type,Centaurea sinaica-type,Centaurium pulchellum,Chrozophora tinctoria,Cichorieae undiff.,Cissampelos,Cissus,Combretum,Combretum-type aculeatum,Combretum-type molle,Commiphora,Convolvulaceae undiff.,Convolvulus,Cornulaca/Aerva,Cynoglossum-type,Cyperaceae undiff.,Dinoflagellata undiff.,Dinoflagellate (Braun),Dipterygium,Dissotis-type,Dodonaea,Elaeis,Ephedra distachya-type,Ephedra fragilis-type,Ericaceae,Eriosema-type,Erodium,Euphorbia,Euphorbia hirta-type,Euphorbiaceae undiff.,Fabaceae undiff.,Fagonia,Filago-type,Geranium,Hagenia abyssinica,Heliotropium strigosum-type,Heliotropium-type lithospermoides,Juniperus,Justicia-type,Kohautia,Lamiaceae undiff.,Limonium-type,Lippia-type,Lotus arabicus-type,Macaranga-type,Maerua,Matricaria-type,Maytenus,Moltkiopsis,Monocotyledoneae undiff.,Monoletes (psilate),Monsonia heliotropioides-type,Myrica,Neurada procumbens,Nymphaea,Olea capensis-type,Olea europaea-type,Oleaceae undiff.,Paronychia,Pimpinella,Pistacia,Plantago,Poaceae undiff.,Podocarpus,Polycarpaea,Polycarpon,Polydora serratuloides,Polygala,Polygonum bellardii-type,Prosopis,Psoralea,Pteridophyta undiff.,Pteris,Pulicaria,Rapanea,Resedaceae undiff.,Rhanterium-type,Rhizophora,Rhus-type,Rosaceae undiff.,Rumex,Salix,Salvadora,Sapotaceae undiff.,Scrophulariaceae-type,Solanaceae undiff.,Sorindeia,Suaeda,Syzygium,Tamarindus,Tamarix,Tephrosia-type,Tintinnidiidae,Tribulus,Trichodesma,Typha,Unknown,Unknown (type 1),Unknown (type 2),Unknown (type 3),Unknown (type 4),Urticaceae undiff.,Vahlia-type,Veronica,Vitaceae undiff.,Zaleya-type,Ziziphus-type,Zygnemataceae undiff.,Zygophyllum
205.5,563,,--/2271/--,4,,,,,,,,41,22,,,,,,29,14,,6,,11,3,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,23,,7,19,39,3,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,1,,1,12,,1,,,,,1,,,,,,,,,,,,,,,,,,13,,,,,10,2,,,2,,48,10,,,,,,,,,
207.5,319,,--/2300/--,2,1,,,2,,,,36,38,,1,,1,,48,23,,6,,16,12,,,1,,,,,,5,,,,,1,,1,,,,1,,,2,1,2,,,2,39,,25,41,,3,,2,,,,,,,2,,,,,1,,1,2,,,,,1,,,,,,,,,,,1,,,,,,,3,,,2,11,,,,,,,2,,,,2,,2,,2,,,,,,,,,,35,,,1,,12,3,,3,5,,33,12,,,,,,,,,
210.5,237,,--/2345/--,4,1,,,1,,,,22,32,,1,,,,61,12,,6,,24,2,,,,,,,1,,4,3,1,,,1,,1,1,,,,,,2,,,,,2,35,,13,31,7,2,,2,,1,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,1,2,,,,,,,,,,1,8,,,,,1,,,,,,2,,1,,4,,,,,,,,,,35,,,1,,7,3,,2,2,,82,46,,,,,,,,,
212.5,395,,--/2375/--,7,,,,1,,,,32,36,,1,,,,41,12,,3,,13,14,,,,,,,,,2,,,,,2,,2,,,1,,,,,1,4,,,1,40,,27,38,,7,,2,,,1,,,,,3,,2,,,,,,,1,,,,,,,,2,,,,,,,,,,,1,,1,,,,11,,,,,,,1,,,,1,,,,6,,,,,,,,,,26,,,2,,9,1,,,4,9,22,,,2,,,,,,,2
215.5,147,,--/2420/--,1,,,,,,,,34,25,,,,,,55,13,,4,,18,2,,,,,,,1,,4,1,,,,1,,1,,,,,,,,1,4,,,1,30,,34,32,,,,,,1,,,,,2,2,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,2,,,2,13,2,,,,,,2,,,,,,,,1,,1,,1,,,,,,31,1,,,,14,2,,,1,,129,43,4,1,2,,,,,,3
217.5,217,,--/2450/--,3,1,,,1,1,1,1,32,39,,2,,2,,33,14,,4,,21,7,,,,,,,,,3,,1,,,1,,1,,,,,,,4,,3,,,1,36,1,16,19,,2,,,,,2,,,,,1,,,,1,,,2,1,,,1,,,,,,,,,,,,,,,,,,,6,,,,9,,,,,1,,,,,,6,,1,,1,,,,,,,,,,42,,,,,6,3,,,2,,6,6,,,,,,,,,
225.5,,,--/2569/--,3,,,,,,,,38,29,,,,,,63,22,,2,,14,6,,1,1,,,,2,,4,1,,,,1,,,,,,,,,2,,2,,,,36,,15,,,,,6,,,1,,,,,2,,,,,,,1,,,,1,,,,,,2,,,,,,1,,,,,1,,2,,,2,7,,,,,,,,1,,,,,1,2,2,,,,,2,,,,,31,,,,,,6,,2,,,,,,,,,,,,,
230.5,126,,--/2644/--,,,,,1,,,,33,41,,2,,,,49,13,,4,1,14,4,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,64,,24,5,,4,,1,,,,,,,,1,,1,,,,,3,,,,,,,,,,,,,,,,,,,,1,2,,4,1,,2,13,,,,,,,2,,,,2,,,,7,,,,,1,,,1,,26,,,,,,2,,,1,,44,39,,,,,,,,,
245.5,245,,--/2868/--,1,2,,1,1,,,,17,14,,,,,,55,7,,3,,18,8,,,,,,,,,,1,1,,,,,,,,,,1,,,1,4,1,,1,37,,17,18,,,,2,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,11,1,,,,,,,,,,1,,,1,1,,,,,,,,,,17,,2,1,,16,3,,,5,,31,8,,,,,,,1,,
249.5,533,,--/2927/--,1,2,,,,,,,17,26,,,,,,42,13,,3,,13,8,,,,,,,,,2,,,,,,,,,,,,,,,2,1,,,,45,,28,43,,2,,1,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,1,,6,,,1,1,3,,,,,27,,,,,9,3,,,2,,52,26,,,,,,,,,
260.5,184,,--/3032/--,3,,,,,,,,30,19,,,,,,51,19,,,17,5,,,,,,,,,,,,,,1,2,,,,,,,,,,1,1,1,,,41,,23,12,,2,,2,,,3,,,,,4,,,,,,,1,1,3,,,1,,,1,,,,,,2,,,,,,,,,5,,,1,16,1,,,,,,,,,,2,,1,,22,,,,,,,,,,19,,,,,12,2,,1,1,,98,49,,,,,,,,2,
275.5,413,,--/3256/--,,,,,,,,,31,6,,,,,,38,6,,1,,14,4,,,,,,,,,,,,,,1,,,,,,,,,1,2,3,,,,22,,21,21,,3,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,,,,,14,1,,,,,,,,,9,,,1,,16,3,,1,,,47,37,,,,,,,,,
280.5,264,,--/3331/--,,2,1,,,,,,42,19,,,,,,45,7,,2,,17,7,,,,,,,1,,2,,,,,4,,,,,,,,,3,1,3,,,1,60,1,28,31,,4,,1,,,1,,,,,6,,1,,,,,,,,,,,,,,,,1,,,1,1,,,,,,1,,,1,,,14,2,1,,,,,,,,,,,2,1,41,,,,,,,,1,,19,,,,,22,6,,,1,,57,105,,,,,,,,,
290.5,168,,--/3480/--,2,1,4,,,,,,17,25,,3,,1,,39,16,,1,,18,3,,,,,,,,,,,,,,1,,1,,,,,,,5,,,,,,42,,24,8,,5,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,4,,21,,,1,,,,,1,,31,,,,,,1,,,,2,25,8,2,1,,,1,,,,
299.5,107,2,--/3614/--,,,,,,,,,36,31,,1,,,,46,16,,3,1,18,4,,,,,,,1,,3,,,,,,,3,,,,1,,,3,1,2,,,1,42,,21,24,,4,,2,,1,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,,,1,6,,,,1,,,,1,,,2,,,,33,,,,,,,,,,23,,,,,2,6,,,1,,23,49,3,2,,,,,,,
305.5,226,,--/3764/--,1,1,,,,,,,40,17,,,,,,43,7,,2,,9,1,,,2,,,,,,6,,,,,2,,,,,,,,,1,1,1,,,,38,,15,34,,2,,,,,1,,,,1,2,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,1,,,2,,,1,7,,,,,,,,,,,,,,,31,,,,,,,,,,10,,,,,10,2,,,,,108,79,,,,,,,,,1
310.5,206,1,--/3993/--,,1,,,1,,,,20,19,,,,,,46,6,,2,1,15,3,,,,,,,1,,3,,,,,1,,1,,,,,,,,,,,,,48,,22,12,,5,,1,,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,4,,,,3,,,,,,,,,,,1,,,,58,,,,,,,,,,32,,,,,4,2,,,4,,23,8,,,,,,,,,
315.5,554,5,--/4223/--,,2,,,,,,1,28,14,,,,,,16,8,,6,,10,,,,,,,,1,,1,,,,,1,,,,,,1,,,,1,,,,,29,,13,22,27,,,1,,,,,1,,,,,,,,,,,,,,2,1,,,,,,1,,,,,,,,,,2,,4,,,,16,,,,,,,,,,,,,,,39,,,,,,,,,,5,,,1,,5,4,,,,,43,16,,,,,,,1,,
320.5,371,,--/4452/--,,1,,,1,,,,34,15,,,,1,,42,10,,,1,15,2,,,,,,,,,1,,,,,2,,,,,,,,,3,,2,,,,45,,17,17,,,,4,,1,1,,,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,14,,,,23,1,,,,,,,,,,,,3,,63,,,,,,,,,,29,,,,,22,4,,,2,,56,34,,1,,,,,1,,1
325.5,526,9,--/4682/--,3,,,,1,1,,,3,18,,,,,,38,14,,3,,15,1,,,,,,,1,,3,,,,,,,1,,,,1,,,4,1,2,2,,,31,,25,9,,2,,2,,2,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,2,10,2,1,,1,,,,,,,,,1,,48,,,,,,,,,,14,,,,,18,4,,2,1,,36,58,,2,,,,,,,1
330.5,334,,--/4912/--,1,,,,,,,,32,21,,,,,,27,3,,2,,7,7,,,,,,,1,,4,,,,,3,,1,,,,,,,,1,5,1,,,32,,29,18,,4,,1,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,18,,,1,,,,,,,,,1,,,43,,,,,,,,,,17,2,,2,,22,3,,,2,,33,48,,,,,,,,,
332.5,242,1,--/5004/--,,1,,,,,1,,26,20,,,,,,38,16,,3,1,17,9,,,1,,,,5,,3,,,,,,,1,,,,,,,,2,4,1,,,48,,30,9,,5,,1,,,,,,,1,5,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,1,,,6,2,,2,17,,,,,,,,,,,,,,,64,,,,1,,,,,,28,,1,,,8,11,,1,2,,9,3,,,,,,,,,1
335.5,256,,--/5141/--,2,,,,,,,,15,20,,,,1,,15,13,,,1,6,2,,,,,,2,,1,,1,1,,,4,,,,,,2,,,,,1,,,,32,,22,6,,,,1,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,13,,,,,,,,,,,,,,,31,,,,1,,,,,,11,,,,2,10,3,,,,2,16,14,,,,,,,,,
337.5,69,7,--/5233/--,1,,,,5,,1,,34,6,,,,,,13,16,,5,,7,3,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,3,18,,13,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,13,,,,,,,,,,,,,,,61,,,1,,,,,,,27,1,,,,11,1,,,2,,5,,,,,,,,,,1
340.5,822,14,--/5371/--,1,,,,1,,,,42,16,,1,,,,19,16,,2,,4,5,,,,,,,,,1,,,,,2,,,,,,,,,,,2,1,,,48,,39,9,,1,,,,1,1,,,,,2,,1,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,8,,,2,28,2,,3,,1,,,,,,2,,2,,80,,,1,1,,,,,,20,2,,,,9,1,,2,3,,27,32,,,,,,,,,1
342.5,,,--/5463/--,1,1,,,,,,,5,2,,,,,1,6,3,,,,3,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,6,,9,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,13,,,,,,,,,,,,,,,22,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,1
345.5,871,12,--/5601/--,1,,,,,,,,27,15,,,,,,26,12,,1,,13,2,,,,,,,1,,2,,,,,1,,,,,,,,,2,,1,,,,26,,22,44,,6,,1,,,,,,1,,3,,2,,,,,1,,,,1,1,,,,1,,,,1,,,,1,,,,,,1,,,1,14,,,,,,,,,,,,,,,89,,,,,,,,,,16,,,1,,37,4,1,,3,,62,25,12,,1,,,,,,2
347.5,101,1,--/5693/--,,1,5,,1,,,,15,17,,,,,,15,13,1,7,,19,4,,,,,1,,2,,3,,,,,,,2,,,,1,,,,1,2,1,,,32,,31,9,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,83,,,,,,1,,,,21,,,1,,12,7,,1,1,,3,,,,,,,,,,
349.5,384,4,--/5785/--,,,,,,,,,46,22,,1,,,,20,13,,4,,8,3,,,,,,,,,1,,,,,1,,,,,,,,,3,3,1,,,,37,,24,29,,2,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,15,2,,,,,,,,,1,,,1,,79,,,,,,,,,,6,,,2,,12,4,,,3,,50,33,,,,,,,,,
355.6,724,1,--/6060/--,,,,,,,,,18,15,,,,3,,19,4,,1,,6,2,,,,,,,,,4,,,,,,,,,,,,,1,3,1,,,,,26,,10,51,,3,,3,,,,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,18,1,,,,,,,,,,,,3,2,44,,,,,,,1,,,47,,,,,58,6,,,,,19,13,,,1,,,,,,
358.5,18,,--/6198/--,,,,,3,,,,19,10,,,,,,6,1,,,,4,4,,,,,,,,,4,,,,,,,,,,,,,,1,,1,,,,16,,27,6,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,1,,,,14,,,,,,,,,,,,,,,34,,,,,,,,1,,17,,,,,7,4,,,,,1,1,,,,,,,,,
360.5,204,,--/6290/--,,,4,,2,,,3,15,23,1,,,,,16,22,,5,,12,5,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,29,,44,13,,2,,,1,,,,,,,9,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,1,12,1,,,,,,,,1,,,,,,62,,,1,,,1,,,,14,,,,,3,6,,4,2,,21,8,,,,,,,,,
362.5,104,,--/6382/--,,,,,,,2,,14,27,1,,,1,,16,8,,1,,4,6,,,,,,,1,,1,,1,,,,,,,,,1,,,,3,,,,2,20,,23,6,,1,,2,,,2,,,,1,3,,,,,,,,,,,,,,,,,,,,,,4,,,,,2,1,,5,,,,18,,,,,,,,,,,1,,1,,75,,,,1,2,,,,,21,,,,,7,11,,1,1,,2,2,,,,,,,,,
365.5,317,,--/6520/--,,,,,,,,,21,18,,,,1,,17,7,,,,10,6,,,,,,,,,,,,,,,1,,,,,1,,,1,2,1,,,,43,,39,26,,2,,,,1,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,3,,,1,,2,18,2,,,,,,,,,,4,,4,,90,,,,,,,,,,21,,,,,34,2,,,1,,17,4,,,,,,,,,1
379.5,65,,--/6588/--,,,,,,,,,5,6,,,,,,5,4,,,1,2,3,,,,,,,,,1,,,,,,,1,,,,1,,,,,,1,,,17,,21,2,,3,,1,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,1,,,,40,,,,,,,,,,9,,,,,4,2,,,,,5,2,,,,,,,,,
390.5,387,7,--/6641/--,,,,,,,,,50,8,,,,1,,13,10,,5,,7,6,,,,,,,,,,,,1,,2,,,,,,1,,,1,,2,,,1,48,,20,22,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,2,,1,,,1,19,1,,,,,,,,,1,,,,,105,,,,,1,,,1,,14,,,1,,4,3,,,,,4,15,,,,,,1,,,
399.5,263,,--/6685/--,2,,,,,,,,21,8,,,,2,,8,4,,1,,5,7,,,,,,,1,,,,,,,,,,,,,1,,,,,1,1,,,20,,21,21,,3,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,14,,,1,,,,,,,,,,,,121,,,,,,,,,,17,,,,1,5,3,,,,,16,5,,,,,,,,,1
410.5,572,4,--/6739/--,3,,,,,,,,27,12,,1,,,,14,16,,,,11,3,,,,,,,1,,3,,,,,,,1,,,,,,,1,,,,,1,24,,21,52,,1,1,3,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,13,,,,,,,,,,,,,2,,155,,,,,1,1,,,,21,,,,,11,1,,2,2,,22,15,,,,,,,,,
420.5,158,,--/6788/--,1,,,,,,,,30,18,,1,,,,7,33,,3,,8,14,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,16,,18,5,,1,,,,,2,,,,,2,,3,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,14,,,,,,,,,,,,,6,,162,,,,,2,,,,,21,,,,,4,,,2,,17,,1,,,,,,,,,
430.5,121,,--/6836/--,,,,,,,,,48,19,,,,,,4,20,,,1,4,9,,,2,,,,,,2,,,,,,,,,,,1,,,,1,,,,1,10,2,10,10,,1,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,4,,,,2,1,,,,,1,,,1,,182,,,,,,,,,,16,,,,,5,2,,,2,,13,,,,,,,,,,
439.5,69,,--/6880/--,,,,,,,1,5,30,14,,,,,,8,32,,,,4,51,,,,,,3,,,,,,,,,1,,,,,,,,2,1,,,,,9,,10,3,,1,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,10,,,,,,,,,,,,,1,,138,,,,,,,,,1,35,,,,,,1,,,1,,4,,,,,,,,,2,2
