"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Ephedra","Quercus ilex-type","Cistus","Plantago","Olea","Unknown (monolete)","Quercus","Quercus robur-type","Unknown","Ericaceae","Poaceae","Unknown (trilete)","Sparganium-type","Asteroideae","Phillyrea","Pseudoschizaea","Potamogeton","Cyperaceae","Amaranthaceae","Cichorioideae","Pinus","Rubiaceae","Brassicaceae","Artemisia","Lamiaceae","Apiaceae","Fraxinus","Typha latifolia-type","Poaceae (Cerealia-type)","Euphorbia","Buxus","Pistacia","Dinoflagellata","Betula","Corylus","Juglans","Hedera","Myriophyllum","Rhamnus","Ligustrum","Helianthemum","Ulmus","Malva","Fagus","Tilia","Salix","Juniperus","Liliaceae","Abies","Geraniaceae","Caryophyllaceae","Ranunculaceae","Convolvulaceae","Campanulaceae","Carpinus"
7598,7741,7442,1354,1,44,2,NA,NA,NA,2,NA,7,21,2,10,33,1,159,NA,2,7,1,7,2,46,NA,1,6,5,31,NA,NA,NA,NA,NA,9,NA,NA,18,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,6,4,NA,NA,NA,NA,NA,NA,NA
7607,7747,7450,1363,2,23,NA,NA,1,NA,5,3,6,19,3,19,19,3,111,NA,2,3,4,3,NA,31,NA,2,17,4,58,NA,NA,NA,NA,1,11,NA,NA,24,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,21,10,NA,NA,1,1,NA,NA,NA
7615,7755,7460,1372,3,24,14,3,NA,NA,3,NA,4,18,1,27,44,6,181,NA,NA,3,9,6,1,47,NA,NA,11,6,107,NA,NA,NA,NA,NA,14,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,7,NA,NA,NA,5,NA,NA,NA
7624,7762,7469,1381,4,41,NA,NA,2,NA,7,NA,4,20,2,42,39,6,181,NA,NA,7,7,NA,NA,51,1,NA,13,4,43,NA,NA,2,NA,NA,10,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,32,9,NA,NA,NA,2,NA,NA,NA
7632,7770,7479,1390,4,40,NA,NA,NA,NA,3,1,2,16,2,33,24,11,130,NA,NA,3,2,6,2,66,NA,NA,9,8,41,NA,NA,2,NA,3,8,NA,NA,19,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,32,4,NA,NA,2,1,NA,NA,NA
7642,7778,7490,1400,2,27,6,2,2,NA,3,NA,9,20,NA,13,22,5,111,NA,NA,3,6,NA,NA,61,3,2,1,6,31,NA,NA,NA,NA,1,5,NA,NA,25,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,19,3,NA,NA,NA,NA,NA,NA,NA
7651,7785,7499,1409,1,46,3,NA,NA,NA,NA,NA,3,15,9,3,11,1,137,2,4,NA,3,2,NA,33,NA,2,4,6,29,NA,NA,NA,NA,NA,NA,NA,3,9,NA,2,NA,NA,NA,NA,NA,NA,NA,6,NA,15,6,NA,NA,3,NA,NA,NA,NA
7659,7794,7509,1418,3,23,10,NA,NA,NA,NA,NA,16,12,2,10,22,8,152,NA,3,5,3,5,NA,48,NA,3,13,5,28,NA,NA,NA,NA,NA,5,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,8,6,NA,NA,NA,4,NA,NA,NA
7668,7801,7518,1427,1,13,4,NA,4,NA,2,NA,9,12,2,7,28,4,106,NA,3,7,NA,4,NA,63,NA,NA,20,7,46,NA,NA,NA,NA,NA,10,NA,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,8,4,NA,1,NA,6,NA,NA,NA
7676,7809,7528,1436,2,33,2,NA,1,NA,2,NA,6,15,2,6,23,NA,123,NA,NA,3,2,2,NA,42,NA,NA,13,1,46,NA,NA,NA,NA,NA,5,3,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,17,7,NA,NA,NA,5,NA,NA,NA
7685,7816,7537,1445,NA,27,3,NA,4,NA,6,NA,1,17,2,16,17,3,149,NA,2,7,7,3,NA,44,NA,2,16,3,75,NA,NA,NA,NA,3,4,2,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,19,3,NA,NA,NA,5,NA,NA,NA
