"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Helianthemum","Olea","Anthemis-type","Centaurea nigra-type","Serratula-type","Calluna","Indeterminable","Rumex","Pistacia","Ephedra fragilis-type","Ericaceae","Amaranthaceae","Plantago","Aster-type","Quercus suber-type","Cyperaceae","Unknown (trilete)","Quercus (evergreen-type)","Cedrus","Quercus (deciduous-type)","Poaceae","Taraxacum","Pinus","Lycopodium spike","Caryophyllaceae","Cirsium-type","Ephedra distachya-type","Anogramma leptophylla","Artemisia","Isoëtes","Cupressaceae","Gentianaceae","Alnus","Brassicaceae","Phillyrea","Mercurialis-type","Halimium","Lygeum spartum","Botrychium-type","Corylus","Vitis","Myrica","Centaurea scabiosa-type","Poterium sanguisorba","Unknown","Cistus","Pseudoschizaea","Asphodelus","Unknown (monolete)","Betula","Ophioglossum lusitanicum","Carpinus","Alisma-type","Selaginella","Fabaceae","Hedera helix","Polypodium vulgare-type","Scabiosa","Ambrosia-type","Lamiaceae","Rosaceae","Buxus","Salix","Tilia","Plumbaginaceae","Ulmus","Fraxinus excelsior-type","Mentha-type","Rhamnus-type","Cryptogramma","Thalictrum","Valerianoideae","Veronica-type","Apiaceae","Linum","Ranunculaceae","Hippophaë","Ulex-type","Tamarix","Abies","Poaceae (Cerealia-type)","Echinops","Typha","Acer","Centaurium","Campanulaceae","Pilularia globulifera","Potamogeton","Plantago lanceolata-type","Liliaceae","Vicia-type","Galium-type","Coriaria myrtifolia","Crassulaceae","Euphorbia","Polygonum aviculare-type","Pedicularis","Picea","Lemna","Taxus","Persicaria maculosa-type","Scrophulariaceae","Bupleurum-type","Spergularia-type","Primulaceae","Filipendula","Arceuthobium","Geranium","Boraginaceae","Urtica","Lythrum","Sanguisorba officinalis","Erodium","Populus"
2695,NA,NA,45,"21358","3.5","","4","","","","","1, 5","","","1","4","6","1","3","1","3","1","23","3","27","5","6","90","964","1","","","","7","","","","2","1","1","","","","","1","","","1","","","","","","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2769,NA,NA,47,"21358","4.5","1","","2","","","1","1, 3, 4","","2","","3","6","1","1","1","3","1, 11","12","25","20","1","9","245","1353","2","","","1","3","3","","","2","3","","","","","","1","","","","","","","","","","1","3","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2993,NA,NA,53,"21358","3","1","1","1","","","","1","","3","3","6","4","","3","9","3","2","9","14","23","6","7","193","1656","","","","1","2","","","","","3","","1","1","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3127,NA,NA,57,"21358","3","","1","1","","","1","1, 6","1","2","2","6","2","","","3","1","7","6","14","6","3","4","109","1688","1","","","","","1","1","","2","1","","","","","","","","","","","","1","1","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3321,NA,NA,63,"21358","3","","2","","","","","1","","","","5","2","","1","4","4","1","6","19","14","3","7","174","1589","","","","","1","","","","","","","","","","","","","","","","","1","","1","1","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3451,NA,NA,67,"21358","4.5","","2","","1","1","","1, 2","1","3","1","6","6","1","1","2","3","3","8","23","19","5","8","152","1444","1","1","","1","3","1","1","","","1","1","","","","","","","","","","","","2","","","2","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3645,NA,NA,73,"21358","3","1","3","","1","","","1, 2, 4","","5","","7","6","1","3","5","5","7","6","19","17","4","3","206","1282","1","","1","","7","1","","","","3","","","","","","","","","1","1","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3775,NA,NA,77,"21358","4","2","3","1","","","1","1, 2","1","4","","2","9","","2","2","2","4","12","18","26","3","8","161","819","","","1","1","3","4","2","","","","","","","","","","","","","","","","1","","","","1","","","","","","1","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3969,NA,NA,83,"21358","3","","3","","","","2","1, 2","","5","2","8","4","1","1","1","1","2","17","20","24","1","5","181","1034","2","1","","","4","2","","","","1","","1","","1","","","","","","","","1","","","","","","","","","","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4099,NA,NA,87,"21358","3.5","1","2","","","1","","1, 2","","6","2","4","7","","3","2","2","4","17","11","22","8","6","222","889","","","","","1","3","","","","2","","","","1","","","","","","1","1","","2","1","2","","","","","2","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4293,NA,NA,93,"21358","4","","2","","","","","1, 2","","1","","4","2","1","1","8","2","3","8","16","21","3","6","313","1414","","","","","1","","","","","2","1","","","","","1","","","","","","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4410,NA,NA,97,"21358","5","2","","1","","","","1","","7","2","7","7","1","5","1","1","3","23","11","26","2","7","148","1204","1","","","","4","6","","","","2","1","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4533,NA,NA,103,"21358","3.5","","","","","1","1","1, 6","","3","1","10","5","4","5","8","5","1, 4","12","15","19","2","10","206","2952","1","1","","","","2","","","1","","","","","","","","","","","","","2","4","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4614,NA,NA,107,"21358","4","","4","1","","","","1, 7","","1","","6","11","1","2","4","5","5","12","14","29","6","7","165","2025","1","","1","","3","1","","","","1","1","","","","","","","","","","","2","4","1","","","","","","1","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4736,NA,NA,113,"37160","8","2","1","","","","","1, 3","","3","1","6","7","2","4","1","5","9","19","5","16","2","20","121","3499","","","1","","1","4","","","","1","1","","","","","","","","1","","1","1","1","","","","","","","","","","1","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4818,NA,NA,117,"37160","8","","3","","1","1","","3, 10","1","5","1","8","11","1","3","3","2","10","18","7","13","3","8","68","2584","1","","1","","1","1","","","","1","1","","","","","1","","","","","1","1","1","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4940,NA,NA,123,"21358","3","1","","","","","1","1, 2","","1","","10","2","","4","4","2","5","10","14","14","3","9","140","1825","","","","","2","3","","","","","","","1","","","","","","2","1","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5021,NA,NA,127,"21358","4.5","1","1","1","","","","","","3","2","11","6","","5","3","4","5","14","4","25","1","15","111","701","","","","1","6","1","","","1","1","2","","","","","","","","","","","","1","1","","","","","","","","","1","","","","","","","","","1","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5144,NA,NA,133,"21358","3.5","","3","","","","3","2, 4","","4","1","4","3","1","3","2","3","3","13","15","21","1","9","219","1741","","","1","1","4","4","1","","","","5","1","","","","","","","","","1","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5225,NA,NA,137,"21358","4","","1","1","","","1","1","1","9","1","5","3","1","3","2","2","1","11","10","27","6","11","144","965","","","","","","1","","","1","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5347,NA,NA,143,"21358","3.5","1","5","","1","","","1, 2, 5","","7","2","8","7","1","3","3","4","8","7","11","20","2","11","242","2499","","","","","3","4","","","","4","3","","","","","","1","","3","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5429,NA,NA,147,"21358","3","1","1","","","","","1, 2","1","8","3","2","9","","2","1","4","1","15","3","34","5","8","124","1473","","","","","2","3","","","","1","","","1","","","","1","","","","1","2","1","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5551,NA,NA,153,"21358","2","","","","","","","1","","8","1","6","3","","5","8","3","","12","2","35","5","9","114","1356","","","","","1","3","","","","","1","","","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5632,NA,NA,157,"21358","3.5","1","4","3","","","1","1, 4","","7","1","6","2","2","2","5","6","6","14","8","27","3","7","173","2020","","","2","","","1","1","","1","1","","","","","","","","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5755,NA,NA,163,"21358","3","","2","","","","","1","","4","3","2","","1","","1","2","3","8","8","25","3","3","120","1963","","","","","1","4","","","1","","","","","","","","","","1","","","","1","1","","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5836,NA,NA,167,"21358","3.5","4","","4","","","2","3, 6","","1","1","5","1","1","5","3","3","2","17","17","30","4","14","274","1752","","","","","1","2","","","1","","1","","","","","1","","","1","","","1","1","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5958,NA,NA,173,"21358","3.5","","2","","","","","1, 2","","2","2","1","4","1","1","4","6","4","9","7","30","9","11","128","1735","","","","","","3","","","1","","1","","","","","","","","","","","","","","2","","1","","","","","","2","","","","","","","","","","","1","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6040,NA,NA,177,"21358","4","","2","","1","","","1, 2","","5","1","3","2","2","5","1","1","7","9","12","37","5","3","127","1037","","","","","1","3","1","","1","","2","","","","","1","","","","","","","1","2","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6170,NA,NA,183,"21358","3","","","","","","","","","2","","3","4","","3","7","4","1, 4","13","8","29","1","14","221","3527","1","","1","","","1","","","1","2","","","","","","","","","","","1","1","1","","1","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6258,NA,NA,187,"21358","4.5","1","1","1","","","1","1, 3","","7","1","3","1","1","4","2","4","4","13","16","28","3","10","117","1545","","","","","","2","","","","1","","","","","","","","","","1","","2","3","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6390,NA,NA,193,"21358","4","","","","","","","1, 3","","3","1","2","5","1","2","4","4","1, 4","13","11","35","1","11","238","2832","","1","1","","2","1","1","","","","1","","","","","","","","1","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6478,NA,NA,197,"21358","3.5","","1","","","","1","1, 3","","5","1","4","5","","4","3","3","5","15","6","31","5","6","112","1400","1","","1","","4","4","1","","1","1","","","","","","1","1","","","","1","","","","3","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6610,NA,NA,203,"21358","5","1","","","","","","1","","2","2","","3","2","","3","1","2","11","10","24","7","11","101","2290","","","","","","2","","","","1","","","","","","1","","","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6698,NA,NA,207,"21358","3","","9","","","","","1","1","7","","2","6","","3","","8","","14","6","34","3","6","77","594","","","1","","2","4","","","1","1","1","","","","","2","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6786,NA,NA,211,"21358","4","","7","2","","","2","1, 2","1","6","1","2","1","","","3","7","","16","8","24","6","5","125","523","","","","","","4","1","","","","2","","","2","","1","","","","","","1","","","","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6830,NA,NA,213,"21358","3.5","","1","2","","","","1","","3","1","","7","1","4","8","9","4","12","7","29","2","14","162","980","","","","","2","5","","","","","","1","","","","","","","","","2","","1","","1","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6962,NA,NA,219,"21358","3.5","1","1","1","","1","","1, 2, 3","","4","3","2","2","1","4","2","8","5","13","9","28","7","9","111","1402","","","","","1","6","","","","1","1","","","","","","1","","","","","","","1","1","","2","","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7050,NA,NA,223,"21358","3","","","","","","","1, 2","","10","3","","8","1","3","6","5","6","27","8","32","3","10","181","322","1","","","","2","6","","","","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7138,NA,NA,227,"21358","3.5","","6","","","","1","1, 2","1","3","1","1","6","","4","5","8","2","22","7","29","2","3","132","1348","","","","","2","9","","","1","2","","","","","","1","","2","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7270,NA,NA,233,"21358","3.5","","2","","","","","1, 5","1","3","3","1","6","1","3","3","4","8","11","6","18","4","5","166","1610","","","1","","5","3","1","","","2","1","","","","","","1","","","","1","","","","1","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7358,NA,NA,237,"21358","3","1","2","","","1","1","1","1","7","1","4","2","2","2","2","5","1, 4","13","11","43","11","10","242","2547","","","","","1","2","","","","1","2","","","","","1","","","","","","","1","","2","","","1","","1","","","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7529,NA,NA,243,"21358","4","","2","","","","","2, 4, 6","","1","2","5","5","3","2","2","7","10","15","13","24","3","11","227","1918","","","1","","3","1","1","","","","1","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7649,NA,NA,247,"21358","3.5","1","1","","","","1","1, 2","","2","","2","4","","","1","3","5","10","13","45","2","6","243","1750","","","1","1","1","3","","","2","","1","","","1","","1","","","","","","1","1","","2","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7768,NA,NA,251,"21358","2.5","2","3","","","","","3, 4","","4","1","1","","1","","4","6","7","12","16","38","2","2","297","2081","","","","","1","4","","","1","","","","","","","","","","","","","","","","2","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7947,NA,NA,257,"21358","5","","3","","","","1","1, 2","","3","2","1","3","1","1","5","3","11","6","11","46","5","6","282","1120","","","","","","6","","","","1","1","","","","","2","","1","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8126,NA,NA,263,"21358","3.5","","4","1","","","","1, 3","1","5","2","1","3","","4","5","5","3","19","8","28","","10","187","1086","","","","","","6","","","1","","","","","","","","","","","","","2","","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8245,NA,NA,267,"21358","3.5","1","1","1","1","","1","2, 3","","","2","4","4","1","2","7","5","1, 7","24","12","37","1","16","267","1615","","2","","","1","11","1","","","4","1","","","","","","1","","","","","","","","1","","2","","","","","","","","1","1","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8424,NA,NA,273,"21358","3.5","1","2","1","","","","1, 2, 7","1","4","2","3","2","","3","4","5","2","19","6","27","2","13","82","592","","","1","","4","2","2","","","","1","","","","","","","","","","1","","1","","","2","","","","","","","1","","","","","","","","","","1","","1","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8544,NA,NA,277,"21358","3.5","","2","","","","","1, 2, 3","","3","1","3","8","","2","6","5","8","25","6","31","3","9","256","2093","","","","","1","8","1","","2","2","","","","","","","","","","","","","","","1","","2","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8723,NA,NA,283,"37160","8","1","2","1","1","","","1, 2, 3","2","6","","","6","1","","10","3","5","13","5","37","3","6","129","1590","","","1","","1","2","","","","","1","","","","","","1","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8902,NA,NA,289,"21358","4","","","","","","","1, 2","","2","","","3","2","","7","9","5","30","13","38","2","11","231","1929","","","2","","1","2","","","3","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9021,NA,NA,293,"21358","3.5","1","5","","","","","1","","6","","2","6","2","4","","7","1","16","10","31","5","9","121","620","","","","","1","4","","","","","1","","","","","","","","","","","","2","1","1","","2","","","","","","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9140,NA,NA,297,"21358","3.5","1","","","","1","","1, 2","","2","1","2","4","1","3","4","7","6","28","13","22","1","9","260","1177","","","","1","","4","","","","","","1","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9254,NA,NA,303,"21358","3","1","2","1","","","","1, 4","","10","1","6","2","","","2","10","1","13","11","23","2","11","164","1393","","","","","1","1","","","","1","","","","","","","","","","","","2","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9321,NA,NA,307,"21358","4","","2","1","","","","1, 2, 3","","1","","1","7","","3","8","4","4","27","24","45","","20","610","1887","","","","1","","7","1","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9388,NA,NA,311,"21358","4","1","","","","","","3","","3","","1","2","","1","5","2","4","14","3","46","10","13","174","486","","","","","","2","1","","","2","1","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","",""
9489,NA,NA,317,"21358","4","","2","","","","","1","","","2","2","7","","2","1","4","8","27","5","31","2","15","252","505","1","","","","1","5","","","","","1","1","","","","","","","","","1","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9556,NA,NA,321,"37160","8","","1","","","","","3","","6","","","4","","2","3","8","7","20","6","35","4","10","156","553","","1","","1","2","1","","","","1","","","","","","1","","","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
9657,NA,NA,327,"21358","4.5","","1","","1","","","3","","1","1","1","4","","2","3","1","2","29","7","25","2","14","183","248","","","","","2","6","","","","2","","","","1","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9724,NA,NA,331,"21358","3.5","","1","","","","","1, 2","","2","","1","4","","3","3","8","3","22","8","34","5","15","227","405","","1","","","","8","1","","","","","","","","","","","","","","","","","","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9825,NA,NA,337,"21358","4","","","1","","","","1, 4","","2","1","","12","","","1","4","3","35","6","32","4","12","139","224","","","","","6","7","","","3","1","","","","","","1","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9926,NA,NA,343,"21358","5","1","","1","","1","","3, 5","","3","2","1","4","2","","3","5","1","21","4","32","7","11","152","283","","","","","2","1","3","","","","","","","","","","","","","","","","","","1","","2","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9993,NA,NA,347,"21358","4","1","","1","","","","1, 2, 3","1","1","1","","6","","4","1","7","1","22","7","26","6","9","137","270","","1","1","","1","4","1","","","1","1","","","","","1","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10050,NA,NA,351,"21358","3.5","","1","","","","","1","1","5","1","2","1","","2","3","7","4","23","8","27","8","18","146","289","","1","","","4","2","","","","1","","","","","","1","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
