"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pollen concentration","Pediastrum","Betula","Polygonum aviculare-type","Ranunculus undiff.","Brassicaceae","Mentha-type","Rhamnus","Sparganium","Plantago maritima","Daphne","Teucrium","Ephedra distachya-type","Ephedra fragilis-type","Ranunculus arvensis","cf. Tsuga","cf. Gentianella-type","Gundelia-type","Pteridium","Picea","Alnus","Fraxinus","Ranunculus acris-type","Hippophaë","Hypericum","Salix","Bistorta officinalis-type","Helianthemum","Urtica-type","Liliaceae","Juniperus","Centaurea solstitialis","Sanguisorba minor-type","Potamogeton","Tamarix","Caryophyllaceae","Thalictrum","Apiaceae","Rosaceae","Pistacia","Filipendula","Olea","Cyperaceae","Cichorioideae","Galium-type","Quercus coccifera-type","Rumex","Pinus","Indeterminable (broken)","Plantago lanceolata","Juglans","Poaceae (Cerealia)","Bryophyta sensu lato","Asteroideae","Amaranthaceae","Artemisia","Quercus","Poaceae","Lycopodium spike","Myriophyllum","Tilletia","Acer","Centaurea cyanus","Cousinia-type","Onosma","Fabaceae","Plantago undiff.","Botryococcus","Centaurea undiff.","Polygonum sensu lato undiff.","Ulmus","Sisyrinchium","Polypodiaceae","Bupleurum","Indeterminable (unknown)","Tilia","Carpinus","Polygonum oxyspermum","Corylus","Abies","Lamiaceae","Papaver","Carpinus orientalis","Prunus-type","Secale","Carpinus betulus","Fagus","Cannabis-type","Herniaria-type","Onobrychis","Allium","Castanea","Anemone coronaria-type","Campanulaceae","Hedera","Turgenia","Potentilla-type","Vitis","Dipsacoideae","Symphytum","Ericaceae","Erodium","Tetraëdron","Cedrus","Populus","Typha angustifolia","Euphorbia","Hydrocharitaceae","Ranunculus parviflorus","cf. Acanthaceae","Saxifraga","Scrophulariaceae","Plumbaginaceae","Sanguisorba officinalis","Eryngium","Leontice","Platanus","Fagopyrum","Utricularia","Papaveraceae","Pleurospermum","Linum","Knautia","Pulmonaria-type","Succisa-type","Atraphaxis","Armeria","Plantago coronopus","Persicaria maculosa-type","Iridaceae","Rheum","Aesculus","Capsicum-type","Bongardia","Boraginaceae","Echium"
1746,NA,NA,85,29786,1,6,NA,3,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,2,NA,NA,1,2,NA,1,2,NA,15,4,8,1,2,4,8,21,2,11,4,4,8,4,15,17,10,28,11,8,10,35,22,26,63,109,364,216,158,NA,NA,1,1,NA,1,1,9,NA,2,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1915,NA,NA,93,43774,1,9,3,2,7,NA,2,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,7,1,NA,4,NA,2,NA,1,2,NA,9,2,5,1,2,4,6,17,3,14,9,7,13,2,15,14,20,24,16,12,1,46,43,25,92,133,316,216,116,NA,NA,1,1,NA,1,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2077,NA,NA,101,55806,2,10,3,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,7,1,2,NA,2,NA,NA,NA,2,1,6,2,8,NA,2,2,5,15,8,11,11,2,5,4,9,20,10,17,26,7,2,40,40,20,80,131,279,209,81,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2231,NA,NA,109,30339,1,7,1,3,3,1,3,10,NA,1,NA,1,1,NA,NA,NA,NA,NA,4,2,NA,1,NA,1,3,NA,1,2,1,7,2,2,NA,1,13,9,10,3,9,8,7,12,6,8,4,25,11,36,3,2,49,44,19,118,119,193,183,279,NA,NA,NA,NA,NA,2,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2385,NA,NA,117,20342,NA,4,1,NA,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,1,NA,1,NA,NA,1,NA,8,1,4,1,NA,1,5,8,3,1,3,1,4,5,6,16,11,11,9,5,NA,13,6,14,39,41,96,124,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2538,NA,NA,125,44091,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,2,3,NA,NA,2,1,NA,NA,NA,1,5,NA,4,NA,1,2,3,3,7,6,8,1,9,3,6,20,9,18,15,10,7,20,6,8,42,89,78,114,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2846,NA,NA,141,26887,42,7,1,4,2,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,6,NA,NA,NA,1,2,NA,1,2,NA,4,1,7,3,NA,3,NA,23,NA,6,6,3,10,5,6,1,32,23,33,3,NA,38,100,19,90,139,279,227,174,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3000,NA,NA,149,46268,NA,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,3,NA,1,NA,1,NA,NA,1,1,NA,8,NA,NA,NA,NA,2,5,8,4,7,1,2,2,2,4,17,10,5,14,3,NA,20,34,7,37,83,125,102,49,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3154,NA,NA,157,52807,2,9,1,NA,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,2,NA,3,NA,2,17,1,4,1,3,3,9,8,3,8,4,3,5,2,5,9,5,4,NA,1,NA,13,NA,15,76,107,183,153,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3308,NA,NA,165,45676,2,7,NA,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,NA,NA,2,1,NA,4,NA,NA,5,NA,9,1,NA,6,10,10,NA,6,6,8,9,6,16,29,16,21,15,4,1,36,64,24,94,153,337,234,113,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3462,NA,NA,173,56916,3,2,1,3,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,1,1,5,1,NA,1,2,1,10,1,9,4,1,7,11,16,4,6,9,4,15,4,18,8,8,17,25,3,1,51,148,27,107,132,389,280,199,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3615,NA,NA,181,106218,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,2,2,NA,NA,NA,2,4,1,4,NA,NA,4,2,9,3,2,5,6,6,NA,5,5,2,3,6,NA,NA,21,297,10,55,45,166,125,22,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3769,NA,NA,189,52783,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,1,1,1,NA,3,3,1,9,2,5,NA,NA,3,5,9,10,4,NA,1,3,4,13,20,13,19,11,1,1,12,250,12,45,79,108,122,47,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3923,NA,NA,197,32255,3,3,NA,1,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,4,3,1,NA,NA,5,NA,NA,NA,2,4,5,2,NA,1,NA,4,1,2,1,NA,4,1,2,NA,7,NA,17,2,12,NA,NA,19,66,25,32,41,137,137,70,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4167,NA,NA,205,38279,NA,11,4,NA,2,2,2,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,NA,NA,2,NA,NA,NA,1,NA,NA,5,1,3,NA,NA,4,3,4,4,10,1,4,6,7,12,4,6,26,NA,4,1,32,NA,23,24,42,345,185,96,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4500,NA,NA,213,30159,1,12,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,NA,NA,NA,NA,2,NA,NA,6,3,1,NA,NA,4,3,13,NA,12,NA,6,8,4,5,4,2,33,NA,NA,NA,44,NA,17,31,22,348,150,120,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,1,1,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4833,NA,NA,221,22475,NA,13,NA,NA,NA,NA,1,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,10,NA,1,NA,2,NA,2,1,NA,1,3,4,NA,NA,2,2,6,15,6,20,5,6,10,6,11,18,14,67,33,1,1,59,953,27,48,65,393,165,222,NA,NA,3,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5167,NA,NA,229,21647,1,12,NA,2,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9,2,NA,5,NA,3,NA,NA,4,NA,2,12,NA,7,2,2,8,3,16,7,2,5,4,13,1,10,6,16,10,32,NA,NA,43,1151,23,44,95,305,156,373,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5500,NA,NA,237,16068,1,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,2,2,1,3,3,2,1,NA,4,7,6,2,5,NA,1,8,6,6,14,8,9,18,2,NA,16,NA,12,30,56,140,89,133,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5833,NA,NA,245,14770,NA,8,NA,3,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,1,1,1,3,1,1,6,6,2,1,1,4,3,30,5,7,3,1,8,3,21,12,12,12,28,4,1,34,1906,32,39,76,254,159,251,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6154,NA,NA,253,42844,1,9,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,1,1,NA,1,4,NA,2,NA,NA,1,8,16,NA,12,1,1,7,3,15,7,7,3,NA,2,NA,29,NA,19,40,77,241,132,72,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
