Depth (cm) [cm],Sample Age (cal yr AD) [cal yr AD],Pyrite,charcoal,Aaronsohnia-type pubescens,Acacia,Acalypha,Acanthaceae undiff.,Achyranthes-type,Adansonia digitata,Adenium obesum-type,Aerva/Cornulaca,Aerva-type javanica,Aeschynomene,Afzelia africana-type,Aizoaceae undiff.,Albizia-type,Alchornea,Allophylus,Amaranthaceae/Chenopodiaceae undiff.,Amaranthus/Chenopodium-type,Ambrosia-type maritima,Anacardiaceae undiff.,Anacardium occidentale,Anogeissus-type leiocarpus,Anthostema-type senegalense,Apiaceae undiff.,Artemisia,Arthrocnemum macrostachyum-type,Asteraceae undiff.,Atractylis-type,Atriplex-type,Avicennia,Azolla,Balanites aegyptiaca-type,Brassicaceae undiff.,Bridelia ferruginea-type,Calligonum polygonoides,Caperonia,Cardiospermum halicacabum-type,Caryophyllaceae undiff.,Cassia-type,Casuarina equisetifolia-type,Ceiba pentandra,Celosia-type,Celtis,Centaurea-type perrottetii,Cerastium-type,Ceratopteris cornuta,Chrysobalanus icaco/Parinari,Cichorieae undiff.,Cissus,Citrus,Clausena anisata,Cleome-type,Cleome-type gynandra,Cocculus,Combretaceae undiff.,Combretum-type aculeatum,Combretum-type molle,Commelina-type benghalensis,Commiphora,Convolvulus-type,Cyperaceae undiff.,Daniellia,Detarium senegalense-type,Dialium,Dichrostachys cinerea-type,Elaeis guineensis,Ephedra fragilis-type,Eriosema-type,Erodium,Euphorbia-type,Fabaceae undiff.,Faidherbia albida,Ficus,Flabellaria-type paniculata,Gomphrena,Grewia-type,Heliotropium-type lithospermoides/Echiochilon-type verrucosum,Hymenocardia acida-type,Hypoestes-type,Ipomoea-type,Isoberlinia-type,Ixora-type brachypoda,Keetia-type cornelia,Kohautia,Lamiaceae undiff.,Lannea-type,Lepidagathis,Lepistemon owariense-type,Lophira alata-type,Lotus,Lycopodium,Lygodium microphyllum,Macaranga-type,Maerua-type,Mallotus-type,Margaritaria discoidea,Matricaria-type,Meliaceae undiff.,Mimosa pigra-type,Mimosaceae undiff.,Mitracarpus villosus,Mitragyna-type inermis,Monocotyledoneae undiff.,Monoletes ornée,Monoletes undiff.,Morelia senegalensis,Nauclea-type,Nymphaea lotus-type,Parkinsonia,Pavetta,Phoenix reclinata-type,Phyla-type,Phyllanthus-type maderaspatensis,Phyllanthus-type reticulatus,Piliostigma,Poaceae undiff.,Polycarpaea-type,Polycarpon-type,Polygala-type,Polygonum senegalense-type,Prosopis-type africana,Psydrax-type subcordata,Pteris-type,Resedaceae undiff.,Rhizophora,Rubiaceae undiff.,Rumex,Ruppia maritima,Salix,Salvadora persica-type,Sapotaceae undiff.,Spermacoce-type,Spermacoce-type radiata,Suaeda,Syzygium-type guineense,Tamarindus-type indica,Tamarix,Tapinanthus-type,Tetracera alnifolia-type,Tiliacora-type funifera,Treculia africana-type,Tribulus,Trilepisium-type madagascariensis,Triletes undiff.,Typha,Uapaca,Urticaceae undiff.,Vangueria-type,Zanthoxylum-type,Zanthoxylum-type zanthoxyloides,Ziziphus-type,Unknown,Undeterminable,Dinoflagellate,Foraminifera,Coppepod eggs,Anthocerotaceae,Botryococcus,Pediastrum,other Algae,Zygnemataceae,Coelastrum,cf Olea africana,Gloeotrichia,Tuberculodinium vancampoe
119.5,1694.756757,,,3,2,,,,,,1,,,,1,,,,1,,,,,17,,,,,2,1,,1,,,,2,,,,,,,,,3,1,1,,,1,,,,,,,,2,3,,1,,39,,,,,,,,,1,2,,,,,,,2,,,,,,,,1,,,,,,,1,,,,,,,,1,2,,,,,,,,,,,,1,,245,6,,,,,,1,,42,,,,,,,1,1,1,,,1,,,,1,,,,5,7,,,,1,,2,12,,,,2,6,5,,2,1,,,
129.5,1658.579151,,,1,3,,,,,,4,,,,1,,1,,4,2,1,,,5,,,1,,1,,,1,,,1,,,1,,1,,,,,1,,,,,,,,,,,,,5,5,,3,,39,1,2,,,,,,,,1,,,,1,1,,,,,,,1,,3,1,,,,,,,,,,,,,,,3,6,,2,2,,,5,,2,,,,1,8,193,3,,,,1,,,3,78,1,,,,,1,2,2,5,,,2,,,,,,,2,5,2,2,,,,,6,7,5,,,2,,2,4,4,,,,
139.2,1622.401544,,,5,1,,,,,,7,1,,,,,1,,3,5,1,,,7,,,,,,,,7,,,,4,,,,,2,,,,3,,,,,,,,,,,,,1,3,,,,57,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,1,2,4,,,2,,1,,,1,,,,,,173,6,,,,,,,,95,,,,1,1,2,,,7,5,,,,,,,1,,1,1,,,1,,,,3,21,8,2,,,3,2,,,,,,
149.5,1586.223938,,,8,1,,,,,,1,,,,,,1,,1,1,,,,6,,,2,,,,,8,,2,,,1,,,1,1,,,,6,,,,,,,,,,,,1,1,1,1,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,1,,1,,,1,,,,,,,,145,1,,1,,,,,1,148,,,,,,1,,2,3,3,,,,,,,,,,4,,,,,1,,2,14,2,,,1,1,1,,,,,,
159.5,1550.046332,,,1,1,,,,,1,8,,,,,,1,1,5,1,1,,,5,,,,,,,,2,,,1,,,,,,1,,,,3,,,,,,,,,,,,,,2,,,,38,,,1,,,,,,,,1,,,,,,1,,,,,,,1,1,,,,,1,,,2,,,1,1,,,2,8,,,2,,,2,,,,,,1,,182,4,,,,1,,,,55,,,3,,,,,3,10,2,,1,,,,1,,,1,6,7,,,,,,2,14,,1,,,9,3,,,2,,1,
169.5,1513.868726,,,,,,,,,,3,,,,,,,,7,2,,,,4,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,30,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,2,,,1,3,,,,,2,,,,,,,,,111,2,,,,,,,,31,,,1,,,,,1,5,,,2,,,,,,,,7,2,,,,,,,10,1,1,,,1,1,3,,1,,,
179.5,1477.69112,*,**,3,,,,,,,3,,,,,,1,,3,,1,,,5,1,,,1,,,,2,,1,,3,,,,1,3,,,,1,,1,,,,,,,,1,,,3,,,,1,37,,,,,,,,,,3,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,4,2,,,,,2,1,,,,3,,,,229,2,,,1,1,,,,53,,,,,,,,6,1,1,,2,,,,,,,1,5,2,,,,1,,,17,4,10,,1,6,7,4,1,2,,,
189.5,1441.513514,,,1,,,,,,,4,,,,,,,,4,,1,,,3,,,1,,2,,,3,,,,1,,,,,,,,,2,,,1,,,,,,,,,,1,,,,,21,,,,,,,1,,,1,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,1,,,2,,,,,,1,,,,,141,1,,,,,,,,51,,,1,,,,,,3,,,,,,,,,,2,4,2,,,,1,,,4,5,7,,1,,1,1,,,,,
199.5,1405.335907,*,*,1,1,,,,,,4,1,,,,,1,,4,2,3,,,8,,,,,,,,,,3,,,1,,,1,1,,,,4,,,,,,,,,,,,,1,3,,1,,48,,,,,1,,,,,,,1,,,,,2,,1,,,,,,,,,,,,1,,,,,,,,,1,2,,,1,,2,1,,,,,,,,190,2,1,,,,,1,,64,,,,,,,,1,7,,,3,,,,,,1,,17,5,,,,,,5,12,4,,1,3,,7,,1,,,,
209.5,1369.158301,*,**,1,,1,,,,,4,,,,2,,1,,4,,,,,3,,,1,,5,,,,,,1,,,,1,,1,,,,1,,,,,1,1,,,,,,,,2,,,,50,,,,,1,,,,1,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,1,,2,2,,,2,,,2,,,,,,,1,209,3,,,,,,,,46,2,1,,,,1,3,3,3,4,,,,1,,,,,1,2,1,,,,,,3,4,5,5,,,3,3,3,2,2,,1,2
219.5,1332.980695,*,**,1,1,,,,,,5,,,1,,,2,,1,,3,,,13,,,,,2,1,,1,,,,,1,,,2,1,,,,3,,,,,1,,,,,,,,1,5,,,,37,1,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,2,,1,2,,1,,,,2,,,,,,,,179,,,,1,,1,,,48,1,,,,,1,,1,2,,,,,,,,1,,2,6,3,,,,,,2,18,5,5,,1,1,3,5,3,,,1,2
229.5,1296.803089,**,*,3,3,,,,,,5,,,,1,,3,,3,1,4,,,3,,,,,2,,,4,,3,,1,,,,1,2,,,,4,,,,,1,,,,1,,,1,2,1,,2,,48,,,,1,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,2,1,,1,4,1,,,1,,2,2,,1,,,,,,185,1,,,,1,,,,70,,,,,1,1,4,3,6,,2,1,,,,,,,2,6,6,,,,,,2,7,2,6,,5,3,6,2,1,,,,
249.5,1224.447876,,,,3,,,,,,6,,,,1,,1,,7,2,2,,,13,,,,,1,,,,,1,,,1,,,1,2,,,,3,,,,,,,,,2,,,3,1,,,,,50,,,,1,1,,1,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,1,4,,,2,,,,,,,,,,,202,4,,,,,,,,64,1,,,1,2,1,1,,6,,,2,,,,,,,2,7,5,,,,,,2,15,5,7,,2,2,1,3,,,,,
269.5,1152.092664,,,1,1,,,,,,2,,,,,,,,6,,4,,,3,,,,,,1,,,,,1,,,,1,,1,,,,2,,,,,,,,,,,,,3,,,2,,50,,,,,,,,,2,2,,,,2,,1,,,,1,3,,,,,1,,,,,,,,,,,1,,,,4,,,,3,,1,,,,,,,1,243,7,3,,,,,,,66,,,,,,1,,4,3,,,4,,,,,,,1,6,4,,,,,1,1,13,1,10,,,1,,6,,,,,
279.5,1115.915058,,,,,,,,,,5,,,,,,,,4,1,1,,,1,,,,,,,,2,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,1,,1,,34,,,,,,,1,,,,,1,,,,,,,,,,,,1,,2,1,,,,,,,,1,,,,,1,6,,,,,,1,,,,,,1,,206,1,,,,,,1,,38,,,1,1,,1,1,1,9,2,,,1,,,,,,,6,5,,,,,,2,8,3,3,,2,5,4,3,4,2,1,,
299.5,1043.559846,,,1,,,,,,,18,,,,1,,1,,10,4,1,,,7,,,,,1,,1,,,,,1,,,,,1,,,,3,,,,,,,,,,,,,,2,,,,64,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,1,,1,,,,1,5,,,4,,,2,,2,,,,,,159,3,,,,,,,,59,,,,,,,,1,1,2,,,,,,,,,1,11,4,,,,,,1,11,7,7,1,1,,4,2,1,,,,
329.5,1009.233645,**,*,1,4,,,,,,5,,,,,,2,,3,2,2,,,5,,1,,,4,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,3,1,,,,43,,,,,,,,,2,,,,1,,,,1,,,,,,,2,1,,,,,,1,,,,,3,,,,3,,,,,,,1,,,,,1,,,165,2,,,,1,,,,58,,,,,,1,,2,7,2,,,,,,,,,,5,5,,,,,,2,11,5,,1,2,3,3,,2,2,,3,
349.5,1007.551402,,,,,,,,,,8,,,,,,,,2,1,1,1,,5,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,2,1,,,,39,,1,,,,,,,,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,1,,1,,3,3,,,,,,,,,,,,,,207,1,,,,,,,1,70,,1,,,,,,1,3,1,,,,,,1,,,,11,2,,,,,,3,26,4,6,4,4,1,3,2,7,,,,
379.5,1005.028037,*,*,3,1,,,,,,7,1,,,,,1,,,1,1,,,3,,,,,,,,1,,,,,,,,2,1,,,,1,,,,,,,,,,,,,1,3,,,1,50,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,5,,,3,,,1,,,,,,,,211,2,,,,,,,,57,,,,,,,2,1,2,1,,,1,,1,,,,,10,4,,,,,,,16,8,4,,,3,3,3,1,2,,,
399.5,1003.345794,,,1,1,,,,,,13,,,,,,3,,2,3,,,,4,,,,,5,1,,,,1,1,,,,,2,,,,,3,,,,,,,,,,,,,,1,,,,54,,,,,,,,,,1,,,,1,,,1,,,,,,,,,2,,,,,,,1,,,,,,1,,,,,2,1,1,3,,,1,,,,1,196,2,,,,,,,2,63,,,2,2,,1,,,5,,,,,,,1,,,,9,6,1,,,,,2,14,4,2,,1,10,1,10,,1,,,3
449.5,1001.411215,**,*,,0,0,0,0,0,0,18,0,0,0,0,0,1,0,4,1,4,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,55,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,5,0,0,1,0,3,0,1,2,0,0,0,0,5,130,2,0,0,0,0,0,0,0,58,0,0,0,2,1,0,0,30,5,3,0,0,0,0,0,0,0,0,0,9,2,0,0,1,0,0,1,5,7,10,1,2,2,,,2,,,,
