"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Liliaceae","Juglans","Amaranthaceae","Plantago","Polygonum","Amaranthaceae (small)","Pediastrum","Unknown (monolete)","Salix","Ambrosia","Lamiaceae","Cistus","Cichorieae","Fabaceae","Asteraceae","Rosaceae","Stellaria","Castanea","Thalictrum","Rumex","Quercus coccifera","Unknown","Juniperus","Cyperaceae","Brassicaceae","Pinus","Indeterminable","Poaceae","Artemisia","Olea","Ericaceae","Polemoniaceae","Populus","Ephedra fragilis","Pinus (large)","Apiaceae (small)","Sporormiella","Alnus","Brassica","Caryophyllaceae (small)","Apiaceae (large)","Silene","Pinus (small)","Poaceae (large)","Poaceae (small)","Fraxinus","Pistacia","Quercus (deciduous)","Unknown (trilete)","Campanula","Cirsium","Quercus ilex","Zea mays","Papaver","Humulus","Quercus","Boraginaceae","Erodium","Acer","Ranunculus","Solanaceae","Athyrium","Isoëtes","Ophioglossum","Dryopteris","Morus","Astragalus","Pteridium","Buxus","Melampyrum","Apiaceae (medium)","Galium","Apiaceae","Huperzia selago","Osmunda","Phillyrea","Limonium","Illecebrum","Trifolium","Botrychium","Saxifraga","Symphoricarpos","cf. Geum","Potamogeton","Quercus rotundifolia","Sedum","cf. Mentha","Scrophulariaceae","Phyteuma","Geranium","cf. Rhamnus","Sarcobatus","Polygonaceae","cf. Gentiana","Cedrus","Primulaceae","Ononis-type","Mimulus","cf. Ilex","Androsace","Ostrya","Betula","Urtica","Lonicera","Rubus","Thymelaea","Smyrnium","Celtis","Helianthemum","Ulmus","Malvaceae","Cryptogramma","Eryngium","Trollius","Botryococcus","Caltha","cf. Oxyria","Corylus","Stachys","Caryophyllaceae (large)","Elodea","Apiaceae (apiculate)","Koenigia","Pedicularis","Hypericum","Typha (tetrad)","cf. Rhus","cf. Picea","Onagraceae","cf. Cornus"
756,NA,NA,17.69,NA,NA,NA,NA,1,4,NA,1,4,NA,NA,NA,34,1,2,NA,NA,2,5,NA,NA,2,6,24,6,5,21,59,77,NA,2,NA,4,NA,NA,NA,3,NA,6,NA,NA,12,2,18,41,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1095,NA,NA,19.97,NA,NA,1,1,NA,1,NA,1,2,NA,NA,NA,28,NA,1,1,NA,1,4,1,NA,8,2,11,4,10,23,87,84,NA,1,1,3,NA,NA,1,4,1,4,NA,NA,4,4,36,51,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1355,NA,NA,21.68,NA,NA,NA,3,NA,1,NA,2,5,NA,1,NA,18,1,1,NA,NA,3,5,1,NA,6,2,19,4,7,19,77,108,2,NA,1,4,2,NA,NA,2,1,2,NA,NA,13,4,33,44,1,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1613,NA,NA,23.38,1,NA,1,3,NA,6,NA,4,1,NA,NA,NA,25,NA,NA,1,NA,NA,5,NA,NA,7,4,17,4,10,14,48,142,2,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,11,1,15,33,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,25.67,NA,NA,NA,2,NA,4,NA,1,NA,NA,4,NA,17,NA,NA,NA,NA,NA,6,4,NA,15,6,20,7,13,23,80,83,NA,NA,NA,1,1,NA,NA,NA,1,5,NA,NA,12,NA,43,37,NA,NA,2,2,2,NA,7,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2142,NA,NA,27.38,NA,NA,1,2,NA,6,NA,NA,2,NA,NA,NA,27,NA,2,NA,NA,2,7,1,NA,31,11,14,2,16,35,71,61,NA,NA,NA,NA,NA,NA,NA,2,2,NA,5,1,20,13,34,37,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2314,NA,NA,29.09,NA,NA,1,2,NA,1,1,4,1,NA,NA,NA,26,NA,4,2,NA,1,3,NA,NA,11,3,20,5,27,20,86,64,2,NA,1,3,NA,NA,NA,NA,NA,2,NA,NA,6,7,37,49,NA,NA,1,NA,2,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2494,NA,NA,31.37,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,5,1,1,3,NA,2,4,1,NA,16,4,14,8,52,19,44,79,2,NA,1,1,NA,NA,1,1,NA,5,NA,NA,4,7,12,32,NA,NA,4,NA,NA,NA,9,NA,2,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2608,NA,NA,33.08,NA,NA,NA,2,NA,4,NA,4,2,1,NA,NA,13,5,NA,2,NA,1,NA,1,NA,10,3,13,5,50,37,51,54,NA,3,NA,NA,NA,3,NA,3,2,6,7,NA,7,14,25,26,1,NA,2,1,1,NA,12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2704,NA,NA,34.79,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,16,2,1,7,NA,2,9,NA,NA,12,4,12,12,36,26,42,54,1,NA,NA,NA,NA,NA,NA,1,2,11,NA,NA,14,6,13,29,NA,NA,3,NA,4,1,14,NA,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2830,NA,NA,37.07,NA,NA,NA,1,NA,10,NA,1,1,NA,NA,NA,17,3,1,NA,NA,1,2,1,NA,15,8,20,3,49,28,74,26,NA,1,NA,1,3,NA,1,NA,1,2,NA,NA,14,9,32,42,1,1,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2924,NA,NA,38.78,1,NA,NA,2,NA,8,NA,3,2,NA,NA,NA,25,3,4,2,NA,1,2,3,NA,3,3,20,11,31,25,80,28,NA,NA,2,4,NA,NA,1,NA,5,NA,1,1,17,19,42,40,NA,1,2,NA,NA,NA,7,NA,NA,NA,NA,NA,1,3,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3032,NA,NA,40.49,NA,NA,NA,1,NA,6,NA,NA,NA,1,NA,NA,26,1,1,4,NA,3,6,2,NA,10,4,15,5,37,23,81,25,NA,NA,NA,1,NA,NA,4,NA,2,3,NA,NA,7,4,31,50,NA,NA,3,NA,2,NA,8,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3155,NA,NA,42.26,1,NA,NA,1,NA,2,NA,1,1,NA,4,NA,30,NA,1,1,NA,1,3,1,NA,9,3,17,2,49,27,75,30,NA,2,NA,1,1,NA,1,1,4,1,NA,NA,8,4,41,34,NA,NA,2,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3450,NA,NA,46.19,NA,NA,7,NA,1,7,NA,2,NA,NA,NA,NA,18,1,NA,1,NA,NA,1,1,NA,16,1,14,9,81,16,60,38,NA,NA,NA,2,NA,NA,NA,1,2,6,1,NA,2,10,20,40,NA,NA,1,NA,1,NA,5,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3613,NA,NA,48.47,NA,NA,NA,1,1,5,NA,NA,1,NA,2,NA,28,3,1,1,NA,2,7,1,NA,12,5,26,4,71,17,60,30,NA,1,NA,1,1,NA,1,NA,1,3,NA,1,7,5,33,27,NA,NA,2,NA,1,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3728,NA,NA,50.18,NA,NA,NA,2,NA,4,3,NA,1,NA,NA,NA,23,NA,1,NA,NA,1,NA,2,NA,4,5,18,10,78,23,67,30,NA,NA,NA,1,NA,NA,2,NA,1,NA,6,NA,10,34,30,37,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3841,NA,NA,51.89,NA,NA,NA,1,NA,4,1,1,NA,NA,NA,NA,22,2,1,NA,NA,3,1,2,NA,10,7,18,5,65,22,72,28,1,NA,NA,NA,NA,1,2,1,2,3,3,1,9,12,40,32,NA,1,3,NA,1,NA,4,NA,NA,NA,NA,NA,2,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3951,NA,NA,53.6,NA,NA,1,1,NA,5,3,1,3,NA,NA,2,33,1,3,NA,NA,1,NA,NA,NA,9,5,19,6,58,41,90,15,NA,NA,NA,NA,1,1,1,1,NA,2,4,1,11,19,39,51,1,2,1,NA,NA,1,10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4102,NA,NA,55.88,NA,NA,NA,2,NA,3,3,1,1,NA,1,NA,24,1,NA,NA,NA,NA,2,1,NA,6,8,22,NA,61,34,79,18,NA,1,NA,7,NA,NA,1,NA,4,NA,2,2,9,36,44,35,1,NA,7,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4293,NA,NA,58.73,NA,NA,NA,3,NA,4,NA,2,NA,NA,NA,NA,32,2,2,2,NA,NA,3,1,NA,9,5,25,5,65,24,100,19,NA,1,NA,NA,NA,1,NA,NA,2,2,2,NA,2,10,43,57,NA,NA,2,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4412,NA,NA,60.42,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,39,NA,4,NA,NA,1,2,2,NA,6,6,28,1,65,39,94,10,NA,2,NA,2,NA,NA,NA,NA,1,5,1,1,9,14,44,50,NA,2,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
