Depth (cm),Acacia,Acanthus,Acer,Alchornea,Alnus,Apiaceae,Artemisia,Asphodelus,Betula,Brassicaceae,Caesalpinioideae,Calligonum,Centaurea,Chenopodiaceae/Amaranthaceae,Combretaceae,Corylus,Cyperaceae,Echiochilon,Echium,Ephedra distachia-type,Ephedra fragilis-type,Erica,Erodium,Euphorbiaceae,Fagus,Galium,Gramineae,Gymnocarpos,Gymnosporia,Gypsophila,Helianthemum,Heliotropium,Isoetes,Juglans,Juniperus,Lamiaceae,Lannea,Liguliflorae,Liliaceae,Linociera,Maerua,Malvaceae,Moltkia,Myrica,Olea,Papilionoideae,Pinus,Pistacia,Plantago,Plumbaginaceae,Polycarpaea,Polycarpon,Polycnemum-type,Polygonum,Quercus ilex-type,Quercus pubescens-type,Ranunculaceae,Rhus,Rumex,Salix,Sanguisorba minor-type,Syzygium,Teucrium,Thymelaea,Tilia,Tribulus,Tubuliflorae,Typha,Typha latifolia,Ulmus
377.5,,,,,,4,75,,,4,,,,196,,,36,,1,5,61,,,,,,30,,,,1,2,3,,5,,,2,,,,,,,,,80,,,,,1,18,,,4,,,,,1,,,,,,7,,,2
417.5,,,,,,2,70,,1,4,,,,154,,2,25,,,1,51,1,,,2,,22,1,,6,1,1,2,,3,,,2,,,,,,,,1,124,,,,,1,11,,1,3,,,,1,,,,1,,,11,,,
457.5,,,,,,3,43,,,5,,,,225,,1,78,,,5,38,1,,,1,,24,,,1,1,,,,3,,,3,,,,,,,,,65,,,,,2,9,,3,12,,,1,,,,,,,1,5,1,,
497.5,,,,,,5,84,,,5,,1,,227,,1,47,,,1,26,2,,,,,36,1,,,3,,,,2,,,1,,,,,,,,,119,,,,,2,4,,7,,,,,,1,,,,,1,1,4,,
517.5,,,,,1,1,83,,,8,,,,136,,2,10,,,9,66,2,1,,,,10,2,,,,,,,9,,,,,,,,,,,,140,,2,,,,7,,,5,,,,,2,,,,1,,11,,,
537.5,,,,,,1,97,,,3,,,,136,,2,4,,,9,72,5,,,,,19,5,,3,1,,1,,1,,,,2,,,,,,,,150,,1,1,,,4,1,1,2,,,3,,,,,,,,2,,,
557.5,,,,,,,93,,,2,,,,150,1,2,7,,,4,66,8,,,,1,11,2,,6,1,,1,,2,,,3,,,,,,,,,152,,7,1,,2,9,,5,1,,,2,,,,,,,,,,,
577.5,,,1,1,,1,46,,,3,,1,,122,,2,29,,,5,64,5,,,,,13,,,,,1,,,8,1,,1,,,,,,,,,224,,,,,1,2,,,3,,,,,,,,,,,11,1,,
599.5,1,,1,,,5,47,1,1,9,,1,1,219,3,2,27,,,8,33,4,1,,,,17,,,,,1,,,4,,1,3,,,,,,,,,75,,,,,,6,,,11,,1,1,,,,,,,1,17,,1,
617.5,,,,,,,98,,,3,,,,196,1,2,108,,,1,37,1,,,1,,50,,1,,,,1,,5,,,1,1,,,,2,,,,94,1,5,,,,11,,,7,,,1,,1,1,,,,2,11,1,,
637.5,,,,,1,5,62,,1,6,,,,116,1,5,60,,,9,43,3,,,,1,42,1,1,,2,,5,,4,,,2,1,,,1,,,,,109,1,2,,,,1,,9,4,,,3,,,2,,,,,5,4,,
657.5,,,,,,2,76,,1,6,,,,147,,1,15,,,9,107,3,,,,2,16,,,,,1,1,,4,,,1,,,,,,1,,,105,,3,,,2,9,1,,3,,,2,,,,,,,1,11,2,,
677.5,,,,,,3,76,,1,4,,1,,171,1,1,9,,,1,99,5,,,,,22,2,,,,2,2,,1,,,7,1,,,,,,,,81,,3,,,2,9,,1,1,,,4,,1,,,,,1,16,2,,
697.5,,,,,,3,42,,,2,,1,,233,,4,30,,,,52,5,,1,,1,15,,,2,,2,3,,1,,,3,2,,1,,1,,,,75,,4,,,,6,,3,1,,,1,,,,,,,,21,,,
717.5,,1,,,,2,59,,,10,,,1,123,,7,49,,1,10,28,1,,,,,45,,,,1,2,3,,2,,2,2,1,,,,,1,,,136,,10,1,,2,4,,2,1,,,1,,2,,,,,,,4,,
737.5,,,,,2,,86,,1,5,,,,93,,6,62,,,10,47,,,1,,1,36,2,,,1,,7,,2,,,4,2,,,,,,,1,105,,4,,,,3,,2,,,,2,,,,,,,,8,2,,
757.5,,,,,,1,78,,1,6,,2,,140,,1,19,,,2,36,10,,1,,,23,1,,1,,1,1,,1,,,6,2,,,,,1,,,159,,3,1,,1,,,,4,1,,1,,1,,,,1,,17,1,,
777.5,,,,1,1,5,93,,1,4,,1,,140,,4,2,,,,26,4,,,1,,35,1,,1,,4,,,3,,,9,1,,,,,,,1,137,,12,,,,3,,1,8,,,7,,2,,,,,,20,,,
797.5,,1,,1,2,2,101,,3,7,,3,1,189,,7,22,,,,39,9,1,1,,,55,,,,1,4,,,8,,,6,1,,,,1,2,1,,55,,2,,,,5,,2,1,,1,5,,,,,,,,27,,1,
817.5,,,,,5,,8,,3,7,,,1,57,,19,66,,,1,7,7,,1,,,24,,,,,1,2,,1,,,1,,,,,,,,2,271,2,2,,,,2,,2,3,,,1,,,,,,1,,10,1,,
837.5,2,,2,,,,23,,,10,,,,110,1,3,65,,,4,15,3,,,,,61,1,,,,3,3,,5,,,2,,,,,,,1,1,179,1,3,,,,4,,3,2,,1,4,,,,,,,,5,1,1,
857.5,,,1,,1,2,72,,,3,,,,118,1,4,20,,,14,34,3,,,,,22,1,,,,1,,,3,,,1,,,,,1,,,2,179,,1,,,,11,,,3,,,1,,2,,,,1,,4,,,
877.5,,,,,,2,53,,,8,,1,,126,,2,8,,,12,35,2,1,,,,22,2,,,3,1,,,3,,,6,,,,,,,,1,168,,1,,,,19,,2,3,,,1,,1,,,,1,,8,,1,
897.5,,,,,,2,59,,,5,,,,144,,,15,,,10,30,2,,,,,29,4,,1,2,,,,2,,,5,,,,,,,,1,190,,1,1,,3,15,,3,6,,,1,,,,,,,,2,,,
917.5,,,,,,1,130,,1,4,,1,,115,,,2,,,18,37,4,,,,,17,2,,,,,1,,,,,2,,,,,,,,,147,,,,,1,12,1,,2,,,,,,,1,,,,5,,,
937.5,,,1,,2,,82,,,1,,1,,134,,,18,2,,10,58,4,,1,,,31,,,,2,4,,,2,,,2,,,,,,,,1,129,,1,1,,,35,,2,2,,,1,,,,,,,,19,1,,
957.5,,,1,1,,,62,,1,3,,,1,151,,1,16,,,5,73,5,1,,,1,20,1,,,,2,,,1,,,3,,1,,1,,,,2,120,,6,,,,35,,1,2,,,1,,,,,,,1,7,,,
