"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Castanea","Polygonum aviculare-type","Salix","Thalictrum","Apiaceae","Xanthium","Lythrum","Liliaceae","Fabaceae","Stachys-type","Hydrocotyle","Potamogeton","Malva","Plantago lanceolata-type","Juniperus","Olea","Pterocarya","Clematis-type","Hypericum perforatum-type","Noaea-type","Scrophularia/Verbascum","Carthamus","Poterium sanguisorba","Unknown","Polypodium","Caltha","Platanus","Ranunculus undiff.","Cornus","Rumex acetosa-type","Humulus/Cannabis","Poaceae (Cerealia-type)","Cedrus","Dryopteris-type","Ericaceae","Ulmus","Rhamnus","Brassica-type","Capsella-type","Ostrya/Carpinus orientalis","Myrtus","Isoëtes","Pteridium","Liquidambar","Centaurea solstitialis-type","Alnus","Matricaria-type","Cichorioideae","Pistacia","Artemisia","Myriophyllum spicatum/M. verticillatum","Gossypium","Nymphaea","Amaranthaceae","Quercus","Poaceae","Cyperaceae","Sparganium-type","Pinus","Scrophulariaceae","Vitis","Juglans","Gentiana","Persicaria maculosa-type","Papaver","Helianthemum","Oleaceae","Thymus/Mentha","Viburnum-type","Lysimachia","Datisca","Ferula-type","Equisetum","Asteroideae","Lemna","Bistorta officinalis-type","Rhinanthus-type","Phillyrea","Echium-type","Scabiosa columbaria-type","Trifolium-type","Geranium","Sambucus","Populus","Rosaceae","Ephedra fragilis-type","Solanum dulcamara","Dipsacus-type","Botrychium","Rhus","Ranunculaceae","Galium-type","Filipendula","Fraxinus excelsior","Plantago coronopus-type","Bunium-type","Corylus","Euphorbia","Fraxinus ornus","Mercurialis annua","Fagus","Urtica dioica-type","Sphagnum","Abies","Typha latifolia","Ranunculus repens-type","Armeria/Limonium","Campanula-type","Betula","Alisma","Quercus ilex-type","Plantaginaceae","Carpinus betulus","Gypsophila","Sisyrinchium","Cheilanthes","Taxus","Maianthemum","Cousinia","Cirsium/Gundelia","Vicia-type","Turgenia-type","Pterocephalus-type","Osmunda regalis","Ophioglossum","Tilia","Convolvulus","Pteris","Arctium/Jurinea","Filago-type","Centaurea scabiosa-type","Lomelosia rotata-type","Ephedra distachya-type","Viscum","Trollius","Valerianella","Carya","Halothamnus-type","Fumaria","Brassicaceae","Polygonaceae","Centaurea cyanus-type","Melampyrum","Ranunculus asiaticus-type","Asperula-type","Potentilla-type","Oxalis","Calystegia","Nigella","Bupleurum-type","Ruppia","Cistus","Asphodelus","Rumex hydrolapathum","Mercurialis perennis","Onobrychis-type","Sanguisorba officinalis","Matthiola","Asparagus-type","Butomus umbellatus","Knautia","Anthoceros laevis-type","Cotinus coggygria","Lycopodium","Urtica pilulifera-type","Tamarix","Jasione-type"
698,724,671,115,"","","","1","","6","","","","3","","","","","4","1","2","","","","","1","","2","","","","","","","","","","1","2","10","6","","","","","","","","11","5","26","2","26","","12","23","","95","11","58","270","163","206","474","","3","","","","","","","","","","","","","4","","","","","","","","2","","","","2","","","","","1","1","","","","","1","","","","","","","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
836,864,807,130,"","","","6","","1","","","","2","","","","","1","","","","","","","","","1","","","","","2","","","","2","1","","1","4","","1","","2","","1","","3","5","8","","11","","3","5","","28","6","29","99","53","41","216","","","","","","","","","","","","1","1","","2","","","","","","","","","","1","","","","","2","","3","1","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
928,958,896,140,"1","","1","","","1","","","","1","","","","","","","2","","","","","","","1","1","","","","","","","","11","12","1","1","","","","","1","","2","","","3","11","3","1","","7","2","","","32","17","54","551","90","158","","","2","","","","","","","","","2","","","2","","1","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","2","","","","","1","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1112,1148,1073,160,"","","2","1","1","1","","","","","","","","","","","","","","","","","","","1","2","","","","","","","3","","5","2","","","2","","","","","2","","25","2","","6","","3","","","1","615","9","8","4","2","31","","","","","","","","1","","","","","","","5","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1296,1338,1248,180,"1","","","","","2","","","2","","","2","","","","","","","","","","","","","5, 8","1","","1","","","","","1","1","2","","1","","5","2","","","2","4","","13","1","1","4","","2","","","","336","3","1","5","2","57","","","","","","","","","","1","","","","","13","","","","","","","","","","","1","1","","","3","","3","","","","","","","","","","","","","","","","","","1","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1489,1538,1432,201,"","","","","","1","","","","1","","","","","","","","","","","","","","","34, 34","","","","","","","","1","","1","","2","","","","","","","","","","1","2","4","","3","","","","4","","6","1","","89","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1664,1720,1597,220,"","","","","","1","","","1","","","","","","1","","","","","","","","","","5, 39","","","","","","1","","","1","6","1","2","","","","2","","","3","1","3","8","4","160","","17","","","2","38","3","12","6","3","107","","","1","","","","","","","","","","","","9","","","","","","","","","1","","","","","1","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","1","1","1","2","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1894,1961,1816,245,"2","","","","","1","","","","13","","","","","3","1","","","","","","","","","","","","","","","","","1","82","8","","1","","","","","","","1","","6","10","10","13","","71","","","","40","7","37","2","5","382","","","2","","","","","","","","","","","","13","","","","","","","","","","","","","","","2","","","","","","","","","2","","","","","","3","1","","","","","","","","1","","","","","","2","1","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2033,2105,1947,260,"1","","","1","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","2","","","","","","","","1","","1","","","","4","1","6","","29","","","","22","15","12","6","6","301","","","","","","","","","1","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2217,2297,2120,280,"4","","1","1","","1","","","","","","","","","","","1","","","","2","","2","","1","","","","","","","","4","2","6","","1","","1","","4","","","2","1","4","9","12","35","","11","","","","49","23","31","4","4","87","","","1","","","","","","1","","","1","","","26","","","1","","","","","","","","","","","","2","","","1","","","","","1","1","","","","","2","","","1","","","2","","","","","","","1","","","","3","","","","","1","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2447,2538,2333,305,"1","","1","","","1","","","","","","","","1","1","","1","","1","","","1","","","58","","","","","","","","4","1","5","","1","","","","1","","","","","1","11","1","7","","43","","","","17","3","7","1","2","123","","","","","","","","","","","","","","","6","","","","1","","","","","","","","","","","3","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2585,2682,2461,320,"1","","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","2","5","3","1","2","","","1","1","","","","","7","9","8","14","","100","","","","31","8","8","3","4","200","","","","","","","","","","","","","","","8","","","2","1","","","","","","","","","","","1","","1","1","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","2","","1","","","","","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2677,2778,2547,330,"1","","","","","3","","","","1","","","","1","","","","","","1","","","","","","","","","","","","","3","16","16","3","1","","1","","","","","7","","8","21","10","34","","35","","","","860","9","11","3","1","202","","","","","","","","","1","","","2","","","11","","","1","","","","","","","","","","","","10","","","","","","","","1","","","","","","","1","","","","","1","","","","","","","1","","","","3","","","","","3","","1","","","","1","","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2769,2874,2634,340,"12","","5","","","8","","","","","","","1","","3","","1","","","1","2","1","","","32","","","","5","","","1","30","1","27","","4","","","","6","","","12","","18","26","23","63","","338","","","2","110","17","95","8","12","322","","","","","","","","3","2","","","2","","","39","","","2","","","","","","","","","1","","","11","","1","5","","","","","","","","","","","","","","","","","","","","","","","","","1","","","7","","","","","4","","","","","","","","1","","","1","1","1","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","",""
2861,2971,2720,350,"2","","2","","","7","","","","1","","","","","","","","","","","","","","2","2","1","","1","","","","","8","2","11","","5","","","","1","","2","2","","9","14","14","23","","126","1","","","66","34","31","2","18","271","","5","1","","","","","","","","","","","","38","","1","","","","","","","","","","","","","3","","2","2","","","","","","","","","","","","2","1","","","","1","","","","1","","","","","","","2","","","","","2","1","","","1","","","","","","","","","","","","4","1","2","3","","","","","","","","","","","","","","","","","","","","","","",""
2953,3067,2807,360,"","","1","","","4","","","","1","","","","","","","","","","","1","","","","","","","","","","","","6","1","6","1","1","","1","","","","","3","","8","4","9","16","","55","","","","149","23","137","8","9","108","","","","","","","","","","","","","","","14","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","3","","","","","1","","","","","","","","","","","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","",""
3045,3163,2893,370,"3","","5","","1","5","","","","4","","","","","5","","","","","","","","","3","8","","","1","","","","","7","5","3","4","1","1","1","","1","","1","1","","12","16","16","18","","64","1","","","124","42","90","20","6","145","","","","","","","","","","","","1","","","19","","1","","2","","","1","1","","","1","1","","","2","","","2","","","","2","1","1","","","","","","","2","","","","1","","","","","","","","","","","5","","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","1","3","","","","","","","","","","","","","","","","","",""
3137,3259,2980,380,"","","2","","1","2","","","","","","","","","4","","5","","","","2","","","10","2","","","","","","","","1","2","","3","3","1","2","","3","","","3","1","2","1","2","1","2","12","","","","113","94","280","433","5","113","","4","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3229,3357,3068,390,"","","2","","1","4","","","","","","","","","2","","5","","","","1","","","9","","","","","3","","1","","3","","1","4","1","1","","","4","","","2","1","1","5","3","3","1","1","","","1","228","103","163","218","9","110","","1","","","","","","","","","","","","","6","","","","1","","","","","","","","","","","2","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","2","3","","","","","","","","","","","","","","","",""
3321,3453,3155,400,"1","","1","","","2","","","","","","","","","8","","15","","1","","","","","10","","","","","","","","","2","2","1","1","1","","","","1","","","2","2","2","2","1","2","","5","","","","237","120","239","333","11","193","","2","","","","","","","","","","1","","","4","","","","1","","","4","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","3","","","","","","1","","","","1","14","1","2","3","3","","","","","","","","","","","",""
3460,3597,3286,415,"","","","","","1","","","","","","","","","3","","6","","","","","","","3","","","","","","","","","1","1","","1","","","","","1","","","","","3","4","","2","1","1","","","","243","86","160","177","3","196","","","1","","","","","","","","","3","1","","2","","","","","","","","","","","","1","","","2","","","2","1","2","","2","2","","1","","","","","1","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","1","","","","","","","","","","",""
3598,3742,3418,430,"","","","","","1","","","1","","","","","","","","","","","","","","","","5","","","","","","","","1","3","12","1","","","","","","","2","1","","1","3","","12","","3","","","","127","10","17","4","1","169","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3690,3838,3507,440,"4","","","","","1","","","","","","","","","","","","","","","","","2","","20","","","","","","","","1","5","8","1","2","","1","","","","","4","","1","6","4","27","","20","","","","3","13","21","6","1","598","","","","","","","","","","","","3","","","7","","","","","","","","","","","","1","","","1","","","","","","","","","","1","","","1","6","2","","","2","","","","","","","","","","","","1","1","","","","","","1","","1","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
3874,4031,3680,460,"1","","","","","","","","","2","","","","","","","1","","","","","","1","","","2","","","","","","","","7","13","1","2","","","","","","3","5","","4","4","5","21","","5","","","","419","11","15","10","3","183","","","","","","","","","","","","","","","5","","","","","","","","2","","","","","","","1","1","","","","","","","1","","","","","1","","","","","7","","","","","","1","","","4","","","","","","","","","5","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","",""
3966,4128,3767,470,"","","","1","","","","","","","","","","","1","","","","","","","","","","2","1","","","","","","","2","5","4","1","","","","","","","","","","1","1","","26","","1","","","","285","1","32","","","16","","","","","","","","","","","","","","","2","","","","","","1","","39","","","","","","","2","","","","","","","","","","","","","","","","","","12","","","","","","","","","2","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
4058,4224,3854,480,"","","","","","","","","","1","","","","","1","","","","","","","","1","","2","","","","","","1","","2","6","9","3","1","","","","","","","1","","2","4","8","33","","3","","","","285","4","31","7","2","88","","","","","","","","","","","","","","","12","","","","","","","","4","","","","","","","1","3","","","","","","","","","","","","","","","","","3","","1","","","","","","","1","","","1","","","","","","3","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
4334,4514,4114,510,"8","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","4","20","10","","","","3","","1","","1","3","1","3","2","8","27","","4","","","","25","34","30","14","6","41","","","1","","","","","","","","","1","","","11","1","","","","","","1","1","","","","","","1","5","","","","","","","","1","1","","","","","","","","1","","","1","","","","","","","1","1","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",""
4426,4611,4201,520,"1","","","","","","","","2","","","","","","","","1","","","","","","","","5","","","","","","","","2","1","7","2","","","","","","","","1","","1","4","2","35","","1","","","","2300","14","4","","2","35","","1","","","","","2","","","","","","","","11","","","","","","2","","1","1","","","","","","3","2","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","2","","","","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
4610,4804,4375,540,"","","","","","1","","","1","1","","","","","","","1","","","","","","","","7","","","","","","","","","","10","","2","","","","","","","7","","1","17","1","7","","13","","","","90","5","14","3","1","210","","1","","","","","","","1","","","6","","","4","","","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4748,4948,4504,555,"1","","1","","","2","","","4","2","","1","","","","","","1","","","","","","","1, 4","2","","","","","","","5","20","51","","","","","","","","2","32","","16","3","3","33","","3","","","","55","18","30","21","2","55","","","","","","","3","","","","","","","1","11","","","","","","1","","","1","","","","","","9","","","","","","","","","","","","","","","12","","","1","","","","","","","","","5","1","","","","","","","","","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","1","","","","",""
4886,5093,4634,570,"1","","","","","2","","","","2","","","","","","","","1","","","","","","","5","1","","","","","1","","","2","3","","","","","","","","","","","9","96","","17","","4","","","","5","24","9","9","1","166","","","","","","","","","","","","","1","","8","","","","","","","","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
4979,5189,4720,580,"2","","1","","","1","","","","","","","","","","","1","","","","","","","","","1","","","1","","","","8","3","8","","1","","7","","","","","6","","6","3","4","24","","8","","","","830","100","25","26","2","340","","","","","","","","","1","","","4","","","11","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","2","","","2","","","","","","","1","","","","","","","","","1","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5071,5286,4807,590,"","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","6","8","1","","","","","","1","","","1","","5","3","1","6","","1","","","2","6","16","17","9","1","201","","","","","","","1","","1","","","","","","2","","","","","","","","","","","","","","","4","","1","","","","","","","","","1","","","","","","","","","","","","1","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","",""
5163,5383,4894,600,"7","","","1","","2","","","","1","","","1","","2","8","","","","","","","","","","","","","","","","","21","51","2","","","","1","1","","","","1","","9","1","2","11","","13","","","","20","61","45","11","1","284","","","","","","","","","1","","","","","","16","","","","1","","1","1","","","","","","","","","","","6","","1","","","2","","","","","","","1","","","","1","","","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
5255,5479,4980,610,"2","","3","","","2","","","1","","","","","","","","","","","","","","","","29","","","","","","","","1","3","1","1","1","1","","","","","","","","3","8","","22","","15","","","","6","18","15","9","1","200","","","","","","","","","","","","","","","5","","","","1","","","","1","","","","","","","2","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","2","3","","","","","","","","","","","","","","","","5","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","1","",""
5347,5575,5066,620,"1","","1","2","","2","","","","6","","","","","1","","11","","","","2","3","","1","25","","","","2","","2","","2","1","1","","2","","1","","","","","1","","2","3","4","12","1","71","","","","156","86","47","11","5","140","","2","","","1","","","","1","","","1","","","8","","","1","","","","","","1","","","","1","","","","","3","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","",""
5439,5672,5153,630,"2","","3","1","1","4","","","","10","","","","","1","1","2","","","","","","","","38","","","","2","","2","","10","14","1","","1","","2","","1","","","","","5","2","4","19","1","21","1","","3","43","114","33","8","5","135","","2","","","","","","","7","","","1","","","26","","","1","","","","","","1","","","","2","","","","","3","1","","","","1","1","","","","","","","","","","","","","","1","1","","","","","","1","2","","1","","","1","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","1","","","","","","","5","","","1","1"
