"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Pseudoschizaea","Castanea","Myriophyllum","Vitis","Alnus","Centaurea","Dipsacoideae","Puccinia","Polygonum aviculare-type","Pistacia","Rubiaceae","Rhamnus","Apium","Quercus (deciduous)","Thymelaeaceae","Tilletia","Caryophyllaceae","Urticaceae","Phillyrea","Pinus pinaster","Cistaceae","Cupressaceae","Ericaceae","Typha","Genista-type","Fabaceae","Lamiaceae","Pteridophyta","Amaranthaceae","Olea","Plantago","Riccia","Unknown (type 128, HdV)","Quercus (evergreen)","Pinus","Indeterminable (unknown)","Sordariaceae","Cyperaceae","Asteraceae undiff.","Artemisia","Fungi","Zygnemataceae","Poaceae","Glomus","Charcoal","Lycopodium spike","Berberis","Salix","Ephedra","Brassicaceae","Fraxinus","Cedrus","Rumex crispus-type","Betula","Acer","Liliaceae","Corylus","Buxus","Lonicera"
1487,NA,NA,55,"12542, 2","2","","3","","1","","","","5","5","5","1","7","6","1","","3","2","3","1","8","","4","1","8","4","8","5","10","9","14","2","21","30","42","10","23","35","35","22","62","43","73","91","2012","176","1","6","2","","","2","","","","","1","",""
1586.7,NA,NA,58,"12542, 2","1","","","3","","","","","2","5","","1","12","7","2","1","2","1","4","3","11","8","11","6","10","6","2","14","8","5","17","5","11","34","33","15","11","43","12","23","25","58","84","123","2338","171","","","2","","1","","","","","","","",""
1686.8,NA,NA,61,"12542, 2","","2","","","","","","2","4","4","","","11","5","1","","9","2","2","4","6","2","9","6","6","","3","4","8","10","13","3","9","40","30","17","7","45","37","22","58","90","75","133","2521","168","","6","1","7","","","","","","","","",""
1789.9,NA,NA,64,"12542, 2","","","","","","","","3","6","3","","1","6","6","3","","","","","5","8","4","4","5","5","5","4","4","13","8","14","4","13","49","27","12","11","34","10","19","33","99","89","100","2900","165","","5","4","5","","","","","","","","",""
1858.5,NA,NA,66,"12542, 2","2","","","","2","2","","","2","5","","1","6","8","2","","6","2","","7","9","5","10","10","2","6","2","6","8","6","18","7","7","24","25","11","16","51","19","33","45","87","91","91","2067","198","1","","3","","","1","2","1","","","1","",""
1963.5,NA,NA,69,"12542, 2","2","","2","","","","","","2","6","","","2","8","","","6","1","1","8","6","3","6","6","3","4","4","3","6","11","9","9","6","29","28","11","6","33","23","27","41","101","94","81","1439","188","","","3","","","","","","","","","",""
2049.4,NA,NA,72,"12542, 2","1","","","","","","","","1","7","","","3","7","1","","4","","2","6","10","1","5","5","4","3","3","12","5","4","14","3","22","23","32","13","10","38","45","35","30","77","84","75","1236","176","","","","","","","","","2","","","",""
2100.2,NA,NA,74,"12542, 2","2","","","","","","","2","","3","","","4","10","2","","6","","1","6","6","7","3","3","4","","10","5","9","5","6","2","9","30","67","13","3","33","11","28","52","64","70","68","1765","187","","","2","","","","","","","1","","",""
2151.8,NA,NA,77,"12542, 2","1","","","","","","","1","2","3","","","5","9","","","5","1","2","7","5","3","7","6","5","3","10","3","6","6","5","3","8","41","68","18","7","41","20","26","40","45","65","42","1245","181","","4","2","","","3","","","","1","","",""
2191.2,NA,NA,80,"12542, 2","","2","","","","","2","","2","4","","","6","9","3","","","2","5","4","5","3","5","3","6","3","3","4","9","5","11","4","10","36","57","9","9","32","22","25","39","89","48","35","1134","169","1","","1","2","","","","","","","","",""
2218,NA,NA,82,"12542, 2","1","","1","","1","","","","1","2","","","3","11","2","","2","5","","5","5","2","5","4","3","","2","12","7","7","4","6","7","43","42","12","9","31","12","25","68","93","54","26","1009","190","","","1","2","1","","3","1","","","","",""
2272.3,NA,NA,86,"12542, 2","2","","","","2","","","","","1","","","2","7","","1","6","2","4","3","11","1","12","2","4","6","7","7","6","9","6","4","7","48","45","13","10","33","23","36","29","80","70","47","1176","189","","","","","","","","","","","","",""
2326.4,NA,NA,90,"12542, 2","4","","","","","","","","3","","","","4","10","2","","4","","2","7","7","8","3","3","3","7","9","4","8","5","8","3","6","50","53","11","12","35","26","22","50","61","63","22","898","180","","4","2","","","","","","","","","",""
2367.5,NA,NA,93,"12542, 2","3","","","","1","","","1","","1","","","5","11","1","","3","1","2","8","5","2","5","1","3","","7","3","8","5","12","4","16","33","63","10","11","26","16","15","64","50","72","41","996","166","","","1","","1","","","","","","","",""
2407.1,NA,NA,96,"12542, 2","2","","","","1","","","2","1","3","","","7","8","2","","2","1","1","9","6","11","14","7","2","5","2","4","6","4","9","4","12","28","55","17","12","41","15","29","16","55","69","53","1988","178","","","2","3","1","","","","","","1","",""
2445.6,NA,NA,99,"12542, 2","1","","","","","","","","","","","1","4","11","1","","2","2","","7","5","5","7","7","","5","3","6","7","3","2","4","10","32","53","9","","22","22","24","51","63","60","42","2230","165","","3","3","4","","4","","","","","1","",""
2485.2,NA,NA,102,"12542, 2","1","1","","","","","","","3","","","","6","9","2","","1","","2","8","7","3","11","2","1","","2","4","11","4","2","3","11","41","71","13","9","23","25","14","56","44","54","63","1543","176","1","","1","2","","","","","","","","",""
2525,NA,NA,105,"12542, 2","","","2","","","","","","","2","","","6","6","3","","","1","1","5","9","5","8","1","2","3","3","10","4","7","5","3","20","44","50","15","8","42","33","15","21","66","45","52","1110","170","","3","2","6","","","","2","","","","",""
2564.8,NA,NA,108,"12542, 2","1","","","","","","","","2","1","1","","5","13","3","","","2","4","6","10","2","6","6","4","6","7","11","7","10","4","5","21","34","60","14","18","21","22","22","48","63","59","35","996","192","","1","2","","1","","","","","","","",""
2591.2,NA,NA,110,"12542, 2","3","","","","","","","","3","4","","","5","8","4","","4","","3","3","6","1","7","2","","5","6","2","7","7","13","2","22","32","58","29","15","31","24","26","29","84","48","32","1342","191","","","3","","1","","","","","","","",""
2630.8,NA,NA,113,"12542, 2","2","","","","","","","2","","","","","3","7","3","","3","","","4","6","1","12","4","","1","5","5","8","5","3","5","13","29","68","15","8","14","19","17","26","77","75","27","2100","178","","2","1","","2","","","","","","","",""
2670.9,NA,NA,116,"12542, 2","","","","","1","","2","","5","5","","","2","9","2","","2","2","","12","3","2","4","1","","4","2","6","7","5","5","2","16","40","50","27","16","18","30","39","42","64","55","21","1543","174","","","","","","","","","","","","",""
2725.6,NA,NA,120,"12542, 2","","","","","","","","","1","2","","1","1","8","3","","3","","2","2","6","9","11","9","","5","11","3","7","6","3","2","22","25","60","15","12","21","26","31","44","75","43","15","763","155","","2","2","","","2","","1","3","2","1","",""
2764,NA,NA,123,"12542, 2","","","1","","","","","","5","","","1","","10","","","5","","1","3","6","6","7","2","","6","4","","9","7","3","8","12","29","67","10","19","30","28","19","15","80","53","9","902","182","","","1","4","","1","","1","","","1","",""
2790.3,NA,NA,125,"12542, 2","2","","2","","","","","","","2","","2","9","7","","","2","","3","4","5","2","8","2","","","5","3","13","5","5","1","9","42","59","9","11","15","33","25","37","25","63","6","1001","178","","1","","3","1","1","2","","","","","",""
2817.7,NA,NA,127,"12542, 2","1","","","","1","","","","","1","","","4","9","3","","1","","","5","7","1","8","7","1","","10","4","12","5","6","3","14","28","58","14","5","40","23","21","22","31","69","35","767","183","","2","3","","","2","","","","","","",""
2873.7,NA,NA,131,"12542, 2","","","","","1","1","","","5","","2","","5","7","2","","","","","5","9","4","8","6","2","4","9","3","9","4","5","4","15","36","60","18","","29","24","29","42","91","50","21","887","173","","3","2","","","","","","","","","",""
2902.6,NA,NA,133,"12542, 2","1","1","3","","1","","","","","1","3","1","4","15","1","","5","2","2","4","5","4","7","4","","3","3","12","7","8","2","2","17","22","76","14","6","38","14","19","41","88","41","10","1245","169","","","2","2","1","","","","","","","",""
2948.9,NA,NA,136,"12542, 2","","","","","","","","","2","","4","","5","13","2","","3","3","3","6","7","3","8","3","","3","2","6","10","7","10","3","11","35","68","11","6","17","25","27","31","45","39","11","525","153","","","","3","","","","","1","","","",""
2999.3,NA,NA,139,"12542, 2","1","","","","","","","","1","","2","","3","18","2","","2","4","5","7","6","7","3","8","","","3","5","11","6","3","8","9","20","87","21","11","28","20","19","28","38","36","8","989","176","","3","1","","","","","","1","","2","",""
3048.6,NA,NA,142,"12542, 2","","","","","","","","","2","","2","","3","16","4","","2","","3","4","8","3","10","8","","5","6","3","9","5","11","1","12","21","60","13","7","27","10","31","18","49","30","9","1023","181","","","2","","","","","1","2","","1","",""
3098.3,NA,NA,145,"12542, 2","2","","","","","","","","","2","","","6","14","3","","3","1","3","8","4","","10","9","","4","11","","8","6","3","3","13","34","58","14","15","36","11","17","17","38","36","16","800","180","","4","1","","","3","","","","","1","",""
3147.6,NA,NA,148,"12542, 2","1","","","","","","","","","","","","6","17","2","","","2","2","5","7","6","7","9","","3","","1","12","7","4","4","7","27","60","17","11","14","21","26","18","55","39","26","490","185","","4","1","","1","","","","","","","",""
3197.4,NA,NA,151,"12542, 2","1","","","","1","","","","2","3","","","4","11","","","","3","2","15","5","2","14","2","","2","3","3","10","2","3","3","6","25","105","15","3","19","20","19","24","81","30","27","348","178","","","2","3","","","","","","","","",""
3265.7,NA,NA,155,"12542, 2","","","","","","","","","2","3","","","5","19","","","3","1","4","17","6","3","4","","","","12","","7","6","2","3","9","28","99","18","6","17","17","17","55","32","38","17","654","158","","2","2","3","","","","","","","","",""
3333.5,NA,NA,159,"12542, 2","2","","3","","","","","","","","","","4","15","1","","2","","5","11","11","6","11","6","","1","","6","7","4","9","4","22","26","63","10","7","23","19","28","31","19","44","9","765","183","","1","2","","","1","","1","","2","","",""
3400.9,NA,NA,163,"12542, 2","","","4","","","","","","1","5","","","","20","1","","4","1","","7","6","3","6","5","","","3","5","18","5","3","6","10","23","61","15","11","22","15","19","27","49","45","12","701","189","","","2","","","","","","","","1","",""
3450.3,NA,NA,166,"12542, 2","","","","","1","","","","1","","","1","2","12","2","","","2","1","5","5","3","6","8","2","","2","4","7","3","4","3","7","14","85","11","10","9","25","25","22","87","32","12","278","201","","","1","","1","","","","","","","1",""
3498.9,NA,NA,169,"12542, 2","2","","","","2","","","","","","1","1","3","15","1","","","","","5","5","4","5","9","3","","3","5","8","6","3","3","15","19","77","21","12","12","13","19","36","72","40","22","603","190","","1","3","","","","","","","","","",""
3547.3,NA,NA,172,"12542, 2","","","","","","","1","","1","","1","","6","14","","","2","2","3","4","6","2","6","5","","1","6","7","7","9","4","5","21","29","62","10","7","11","24","25","26","59","41","23","390","191","","2","2","4","","","","","","","1","",""
3596.6,NA,NA,175,"12542, 2","","","","","","","2","","","3","","","4","11","","","","1","","15","4","6","11","6","","2","2","5","16","2","3","4","12","30","100","12","6","12","27","26","24","40","32","15","405","211","","","2","5","1","","","1","","","","",""
3645.8,NA,NA,178,"12542, 2","","","","","","","1","","2","2","","","3","18","3","","","","","13","6","1","7","9","","4","4","4","4","10","2","3","11","33","95","11","","10","18","18","41","38","48","9","348","189","","5","2","","1","1","","2","","","","",""
3678.9,NA,NA,180,"12542, 2","","2","1","","4","","3","","2","2","","","2","19","1","","","","2","12","9","","12","2","","3","8","5","9","4","","2","13","29","90","19","3","9","17","23","32","56","44","16","332","150","","","1","","","2","","","","","","",""
3744.8,NA,NA,184,"12542, 2","","","2","","","","","","1","4","","","3","10","","","","","","7","7","1","5","3","","","2","5","8","5","4","2","3","25","120","18","11","9","24","18","11","43","39","28","525","184","","6","2","","1","","","","","","1","",""
3812.1,NA,NA,188,"12542, 2","3","","","","","","","","","","","","","12","2","","","1","","3","5","","4","2","","2","4","4","7","7","3","4","6","18","117","13","","9","10","27","8","48","27","17","422","139","","7","2","","","","","","","","","",""
3845.7,NA,NA,190,"12542, 2","","","","","","","","","3","2","","","","20","1","","","2","1","12","3","2","2","3","2","3","10","5","3","5","2","2","7","13","148","12","6","7","11","24","16","90","28","25","338","195","","1","1","","1","","","","","","","1",""
3903,NA,NA,193,"12542, 2","","","","","","","","","","","","","","23","1","","","3","2","9","1","3","4","4","2","","11","4","5","6","10","8","10","9","138","13","10","8","29","33","23","88","21","19","335","128","","1","2","","1","","","","2","","2","1",""
3962,NA,NA,196,"12542, 2","","","","","","","","","4","1","","","","32","","","2","","","4","","","5","","3","2","1","3","8","4","2","1","11","6","152","11","5","8","28","19","17","43","30","22","229","187","","","2","2","","","","","","","2","",""
4023.6,NA,NA,199,"12542, 2","","","","","","","","","","","","","","25","","","1","","","5","3","5","1","","4","1","2","5","13","8","1","2","10","15","150","16","4","5","9","31","22","37","35","6","291","195","","7","","3","","","","2","3","","","",""
4083,NA,NA,202,"12542, 2","1","","2","","2","","","","","1","","","","29","","","","","","3","3","","2","","","5","3","2","12","6","3","3","9","8","141","12","","6","12","22","50","32","22","15","146","184","","","2","2","","2","","","","","3","",""
4142.4,NA,NA,205,"12542, 2","","1","3","","1","","","","2","","","","","31","2","","","","1","5","","1","","","","3","5","2","8","5","2","2","12","10","138","11","7","8","15","20","12","30","25","6","401","188","","5","","","","3","","","3","","3","",""
4181.5,NA,NA,207,"12542, 2","","","","","","","","","","2","","1","","36","1","","","2","","11","1","1","1","1","1","2","9","3","14","5","3","3","8","17","129","19","7","9","38","31","31","88","33","9","97","176","","","2","","2","1","","3","","","6","",""
4241.1,NA,NA,210,"12542, 2","","","","","","3","","","","2","1","","","28","1","","","2","","5","2","","","2","","3","5","3","3","3","2","2","8","11","135","19","1","2","30","12","8","34","23","13","108","169","","","2","","1","","","3","4","","4","",""
4301.7,NA,NA,213,"12542, 2","","","","","1","","","","2","","2","","2","30","","","","","2","5","","2","5","3","","","","2","19","7","1","3","6","8","123","14","1","3","17","15","9","50","19","4","90","178","","2","1","","1","","","","3","","6","",""
4342.3,NA,NA,215,"12542, 2","","","","","","","","","","1","1","","1","32","","","","","","5","","","2","","","2","3","","7","6","","","5","13","144","19","","10","19","32","22","32","36","14","144","189","","2","1","1","","","","","2","","5","",""
4399.9,NA,NA,218,"12542, 2","","","","","","","","","","1","1","","2","35","2","","","","","6","2","","3","","1","","","1","6","6","10","2","3","18","169","13","3","15","19","19","15","45","44","13","101","190","","3","1","","","2","","2","2","1","7","","2"
4477.9,NA,NA,222,"12542, 2","","","","","","","","","1","","1","","3","33","1","","","3","","7","","","2","","2","2","5","4","4","5","2","6","4","9","149","13","2","5","23","15","16","70","41","4","90","181","","4","1","1","","1","","1","1","","5","",""
4537.9,NA,NA,225,"12542, 2","","","","","1","","","","","","","","","28","","","2","","1","8","","2","","5","","3","","3","5","5","1","2","4","7","130","15","1","5","13","33","18","55","25","6","83","160","","7","2","1","","2","","","","","2","",""
4619.2,NA,NA,229,"12542, 2","1","","","","","","","","2","","","","","26","","","5","","1","9","1","","4","","","1","4","3","14","4","1","3","6","15","133","11","2","6","17","21","12","47","22","3","66","189","","","2","","","3","","","1","","2","1",""
4661.4,NA,NA,231,"12542, 2","","","","","","","","","","1","","2","","24","3","","","3","","8","2","","4","","","1","2","2","13","8","9","2","6","8","135","19","9","11","19","12","28","84","37","6","88","183","","","3","","","","","3","1","","1","2",""
4726.3,NA,NA,234,"12542, 2","","","","","","","","","1","2","","","","25","3","","","","","6","","2","3","12","","","3","","12","5","2","4","6","10","161","18","","12","18","31","19","66","31","5","62","196","","4","","","","","","4","","","5","",""
4819.2,NA,NA,238,"12542, 2","","","","","","","","","","","","","","32","2","","","","","6","","1","3","2","","","3","","13","1","1","1","6","6","178","17","9","7","27","16","18","61","29","6","88","188","","5","","","","","","2","1","","4","",""
4891,NA,NA,241,"12542, 2","1","","","","1","","","","2","1","","","","28","","","","2","","8","1","","2","","","2","1","2","9","6","1","2","5","7","166","18","8","8","28","30","12","55","34","5","45","174","","","2","","1","","","1","1","","7","","1"
4988,NA,NA,245,"12542, 2","","1","1","","","","","","","1","","","","36","","","","","","7","1","","1","","","3","3","3","15","6","1","2","7","15","167","14","","9","18","23","25","29","28","14","51","178","","1","3","","","","","2","","","6","","1"
5064.2,NA,NA,248,"12542, 2","","1","2","","","","","","2","2","","","","25","","","1","","1","5","","3","6","","2","1","3","5","4","5","2","1","4","10","171","16","","4","29","27","37","24","36","4","76","155","","","2","","","4","","2","1","","2","","2"
5114.7,NA,NA,250,"12542, 2","","","","","","","","","2","3","","3","1","33","2","","","","","6","","","3","","","1","","4","5","8","1","3","6","9","134","17","10","8","11","16","17","60","33","12","64","170","","","","4","","2","","","2","","3","2",""
5191.1,NA,NA,253,"12542, 2","","","","","","","","","","3","","","2","32","","","","","","6","","4","","6","","2","4","6","","4","8","2","5","7","158","18","2","10","5","24","38","31","30","8","151","156","","1","","","","","","2","","","8","1",""
5241.9,NA,NA,255,"12542, 2","","","","","1","","","","2","3","","","","36","","","","","2","7","","3","5","6","","2","5","","2","9","1","3","5","7","160","15","","11","8","16","19","54","20","8","99","190","","","","","","","","3","3","","4","","1"
5337.3,NA,NA,259,"12542, 2","","1","","","1","","","","","","","","","37","","","","","","8","","","5","5","1","5","4","","2","4","2","2","6","12","162","14","4","6","31","16","9","28","22","","160","149","","3","","4","","","","","3","","4","","2"
5408.9,NA,NA,262,"12542, 2","","2","","","1","","","","2","","","","","30","","","","","","10","2","2","1","","","3","","5","2","3","1","2","5","8","174","10","","5","12","20","29","48","21","3","61","191","","","1","1","","","","","","","3","",""
5504.7,NA,NA,266,"12542, 2","","1","1","","2","","","","","1","","","","36","","","","","","12","","5","2","","1","2","","","3","7","2","1","8","5","165","14","14","7","9","12","18","38","23","","63","189","","","","2","1","1","","1","","","4","3",""
5577,NA,NA,269,"12542, 2","","","","","1","","","","2","","","","","37","","","","","","9","","","5","","1","3","10","","","5","2","","1","4","142","16","","7","11","11","7","45","28","1","42","187","","6","","","","","","2","4","","5","2",""
5649,NA,NA,272,"12542, 2","","","","","","","","","1","3","","","7","33","","","7","1","2","18","","3","4","10","1","4","2","","3","8","7","1","","13","177","12","3","8","8","15","10","39","25","1","76","154","","","","","","","","1","","","2","1","1"
5720.2,NA,NA,275,"12542, 2","","","","","","","","","2","","","","","41","","","","","","12","","","","3","","","1","2","4","1","2","2","","10","160","15","11","10","9","19","13","18","22","4","120","188","","4","1","","","","","1","3","","2","2",""
5818.5,NA,NA,279,"12542, 2","","","","","1","","","","3","","","","","31","","","","","","11","","","2","4","","","6","3","5","4","3","3","2","11","158","13","3","4","11","10","33","22","35","3","129","190","","3","","","","","","","2","","2","",""
5891.2,NA,NA,282,"12542, 2","","","","","","","","","4","","1","","","27","2","","","","","10","","","","","","2","2","2","4","7","2","8","3","6","159","12","1","5","10","9","14","20","31","4","38","192","","2","","","","1","","5","1","","1","1",""
5964.3,NA,NA,285,"12542, 2","","","2","","","2","","","4","2","","","","29","","","","","","11","1","","6","1","","3","2","4","5","9","3","1","3","12","165","10","1","5","20","8","41","33","22","5","75","190","","1","","","","","","3","1","","","","1"
6034.7,NA,NA,288,"12542, 2","","","","","1","","","","3","","","","","30","","","","","1","9","","1","","2","","","4","3","4","4","5","1","6","13","166","11","","5","22","10","33","21","34","5","155","177","","2","","","","","","2","","","3","",""
6152.8,NA,NA,293,"12542, 2","","","","","1","","","","2","","","","","28","","","","","","19","","3","1","7","","","3","4","6","5","4","","6","8","135","9","18","4","6","7","23","10","24","12","60","165","","","1","1","","","","2","2","","6","1",""
6200.2,NA,NA,295,"12542, 2","","","","","","","","","5","1","","","","24","","","","","","16","","3","1","7","","","","","5","5","7","1","5","13","148","18","","6","12","5","11","34","25","10","59","199","","2","2","1","","1","","1","2","","3","2",""
6298.2,NA,NA,299,"12542, 2","","1","","","","","","","","1","","","","28","","","8","","1","21","","","1","7","","1","1","1","4","6","","2","7","7","155","15","","6","15","6","41","43","33","3","53","201","","3","1","","","1","","1","2","","3","2",""
6347.6,NA,NA,301,"12542, 2","","","","","1","","","","","1","3","","","17","","","","","2","12","","","2","1","","1","10","2","4","6","2","2","3","5","195","21","3","7","18","5","9","12","20","5","45","149","","","","1","1","","","","","","5","",""
6423.5,NA,NA,304,"12542, 2","","","","","","","","","","","","","","13","","","","","","13","","3","12","2","","","2","3","3","3","1","3","5","7","182","18","","12","29","10","39","50","25","6","25","155","","","","","1","","","1","2","","1","3",""
6502.2,NA,NA,307,"12542, 2","","","","","","","","","3","1","","","2","16","","","","2","","10","1","","1","","","1","1","4","","7","","1","4","6","188","16","7","3","16","10","26","5","23","5","128","153","","2","","2","","","","2","1","","2","1","1"
6578.2,NA,NA,310,"12542, 2","","","","","","","","","3","","","","1","15","","","6","","","19","","4","6","","","2","1","","3","7","","2","2","12","192","22","","3","12","6","14","22","24","7","71","165","","3","1","","","","","2","","","2","2","1"
6688.4,NA,NA,314,"12542, 2","","","","","1","","","","","","","","2","13","","","2","","","17","2","1","5","","","4","","3","4","7","3","1","2","8","204","14","17","10","13","5","20","6","28","6","122","149","","4","","4","","1","","3","2","","3","5","2"
6824.8,NA,NA,319,"12542, 2","","1","","","","","","","","1","","","","8","","","2","","2","17","","1","2","","","2","2","","3","4","4","","3","8","237","20","","12","9","8","7","31","19","2","36","200","","2","","4","","","","","","","6","2",""
6990.7,NA,NA,325,"12542, 2","","","","","1","","","","2","","","1","","19","1","","","","","13","","","3","2","","","3","1","3","5","2","8","3","9","208","12","8","7","8","8","29","13","20","1","29","177","","","","","","1","","3","1","1","4","1",""
7127.1,NA,NA,330,"12542, 2","","","","","","","","","2","","","","","12","","","","","","14","","1","4","","","","3","2","4","4","1","2","10","11","192","19","3","11","6","7","18","5","22","","62","165","","","","","","2","","4","1","","3","3",""
7260.5,NA,NA,335,"12542, 2","","","","","","","","","1","2","","","5","8","","","","","","15","","1","7","","","2","4","","4","5","3","1","5","5","221","17","2","8","8","5","33","8","30","2","48","191","","1","","1","","","","","2","","1","","1"
7400.3,NA,NA,340,"12542, 2","","","","","1","","","","1","2","","","","16","","","","","3","14","","","8","","","","3","","5","5","10","2","4","13","238","13","1","9","3","7","25","31","21","2","165","183","","1","","","","","","1","","","","2",""
7479.8,NA,NA,343,"12542, 2","","","","","2","","","","1","","","","","13","","","","","","15","","","2","","","","5","1","2","7","2","1","2","4","231","16","","9","19","7","49","9","20","1","66","166","","1","1","","1","1","","","","","2","3",""
7585,NA,NA,347,"12542, 2","","","","","","","","","2","","","","","10","","","","","","17","","4","6","","","2","10","1","","7","3","3","","12","225","12","5","12","21","10","12","12","23","","72","177","","3","","","","","","1","2","","2","1","2"
7662.7,NA,NA,350,"12542, 2","","","2","","2","2","","","5","3","","","","23","","","","","","18","","5","5","","","2","7","4","1","4","4","8","6","9","218","11","6","7","7","4","38","30","18","7","60","170","","","","","","","","1","1","","4","2",""
7794.7,NA,NA,355,"12542, 2","","","3","","","","","","","","","","","15","","","3","","","19","","","3","","","1","6","1","3","4","5","1","5","6","209","12","5","5","7","12","29","22","15","6","142","151","","","2","","","","","","","","","2","3"
7935,NA,NA,360,"12542, 2","","","","","","","","","4","2","","","","14","","","3","","","12","","","2","2","","1","6","2","4","3","","","9","3","197","10","","11","6","4","27","28","14","4","38","143","","","","","","","","1","2","","3","1","1"
8069.8,NA,NA,365,"12542, 2","","","","","1","","","","4","","","","","15","","","","","","11","","","4","2","","2","","4","2","3","7","","8","6","199","19","2","10","9","10","22","19","15","5","99","162","","1","","","","2","","2","3","","4","1",""
8149.5,NA,NA,368,"12542, 2","","","","","","1","","","","","","","3","18","","","","","","12","","","7","1","","5","4","4","3","6","3","7","7","9","178","25","2","8","10","9","31","9","13","","70","191","","","","","","","","2","","","5","",""
8230.5,NA,NA,371,"12542, 2","","","","","1","","","","3","","","","","10","","","","","","13","","3","5","","","3","5","5","","7","2","2","7","10","218","21","2","9","5","9","18","20","22","4","45","186","","4","","4","","","","","2","","2","2",""
8313.8,NA,NA,374,"12542, 2","","","1","","","","","","","1","1","","","13","","","","","","10","","","4","","","","4","3","4","8","3","3","6","4","240","16","","10","11","8","16","24","23","3","58","178","","","","","","1","","1","","","2","2","1"
8416.5,NA,NA,378,"12542, 2","","","","","","","","","2","3","","","","9","1","","2","","","10","","1","7","","","3","3","3","1","4","2","2","5","6","261","13","3","12","6","7","12","29","14","2","25","180","","1","","2","","","","2","2","","1","3",""
