"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Betula","Ranunculaceae","Rosaceae","Alisma","Secale","Ranunculus acris-type","Littorella","Fraxinus ornus","Rumex acetosa","Poterium sanguisorba","Indeterminable undiff.","Equisetum","Tilia","Vitis","Pinaceae","Brassicaceae","Filipendula","Castanea","Potamogeton","Urticaceae/Moraceae","Rumex acetosella","Quercus ilex","Unknown (trilete, psilate)","Cyperaceae","Cichorioideae","Ericaceae","Salix","Corylus","Amaranthaceae","Plantago lanceolata","Fraxinus excelsior-type","Platanus","Juglans","Ulmus/Zelkova","Unknown","Artemisia","Cupressaceae","Pteridium aquilinum-type","Poaceae","Alnus","Carpinus betulus-type","Pinus","Fagus","Quercus (deciduous)","Pollen concentration","Euphorbia","Ilex","Plantago major","Rubiaceae","Rumex undiff.","Cedrus","Olea","Pterocarya","Poaceae (>37 µm)","Dryopteris filix-mas","Unknown (monolete, non-psilate)","Plantago","Pistacia","Indeterminable","Rhododendron","Unknown (monolete, psilate)","Cladium","Apiaceae","Centaurea cyanus","Ostrya/Carpinus orientalis","Sagina","Anthoceros","Asplenium","Fabaceae","Asteroideae","Lamiaceae","Melampyrum","Valerianella","Typha/Sparganium","Myrica","Taxus","Hedera","Acer","Nymphaea","Riccia","Thelypteris palustris","Polypodium vulgare","Phacelia","Myriophyllum verticillatum","Calligonum","Sambucus","Mercurialis annua","Lycopodium","Caryophyllaceae","Buxus","Pinguicula","Hippophaë","Celtis","Elaeagnus","Picea","Cannabis","Polygonum aviculare/Bistorta officinalis","Boraginaceae","Liliaceae","Unknown (trilete, non-psilate)","Polygonum sensu lato undiff.","Viburnum","Ephedra fragilis-type","Silene","Chrozophora","Knautia","Geranium","Helianthemum","Centaurea jacea","Cistus","Loranthus","Calystegia","Thalictrum","Typha (tetrad)","Lythrum"
1053,NA,NA,329.5,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,2,NA,NA,NA,6,NA,NA,NA,NA,10,6,NA,3,1,NA,2,3,NA,1,NA,1,20,4,1,3,9,7,8,31,27,35,5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,3,35,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1134,NA,NA,362.5,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,2,5,NA,1,NA,NA,3,NA,1,2,11,8,NA,2,3,3,3,4,1,6,4,2,20,1,7,2,11,23,18,57,22,103,7918,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1211,NA,NA,394,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,3,NA,6,NA,1,NA,2,3,2,6,2,2,3,9,4,35,128,110,80,11824,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1232,NA,NA,402.5,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,3,1,1,1,NA,NA,7,NA,4,NA,9,2,1,10,11,2,13,11,5,14,7,13,46,48,91,37,194,35276,NA,NA,NA,1,NA,NA,4,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1257,NA,NA,413,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,1,NA,NA,NA,NA,NA,3,7,2,2,2,4,7,76,87,45,86,23395,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1288,NA,NA,425.75,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,1,1,2,NA,4,NA,4,NA,1,2,4,NA,10,5,2,11,1,9,25,68,153,22,98,18620,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1321,NA,NA,439,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,13,NA,8,NA,2,NA,NA,3,4,1,8,35,2,2,8,9,6,101,286,92,221,18342,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1337,NA,NA,445,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,3,NA,NA,NA,NA,NA,NA,1,4,17,NA,NA,2,1,1,53,138,71,57,5013,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,14,NA,1,NA,10,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1352,NA,NA,450.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,2,NA,1,1,10,NA,3,1,3,1,1,NA,4,1,7,20,NA,2,1,12,9,52,140,29,80,4866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,12,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1369,NA,NA,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,NA,NA,1,NA,NA,NA,NA,2,3,7,NA,1,NA,15,NA,3,219,3,18,2064,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
