"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Betula","Castanea","Cyperaceae","Ulmus","Centaurea","Thymelaea","Vitis","Tamarix","Erica","Ononis","Chamaerops","Polygonum aviculare-type","Alnus","Crataegus","Asteraceae","Cistus","Ephedra fragilis","Quercus (deciduous)","Pistacia","Lamiaceae","Indeterminable (unknown)","Rhamnus","Berberis","Quercus (evergreen)","Genista","Caryophyllaceae","Lygeum","Brassicaceae","Plantago","Charcoal","Helianthemum","Pinus","Sordariaceae","Amaranthaceae","Olea","Juniperus-type","Artemisia","Poaceae","Lycopodium spike","Asphodelus","Aizoaceae","Osyris","Zygnemataceae","Calicotome","Periploca","Ziziphus","Withania","Acer","Buxus","Arbutus","Fraxinus","Pinus pinaster","Quercus suber","Riccia","Pseudoschizaea","Corylus","Maytenus","Typha","Euphorbia","Salix","Phillyrea","Cosentinia","Cedrus","Asparagus","Taxus","Pteris","Myrtus","Apium"
3538,NA,NA,118,"12542, 2","2","","5","","","1","","","6","","2","","3","","12","","1","12","8","2","11","2","1","42","","","5","","4","3, 42","","80","2","5","12","2","10","31","185","1","","","45","","1","","","5","2","","","8","2","4","26","","","5","","2","1","","","","1","","","1"
3596,NA,NA,120,"12542, 2","5","","6","1","","","","1","5","","","3","","","8","1","1","15","11","3","11","1","","21","3","","8","","5","16, 70","1","121","2","4","4","5","6","30","190","1","","","41","","","1","","","2","1","","6","5","4","20","9","2","3","","4","3","","","","","","",""
3654,NA,NA,122,"12542, 2","","3","4","2","","","","","5","","","","","","13","3","2","14","7","1","10","","","44","","2","6","1","1","6, 32","","72","4","4","6","5","8","32","191","1","","","48","","2","2","3","2","7","","3","8","3","3","17","8","","4","1","","2","","","3","","","1",""
3712,NA,NA,124,"12542, 2","4","","9","","","5","","","2","","","","2","","11","","5","11","5","8","12","","","11","","","10","","1","14, 72","","124","5","4","9","1","25","23","193","1","","","39","","1","","1","3","","","1","7","9","3","20","","4","2","2","","","","","1","1","1","",""
3770,NA,NA,126,"12542, 2","","","8","","","1","","1","11","","2","4","1","","10","3","5","18","11","7","11","","1","42","","1","5","1","3","11, 35","","67","3","8","10","1","16","28","189","1","1","","34","","","","1","1","1","","","8","9","2","27","6","","1","2","","4","","","1","","1","",""
3827,NA,NA,128,"12542, 2","7","","7","","","","","1","8","","","","","","12","5","2","8","12","5","9","","1","12","2","2","2","","4","4, 29","","121","","5","3","3","10","22","180","1","","","27","1","","2","","4","5","5","","5","7","4","31","2","1","2","2","","","","1","","","1","",""
3885,NA,NA,130,"12542, 2","3","","9","1","","","","","7","","","","","","18","2","3","10","8","3","8","","","31","","","4","","1","10, 74","","50","6","4","7","4","14","25","184","1","","","23","","1","1","1","","1","","","8","8","1","30","","2","8","","3","","","","2","","","","1"
3943,NA,NA,132,"12542, 2","","","9","","","","","","11","","","1","4","","21","6","1","12","14","2","7","1","","17","1","","2","","1","5, 32","","131","2","3","2","3","6","31","193","","","1","19","","","1","","","3","2","2","5","8","3","15","7","3","3","","1","1","","","1","","","",""
4009,NA,NA,134,"12542, 2","4","5","6","","","","","","2","","2","","","","22","4","3","43","10","","12","","","14","","1","","","2","12, 80","","63","5","4","7","2","8","26","195","1","","","28","","","","","","","2","1","7","4","3","12","","5","7","1","1","2","","","","","","",""
4085,NA,NA,136,"12542, 2","5","","8","1","","","","","6","","1","2","","","17","4","1","60","8","1","13","","1","9","","","","","2","3, 32","","59","","7","5","4","7","17","178","","","","45","","","1","","1","4","","","7","7","2","14","3","4","3","2","","","","","","","","2",""
4160,NA,NA,138,"12542, 2","","","8","","","","","","3","","","","","","11","1","2","42","5","2","10","2","","19","2","","2","2","4","11, 73","","42","","4","10","3","10","23","187","1","","","39","","","","","","4","","","5","4","1","10","1","9","4","","","8","","","2","","","1",""
4235,NA,NA,140,"12542, 2","4","","9","1","","","","","2","","","","3","","9","","2","69","2","1","16","","","12","","","","1","2","3, 30","2","48","4","6","8","1","6","21","192","","","","47","","","1","2","","5","2","","12","5","2","18","8","6","2","","","4","","","3","","","",""
4311,NA,NA,142,"12542, 2","","","12","1","","","","","5","","","2","1","","7","","1","58","3","1","12","","","15","","3","1","","2","3, 32","","40","","4","5","1","13","18","184","","","1","40","","","1","1","2","","","2","8","2","3","10","1","4","3","","","9","","","5","","","4",""
4386,NA,NA,144,"12542, 2","3","","11","","","","","","2","","","2","","","11","","1","55","2","2","11","","1","10","","","3","","1","8, 75","1","39","","2","11","1","8","25","188","","","","43","","1","2","","","6","1","","7","5","2","16","","5","7","","2","7","1","1","2","","2","3",""
4461,NA,NA,146,"12542, 2","","","18","1","","","","","3","","","","2","","8","","3","61","7","1","8","1","","16","1","","4","","2","3, 32","","42","6","6","7","2","9","15","176","1","","","42","","","2","","","3","","","9","5","","14","3","3","4","1","","4","1","","1","","","2",""
4537,NA,NA,148,"12542, 2","1","","11","","","","","","3","","","","","","9","1","1","65","6","2","9","","","11","","1","2","1","1","5, 35","","35","","3","8","2","13","23","179","","","","39","","","1","","1","","2","","6","6","2","11","3","8","6","2","","6","1","","4","1","","3",""
4612,NA,NA,150,"12542, 2","","1","15","3","","2","","","1","","","","","","12","","1","50","1","1","4","","","21","","","1","","3","5, 33","","34","3","2","2","4","12","22","178","","","","42","","","1","","","5","","","13","1","3","10","","2","5","1","1","8","","","3","","","",""
4687,NA,NA,152,"12542, 2","","1","12","","","","","","","","","1","2","","6","","","52","6","1","9","1","","15","2","2","1","","2","8, 69","","49","4","5","11","3","14","28","189","1","","","47","","","","","","","1","1","7","3","","11","3","9","8","1","","4","","1","3","","","2",""
4763,NA,NA,154,"12542, 2","1","","19","2","","","","","1","","4","","","","8","","1","61","6","1","13","","1","21","","","","","1","3, 29","","30","3","9","5","2","13","26","190","3","","","52","","1","2","1","2","2","2","","9","5","3","9","","4","7","","","9","","1","4","","","1",""
4838,NA,NA,156,"12542, 2","6","1","13","1","","","","","4","","2","1","","","9","","","53","7","1","13","","","14","","","4","1","2","2, 31","","46","5","3","8","2","8","20","190","1","","","49","","","","1","2","5","5","","6","3","3","10","4","7","8","","2","6","","","4","","","",""
4913,NA,NA,158,"12542, 2","5","","10","","","","","","","","","1","","","11","1","1","68","5","2","5","","","15","","1","2","","2","6, 30","","38","","2","4","1","9","18","190","","","","31","","","1","","","","","2","9","4","2","10","1","5","5","","","5","","","5","","","",""
4989,NA,NA,160,"12542, 2","4","","9","1","","2","","","","","","2","","","15","","","66","1","2","11","3","","13","","1","1","","","6, 68","","33","","5","10","1","10","19","189","2","","","26","","","","","2","2","","","6","8","","33","5","6","6","","1","7","","","2","","1","1","1"
5064,NA,NA,162,"12542, 2","3","","16","","","4","","1","","","","","1","","14","","1","54","1","8","9","1","1","21","","","","1","4","2, 37","1","45","4","1","12","2","12","23","190","1","","","30","","","1","","","5","1","","12","2","1","15","","5","6","","","7","","","2","1","","4",""
5139,NA,NA,164,"12542, 2","4","1","22","1","","3","","","","","3","","","","13","1","3","64","6","10","8","2","","10","2","","3","","2","3, 40","","31","5","2","5","3","17","14","196","1","","","24","","","1","","1","6","","","9","6","4","21","8","9","9","","","4","","2","4","","","2",""
5215,NA,NA,166,"12542, 2","8","","25","1","","","","","1","","3","1","","","15","","1","69","6","4","7","","","12","","","2","1","3","2, 29","","38","","2","4","","12","22","199","","","","32","","","","1","","2","","2","8","3","1","11","6","3","3","","1","10","","","3","","","",""
5290,NA,NA,168,"12542, 2","","","21","1","","","","","2","","","","","","11","","","58","","1","9","","","21","","1","","1","1","2, 32","","40","3","3","3","2","9","19","189","","","","38","","","1","","","","2","","8","4","1","8","5","5","4","","1","8","","","1","","","1","1"
5365,NA,NA,170,"12542, 2","5","","20","","","","","","","","","","2","","9","","1","56","5","","3","","","18","","1","1","","3","5, 71","2","43","4","4","8","","4","20","178","","","","61","","","1","","2","5","","1","8","5","","","1","5","7","","1","5","","","2","","","3","1"
5440,NA,NA,172,"12542, 2","2","","11","1","","","","","","","2","3","","","6","","3","65","4","","7","2","1","19","","","1","","2","1, 28","1","33","6","1","8","","4","21","170","","","","55","","","","","1","6","1","","10","7","2","4","","8","6","","","7","","1","2","1","","2",""
5516,NA,NA,174,"12542, 2","8","","19","","","","","","","","","","","","5","","","63","3","1","8","","","20","","1","1","1","1","2, 29","1","41","","2","2","1","3","21","170","1","","","64","","","","1","","3","3","3","11","6","1","5","5","6","8","","1","10","","","1","","1","",""
5591,NA,NA,176,"12542, 2","5","","17","1","","","","","1","","","1","4","","2","1","","72","","1","9","","","17","2","","","","3","2, 38","","38","5","1","11","","4","23","180","","","","56","","","","","2","7","","","5","9","","4","5","4","10","","1","7","","","3","","","1",""
5666,NA,NA,178,"12542, 2","6","2","18","","","","","","3","","","","","","1","","","80","5","","7","","","16","","","","","3","3, 30","1","40","5","2","7","","1","19","190","","","","64","","","","","3","3","2","1","11","5","1","3","8","9","7","","","8","","","2","","","2","1"
5742,NA,NA,180,"12542, 2","6","","20","2","","","","","","","","","1","","4","","","68","2","","5","","1","21","","","","2","","2, 32","","32","6","1","5","2","3","16","190","","","","55","","","","","","2","2","1","8","6","1","2","2","12","9","","","6","","","3","1","","1",""
5817,NA,NA,182,"12542, 2","2","","23","","","","","","","","","","","","3","","","70","6","","10","1","","22","","1","","","1","6, 56","","34","","1","5","","2","14","191","","","","70","","","","","1","4","4","2","12","5","","5","","5","8","","","9","","1","1","","","1","1"
5892,NA,NA,184,"12542, 2","7","","15","2","","","","","","","1","","2","","5","1","","66","3","","14","","","16","","","","","2","2, 29","1","45","3","1","12","","3","22","189","","","","67","","","","","5","3","3","3","11","7","3","2","5","8","8","","1","3","","","2","","","",""
5968,NA,NA,186,"12542, 2","3","","21","2","","","","","3","","","1","","","7","","","77","3","","16","","","15","2","1","","","1","1, 27","","30","1","2","9","3","2","19","178","","","","68","","","","","3","2","2","3","9","8","","","6","6","9","","","11","","","4","1","2","1","2"
6043,NA,NA,188,"12542, 2","8","1","19","2","","","","","","","5","","3","","2","","","83","3","2","12","","","24","","","","","1","2, 31","","29","4","2","8","","4","20","187","","","","69","","","","","1","3","1","3","9","9","4","2","","10","11","","","5","","","3","","","1",""
6117,NA,NA,190,"12542, 2","6","1","16","2","","","","","","","2","3","7","","2","","","50","4","2","5","2","","22","","2","","","5","4, 59","2","58","","2","5","","3","16","188","1","","","76","","","","","4","8","1","2","13","15","2","","3","13","10","","1","11","","","3","","","2",""
6189,NA,NA,192,"12542, 2","3","","7","","","","","","3","","2","","4","","1","1","","31","4","","5","1","","12","","1","","","4","1, 30","1","90","3","","8","1","2","12","190","","","","71","","","1","","4","7","2","8","12","10","","1","8","7","5","","2","12","","1","4","1","","4","3"
6262,NA,NA,194,"12542, 2","8","","10","1","","","","","","","","","5","","3","","","37","","","12","","","14","1","","","1","2","2, 29","","89","4","3","7","1","3","16","192","1","","","78","","","","","5","9","6","3","9","9","3","","3","7","6","","","5","","","3","1","","3","5"
6334,NA,NA,196,"12542, 2","","","13","1","","","","","","","","","3","","7","","","70","4","","10","","","13","1","1","","","5","3, 33","","69","","3","6","1","3","10","190","","","","59","","","","","5","16","3","6","13","12","1","","10","12","8","","2","10","","","4","2","","2","8"
6406,NA,NA,198,"12542, 2","6","","5","2","","","","","1","","5","","4","","6","","","40","2","","11","","1","25","","","","","3","1, 28","","101","3","2","12","1","3","14","193","","","","76","","","","","4","10","6","5","10","6","","","9","16","6","","1","6","","","4","","5","5","9"
6479,NA,NA,200,"12542, 2","8","","9","1","","","","","1","","","","7","","1","","","38","7","1","15","","1","16","","","","1","4","5, 58","","110","2","2","3","","1","16","191","","","","65","","","","","5","9","8","6","6","12","2","","4","8","10","","1","9","","","5","1","","6","12"
6551,NA,NA,202,"12542, 2","6","1","7","1","","","","","","","8","","12","","3","","","65","6","","12","1","","16","","","","","5","1, 20","","66","2","1","11","2","2","13","189","","","","81","","","","","4","11","5","8","7","6","4","","9","11","11","","3","10","","","3","1","","1","12"
6623,NA,NA,204,"12542, 2","7","","9","1","","","","","2","","5","","4","","8","","","22","","","6","","","29","2","1","","","3","1, 29","","145","2","3","9","1","3","11","178","1","","","66","","","","","5","15","3","7","8","16","2","","5","9","6","","","8","","1","1","1","","2","10"
6696,NA,NA,206,"12542, 2","9","","10","2","","","","","","","","","6","","6","","","21","4","","7","","","26","2","","","","3","2, 22","","127","5","2","4","1","2","17","177","","","","88","","","","","3","11","7","5","8","9","3","1","5","7","8","","1","13","","","2","3","1","3","11"
6768,NA,NA,208,"12542, 2","10","","9","1","","","","","","","2","","6","","5","","","60","","","8","","","17","","","","","4","4, 29","","83","4","1","7","","4","15","175","","","","74","","","1","","6","11","9","10","12","13","3","","8","15","8","","5","11","","","5","1","","3","9"
6841,NA,NA,210,"12542, 2","8","","5","2","","","","","","","3","","8","","4","","","18","3","","12","","2","20","","1","","1","3","2, 23","","188","","2","5","1","3","13","195","1","","","89","","","","","5","12","8","7","8","12","1","2","13","10","12","","2","7","","","3","2","","4","15"
6913,NA,NA,212,"12542, 2","6","","8","1","","","","","1","","7","","5","","3","","","25","6","1","9","","1","23","","","","","2","6, 52","","150","3","1","5","3","2","12","187","","","","70","","","","","4","15","7","8","10","8","4","","7","8","13","","1","10","","2","2","1","2","3","13"
