"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Amaranthaceae","Micranthes stellaris-type","Campanula","Plantago major-type","Echium","Spergula","Anthriscus sylvestris","Dianthus lusitanus-type","Gagea nevadensis","Narcissus bulbocodium","Saxifraga granulata-type","Halimium/Tuberaria","Minuartia recurva","Colchicum montanum","Plantago subulata-type","Arnoseris minima","Genista-type","Sedum-type","Sphagnum","Hedwigia","Artemisia","Cichorioideae","Plantago lanceolata-type","Potentilla","Corylus avellana","Phillyrea","Juniperus communis","Secale","Galium-type","Castanea sativa","Erica umbellata","Peucedanum-type","Pinus sylvestris-type","Polypodiales (monolete)","Erica australis","Pteridium aquilinum","Quercus ilex-type","Cyperaceae","Alnus glutinosa","Rumex acetosella-type","Pinus pinaster","Sparganium emersum-type","Calluna vulgaris","Betula pubescens","Olea europaea","Ranunculus","Erica arborea-type","Quercus robur-type","Poaceae","Lycopodium spike","Poaceae (Cerealia)","Brassicaceae","Anthemis-type","Hypericum perforatum-type","Silene vulgaris-type","Cytisus scoparius","Daucus","Paronychia polygonifolia-type","Sambucus nigra","Salix","Apiaceae","Chaerophyllum temulum","Gentiana lutea/G. pneumonanthe","Armeria","Pistacia","Eryngium","Fraxinus angustifolia","Sagina","Physospermum cornubiense","Frangula alnus","Succisa","Fritillaria lusitanica","Centaurea nigra-type","Poterium sanguisorba","Conopodium majus","Trifolium repens","Pimpinella saxifraga-type","Polypodium","Sorbus aucuparia","Jasione-type","Asphodelus albus","Polygonum aviculare-type","Arenaria","Ilex aquifolium","Torilis arvensis-type","Carum verticillatum","Potamogeton","Vaccinium","Angelica palustris-type","Hedera helix","Geranium","Thalictrum","Ulmus","Thymelaeaceae","Filago-type","Viola","Rhinanthus/Veronica","Mercurialis annua","Cistus ladanifer-type","Scilla","Myrtus communis","Vitis","Solidago","Filipendula","Bupleurum","Aster-type","Silene dioica-type","Narcissus pseudonarcissus-type","Lysimachia","Corrigiola telephiifolia","Lotus","Lavandula","Vicia","Mentha","Carduus","Portulaca","Marchantiophyta","Scleranthus annuus","Anagallis","Herniaria-type","Botrychium","Cerastium","Ophioglossum lusitanicum","Linaria-type","Ephedra fragilis-type","Silene foetida-type","Rumex acetosa-type","Euphorbia","Trifolium pratense-type","Veratrum album","Helianthemum","Ephedra distachya-type","Centaurea scabiosa-type","Jurinea","Hippophaë rhamnoides","Silene ciliata-type","Cirsium-type","Bellis","Senecio"
4375.71,NA,NA,65,"11329, 1","0.282","","4","","1","","","","","","","1","","1","","1","","2","1","","","","","","1","1","","","","1","","","4","","","1","2","9","2","10","18","19","","","296","2","132","13","171","251","57","1","1","","1","","1","2","","","2","3","","1","","","","1","","1","","","","","1","2","","","","","","2","","","","","","15","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4644.17,NA,NA,70,"11329, 1","0.282","1","","","","","","","1","","","","","","","","","","1","","","2","","1","","","1","1","","2","","3","5","3","1","","8","10","2","11","24","21","2","1","377","","61","8","174","198","102","1","3","","2","","2","","","","4","2","","1","","1","","","","1","3","","","","","1","","","","4","","2","","","","","","35","","","","","","","","","","","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4912.63,NA,NA,75,"11329, 1","0.282","","","","2","","","","1","","","","","","","1","","2","4","","","2","","","","1","","1","","","","4","3","1","1","1","5","6","5","11","19","35","1","1","335","4","58","21","182","260","130","1","1","1","","","1","1","","","7","3","2","","","1","","1","","1","2","","","1","","5","","","","4","3","2","","","","1","","36","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5318.86,NA,NA,80,"11329, 1","0.282","1","","","","","","","1","","","","","1","","","","2","2","","","1","1","","1","","","1","","","","1","2","2","","","9","9","","13","11","26","1","","296","2","51","12","179","168","68","1","2","","","","1","2","1","","5","2","1","","","","","2","","2","4","","","3","2","","","","","1","2","","","","","","","20","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5725.09,NA,NA,85,"11329, 1","0.282","","","","","","","","1","","1","","","","","","","1","8","","","2","1","","","1","","1","","1","","","4","4","","","6","18","","16","24","28","1","1","246","1","35","8","213","273","84","","1","","","","","","","","2","1","2","1","","","","3","","1","1","","","1","1","1","","","","3","1","2","","","","","","","","2","","","","","","1","","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6131.33,NA,NA,90,"11329, 1","0.282","1","2","","","1","","","2","","","","","1","","","","1","","","","3","","1","","3","","2","","","","1","3","4","1","1","9","20","1","9","14","25","2","2","423","2","31","15","194","201","121","1","1","","3","","1","1","","","1","2","","","1","","1","","","","3","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6537.56,NA,NA,95,"11329, 1","0.282","","2","","","","","","","","","","","","","","","1","1","1","1","","","","","1","","1","","1","","2","8","7","1","1","2","19","1","11","20","45","2","5","62","","37","10","226","420","66","","","1","1","1","2","2","","","","1","1","1","","","","1","","","","","","1","","2","","2","","","","1","","","","","1","","","","","","","1","","","","1","","","","","","1","","","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6699.18,NA,NA,100,"11329, 1","0.282","","1","","","","","","","","","","","","","1","","2","1","1","","1","1","","1","2","","1","","1","","3","","6","1","","4","15","1","15","18","40","4","7","16","1","1","3","166","330","46","","2","","","","","","","","","1","","","","","","","","1","","","","1","","1","","","","","","1","","","","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
6860.8,NA,NA,105,"11329, 1","0.282","","","","1","","","","","","","","","","","","","4","5","2","","2","1","","","4","1","3","","","","","3","8","1","","8","16","2","13","14","47","3","4","11","","","3","231","334","61","","","1","1","","1","2","1","","","3","","2","","","1","","","","","","","","","1","","","","","2","2","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
7022.42,NA,NA,110,"11329, 1","0.282","","","","1","","","","","","1","","","","","2","","1","2","1","","2","","","1","2","","2","","","","","1","6","1","","3","20","1","5","18","41","1","9","7","3","","3","190","282","56","1","2","","1","","4","2","","","","","","","","","","1","","","","","","","","1","","1","","1","1","","","","","","","1","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7184.03,NA,NA,115,"11329, 1","0.282","","1","","","","","","","","","","","","","1","","2","","3","","1","1","","1","2","","","","","","1","1","7","2","","5","18","1","10","20","42","5","10","13","2","2","3","221","378","57","2","2","2","2","","","2","","","","3","2","","","","1","","","","","","","","","","","","","1","1","","","","","","","1","","","","","","2","","1","","","","","","","","","","","","","","","3","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
7345.65,NA,NA,120,"11329, 1","0.282","","2","","","","1","","2","","","","","","","","","","","","","","2","","","2","","","","2","","1","3","6","1","1","5","28","1","9","18","35","5","1","2","","18","6","192","372","73","","1","","1","","1","","","","","2","1","1","","","","3","","","","","","","","","","","","","1","","","","","","","6","","","","","","","","","","","","","","","","1","1","","","","","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","",""
7507.27,NA,NA,125,"11329, 1","0.282","1","2","","","","","","","","1","","","","","1","","1","5","","","3","1","","1","","3","","","2","","","4","10","4","","7","37","3","4","22","57","3","6","5","2","19","7","240","418","129","","","","1","1","1","1","","","","4","","","","","","1","","","","","","1","","1","","","","","2","","","","","","","27","","","","","","","","","","","","","","","","1","","","1","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
7751.78,NA,NA,130,"11329, 1","0.282","3","","","","","","","1","","","","","","","","","2","6","","","","","","2","3","","2","","3","","","3","8","2","1","6","32","1","7","31","58","3","4","5","5","21","2","255","536","111","","1","","3","","1","1","","","1","2","2","","","","","4","","","","","","","","2","","","","1","4","1","","","","","","15","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","",""
7996.29,NA,NA,135,"11329, 1","0.282","1","3","","","1","","","1","","1","","","","","","","1","1","","","3","1","","1","2","","3","","","","1","2","6","2","","8","25","2","5","34","32","1","5","3","2","16","3","213","412","110","","","","","","1","","","","","2","","","","","","2","","","","","","","1","1","","","","","","1","","","","","","4","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
8240.79,NA,NA,140,"11329, 1","0.282","","1","","1","","3","","","","","","","","","","","1","3","","","1","3","","","1","","3","","3","","3","3","10","1","","10","30","6","2","32","60","4","6","4","6","16","2","260","720","86","","","","1","","","2","","","1","","","","1","1","","3","","1","","","","","","4","","","","","1","","1","","","","","4","","","","","","","","","","","1","","","","","1","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
8485.3,NA,NA,145,"11329, 1","0.282","","2","","","","1","","","","1","1","","","","1","1","","2","","","3","4","","2","","","9","","1","","","2","12","1","","9","22","3","1","22","37","3","1","1","","7","3","214","394","55","","","","","","","","","","","2","","","","","","3","","1","","","2","","","1","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","",""
8609.69,NA,NA,150,"11329, 1","0.282","1","3","","","","","","","","","","","1","","","","6","9","","","3","6","","2","","","13","","2","","","4","19","","","8","30","","2","41","29","3","5","","","2","","231","477","74","","1","","1","","3","","","","","","2","","","1","","2","","1","","","","","","","","","","","1","","","","","","","5","","2","","","","","","","","","","","","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8734.07,NA,NA,155,"11329, 1","0.282","2","5","","","","2","","","","1","","","","","1","","2","7","","","5","2","1","2","","","16","","4","","","4","18","","","4","18","2","7","39","87","2","1","1","1","1","1","268","696","73","","1","","7","","1","1","","","","1","1","","","","","1","","1","","","","","","","","","","","2","","","","","","1","","","2","","","","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8858.46,NA,NA,160,"11329, 1","0.282","1","3","","","1","1","","","","","","","","","","","4","10","","","6","2","","7","","2","13","","3","","","5","15","","","10","21","","3","41","60","5","","6","1","","","234","537","47","","2","","5","","2","1","","","1","4","","","","","","2","","","","","","","","","","","","1","3","","","","","","","","","2","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8982.84,NA,NA,165,"11329, 1","0.282","2","7","","1","1","","","1","","1","","","","","","1","1","9","","1","3","","","2","1","","13","","2","","1","6","23","","","7","31","","1","65","50","2","","5","","2","3","294","498","93","","1","1","2","","","2","","","","2","","","","","1","1","","2","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","1","1","","","","","3","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
9107.23,NA,NA,170,"11329, 1","0.282","","6","","1","","2","","","","","","","","","","","6","6","","1","4","1","","2","","","10","","2","","1","5","27","","","11","15","2","1","45","64","3","1","4","","","1","212","549","55","","","1","3","","","1","","","","2","","1","","","","2","","2","","","1","","","","","","","1","1","","","","","","","","","3","","","","","","2","","","1","","","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
9235.79,NA,NA,175,"11329, 1","0.282","2","1","","","","2","","","","","","","","","1","3","1","7","","","5","2","","4","","1","14","","1","","1","2","12","1","","15","30","4","","43","51","4","1","5","","","1","237","402","48","","","1","4","","1","4","","","1","3","2","","","","","1","","","","","","1","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","1","","","","2","","","","","","","","","","1","","","1","1","","","","","","","","","","","","","","",""
9364.36,NA,NA,180,"11329, 1","0.282","2","1","","","3","","","","","","","","","","1","","3","5","","","6","2","","1","","1","24","","4","","","5","15","3","","2","26","6","2","88","67","1","1","7","","","","270","690","88","","","1","1","","","2","","","","1","","","","","1","4","","1","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
9492.92,NA,NA,185,"11329, 1","0.282","1","5","","2","","","","","","","","","1","","1","","","11","","","6","","","2","","","7","","3","","","4","16","","","4","20","1","","57","55","4","3","1","","","1","198","474","54","","1","","","","","2","1","","","5","1","","","","","1","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","","","1","","","","","","","","","","1","2","","1","","1","","","","","","","","","","","","","",""
9621.48,NA,NA,190,"11329, 1","0.282","1","1","","1","1","","","","","","","","","","","","4","2","","","6","","","1","","1","12","","","","","4","11","","","2","20","7","2","65","62","3","1","3","","1","2","185","476","43","","","","4","","","2","","","","2","4","1","","","","3","","","","","","","","","","","","","","","","","","","","","","2","","","","","","1","","","","","","","","","","","","","","","3","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","",""
9763.08,NA,NA,195,"11329, 1","0.282","","9","","1","1","1","","1","","","","","","","","","4","1","","","5","4","","2","","1","9","","3","","","6","9","","","8","29","3","","54","61","5","3","4","","","","208","440","89","","1","","4","","1","","","","","1","4","","","","","1","","1","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9904.69,NA,NA,200,"11329, 1","0.282","","6","","1","","","","","","1","","","","","","1","4","3","","1","3","3","1","5","","","7","","1","","","5","18","","","6","4","6","2","31","29","3","3","14","2","18","10","217","325","96","","","","","","1","1","","","","","","","","2","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","1","5","","","","","","","","","","","",""
10046.29,NA,NA,205,"11329, 1","0.282","","3","","","","1","","","","","","","","","1","","4","4","","1","2","1","","1","","","13","","1","","","","6","1","","6","25","2","4","40","57","4","2","9","","4","1","200","452","71","","1","","1","","1","2","1","","","1","","","","","","","","1","","","","","","","","","","","1","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","1","2","","","","","","1","","","","","1","","2","","","","","1","1","","","","","","","","","",""
10187.9,NA,NA,210,"11329, 1","0.282","1","5","","1","","","","","","2","","","","","","","","7","","","3","2","1","1","2","","2","","1","","1","4","40","1","","6","4","3","5","21","74","4","2","13","5","6","5","253","440","76","","","","1","","1","2","","","1","","1","","","","","2","","3","","","","","1","3","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","2","","","","2","","","","","","","","","","","",""
10329.5,NA,NA,215,"11329, 1","0.282","","1","","","","2","","","","","","","","","1","","2","6","","","3","","","3","2","","16","","3","","","1","9","","","6","37","","2","58","60","4","2","3","1","","","223","462","52","","","","4","","","","","","","4","3","1","","","","1","","2","","","","","1","1","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","2","","","","","","","","","","","","","","","",""
10471.1,NA,NA,220,"11329, 1","0.282","1","2","","","","","","1","1","","","1","","","","","3","2","","","5","2","","2","","","","","7","","1","4","36","1","","4","4","2","3","41","63","9","2","6","","1","3","258","420","53","","","","","","2","","","","","","4","","1","","","1","","2","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","1","","","","2","","","","","","","","","","","",""
10612.71,NA,NA,225,"11329, 1","0.282","1","1","","2","2","","","","","","","","","","","","2","4","","","10","2","","","1","1","14","","2","","","5","4","1","","2","15","8","2","70","55","3","5","5","","","","190","424","37","","1","","1","","1","2","","","","1","3","","","1","","","","1","1","","","","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","2","","","","","","","","",""
10754.31,NA,NA,230,"11329, 1","0.282","2","1","","","","1","","","","","","","","","2","","1","1","","","16","2","","","","2","","","","","","3","63","","","","12","2","2","90","96","","40","11","","","2","124","158","24","","1","1","2","1","","","1","","","1","","2","","","","2","","1","","","","","2","","","3","","","","","","","","","","","5","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","1","8","","","","","","","","","","","","","","","","","",""
10895.91,NA,NA,235,"11329, 1","0.282","","2","","","","","","","","1","","1","1","","21","","","","","","35","9","","","","","","","","","","5","56","","1","","9","4","","47","153","1","13","8","","","","39","123","26","","2","3","1","","2","1","2","","","2","","","1","","1","","","","","","","","","","","1","","","1","","","","","","","","1","","","","","","","1","","","","","","","","","","","2","2","","","","1","","","","","","","","","","28","","","","","","","","","","","","","","","","","",""
11037.52,NA,NA,240,"11329, 1","0.282","1","","","","","","","","","2","1","","2","","5","","","","","","42","2","","","","","1","","","","","5","160","","","","4","8","3","28","320","","9","10","","","5","28","195","28","","2","2","2","3","","","4","","","1","4","","1","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","2","","","","","","2","","","","","","","","","93","","","","1","","","","","","1","","","","","","","",""
11179.12,NA,NA,245,"11329, 1","0.282","2","","","","1","","","","","","","","","","20","","2","1","","2","21","2","","","","","2","","1","","","1","112","1","","","5","7","","46","188","","4","10","","","7","31","119","21","","","","5","","","","1","","","2","","","","","","1","","1","","","","2","","","","","","","1","","","","","","","","4","","","","","","","","","","","","","","","","","","6","2","","","","","1","","","","","","","","","119","","","","","","","","","","","1","","","","","","",""
11320.72,NA,NA,250,"11329, 1","0.282","4","","","","","","","","","","1","","","","3","","1","2","","","39","","","","","","2","","3","","","1","188","","","","1","9","","14","226","","4","14","","","11","31","163","80","","","","1","","","","4","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","2","","1","","","","","","","","","4","2","","","","","","","","","","","","","","206","","","","","","","","","","","1","1","1","","","","",""
11462.33,NA,NA,255,"11329, 1","0.282","1","","1","","1","","","","","","","","","","4","","2","3","","","58","3","","","","","1","","","","","1","178","3","","","3","5","","26","286","","9","23","","","8","37","179","49","","2","","2","","1","","2","","","","1","","","","2","1","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","1","1","","","","1","","","","","","","","","","233","","","","1","","","","","","","","","","1","1","","",""
11603.93,NA,NA,260,"11329, 1","0.282","3","1","2","","1","","1","","1","","","","2","","3","","5","","","","91","8","","","","","2","","2","","","","174","5","","","","9","","22","280","","2","29","","","6","6","336","204","","","1","","","1","","4","","","1","","","","","","1","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","4","","","","","","","","2","1","","9","3","","","","6","","","","","","","","","","65","","","","","","","","","","","","1","","","2","1","3",""
11745.54,NA,NA,265,"11329, 1","0.282","10","","","","","","","","","","","","","","5","","2","","","","98","4","","","","","","","1","","","","92","","","","","","","6","130","","3","3","","","1","1","101","301","","1","8","","","","","","","","","","","1","","","","","","","","","1","","","","","","","2","","","","","","","","","","","","2","","","2","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","1","","2","","","","",""
11887.14,NA,NA,270,"11329, 1","0.282","7","","","","","","","","","","2","","","","","","","","","","240","3","","","","","","","8","","","","34","","","","","1","","3","68","","7","2","","1","2","","76","225","","1","13","","","","","1","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","3","","","","","","","","1","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","2","","1","","","","","1"
12028.74,NA,NA,275,"11329, 1","0.282","12","","","","","","","","","","","","","","1","","","","","","124","","","","","","","","5","","","","36","","","","","2","","1","102","","2","","","","1","","71","543","","","4","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
