Depth (cm),Acacia,Acanthaceae,Alchornea,Alnus,Anacardiaceae,Antidesma-type,Apiaceae,Artemisia,Betula,Borreria,Brassicaceae,Burseraceae,Butyrospermum,Caesalpinioideae,Calligonum,Campylostemon,Canthium,Cassia-type,Celtis,Centaurea scabiosa-type,Chenopodiaceae/Amaranthaceae,Combretaceae/Melastomataceae,Corylus,Crudia,Cyperaceae,Echium,Elaeis guineensis,Ephedra fragilis-type,Eugenia,Euphorbia,Euphorbiaceae,Flacourtiaceae,Gaertnera,Galium,Gentianaceae,Gramineae,Gymnosporia,Haloragaceae,Hygrophila,Hymenocardia,Hypericaceae,Hyphaene,Ilex,Indetermines,Indigofera,Iodes,Isoberlinia,Lannea,Liliaceae,Linaceae,Macaranga,Maerua,Manilkara,Melia,Meliaceae,Mendocia,Mimosoideae,Mitracarpus,Moltkia,Morelia,Myrica,Myrtaceae,Nymphaea,Nypa,Ochnaceae,Olea,Ouratea,Palmae,Papilionoideae,Paramacrolobium,Paullinia,Periploca,Phyllanthus,Picconia-type,Pinus,Plantago,Plumbaginaceae,Polycnemum-type,Polygala,Polygonum,Proteaceae,Ranunculaceae,Rhizophora harrisonii,Rhizophora mangle,Rosaceae,Rubiaceae,Rutaceae,Santanalaceae,Sapindaceae,Sapotaceae,Sebacea,Sterculia,Sterculiaceae,Symphonia,Syzygium,Thymelaea,Tilia,Tubuliflorae,Typha,Ulmaceae,Ulmus,Urticaceae,Vigna,Vitaceae
197,,,24,2,,,,2,,,,1,,5,,,,1,7,,11,21,,,19,,1,12,6,,15,3,,,23,50,,,,,,,,41,5,3,2,7,,2,24,,,10,19,,,,,,1,3,,,10,,,1,41,,5,,,21,,,1,2,,,,,41,27,,20,4,2,,32,,,,,,,,,2,,,,,
227,1,,14,,4,3,,,,,12,3,8,2,,,2,,1,,4,37,2,,16,,1,3,3,,14,10,2,,8,28,2,,,1,,,,43,13,,1,,,9,4,,6,,9,2,,,,,,3,,,4,,,1,42,,,2,,2,,,,,,,,,50,57,,14,3,,12,16,15,1,4,,,,,1,1,2,,1,,3
244,4,,13,1,8,1,,2,,,5,2,12,6,,,,,2,,1,20,,,5,,3,,1,2,15,2,1,,5,27,1,,,3,,,,40,3,,,,,12,8,,,,7,,,,,2,,,,,1,,,3,34,,,,,9,1,,,,,,,,121,90,,12,,,2,19,9,9,11,,1,,,,2,1,,,,
265,2,,23,,,,,,,,6,3,11,6,,,,,,,4,17,,,15,,6,3,,3,21,3,1,,5,69,2,,,5,,1,1,50,,,,,,18,2,,,3,7,3,,,,,,4,1,,5,,,2,24,1,,,,1,,,,,,,2,,130,44,1,7,3,,,19,5,3,6,,1,,,2,3,2,,3,,
285,2,,15,,2,,,2,,,2,3,10,4,,,,,3,,3,7,,,34,,4,4,4,2,15,3,,,2,61,2,,,3,,,1,30,,,,,,13,6,,3,1,4,,,,,,,,1,,4,,,,25,,,,,1,,,,,,,,,132,45,,7,3,,2,9,6,1,4,2,1,,,,3,,,,,
304.5,,,24,,1,1,1,,,,1,2,10,9,,,,,3,,6,28,,,56,,3,5,4,,8,,1,,,95,1,,,4,,,,38,,,2,2,,17,,1,1,4,4,2,,,,,,,,,2,,,2,20,,,2,3,6,,,,,,,2,3,95,53,,14,,,2,14,8,12,1,2,2,,,3,6,1,,4,1,
320,2,,33,,,,,,,,1,,11,3,,1,1,8,2,,4,27,,,29,,11,2,1,1,16,,,,4,38,,,,2,,,,43,,,,,,13,2,,,2,7,1,,,,1,,,,,3,,,,28,,,,2,4,,,,1,,,,,121,56,,18,2,,1,26,,2,3,3,1,,,1,2,,,7,,
350,4,,21,,,,,3,,,,4,,8,,,2,,3,1,3,27,,,26,,4,2,,,7,4,1,,,44,,,1,2,,,,49,,,1,2,,9,6,,,4,1,5,,,,2,,2,,,3,,,,34,,,,3,12,1,,,1,,,,,163,53,,15,3,1,2,13,5,5,,5,,,,2,,,,3,,
367,1,,45,,3,,,2,,,17,4,10,5,,,1,,1,1,1,23,,,18,,1,2,,1,11,4,,,9,40,,,1,3,,,,40,,,,1,,14,3,,2,3,3,,1,,,1,,,,,4,,,,33,,,,,,,,,,,,2,,99,75,1,4,3,2,2,12,12,6,7,4,2,,,1,,5,,5,,
367.5,,,42,,1,1,1,,,,9,1,23,5,,,1,2,2,1,,43,,,26,,6,3,1,,17,4,1,,1,42,,,,2,,2,,38,,,,1,,10,2,,1,3,2,2,,,,3,1,,,,,,,4,23,2,1,,2,,,,,,,,,,127,46,,15,5,,,16,6,5,7,7,2,,,1,1,1,,2,,
404.5,2,,23,,4,3,,1,,1,11,5,49,9,,,,7,,,5,36,,,18,,12,3,1,5,12,,1,,5,53,,,,2,,,,38,,,,2,,2,5,1,2,4,3,4,,,,2,,,,,6,,,4,42,1,,,,,,,,,,,,1,89,19,2,15,,1,3,19,1,2,7,,1,,,3,1,,,,,4
433,,,43,,6,3,,2,,,2,1,32,8,,,1,2,,,,29,,1,34,,2,2,,4,7,,,,6,42,,,,4,,,,36,,,1,1,,6,5,,,3,1,2,,,,,,,,,3,,,,48,,,,,,,,,,,,,3,80,39,,8,2,4,3,23,2,2,3,6,,,,2,,1,,2,,
463,,,43,,1,,,1,,,6,1,11,,,,1,,1,,2,17,,,6,,5,2,,,13,,,,2,26,,,,3,,,,28,,,2,,,5,2,,,,1,1,,,,,,,,,4,,,,39,,,,,,,,,,,,,2,200,80,1,7,6,1,5,13,,3,4,5,1,,,1,7,,,,,
485.5,,,25,,2,,,3,,1,1,2,20,4,,,2,,,,2,35,,,23,,10,7,1,,16,2,,,3,37,,,,2,,1,,26,,,,1,,1,1,,,,2,1,,,,,1,1,,,5,,,,23,,1,,,,,,,,,,,2,153,71,,8,1,1,1,14,,5,7,4,,,1,1,5,,,,,
515,4,,39,1,4,2,,3,,,4,1,22,6,,,,,,,13,23,,,28,,6,10,1,,5,4,,,4,38,,,,4,,,,37,,,,,,4,2,1,,,1,2,,,,,,2,,,1,,,5,43,,,,4,,,,,,,,,,97,45,,8,3,,,7,,3,2,10,,,,1,3,4,,,1,
545,1,,44,,,,,,,,,4,17,4,,,,5,,,2,14,,,13,,8,9,,,19,1,,,11,20,,,,3,,,,39,,,,,,3,1,,,1,4,1,1,,,2,,1,,,,,,4,55,,,,2,,,,,,,,,1,112,42,,19,,,1,15,3,2,1,12,,,,,1,,,2,,
578,3,,31,,,,,2,,,,3,,5,,,,,,,6,36,,,14,,8,,3,,5,9,1,,,18,,,,,,,,57,,,,2,,5,2,3,,,19,3,,,,,,,,,4,,,,49,1,,,,,,,1,,,,1,,88,29,2,11,5,8,,20,3,,5,12,,,,3,3,,,3,,
610,1,,20,,1,,,1,,,5,,39,12,,,1,5,2,,2,40,,,6,,13,1,,,21,,,,,1,,,,6,,1,,39,,,2,,,1,4,,,,2,3,,,,,,3,,,9,,,2,45,,,,,,1,,,,,,,1,147,55,,10,4,,2,15,1,8,4,5,,,,,1,2,,3,,1
637.5,,,39,1,3,1,,1,,,10,3,3,5,,,1,3,1,,4,12,,,16,,6,,,,37,4,,,2,31,,,,2,,,,27,,,1,,,1,,,,1,,,,,,,,1,,,1,,,,25,,,,,,,,,,,,,,200,61,,3,7,,1,6,,4,2,1,,,,,5,,,,,
670,2,,36,,,,,,,,,,,6,,,1,1,5,,6,54,,,18,,6,,,,24,,,,5,31,,,,4,,,,37,,,,,,3,4,,,,,,,,,,,1,,,6,,,,51,,,,3,,,,,,,,,,92,43,,7,1,,,10,,2,4,,,,,,3,,,5,,
693,,,40,1,2,,,4,,,,,14,5,,,,4,13,1,3,34,,,42,,5,,3,,17,,,,6,68,,,,4,,,,30,,,,,,6,3,,,1,,,,,,,,2,1,,2,,,,55,,,,,,1,,,,,,,,94,45,,10,,,,4,,1,6,1,1,,,,,,,,,
730,3,,21,,2,,,6,,,25,1,9,2,,,,1,1,1,8,16,,,101,,7,10,1,,7,,,,3,92,,,,2,,,,42,,,1,2,,2,2,,,,,1,,,,,,3,,,,,,3,23,,,,2,,,,,,,,,,51,39,,5,4,,2,3,1,5,4,1,2,,,1,2,,1,,,
755,,5,14,,,,,1,,,6,,,4,,,1,,1,1,7,16,,,83,,,12,5,,9,6,,,6,59,,,,,,,,40,,,,2,2,1,1,,,5,,,,,,,,11,,,3,,,,24,,,,,2,,,,,,,,2,63,54,4,15,13,,,14,4,7,,,,,,1,5,2,,,,
770,3,,11,,,,,1,,,2,,,,,,,,2,1,9,18,,,98,,2,13,2,,6,1,2,1,3,98,,1,,1,,,,50,,,1,4,,3,19,,,4,,,,,,,,6,,,1,,,1,32,2,1,,,6,1,,,2,,,,1,71,56,,6,4,1,,18,6,2,,3,,,,1,,,,1,,
