"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Boraginaceae","Caryophyllaceae","Rhamnaceae","Tilia","Vitis","Lythrum","Acer","Pistacia","Urtica","Alisma","Humulus/Cannabis","Persicaria maculosa-type","Carpinus betulus","Galium-type","Brassica-type","Hedera","Hypericum perforatum-type","Alkanna","Pediastrum duplex","Pediastrum boryanum var. granulatum","Pseudopediastrum boryanum var. longicorne","Fagus","Cichorioideae","Thalictrum","Juglans","Amaranthaceae","Rumex acetosa-type","Vicia-type","Juniperus","Olea","Capsella-type","Cirsium/Gundelia","Onobrychis-type","Equisetum","Nuphar","Asteroideae","Hystrix","Matricaria-type","Myriophyllum spicatum/M. verticillatum","Plantago maritima-type","Polygonum aviculare-type","Potamogeton","Cyperus longus-type","Abies","Nymphaea","Apiaceae","Ranunculaceae","Brassicaceae","Fraxinus ornus","Pseudopediastrum boryanum","Artemisia","Platanus","Alnus","Poaceae (Cerealia-type)","Centaurea solstitialis-type","Cladium mariscus","Ulmus","Plantago lanceolata-type","Ericaceae","Typha latifolia","Pteridium","Corylus","Unknown","Isoëtes","Sparganium-type","Dryopteris-type","Quercus ilex-type","Ostrya/Carpinus orientalis","Monactinus simplex","Pinus","Cyperaceae","Quercus robur-type","Poaceae","Betula","Castanea","Picea","Rhus","Salix","Scrophulariaceae","Rosaceae","Helianthemum","Plantago media-type","Ephedra fragilis-type","Ranunculus repens-type","Asphodelus albus-type","Gentiana cf. G. pneumonanthe","Botrychium","Sanguisorba-type","Bupleurum-type","Thymus/Mentha","Ranunculus","Phillyrea","Trifolium-type","Fallopia convolvulus-type","Azolla","Rumex hydrolapathum","Ephedra distachya-type","Pediastrum boryanum var. divergens","Plantago undiff.","Potentilla-type","Fraxinus excelsior","Plantago major-type","Filipendula","Calystegia","Lotus-type","Plantago coronopus-type","Sambucus nigra-type","Butomus","Iris pseudacorus","Campanulaceae","Solanum dulcamara","Ranunculus peltatus-type","Anemone","Celtis","Liliaceae","Pediastrum undiff.","Lythrum portula-type","Pseudopediastrum brevicorne","Thelypteris palustris","Gentianaceae","Loranthus","Unknown (trilete)","Scrophularia/Verbascum","Centaurea","Polypodium","Taxus","Teucrium","Fabaceae","Centaurea scabiosa-type","Pediastrum undulatum","Rhinanthus-type","Pteridium undiff.","Salvinia","Dipsacus-type","Pediastrum muticum var. scutum","Spergula","Linum","Buxus","Valeriana","Scabiosa","Ophioglossum","Centaurea cyanus-type","Knautia","Viburnum-type","Arceuthobium oxycedri","Oleaceae","Parrotia","Stachys-type","Lamiaceae","Myrtus","Ligustrum"
8394,NA,NA,340,NA,1,NA,16,2,NA,2,126,NA,1,1,NA,1,2,1,3,1,NA,NA,NA,48,1,5,2,NA,24,78,NA,8,NA,NA,1,NA,2,NA,9,NA,6,6,3,NA,6,2,9,15,9,NA,5,11,11,14,NA,9,16,NA,NA,15,2,1,1,2,16,NA,NA,15,9,1,5,NA,30,12,690,560,6,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,38,NA,1,NA,2,NA,1,NA,2,1,NA,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,113,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8940,NA,NA,360,NA,1,NA,5,NA,1,2,61,NA,1,2,NA,2,6,4,NA,NA,NA,10,NA,64,1,13,3,NA,47,82,NA,5,NA,NA,NA,NA,NA,NA,3,NA,8,4,4,NA,23,NA,5,8,8,2,NA,2,48,10,NA,5,18,1,NA,14,4,NA,NA,5,8,5,1,7,11,4,1,1,40,21,377,430,9,NA,NA,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9487,NA,NA,380,NA,1,NA,2,NA,NA,3,6,NA,1,NA,19,2,6,10,NA,NA,NA,7,NA,NA,NA,16,2,NA,59,36,NA,4,NA,2,3,NA,NA,NA,10,NA,12,NA,NA,NA,20,NA,11,NA,6,2,NA,6,29,19,NA,9,3,1,NA,9,2,NA,NA,1,6,10,NA,19,2,NA,2,NA,72,83,185,446,5,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,2,NA,2,NA,NA,1,NA,NA,3,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,45,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10033,NA,NA,400,NA,1,NA,1,NA,NA,3,2,NA,1,NA,NA,2,1,1,NA,NA,NA,NA,NA,2,NA,11,NA,NA,31,3,NA,NA,NA,NA,5,NA,NA,NA,4,NA,1,1,NA,2,NA,NA,5,1,3,NA,NA,1,13,7,NA,1,1,2,NA,3,NA,2,NA,NA,2,15,NA,8,2,NA,2,1,14,4,119,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10088,NA,NA,402,1,1,NA,7,NA,NA,1,2,NA,4,NA,3,7,3,3,NA,NA,NA,3,NA,4,NA,24,1,NA,46,1,1,4,NA,NA,1,NA,1,NA,13,166,NA,4,NA,2,4,NA,10,6,7,NA,2,NA,14,13,NA,8,NA,1,NA,15,1,1,1,NA,9,30,3,46,3,5,10,1,36,42,221,186,6,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
10716,NA,NA,425,NA,1,NA,NA,NA,NA,4,1,NA,1,NA,NA,74,NA,NA,1,NA,NA,NA,NA,NA,8,NA,1,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,62,1,1,NA,NA,NA,NA,15,NA,36,NA,NA,NA,68,NA,3,NA,NA,9,53,NA,1,14,14,10,NA,82,4,194,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45000,NA,NA,460,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,41,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,2,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,21,NA,4,NA,NA,NA,NA,9,NA,7,NA,1,2,14,NA,13,NA,2,4,72,NA,1,3,7,14,NA,303,26,320,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45533,NA,NA,485,NA,NA,NA,2,7,NA,NA,NA,NA,NA,NA,NA,11,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,16,11,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,71,NA,NA,1,1,NA,NA,12,NA,13,NA,NA,81,28,2,22,1,1,3,125,NA,3,7,45,51,NA,279,14,270,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,1,1,2,12,NA,NA,NA,NA
45853,NA,NA,500,NA,NA,NA,14,10,NA,NA,1,NA,NA,2,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3,1,NA,108,9,NA,NA,NA,NA,NA,15,NA,2,NA,6,NA,NA,NA,30,1,5,NA,3,5,NA,5,NA,14,NA,NA,44,44,NA,26,1,2,2,173,NA,10,32,20,46,NA,112,13,205,49,1,1,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA
46002,NA,NA,507,NA,NA,NA,21,5,NA,NA,NA,NA,NA,NA,NA,23,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,253,NA,NA,NA,NA,2,2,1,NA,53,NA,NA,5,7,2,13,NA,NA,2,15,NA,NA,19,3,71,NA,189,1,108,8,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA
46386,NA,NA,525,NA,NA,NA,27,2,1,NA,7,NA,NA,3,NA,47,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,2,NA,3,1,4,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,123,NA,NA,NA,NA,1,1,9,NA,50,NA,NA,5,33,2,11,NA,6,2,8,NA,NA,17,12,80,NA,128,4,158,22,NA,NA,NA,NA,1,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,65,5,NA,NA,NA
