"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Corylus","Euphorbia","Prunus-type","Rhus","Rumex acetosa-type","Filipendula","Brassica-type","Ephedra distachya-type","Plantago coronopus-type","Silene-type","Armeria/Limonium","Phillyrea latifolia","Filago-type","Plantago cylindrica-type","Ranunculus asiaticus-type","Turgenia-type","Pteridium","Vitis","Alnus","Cedrus","Olea","Centaurea scabiosa-type","Plantago maritima-type","Malabaila","Unknown","Picea","Platanus","Polygonum aviculare-type","Apiaceae","Spinacia-type","Dryopteris-type","Plantago lanceolata-type","Sanguisorba-type","Ranunculus repens-type","Betula","Sparganium-type","Galium-type","Sambucus","Thalictrum","Cichorioideae","Cyperaceae","Senecio-type","Caryophyllaceae","Centaurea solstitialis-type","Matricaria-type","Poaceae (Cerealia-type)","Juglans","Poaceae","Amaranthaceae","Artemisia","Pinus","Quercus cerris-type","Ericaceae","Rhododendron","Ulmus","Acer","Ranunculaceae","Carpinus betulus","Tamarix","Hippophaë","Delphinium-type","Cirsium/Gundelia","Cousinia","Ephedra fragilis-type","Quercus coccifera-type","Urtica dioica-type","Chardinia","Cynoglossum","Pimpinella-type","Pistacia","Bunium-type","Dipsacus-type","Rosaceae","Abies","Eryngium-type","Artemisia vulgaris-type","Ostrya/Carpinus orientalis","Scilla-type","Plantago major-type","Fraxinus ornus","Castanea","Gentiana","Echinops","Plantago media-type","Thymus/Mentha","Anisosciadium-type","Phlomis","Gossypium","Salix","Juniperus","Geranium","Viola","Helianthemum","Centaurea cyanus-type","Noaea-type","Ranunculus arvensis-type","Arctium/Jurinea","Colchicum","Ferula-type","Psylliostachys","Inula-type","Isoëtes","Cupressaceae","Lonicera","Primulaceae","Convolvulus","Daphne","Teucrium","Asparagus-type","Rheum","Fagus","Nymphaea","Taxus","Asphodelus","Scorzonera-type","Allium","Fraxinus excelsior","Scrophularia/Verbascum","Atropa","Unknown (trilete)","Cheilanthes","Lycopodium","Typha latifolia","Pterocarya","Digitalis","Aquilegia-type","Atraphaxis","Valeriana","Fabaceae","Stachys-type","Valerianella","Hypericum perforatum-type","Datisca","Scabiosa columbaria-type","Thesium","Trifolium-type","Lomelosia rotata-type","Caltha","Epilobium","Prunella-type","Onopordum-type","Lycium-type","Calligonum","Fagopyrum","Thelypteris palustris","Potentilla-type","Capsella-type","Asteroideae","Genista-type","Bupleurum-type","Loranthus","Rumex patientia var. kurdicus","Pseudopediastrum boryanum","Potamogeton","Prosopis","Solanum dulcamara","Mercurialis annua","Carthamus","Pediastrum undiff.","Haplophyllum","Syringa","Alisma","Anemone","Jasione-type","Onobrychis-type","Ranunculus sect. Batrachium-type","Ophioglossum","Plantago tenuiflora-type","Sisyrinchium","Rhamnus","Populus","Symphytum-type","Glaucium","Linum","Vicia-type","Crataegus-type","Heliotropium-type","Asperula-type","Halothamnus-type","Cistus","Secale","Tilia","Rhynchospora-type","Leontice leontopetalum","Frangula","Campanula-type","Maianthemum","Humulus/Cannabis","Spergularia-type","Malva","Plantaginaceae undiff.","Bongardia","Tribulus","Matthiola","Fontanesia phillyreoides","Botrychium","Sphagnum","Menyanthes trifoliata","Melampyrum","Lotus-type","Carduus-type","Cornus mas","Celtis","Xanthium","Anchusa/Pulmonaria","Centaurium-type","Ranunculus sceleratus-type","Echium-type","Theligonum","Rhinanthus-type","Hyoscyamus","Papaver","Agrimonia","Myriophyllum spicatum/M. verticillatum","Crassulaceae","Myriophyllum alterniflorum","Asphodeline","Aruncus","Lythrum","Crupina","Butomus umbellatus","Lithospermum-type","Knautia","Adonis","Persicaria maculosa-type","Rumex hydrolapathum","Saxifraga oppositifolia","Polygonaceae","Sanguisorba officinalis","Reaumuria","Centranthus","Aesculus"
1957,2215,1694,100,NA,2,NA,NA,2,1,5,3,4,NA,NA,NA,1,NA,NA,2,NA,1,4,2,3,NA,1,NA,3,1,NA,5,5,NA,1,14,22,1,8,2,3,NA,11,5,25,14,4,13,26,67,NA,80,133,142,46,563,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,5,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2131,2402,1856,110,3,4,1,NA,4,1,2,NA,4,NA,NA,NA,NA,NA,NA,1,NA,5,7,NA,2,NA,2,2,NA,1,NA,4,5,1,2,5,8,2,7,2,4,NA,7,3,12,12,4,1,14,31,NA,55,88,109,62,498,NA,NA,NA,1,NA,2,NA,1,NA,2,NA,NA,3,NA,1,NA,2,6,6,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2299,2581,2015,120,NA,1,1,NA,6,2,5,3,6,1,NA,NA,NA,NA,1,NA,1,4,5,1,1,3,6,2,1,2,NA,3,10,3,2,7,17,NA,7,5,3,NA,7,17,18,24,11,4,22,38,1,113,123,115,84,502,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,4,1,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2464,2755,2173,130,NA,NA,NA,NA,NA,4,2,3,1,NA,NA,NA,NA,NA,1,2,2,NA,5,2,3,1,6,2,1,NA,NA,2,8,5,2,2,19,1,8,3,4,NA,8,16,15,15,12,9,26,33,NA,54,142,151,104,736,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,9,5,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2624,2922,2325,140,NA,NA,NA,NA,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,2,3,NA,2,1,NA,NA,NA,1,8,NA,NA,4,9,NA,3,2,1,NA,5,6,17,9,3,3,21,29,NA,85,115,146,74,528,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,7,5,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2779,3084,2473,150,NA,NA,1,NA,11,NA,5,NA,NA,NA,NA,NA,NA,NA,1,3,NA,3,2,1,3,NA,1,1,1,1,NA,2,4,NA,1,8,15,1,1,NA,6,NA,4,6,9,13,5,4,12,20,NA,135,103,124,31,470,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,13,4,NA,NA,NA,2,NA,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2930,3241,2618,160,1,NA,1,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,4,NA,1,NA,NA,1,5,NA,1,1,15,NA,17,2,7,NA,5,9,19,7,4,9,9,27,NA,132,100,70,122,616,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,2,NA,3,5,3,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3076,3392,2758,170,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,1,NA,NA,4,2,NA,1,1,11,2,7,2,2,NA,6,2,10,10,3,6,11,42,NA,70,68,74,67,595,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3218,3536,2892,180,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,2,NA,2,1,NA,1,NA,1,3,NA,1,2,10,NA,5,NA,3,NA,6,2,12,1,3,6,7,37,1,82,66,90,75,610,NA,NA,1,NA,NA,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,4,3,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3355,3673,3021,190,NA,1,NA,NA,14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,4,NA,4,1,NA,NA,NA,2,1,NA,1,1,15,2,15,1,2,NA,7,8,23,11,2,6,22,44,1,155,86,120,61,704,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,1,NA,NA,1,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3487,3804,3145,200,1,NA,NA,NA,3,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,NA,NA,2,2,NA,1,3,1,NA,2,3,15,1,15,2,9,NA,9,9,21,14,5,4,18,26,NA,112,111,148,47,633,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3615,3931,3265,210,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,2,1,16,2,4,1,2,NA,6,4,15,8,7,12,15,47,NA,57,49,27,99,750,NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,9,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3738,4054,3381,220,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,3,NA,NA,NA,2,NA,NA,NA,5,NA,NA,1,2,13,NA,NA,NA,NA,NA,NA,2,19,3,1,6,13,80,NA,76,28,40,105,562,1,NA,2,NA,NA,3,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,12,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3857,4175,3494,230,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,3,5,2,2,1,1,1,NA,1,NA,7,6,NA,6,1,8,2,16,2,3,NA,5,13,12,12,9,8,27,47,1,24,87,101,109,843,NA,NA,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5,2,1,NA,NA,NA,NA,2,1,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3972,4295,3605,240,NA,NA,NA,NA,1,3,1,1,1,1,NA,NA,NA,NA,NA,1,3,1,3,NA,3,NA,2,1,NA,1,NA,3,1,1,1,NA,7,NA,11,5,1,NA,5,16,15,14,7,7,30,48,1,79,60,102,111,738,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,14,1,1,NA,NA,2,NA,3,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4084,4415,3714,250,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,2,1,NA,6,4,NA,2,2,NA,1,NA,NA,NA,8,9,3,1,5,4,14,2,6,1,7,3,21,9,2,13,29,47,NA,54,84,135,90,660,NA,NA,2,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4193,4532,3819,260,1,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,6,3,1,3,1,NA,NA,4,NA,4,NA,NA,12,1,8,1,7,2,NA,NA,2,9,13,9,6,13,35,39,NA,14,23,36,260,661,2,NA,1,NA,NA,3,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4301,4647,3922,270,2,1,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,1,NA,NA,1,2,NA,NA,NA,4,3,NA,7,NA,9,NA,4,NA,NA,NA,NA,15,6,5,10,22,32,43,1,14,22,74,132,609,NA,NA,NA,1,NA,6,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
