Depth (cm),Abutilon-type,Acacia groupe I,Acacia groupe III,Acalypha,Adansonia,Aerva lanata-type,Afraegle,Alchornea,Allophylus,Alstonia,Amaranthaceae/Chenopodiaceae,Anthocerotaceae,Anthostema,Artemisia,Ascolepis,Balanites,Basilicum-type,Blepharis-type,Blighia,Boerhavia-type,Borassus/Hyphaene,Bridelia,Caesalpinia-type,Calpocalyx,Calpocalyx aubrevillei,Campylospermum,Canarium,Canthium subcordatum,Canthium-type,Cassia-type,Celastraceae,Celosia trigyna-type,Celtis,Chenopodium-type,Chlorophora,Chrozophora,Chrysobalanus/Parinari,Cissus-type,Coccinia-type,Combretaceae,Commelina forskalaei-type,Commiphora,Croton-type,Cyperaceae,Detarium,Diospyros,Dodonaea,Ekebergia-type,Elaeis guineensis,Ephedra,Euphorbia hirta-type,Euphorbiaceae,Ficus,Galium-type,Gramineae,Grewia-type,Hygrophila,Hymenocardia,Hymenostegia,Hypoestes-type,Indeterminables,Indetermines,Indigofera-type,Ipomaea-type,Justicia anselliana-type,Justicia striata-type,Labiatae,Lannea-type,Lepidagathis,Liguliflorae,Limnophyton,Lophira,Lycopodium,Lygodium,Macaranga,Maerua-type,Mallotus,Maytenus,Micrococca,Mitracarpus,Mitragyna inermis-type,Monocotyledoneae,Monoletes,Morus,Myrianthus,Nymphaea lotus-type,Oldenlandia-type,Olea,Onagraceae,Pandanus,Papilionoideae,Parkinsonia-type,Pausinystalia,Phoenix,Phyllanthus reticularus-type,Pinus,Plagiostyles,Podocarpus,Polygala,Polygonum senegalense,Polypodiaceae,Polyscias,Prosopis/Entada,Pteris-type,Pycnanthus,Rhamnaceae,Rhizophora,Rhus,Rubiaceae,Rumex,Rutaceae,Sapotaceae,Sauvagesia,Spermacoce radiata-type,Spermacoce-type,Suaeda,Symphonia globulifera,Syzygium,Tamarix,Teclea-type,Tephrosia,Tessmannia,Tetracera,Tetrorchidium,Tribulus,Triletes,Triletes lisses,Tubuliflorae,Typha,Uapaca,Umbelliferae,Urticaceae,Vernonieae,Vigna-type,Zanthoxylum,Zanthoxylum zanthoxyloides
420,,,1,1,,5,,7,,,19,2,,3,,,,,1,,,,,,,,,,,,,,1,,,,2,,,3,,,,127,,1,,,1,1,,,,,141,,,,,,,,,,,,,,,2,,3,,1,5,,,,,1,,2,12,,,,,,,1,,,1,,,1,,,,,,,,1,,,89,,,,,,,,,6,,1,,,,,,,1,,,3,7,,,,,1,,
440,,1,,,,3,,3,,,20,1,,4,,1,,,,,,,,3,,,,,,1,,,,,,,1,,,2,,,1,83,,,,,,3,,,3,1,162,,,,,,26,,,,,,,,,3,,,1,,2,,,,,,,1,9,,,1,,,,1,,,,2,,1,,,,,1,,,,,1,67,,,,,,1,,,3,,,,,,,,,,,,1,4,1,,6,1,,,
460,,1,,,,12,,10,,,18,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,128,,,,,,3,,,,,109,,,,,,,2,,,,,,1,,,,1,,,1,,,,,1,1,2,7,,,,,,,1,3,,,,,3,,,,,,,1,,3,,143,,,,,2,,,,2,,,,,,,1,,,1,,2,8,,,,,,,
470,,,,,,6,,2,,,22,1,,1,,,1,,,,,,,,,,,,,,,4,,,,,,,,1,,,1,94,,,1,,,4,,,,1,117,,,,,,,,,,,1,,,,,,1,,1,3,1,,1,,,,1,6,,1,,,,,,,,,,,1,,,,,,,,1,1,,138,,,1,,,,,,3,,,,,,,,,,,,4,8,1,,,,,,
480,,4,1,,,2,,4,1,,9,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,32,2,,,1,1,1,,,,,133,,,,,,35,,,,,,,,,6,,4,,2,4,1,,,,,,6,21,2,,,,,,,,,,,,1,,,,,1,,3,,,,37,,,,,1,,,,,,3,,,,,,,,1,,2,12,1,,,1,,,
490,,,,,,6,,5,,,8,,,1,,2,,,,,,,,,,,,,,,1,,2,2,,,,,,1,,,,77,,2,,,,,,,,,102,1,,,,,26,1,,,1,,,,,,,,,2,,,,,1,,,,5,,1,,,,,,,,,,,1,,,,,,,,1,,,104,,,,,,,,,9,,1,,,,,,,,,,,5,,,,,,,
500,,,,,,7,,7,,,13,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,7,,,1,140,1,,,,,3,,1,,,81,,,3,,,,1,,,,,,,,,,5,,1,9,1,,,,,,4,8,,5,,,,,,,,,,,,,,,,,,,,1,,171,,2,,,,,,,7,,1,,,,,,,,,,10,10,,,2,1,,,
510,1,,,,,4,,1,,,7,1,,,,,,,,1,,,,,,,,,,,,1,,5,1,,,,,,,,,105,,,,,,4,,,,1,86,,,1,,,,,,,,,,,,,,,,1,2,,,,,1,1,,6,,,,,,,1,,,,,,1,,,,,1,,,1,1,,100,,,,,,,,,5,,,,1,,,,,,,,1,10,,,,1,,,
520,,,,,1,2,,1,,,5,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,57,2,,,,,1,,1,,,121,,,,,,31,,1,2,,,,1,,,,2,,7,1,2,,,,,,2,19,,,,1,,,,1,,1,,,2,,,,,2,,,,1,1,58,,,,,,,,,3,,,,,,,,,,,,2,8,,,3,,,,
529,,,3,1,,3,,,1,,23,,,2,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,86,3,,,,4,4,1,1,,,161,,,2,,,49,1,,,,,,,,2,,3,,2,1,,1,,,,,,18,,,,,,,,,,,,,1,,1,1,,1,,,,2,,122,1,,,,,,,,6,1,2,,,,,1,,,,,2,6,,,,,,,
