depth,Cal age BP,Ophioglossum,Apiaceae,Typha,Asphodelus,Quercus ilex-type,Cyperaceae,Heliotropium,Liguliflorae,Ephedra fragilis-type,Rhus-type,Tubuliflorae,Brassicaceae,Polypodium,Indetermines,Isoetes,Ericaceae,Artemisia,Chenopodiaceae/Amaranthaceae,Quercus pubescens-type,Gramineae,Pinus,Plantago,Fagus,Olea,Rumex,Euphorbia,Helianthemum,Alnus,Polycnemum-type,Acer,Corylus,Betula,Juniperus,Polycarpaea,Pteridophytae,Pistacia,Boraginaceae,Cedrus,Centaurea jacea-type,Ziziphus,Maerua,Ephedra distachia-type,Plumbaginaceae,Rosaceae,Balanites,Tamarix,Myrtus,Polygonum,Onagraceae,Echium,Cistus-type,Cucurbitaceae,Cleome,Euphorbiaceae,Linum,Sanguis minor,Linociera,Resedaceae,Crotalaria,Gypsophilla,Caylusea,Calligonum,Ulmus,Gymnocarpus,Echiochilon,Rhamnus,Trichodesma,Salix,Polycarpon,Celosia,Tilia,Papilionoideae,Phaseolus,Mollugo,Phyllanthus,Ranunculaceae,Arbutus,Liliaceae,Haloragaceae,Oenothera,Antidesma-type,Ostrya,Polygala,Vitis,Galium,Erodium,Gisekia,Phillyrea,Clematis,Moltkia,Juglans,Acanthus,Mercurialis,Hyphaene,Limoniastrum,Ballotus,Solanum,Borago,Lamiaceae,Linaceae,Echinops,Veronica,Lannea,Warionia,Cadaba,Proteaceae,Celtis,Encephalartos,Tribulus,Lythraceae
344,,,,,,,,,3,4,,8,6,2,3,1,1,36,26,,1,28,,,,,,,,,,,,3,,,,,3,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,,,,,,,,1,4,1,,2,,,2,,,9,14,,2,4,,,,,,,,,,,,,,,,,1,,,,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,,,,1,2,1,,1,11,,3,,,,,1,12,13,,5,13,1,2,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,
380,,,,,,,,,,1,,,,,,,,2,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,149340,,,,,5,,,6,12,,6,11,,3,,,74,66,1,4,16,,,,1,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
432,,,,,,2,2,,6,7,,6,2,,,1,,39,24,3,5,20,2,,,,,,,,,,1,1,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,
456,,,1,,,8,2,,7,15,2,16,9,,5,1,3,68,66,7,15,10,4,1,1,3,,1,,,,2,2,3,,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,
467,,,,,,12,3,,7,20,,9,13,,2,1,,70,70,3,12,33,5,,,,,1,,,,2,1,1,1,1,1,,,,,,3,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
492,,,,2,,5,9,,10,21,,7,9,,,2,,55,38,1,17,17,1,,,,,,,,1,1,,4,1,,,,,,,,6,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,,,,,,3,,,7,15,,5,4,,2,,,41,43,5,4,39,1,,,,,,,,,1,,3,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
