"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Cichorioideae","Brassicaceae","Fraxinus ornus","Unknown undiff.","Amaranthaceae-type","Sarcopoterium-type","Unknown","Asteroideae","Spermatophyta undiff. (cf. upland herbs)","Olea","Phillyrea","Ostrya/Carpinus","Cyperaceae","Pinus","Tracheophyta undiff. (aquatic plants)","Poaceae","Fungi","Apiaceae","Quercus","Spike","Rumex","Ephedra","Silenoideae-type","Plantago lanceolata-type","Corylus","Centaurea","Alnus","Ranunculus-type","Polygonum","Abies","Salix","Tilia","Thalictrum","Ulmus","Pistacia terebinthus","Juniperus","Plantago major","Pistacia lentiscus"
3486,NA,NA,412,NA,5,NA,1,49,10,NA,49,1,1,2,3,32,26,7,41,95,67,18,101,513,2,1,NA,2,6,3,7,NA,4,NA,NA,NA,4,6,NA,5,NA,NA
3639,NA,NA,430,NA,2,3,NA,53,8,NA,53,2,10,NA,2,7,26,17,22,33,48,2,49,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
3826,NA,NA,452,2,24,NA,3,34,3,NA,34,3,7,NA,NA,17,16,18,7,117,23,19,66,662,1,1,2,2,2,3,5,NA,6,4,2,NA,NA,NA,2,2,NA,NA
4030,NA,NA,476,NA,2,NA,NA,12,1,3,12,NA,13,NA,1,35,49,36,87,36,136,10,164,285,1,NA,NA,3,4,NA,8,NA,5,8,4,NA,6,1,1,NA,NA,NA
4183,NA,NA,494,NA,20,NA,NA,42,6,1,42,2,2,NA,NA,9,15,17,49,31,64,30,52,216,NA,NA,NA,NA,6,NA,1,2,5,2,NA,NA,NA,NA,NA,1,NA,NA
4454,NA,NA,526,1,2,NA,NA,79,2,NA,79,2,NA,NA,6,6,27,22,63,43,90,105,65,182,NA,NA,NA,NA,9,1,1,NA,NA,1,2,NA,1,1,NA,NA,NA,NA
4726,NA,NA,558,1,11,NA,NA,11,4,NA,11,10,22,NA,2,15,20,41,73,53,93,29,225,176,2,1,2,2,11,NA,9,NA,NA,4,NA,1,NA,1,NA,NA,NA,NA
4871,NA,NA,575,NA,3,NA,1,46,3,NA,46,1,3,NA,NA,26,7,26,27,58,34,22,118,149,3,NA,2,NA,3,1,3,26,7,8,5,NA,2,1,NA,NA,NA,NA
5083,NA,NA,600,NA,1,NA,NA,107,8,NA,107,4,10,6,4,20,7,14,29,88,36,58,95,163,3,NA,1,NA,7,NA,11,9,6,2,NA,3,NA,1,NA,NA,1,NA
5270,NA,NA,622,2,1,NA,NA,30,2,NA,30,3,7,1,6,21,3,31,24,17,27,72,191,125,NA,NA,NA,3,6,NA,10,32,NA,12,3,1,1,6,NA,NA,1,NA
5474,NA,NA,646,NA,1,NA,NA,9,3,NA,9,1,2,NA,10,6,10,25,60,35,70,90,159,72,NA,1,NA,NA,12,2,3,NA,4,7,NA,1,NA,NA,NA,NA,NA,NA
5609,NA,NA,662,NA,4,2,NA,15,4,NA,15,8,8,NA,13,30,20,38,94,60,114,116,309,177,3,NA,2,1,9,5,6,NA,1,5,1,2,NA,1,NA,NA,NA,NA
5813,NA,NA,686,NA,NA,NA,2,17,NA,NA,17,1,1,2,3,11,3,50,24,8,27,94,180,51,NA,1,NA,NA,3,NA,2,4,NA,23,NA,1,1,NA,NA,NA,NA,NA
6000,NA,NA,708,1,NA,NA,4,27,1,NA,27,2,NA,2,NA,18,3,47,35,24,38,89,181,149,1,NA,1,2,1,NA,2,4,NA,16,5,NA,1,NA,NA,NA,NA,NA
6085,NA,NA,718,NA,8,7,NA,112,NA,NA,112,1,1,NA,1,2,6,36,52,72,58,90,44,85,NA,NA,NA,NA,7,NA,4,5,NA,5,3,NA,NA,1,NA,NA,NA,NA
6204,NA,NA,732,2,10,NA,NA,17,1,NA,17,4,1,NA,NA,13,10,40,32,65,42,54,109,220,NA,NA,3,1,5,1,1,25,1,8,4,3,4,NA,NA,NA,NA,NA
6357,NA,NA,750,1,14,1,NA,17,10,NA,17,1,7,NA,8,5,50,35,197,105,247,128,94,266,NA,1,1,NA,3,7,4,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA
6748,NA,NA,796,NA,24,NA,1,40,NA,NA,40,5,3,NA,NA,15,29,18,24,59,53,49,102,320,NA,1,3,NA,1,1,NA,3,2,3,9,NA,2,1,NA,NA,NA,NA
6900,NA,NA,814,NA,1,NA,NA,13,6,NA,13,1,NA,NA,NA,2,72,13,102,31,174,24,79,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
7019,NA,NA,828,NA,10,4,NA,21,2,1,21,15,2,NA,7,3,7,14,40,83,47,7,53,272,2,NA,2,NA,7,NA,3,NA,25,NA,NA,3,NA,NA,1,NA,NA,NA
7172,NA,NA,846,NA,1,7,NA,39,NA,1,39,2,4,NA,NA,1,4,9,28,30,32,51,26,43,NA,NA,3,NA,5,1,NA,1,3,2,12,NA,NA,NA,NA,NA,NA,NA
7239,NA,NA,860,NA,2,1,7,42,4,NA,42,1,2,1,5,32,9,30,46,57,55,159,115,88,2,NA,NA,1,3,NA,NA,16,4,9,4,3,4,3,NA,NA,NA,NA
7298,NA,NA,878,NA,11,1,NA,37,3,NA,37,6,2,NA,1,18,1,33,15,97,16,9,36,323,3,1,1,NA,14,NA,3,1,46,NA,1,3,2,NA,NA,NA,2,NA
7343,NA,NA,892,NA,69,NA,NA,69,8,4,69,14,3,NA,2,22,29,28,2,90,31,23,31,648,NA,NA,2,1,3,NA,1,1,25,3,NA,4,1,1,NA,1,NA,NA
7402,NA,NA,910,1,7,NA,NA,57,1,NA,57,2,13,1,2,5,1,14,18,54,19,17,39,97,NA,NA,1,1,14,1,1,13,11,1,NA,1,NA,1,NA,NA,NA,NA
7448,NA,NA,924,NA,24,NA,3,47,4,NA,47,NA,4,NA,4,26,12,22,7,84,19,14,84,335,1,NA,4,2,NA,2,NA,2,7,4,NA,6,NA,2,NA,NA,NA,NA
7507,NA,NA,942,NA,1,2,NA,43,1,NA,43,9,2,NA,3,5,5,15,21,28,26,2,63,117,NA,NA,NA,NA,2,NA,3,3,3,1,NA,4,NA,NA,NA,NA,NA,NA
7579,NA,NA,964,1,4,NA,NA,74,1,NA,74,5,3,NA,2,7,NA,3,15,47,15,7,28,94,NA,NA,NA,NA,1,NA,NA,NA,NA,4,1,1,NA,1,NA,NA,NA,NA
7683,NA,NA,996,NA,12,5,NA,20,3,5,20,6,2,NA,4,16,6,16,55,81,61,1,35,273,6,NA,NA,NA,13,NA,NA,1,3,4,NA,5,NA,3,9,NA,NA,NA
7736,NA,NA,1012,1,37,NA,NA,70,10,2,70,9,4,NA,1,13,14,31,1,113,15,5,38,787,NA,1,6,2,NA,1,3,3,2,7,NA,2,2,1,NA,NA,NA,NA
7788,NA,NA,1028,NA,12,NA,NA,21,2,2,21,4,2,NA,NA,4,2,6,NA,27,2,5,5,103,NA,NA,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
7840,NA,NA,1044,NA,14,NA,NA,65,1,3,65,5,1,NA,3,23,30,47,78,134,108,8,47,610,NA,NA,8,NA,6,6,2,NA,NA,8,1,2,3,1,NA,1,NA,NA
7892,NA,NA,1060,1,46,NA,2,106,4,3,106,9,5,NA,2,8,16,18,4,108,20,8,37,660,NA,NA,4,1,4,1,4,1,NA,1,NA,1,2,2,NA,NA,NA,NA
7945,NA,NA,1076,NA,10,NA,1,43,2,1,43,9,NA,NA,NA,22,74,30,17,95,91,16,48,694,1,NA,1,NA,8,2,2,1,1,14,5,1,4,1,1,NA,NA,NA
7997,NA,NA,1092,NA,28,1,NA,69,7,1,69,14,9,NA,NA,10,15,31,3,96,18,14,41,574,NA,NA,3,NA,9,NA,2,NA,2,17,1,6,2,NA,2,NA,NA,NA
8049,NA,NA,1108,NA,9,1,2,33,2,NA,33,8,1,NA,NA,14,115,14,3,81,118,53,65,294,NA,NA,1,NA,5,NA,1,NA,2,8,1,4,NA,1,NA,1,NA,NA
8102,NA,NA,1124,2,34,1,NA,55,5,NA,55,21,NA,NA,7,11,27,11,5,69,32,NA,40,191,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA
8154,NA,NA,1140,NA,6,1,NA,20,1,NA,20,3,NA,NA,NA,6,83,12,5,53,88,10,77,212,5,NA,1,NA,5,NA,NA,2,NA,4,3,NA,3,3,7,1,NA,3
8206,NA,NA,1156,NA,NA,1,NA,9,1,NA,9,NA,NA,1,4,6,36,7,8,128,44,2,79,44,NA,NA,1,NA,3,NA,3,NA,NA,5,4,2,NA,3,7,NA,NA,NA
8265,NA,NA,1174,3,2,6,NA,12,1,3,12,3,2,NA,5,NA,9,18,9,52,18,27,166,100,NA,NA,1,1,1,NA,NA,NA,NA,3,10,3,2,NA,NA,1,NA,NA
8373,NA,NA,1188,NA,1,1,2,19,1,5,19,1,2,NA,10,NA,15,8,19,62,34,4,118,82,2,NA,1,NA,4,NA,1,1,NA,NA,6,9,NA,3,NA,2,NA,3
8550,NA,NA,1204,NA,1,6,2,22,5,3,22,1,2,NA,NA,4,16,19,2,64,18,9,115,123,3,NA,NA,1,5,NA,2,2,NA,6,7,NA,1,12,4,NA,NA,NA
8728,NA,NA,1220,NA,2,NA,NA,26,NA,NA,26,3,2,NA,NA,3,27,27,1,115,28,13,75,235,2,NA,NA,NA,1,NA,NA,1,NA,2,9,3,3,NA,NA,NA,NA,NA
8905,NA,NA,1236,NA,1,3,NA,14,2,8,14,NA,1,NA,3,5,29,41,28,119,57,13,78,88,NA,NA,NA,NA,1,NA,NA,5,1,6,3,6,2,1,NA,1,NA,2
9038,NA,NA,1248,2,3,5,NA,12,7,5,12,NA,6,NA,NA,3,2,12,43,114,45,14,63,62,3,3,NA,NA,3,NA,7,NA,1,1,NA,NA,NA,1,NA,3,2,NA
9082,NA,NA,1252,NA,NA,NA,NA,9,7,5,9,6,1,4,NA,2,1,12,27,132,28,3,57,77,10,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,NA,1,NA,NA,NA,6
9260,NA,NA,1268,NA,2,NA,NA,9,6,10,9,3,6,NA,NA,1,11,17,24,163,35,4,43,83,1,1,NA,1,NA,NA,NA,1,2,3,15,2,1,3,9,2,NA,NA
9437,NA,NA,1284,3,4,NA,1,13,8,16,13,4,3,1,2,3,3,18,45,122,48,19,107,87,16,1,NA,NA,3,NA,2,1,NA,2,5,1,NA,2,4,NA,NA,1
9614,NA,NA,1300,NA,4,NA,1,12,5,NA,12,1,1,1,11,4,3,16,36,194,39,10,106,116,6,2,NA,3,1,NA,2,NA,NA,1,2,1,4,2,NA,12,NA,1
9792,NA,NA,1316,7,2,NA,NA,23,6,8,23,8,3,1,3,NA,9,12,53,109,62,14,97,123,9,4,3,1,1,NA,5,NA,NA,NA,NA,2,NA,3,NA,NA,NA,4
9969,NA,NA,1332,NA,106,NA,NA,87,18,NA,87,7,1,NA,NA,4,7,29,NA,54,7,12,35,567,NA,29,20,NA,NA,2,NA,NA,NA,4,2,NA,NA,NA,1,1,NA,NA
10146,NA,NA,1348,1,10,5,NA,42,7,3,42,2,NA,NA,NA,NA,2,8,66,29,68,7,28,57,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
10323,NA,NA,1364,7,1,NA,NA,12,4,1,12,1,1,NA,1,NA,36,24,90,86,126,4,114,55,5,3,NA,NA,1,2,1,3,NA,1,1,1,1,2,NA,10,NA,NA
10501,NA,NA,1380,20,6,16,NA,17,11,NA,17,3,NA,2,4,3,3,9,90,58,93,22,88,102,10,1,NA,NA,NA,NA,2,NA,9,NA,NA,NA,NA,NA,NA,3,NA,NA
10678,NA,NA,1396,9,10,1,NA,97,16,NA,97,12,2,NA,NA,2,51,57,42,104,93,29,120,203,NA,18,1,NA,1,4,1,3,5,7,5,NA,7,NA,NA,4,NA,NA
10855,NA,NA,1412,NA,9,2,NA,95,11,NA,95,3,3,NA,NA,NA,13,30,13,49,26,28,35,255,NA,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
10944,NA,NA,1420,3,39,12,1,141,21,NA,141,13,1,NA,1,3,13,38,20,153,33,44,65,693,NA,38,1,NA,4,1,5,4,NA,5,NA,NA,4,NA,NA,NA,NA,NA
11033,NA,NA,1428,2,42,1,NA,96,6,NA,96,9,1,NA,NA,2,7,24,10,120,17,25,48,571,1,16,3,2,1,NA,1,2,1,1,NA,NA,3,NA,NA,3,NA,NA
11121,NA,NA,1436,2,13,1,NA,78,8,NA,78,7,8,NA,NA,NA,4,29,18,131,22,19,77,356,2,12,3,NA,5,NA,2,3,NA,1,5,1,11,1,NA,14,NA,NA
11210,NA,NA,1444,4,10,2,NA,15,4,NA,15,7,NA,NA,NA,3,6,44,65,43,71,11,80,300,NA,3,4,NA,2,NA,6,NA,3,NA,1,NA,NA,NA,NA,2,NA,NA
11387,NA,NA,1460,NA,30,NA,NA,86,6,NA,86,3,NA,NA,NA,1,14,14,15,95,29,67,10,929,1,14,NA,NA,NA,NA,1,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA
11553,NA,NA,1475,2,15,NA,NA,75,39,NA,75,37,1,NA,NA,3,15,19,3,103,18,11,14,2409,NA,4,NA,NA,NA,1,NA,5,NA,2,2,NA,8,NA,NA,2,NA,NA
11919,NA,NA,1508,1,52,NA,NA,51,68,NA,51,33,NA,NA,NA,1,33,9,13,61,46,3,3,792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
12274,NA,NA,1540,3,20,1,NA,81,30,NA,81,23,NA,NA,NA,NA,26,13,23,40,49,4,6,380,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12384,NA,NA,1550,4,18,2,NA,129,60,NA,129,7,2,NA,NA,1,35,8,9,113,44,11,8,378,1,4,3,NA,1,4,2,1,NA,2,NA,NA,13,NA,NA,NA,NA,NA
12473,NA,NA,1558,8,17,1,NA,174,72,NA,174,10,NA,NA,NA,NA,25,6,14,175,39,14,8,225,1,1,NA,NA,1,1,1,1,1,1,NA,NA,15,NA,NA,1,NA,NA
12540,NA,NA,1564,4,40,4,NA,70,108,NA,70,27,NA,NA,NA,2,34,14,18,85,52,25,2,418,NA,4,5,NA,3,NA,1,1,NA,1,NA,NA,5,NA,NA,NA,NA,NA
12628,NA,NA,1572,73,11,NA,NA,33,145,NA,33,30,NA,NA,NA,NA,29,15,46,94,75,39,57,95,NA,8,NA,NA,1,NA,6,NA,7,NA,19,3,NA,NA,NA,2,NA,NA
12717,NA,NA,1580,26,13,NA,NA,79,45,NA,79,12,3,NA,1,NA,15,16,60,59,75,60,22,272,NA,2,1,NA,2,1,2,NA,NA,1,NA,NA,1,1,NA,NA,1,NA
12805,NA,NA,1588,20,35,1,NA,115,210,NA,115,19,4,NA,NA,1,15,9,19,91,34,16,7,269,1,2,NA,NA,NA,1,3,NA,1,2,NA,NA,4,NA,NA,NA,NA,NA
12894,NA,NA,1596,29,3,1,NA,138,55,NA,138,4,2,NA,NA,2,13,8,104,95,117,42,9,140,NA,2,NA,NA,1,1,2,2,NA,NA,1,NA,5,2,NA,1,NA,NA
12983,NA,NA,1604,12,2,1,NA,40,37,NA,40,10,2,NA,NA,1,48,5,47,21,95,10,12,71,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA
13337,NA,NA,1636,26,11,1,NA,73,214,NA,73,37,1,NA,4,5,198,22,39,80,237,12,15,718,NA,3,1,NA,1,6,2,NA,2,1,7,2,NA,NA,NA,3,NA,NA
13692,NA,NA,1668,32,4,1,NA,32,172,NA,32,23,NA,NA,NA,1,34,11,11,23,45,3,6,132,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
14047,NA,NA,1700,71,6,NA,NA,4,64,NA,4,23,2,NA,NA,NA,18,11,39,37,57,2,6,119,NA,1,NA,1,NA,11,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
14401,NA,NA,1732,19,NA,NA,NA,17,7,NA,17,5,5,NA,NA,NA,27,9,18,46,45,4,1,88,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA
14756,NA,NA,1764,2,53,5,NA,35,2,NA,35,12,1,NA,NA,NA,102,16,2,68,104,5,2,164,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
15465,NA,NA,1828,NA,138,NA,NA,71,29,NA,71,6,6,NA,NA,3,9,30,7,58,16,NA,1,1161,NA,4,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
