depth,Cyperaceae,Apiaceae,Polycarpaea,Artemisia,Liliaceae,Ephedra distachya-type,Corbiconia,Indetermines,Brassicaceae,Pinus,Tubuliflorae,Calligonum,Cleome,Ephedra fragilis-type,Gramineae,Chenopodiaceae/Amaranthaceae,Liguliflorae,Rhus,Rhamnaceae,Plantago,Papilionoideae,Corylus,Combretaceae,Helianthemum,Maerua,Juniperus,Ranunculaceae,Typha,Celastraceae,Typha latifolia,Pistacia,Tilia,Quercus ilex-type,Lannea,Sterculiaceae,Prosopis,Quercus pubescens-type,Heliotropium,Erica,Euphorbia,Plumbaginaceae,Lamiaceae,Polygala,Tamarix,Gymnocarpos,Alnus,Rhizophora,Asphodelus,Acer,Linociera,Rumex,Acacia,Polygonum,Ostrya,Centaurea jacea-type,Alchornea,Manilkara,Sanguisorba minor-type,Isoetes,Bombacaceae,Blepharis,Echium,Elaeis guineensis,Fagus,Betula,Centaurea scabiosa-type,Caylusea,Moltkia,Strychnos,Borreria,Tribulus,Gymnosporia,Simirestis,Erodium
377.5,105,,,5,2,1,,3,2,4,4,1,,18,33,65,1,,,1,,4,4,,4,,,1,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,1,,,1,,,,,,1,,,,,,,,,
397.5,39,1,1,71,,1,,9,6,16,17,2,,40,63,215,2,,,3,,2,3,,6,1,,4,,,,,2,,,,,1,,,1,,,,,,,,,,1,1,2,,,,,,,,,,,,,,1,,,,,,,
417.5,82,5,,30,,4,,5,3,7,13,,,34,59,305,5,,,6,3,1,7,1,1,1,,,,,3,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,
437.5,217,2,3,29,,2,,8,3,4,4,,,35,66,129,1,,,,4,1,4,1,1,1,,4,,,,,1,,,,,1,,,,,,,2,,,,,,,2,,,,,,,2,,2,,,2,,,1,,1,1,,,,
457.5,63,1,,31,,8,,6,1,60,4,,2,109,68,135,4,,,1,2,1,2,,1,3,,,,,,,,,,,,,1,2,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
477.5,47,,,34,,6,,5,6,36,8,,2,123,63,164,2,,,,,,,,1,2,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,
497.5,79,,1,30,,4,,5,,14,3,3,,196,32,155,1,,,2,4,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,
517.5,39,,1,46,,8,,3,2,28,2,1,,240,29,154,,,,,,,4,,3,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537.5,54,,1,54,1,8,,4,2,23,7,,,83,32,219,,,,,,2,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,1,,
557.5,142,1,1,101,,2,,10,3,14,7,4,,16,63,146,,,,3,,,,,,,,4,,1,,,2,1,,,1,,,,,,,,,,,,,,,,2,,,,9,,,,,,1,,,,,,,,,,,
577.5,30,6,2,24,,6,,5,3,23,10,5,2,137,41,207,2,,,2,,,2,,,,2,,,,,,,,,,,,,1,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
597.5,77,,,18,,1,,10,5,5,7,1,,142,54,171,1,,,,1,,2,1,1,,,2,,,,,,,,,,,,1,,,,1,,,,,,,1,1,3,,1,1,,,,,,,,,1,,,,,,,,,
617.5,112,2,,106,,3,,11,2,7,9,1,2,30,39,175,,,,2,2,2,3,,,2,,5,,,,,,,,,,,,1,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
637.5,58,,,61,,10,,9,6,10,7,1,,86,30,220,2,,,,1,1,5,,1,2,,3,,,,1,,,,,,,,,,1,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,2
657.5,256,1,2,15,,2,,1,1,9,5,2,,13,97,111,1,,,2,7,,4,,,1,,4,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,2,,,,,1,,,,,,
677.5,44,,,55,,4,,9,1,11,9,4,,158,34,215,1,,,,3,,4,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,1,,,,
697.5,79,,,45,3,1,,2,4,11,6,7,2,124,41,189,2,,,,1,,,2,,1,,2,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,
717.5,31,,3,47,,7,,11,5,16,4,4,2,129,58,205,2,,,4,3,,2,,2,,,3,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,2,,,,,,,,,,,,,,1,,,
737.5,41,,1,48,,4,,10,1,6,6,1,,95,41,246,2,,,3,1,,5,,,,,,,,,,,,,,,,1,,,1,,,,,1,1,,,,,,,,,1,,,,,,,,,1,,1,,,1,,,
757.5,27,,2,79,,8,,6,2,6,2,3,,134,34,235,1,,,1,,,2,,,3,,,,,,,,,,,,,,3,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
777.5,69,,1,73,,12,,13,10,7,12,2,,30,42,264,1,,,1,,,2,,3,1,1,,,,,,1,,,,,,,5,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,
797.5,140,,1,42,,1,,8,5,13,3,1,,13,128,138,2,,,1,4,1,5,,1,5,,7,,,2,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
817.5,106,1,8,158,,4,,10,1,11,4,3,,12,50,165,1,,,1,,,5,,,3,,7,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,,,10,,,,,,,,,1,,,,,,,,
837.5,54,1,3,31,,4,,7,4,7,28,2,,66,69,244,3,,,2,1,,9,,2,2,,,,,,,,1,,,,,1,4,,,,,,,,,,,,,1,,,,1,,2,,,,1,,,1,,1,,,,,,
