"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Typha latifolia","Ulmus","Vitis","Fabaceae","Rosaceae","Vicia-type","Carpinus betulus","Valerianella","Phillyrea","Centaurea cyanus-type","Ephedra fragilis-type","Apium-type","Scilla-type","Polygonum cognatum-type","Quercus cerris-type","Ranunculus sceleratus-type","Turgenia-type","Selaginella","Salix","Thalictrum","Filago-type","Aquilegia-type","Sanguisorba minor/Poterium","Indeterminable","Equisetum","Taxus","Apiaceae","Trifolium-type","Ephedra distachya-type","Butomus","Thymus/Mentha-type","Poaceae (Cerealia-type)","Symphytum-type","Abies","Senecio-type","Brassica-type","Fraxinus ornus","Cirsium/Gundelia-type","Galium-type","Plantago lanceolata-type","Caryophyllaceae","Centaurea solstitialis-type","Polygonum aviculare-type","Artemisia herba-alba-type","Matricaria-type","Cedrus","Amaranthaceae","Juniperus","Poaceae","Sparganium-type","Cichorioideae","Dryopteris-type","Pinus","Cyperaceae","Castanea","Corylus","Fagus","Tilia","Lythrum","Juglans","Alisma","Helianthemum","Delphinium-type","Myriophyllum spicatum/M. verticillatum","Ostrya/Carpinus orientalis","Quercus coccifera-type","Asparagus-type","Bellis-type","Maianthemum","Scorzonera-type","Spinacia-type","Scabiosa palestina-type","Cheilanthes","Anthoceros laevis-type","Olea","Ophioglossum","Pteridium","Alnus","Arceuthobium","Cladium","Elaeagnus","Euphorbia","Malvaceae","Xanthium","Lemna","Potamogeton","Lysimachia","Rumex acetosa-type","Plantago major-type","Knautia","Artemisia vulgaris-type","Mercurialis annua","Acanthus","Arctium-type/Jurinea","Botrychium","Isoëtes","Triletes","Ericaceae","Daphne","Centaurea scabiosa-type","Fallopia convolvulus-type","Moltkia","Nymphaea","Onopordum-type","Carya","Ranunculus arvensis-type","Hydrocharis","Cousinia","Ranunculus repens-type","Cercis","Plantago coronopus-type","Aristolochia","Sphagnum","Humulus/Cannabis","Anthriscus-type","Centaurea jacea-type","Inula-type","Cupressus","Eryngium-type","Spergularia-type","Rumex hydrolapathum","Amaranthus-type","Geranium","Nuphar","Primula","Hypericum perforatum-type","Urtica dioica-type","Asteroideae","Persicaria amphibia","Malva","Heracleum-type","Teucrium","Epilobium","Persicaria maculosa-type","Crataegus-type","Liquidambar","Campanula-type","Sorbus-type","Plantago maritima-type","Hippuris","Capsella-type","Bunium-type","Juniperus sabina","Carthamus","Andrachne","Potentilla-type","Leontice","Scrophularia/Verbascum-type","Stachys-type","Matthiola","Sambucus nigra-type","Carduus-type","Hippocrepis-type","Ononis-type","Rhinanthus-type","Datisca","Sambucus ebulus","Ranunculaceae","Populus","Filipendula","Tribulus","Asperula-type","Platanus","Oleaceae","Fontanesia","Silene-type","Anisosciadium-type","Convolvulus","Papaver","Ferula-type","Crupina","Ilex","Acer","Gentiana","Plantaginaceae","Noaea-type","Adonis","Osmunda","Valeriana","Rheum","Pistacia","Lotus-type","Nigella","Echium-type","Melampyrum","Rosa-type","Centaurea","Salvia","Lilium","Hedysarum/Ebenus","Myrtus","Prunus-type","Prunella-type","Capparis","Phlomis","Reseda","Styrax","Digitalis","Hottonia","Halothamnus-type","Viola","Hedera","Veronica","Cytisus sect. Spartopsis","Scutellaria","Asphodeline","Clematis-type","Echinops","Dipsacus-type","Malus-type","Bongardia","Bupleurum-type","Ceratocephala-type","Lycopodium","Allium","Glaucium","Cotoneaster","Roemeria","Celtis","Fagopyrum","Ranunculus sect. Batrachium-type","Caltha","Scabiosa columbaria-type","Descurainia","Cotinus","Scabiosa","Ranunculus asiaticus-type","Plantago media-type","Paliurus","Menyanthes","Cuscuta","Cryptogramma","Rhynchospora-type","Boraginaceae","Calystegia","Hibiscus","Huperzia selago","Homogyne/Tussilago-type","Polypodium","Tulipa-type","Pterocephalus-type","Bistorta officinalis-type","Fraxinus excelsior","Impatiens","Verbena","Linum","Secale","Anagallis","Hypericum assyrianum-type","Brassicaceae","Aesculus","Centranthus","Plantago tenuiflora-type","Primula veris","Sisyrinchium","Succisa","Theligonum cynocrambe","Liliaceae","Malabaila","Myrica","Sanguisorba officinalis"
2977,NA,NA,175,NA,16,1,1,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,15,NA,NA,NA,4,1,NA,NA,6,1,15,NA,4,NA,2,1,2,7,1,2,5,9,26,7,8,10,6,10,14,27,21,19,16,47,52,147,64,44,157,213,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,9,NA,NA,NA,1,NA,NA,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3017,NA,NA,177,NA,9,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,2,28,NA,NA,NA,1,1,NA,1,7,3,28,NA,8,3,1,NA,5,8,3,NA,2,15,17,1,18,18,9,14,11,35,27,10,11,49,56,215,47,43,80,482,1,4,NA,1,1,3,NA,NA,1,1,NA,6,1,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3079,NA,NA,180,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,3,19,NA,NA,NA,4,NA,NA,5,4,4,21,NA,7,1,NA,NA,4,13,6,3,8,11,19,1,14,15,6,14,10,23,19,13,10,55,56,123,46,36,145,222,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3120,NA,NA,182,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,22,NA,NA,NA,6,1,NA,NA,1,3,19,NA,4,1,NA,NA,1,14,2,3,5,12,28,6,15,22,5,8,7,28,15,10,9,63,76,116,56,31,104,170,4,2,NA,NA,1,1,NA,NA,NA,2,3,6,NA,1,NA,NA,NA,NA,NA,NA,10,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3182,NA,NA,185,NA,4,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,2,2,30,NA,NA,1,6,NA,NA,3,4,2,5,NA,10,1,NA,2,NA,18,3,2,2,15,18,2,13,20,4,10,3,21,21,9,16,127,76,67,38,23,89,156,3,1,NA,NA,1,3,NA,NA,1,NA,2,5,NA,3,NA,NA,1,NA,NA,NA,5,NA,4,2,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3223,NA,NA,187,1,7,1,NA,1,1,1,NA,1,NA,2,2,2,1,1,27,NA,NA,NA,4,1,NA,2,6,5,5,NA,3,1,1,2,2,15,2,NA,6,15,28,1,14,13,14,9,13,30,16,15,13,65,63,162,37,23,70,170,1,1,NA,NA,1,3,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,1,1,3,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3286,NA,NA,190,1,12,NA,NA,2,NA,1,NA,NA,NA,1,NA,2,NA,NA,32,1,1,NA,2,NA,NA,NA,2,5,5,NA,13,1,1,NA,NA,11,NA,1,5,11,14,3,12,14,7,17,12,55,33,18,6,16,47,187,37,39,116,141,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3326,NA,NA,192,NA,14,NA,1,1,NA,2,NA,1,NA,1,1,6,NA,NA,28,1,NA,NA,9,1,NA,NA,5,NA,10,NA,5,NA,1,NA,4,15,3,1,5,10,42,2,26,12,10,10,9,34,20,18,12,47,76,227,47,19,99,301,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,7,1,3,NA,NA,NA,NA,NA,NA,13,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3389,NA,NA,195,1,46,1,NA,NA,1,NA,NA,NA,NA,1,NA,7,1,2,31,3,NA,NA,6,NA,NA,1,5,3,4,NA,9,1,NA,2,NA,9,2,1,3,11,20,3,17,19,17,7,12,41,28,15,18,46,78,375,43,40,95,457,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,11,1,1,NA,NA,NA,NA,NA,NA,11,1,NA,1,NA,NA,NA,1,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,4,NA,NA,NA,NA,2,NA,2,1,5,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3431,NA,NA,197,NA,42,1,NA,NA,1,NA,NA,NA,NA,NA,NA,11,NA,1,25,2,NA,NA,10,2,NA,4,7,5,9,NA,15,1,NA,4,1,6,5,3,1,14,19,1,13,19,3,4,4,30,9,22,22,56,109,272,22,29,125,721,4,NA,NA,NA,4,2,NA,NA,1,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,2,2,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3495,NA,NA,200,NA,30,1,NA,NA,2,NA,NA,NA,NA,1,1,7,NA,NA,30,3,NA,NA,16,1,NA,1,NA,1,10,NA,12,NA,NA,2,2,5,1,3,5,6,12,3,13,11,2,4,1,18,10,21,13,41,98,356,46,15,114,1143,1,NA,NA,NA,2,1,NA,NA,1,NA,7,5,NA,NA,NA,1,NA,NA,NA,NA,24,NA,NA,1,1,NA,NA,2,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,2,NA,NA,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3531,NA,NA,202,NA,16,1,1,NA,NA,NA,NA,NA,NA,NA,1,4,2,2,46,5,1,NA,21,NA,NA,1,3,4,4,NA,16,NA,NA,NA,NA,10,5,2,2,10,9,1,13,11,1,13,5,22,5,17,21,32,140,270,34,20,154,1657,3,NA,NA,NA,4,7,NA,NA,1,2,3,12,NA,NA,1,NA,NA,NA,NA,NA,22,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,8,2,1,NA,NA,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,6,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3583,NA,NA,205,NA,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,30,5,NA,NA,6,NA,NA,NA,1,5,4,NA,5,NA,NA,NA,4,6,7,4,4,16,2,3,9,16,4,8,5,25,13,24,17,21,65,125,38,9,165,976,1,NA,NA,NA,2,NA,NA,NA,1,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,7,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3618,NA,NA,207,NA,7,NA,1,1,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,30,4,NA,NA,5,1,NA,1,3,9,8,NA,3,NA,NA,1,3,5,4,1,3,9,2,NA,15,13,5,11,10,13,6,46,16,30,91,73,59,26,274,1396,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3670,NA,NA,210,NA,8,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,21,5,NA,NA,2,1,NA,1,1,5,1,NA,13,NA,NA,NA,1,15,3,3,NA,4,9,6,9,2,NA,13,26,15,16,42,7,12,43,90,28,31,216,752,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,1,NA,10,1,2,1,1,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3704,NA,NA,212,NA,5,NA,NA,1,3,NA,NA,NA,NA,NA,1,2,NA,NA,20,3,NA,NA,6,NA,NA,NA,4,1,7,NA,4,NA,NA,NA,1,8,1,1,3,8,2,2,6,3,4,12,9,17,10,53,11,16,64,64,66,25,219,1206,NA,NA,NA,NA,NA,1,NA,NA,NA,2,4,9,NA,NA,NA,1,NA,NA,1,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3,7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
