"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Pseudoschizaea","Corylus","Ephedra undiff.","Apiaceae","Vitis","Alnus","Trifolium-type","Helianthemum","Lavandula","Asplenium","Plantago lanceolata-type","Ostrya","Mercurialis","Rumex acetosella","Aster-type","Asphodelus","Unknown (trilete)","Unknown (monolete)","Ophioglossum","Pteridium","Brassicaceae","Phillyrea","Dinoflagellata","Fraxinus","Cistus","Myrtus","Artemisia","Cichorioideae","Selaginella denticulata","Cyperaceae","Quercus cerris-type","Ruppia","Sporormiella","Amaranthaceae","Juniperus","Pistacia","Poaceae","Quercus robur-type","Eucalyptus","Olea","Quercus ilex-type","Erica","Isoëtes","Pinus","Lycopodium spike","Geranium","Ulmus","Myriophyllum alterniflorum","Mentha","Stachys","Arbutus","Verbascum","Lamiaceae","Papaver","Plantago maritima","Carlina","Poaceae (Cerealia) undiff.","Plantago coronopus","Lythrum","Juglans","Viburnum","Rosaceae","Sparganium","Linaria","Rhinanthus","Draba-type","Filago-type","Genista","Cannabis-type","Polypodium","Anogramma leptophylla","Achillea","Botrychium","Ephedra cf. E. fragilis","Anthoceros laevis","Urtica","Limonium","Teucrium","Hypericum","Thymelaea","Galium","Ranunculus","Alchemilla","Spergula-type","Sinapis","Veronica","Lotus","Plantago major","Osmunda","Salix","Liliaceae","Potamogeton","Sorbus","Pinus halepensis","Rumex acetosa","Betula","Cupressaceae","Euphorbia","Rumex obtusifolius","Solanum nigrum","Fagus","Tamarix","Fabaceae","Hedera","Anthoceros punctatus","Allium","Caryophyllaceae","Radiola","Acer","Rubiaceae","Echium","Juncaceae","Prunella","Serratula-type","Senecio-type","Phlomis","Buxus","Matthiola","Oenanthe","Athyrium filix-femina","Riccia","Spirogyra","Polygonum aviculare","Apium","Centaurea montana-type","Jasione","Globularia","Hedwigia","Gentiana","Cardamine","Dipsacus","Rhus","Ziziphus","Castanea","Fraxinus ornus","Rubus","Bituminaria bituminosa","Lycopodium annotinum","Morus","Ephedra distachya","Picea","Tilia","Scrophularia-type","Linum catharticum","Sedum","Malva","Abies","Delitschia","Ericaceae","Carduus","Linum","Prunus","Coronilla","Viola","Saxifraga","Silene","Sagina","Anchusa","Centaurium","Smilax","Bupleurum","Chamaerops","Pteris","Centaurea jacea","Thalictrum","Undetermined diatom","Falcaria","Arctium","Taxus"
1899,NA,NA,152,"20848, 3","1","","3","","","","17","","","","","6","6","","4","1","","","","3","1","4","1","8","4","13","29","4","6","2","3","28","26","1","24","12","16","32","18","","7","69","91","53","5","310","","2","","","","1","","1","","1","","","","","","","","","","","","","","","","","","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2034,NA,NA,168,"20848, 3","1","2","3","","3","","10","","","","","2","4","","3","3","","1","","3","1","3","1","13","4","18","32","6","2","3","6","23","10","4","11","8","25","27","16","","10","68","100","49","7","254","","2","1","","","","","2","","2","","","","","","","1","","1","","","2","","","","1","1","","","1","","","","","","","","","","","","","1","","","","","","","","3","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2156,NA,NA,184,"20848, 3","1","","6","","1","","15","","","1","1","2","5","","5","1","1","1","","5","1","4","3","11","2","12","17","4","6","5","4","27","11","","5","6","21","24","15","","9","65","119","56","10","394","1","","1","","","","","1","","5","1","1","","","","","","","","","","2","","","","","","","","1","","","","","","1","","","","","","","1","","1","","","","","","1","","","","","3","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2410,NA,NA,220,"20848, 3","1","","","","1","","","","1","","2","2","6","","5","6","","1","3","2","4","1","8","12","1","22","16","4","8","8","8","23","19","1","6","6","13","27","18","","11","74","151","40","10","223","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","","","3","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","1","1","1","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2496,NA,NA,232,"20848, 3","1","","","","","","6","","","","1","2","5","","4","9","","","","3","2","3","2","15","5","18","7","4","4","7","15","13","9","2","7","5","22","24","35","","6","94","124","38","6","229","","","1","","","","","","","","","1","","","","","","","","","","1","","","","","","","","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2753,NA,NA,264,"20848, 3","1","","2","","","","2","","","","","","5","","1","2","","","1","1","3","6","4","11","4","4","6","5","","3","7","14","2","7","5","3","12","7","15","","13","132","198","12","8","254","","","","","","","","2","","","","","","","","","","","1","","","2","","","","","3","","","3","","","","","1","","","","","","","","","","","","","","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2808,NA,NA,270,"20848, 3","1","","5","","","1","8","1","4","1","","1","2","","","","1","2","1","","5","7","3","4","6","2","7","4","3","1","8","35","1","6","14","7","10","10","30","","10","117","211","7","5","161","","","","","","","","1","","2","","","","","","","","","","","","3","","","","","","","","1","","","1","","6","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3062,NA,NA,296,"20848, 3","1","","4","1","2","","6","","","","1","1","4","","2","3","","","","2","1","5","4","22","","4","5","3","4","4","8","18","4","2","9","2","12","11","11","","5","67","230","17","7","194","","","","2","","1","","3","","1","","","","","","","","","","","","4","","","","","2","","","3","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3305,NA,NA,320,"20848, 3","1","","3","","1","","6","","1","2","","","3","","4","1","","","3","","1","1","6","6","3","12","10","2","3","","10","14","8","5","9","","15","8","15","","7","77","233","23","8","228","","","","2","","1","","","","1","","","","","","","","","","","","3","1","","","","4","","","7","","","","","1","","","","","","1","","","1","","","","","","","2","","","","","","2","","","","","1","1","","","1","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3384,NA,NA,328,"20848, 3","1","","2","2","3","","21","","","","","6","5","","2","1","","1","1","2","1","3","1","15","3","5","6","3","2","1","9","15","6","4","8","6","23","13","10","","4","96","186","23","10","223","","","","1","","1","","","","","","","","","","","","","","","","4","","","","1","","","","1","","","","","1","","","","","","","","","","","","","","1","","2","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3685,NA,NA,360,"20848, 3","1","1","5","","2","","6","","","1","","4","6","","2","1","1","","","","3","2","2","15","","5","9","1","3","1","10","5","10","15","15","","7","14","12","","2","60","268","14","6","183","","1","","1","","","","","","2","1","","","","","","","","","","","3","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3777,NA,NA,370,"20848, 3","1","","3","","3","","10","","","2","","","3","","3","3","2","","","","5","2","5","16","3","7","12","","2","3","8","38","1","3","17","1","18","12","12","","3","85","254","28","11","195","","1","","","","1","","","","3","","1","","","","1","","","","","","1","","","","","1","","1","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","3","","","","","","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3982,NA,NA,392,"20848, 3","1","","7","","","","13","","","","","2","4","","4","6","2","","","2","5","","1","26","5","8","8","","7","1","10","10","1","9","10","8","21","13","12","","2","61","199","25","11","193","","","","1","","","","1","","1","","","","","","","","","","","","3","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4258,NA,NA,420,"20848, 3","1","","2","","3","","11","","1","1","","3","5","","","2","2","","4","1","3","","10","7","3","17","10","1","5","3","12","19","1","5","12","4","15","11","22","","8","96","261","15","8","191","","","","","","1","","","","1","","","","","","","1","","","","","2","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","1","","","","","1","","","","1","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4300,NA,NA,424,"20848, 3","1","","","","","","5","","1","","2","3","2","1","2","4","1","","","1","2","5","2","13","","9","21","3","","2","10","5","1","7","14","3","14","14","19","","7","78","232","10","7","168","","","","","","","","3","","","","","","","","","","","","","","4","","","","","1","","","3","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4363,NA,NA,430,"20848, 3","1","","3","","","","10","","","1","2","2","3","","","2","2","1","","","5","3","7","15","3","9","19","6","1","2","9","10","1","13","17","4","11","10","14","","4","59","231","5","4","113","","","2","","","","","1","","","","","","","","","","","","","","3","","","1","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4429,NA,NA,436,"20848, 3","1","","1","","1","","7","","","2","1","4","5","","1","1","1","","","1","5","3","4","17","3","3","17","","3","2","9","11","2","1","16","5","18","18","22","","4","72","216","7","9","152","","","","","","2","","1","","2","","1","","","","","","","","","","4","","","","","1","","","3","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4496,NA,NA,442,"20848, 3","1","","4","","2","","8","","","","","2","3","","5","2","1","","3","","2","2","6","12","2","9","14","2","7","2","10","13","3","14","12","3","15","16","23","","3","53","208","7","15","140","","1","1","3","","","","1","","","","","","","","","","","","","","6","","","1","","1","","","3","","","","","2","","","","","","","","","","","","","","1","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4590,NA,NA,450,"20848, 3","1","","6","1","1","","9","","1","","","3","2","","4","1","","","","1","2","2","5","9","1","7","15","1","3","1","6","8","1","6","16","8","31","15","16","","11","67","223","8","7","185","","","","","","3","","","","2","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4662,NA,NA,456,"20848, 3","1","","7","","","","14","","","1","1","2","7","","4","3","","1","","1","2","6","5","8","2","8","19","1","2","2","10","12","1","9","14","4","31","16","9","","4","46","221","4","7","158","","3","1","3","","1","","2","","3","","","","","","","","","","","","3","","","","2","","1","","4","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4737,NA,NA,462,"20848, 3","1","","6","1","1","1","7","","2","1","","1","5","","5","2","1","","1","2","3","2","6","15","1","12","20","2","4","2","7","6","2","8","9","4","16","16","16","","9","51","232","7","7","116","","","","1","","","","","","4","1","","","","","","","","","","","2","","","","","","","","3","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4841,NA,NA,470,"20848, 3","1","","3","","","2","9","","1","1","","","4","","6","2","","","","1","3","2","5","13","7","6","31","2","1","3","8","15","5","1","6","9","10","12","12","","8","49","238","7","8","133","","","","","","2","","","","2","1","1","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","1","","","1","","","1","","","","","1","3","","","1","","","","","","1","","","","","1","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4922,NA,NA,476,"20848, 3","1","","3","1","","1","7","","","2","","2","4","","3","1","","3","2","4","3","4","6","11","","7","15","1","6","","4","12","3","7","8","4","22","20","21","","7","57","219","10","13","169","","1","2","2","","3","","","","","","","","","","","","","","","","2","","","","1","","","","2","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4977,NA,NA,480,"20848, 3","1","1","4","","","","19","","","1","1","1","7","","3","","","2","","1","1","5","3","20","","7","8","3","8","2","8","5","1","12","12","4","19","9","14","","2","46","237","8","10","184","","","","1","","","","1","","","","1","","","","","","","","","","5","","","","","1","","","4","","","","","","","","","","","","","1","","","1","","","1","","3","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5090,NA,NA,488,"20848, 3","1","1","1","","","","8","","1","1","1","1","4","","1","1","1","","1","1","4","6","3","12","3","20","4","2","3","2","10","12","","8","9","","19","16","17","","5","39","249","15","12","178","","","1","2","","","","2","","1","","","","","","","","","","","","2","1","","1","1","2","","","2","","","","","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5205,NA,NA,496,"20848, 3","1","2","3","1","2","","11","","","2","","3","4","1","4","3","","1","1","1","4","8","9","18","1","10","5","1","3","4","9","18","3","9","8","5","15","14","22","","5","34","266","12","8","174","","","","2","","1","","1","","3","","","","","","","","","","","","1","","","","","","","","1","","","","","1","","","","","","","","1","1","","","1","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5321,NA,NA,504,"20848, 3","1","1","5","","1","","10","","","","","1","1","","","2","","","","1","3","7","2","41","","10","","1","2","1","2","19","1","3","9","1","15","10","6","","4","13","303","10","7","136","","1","","","","","","","","2","","","","","","","","","","","","1","","","","1","","","","3","","","","","2","1","","","","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5409,NA,NA,510,"20848, 3","1","1","1","","","2","8","","1","","1","2","","","2","3","1","","1","4","1","6","10","22","","17","1","1","5","6","9","12","2","9","5","2","5","7","23","","5","13","291","11","8","114","","","","","","","","1","","2","","1","","","","","","","","","","1","","","","","","","","2","","","","","","","","","","","","","","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5497,NA,NA,516,"20848, 3","1","","2","","2","","2","","2","","","1","","","5","2","1","","1","3","5","1","3","5","","20","","3","2","","9","17","1","7","9","","11","13","16","","10","6","307","18","11","95","","","","","","","","1","","","","","","","","","","","","","","1","","","1","1","","","","3","","1","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5555,NA,NA,520,"20848, 3","1","","3","","1","","3","","","","1","2","","","4","1","3","1","","6","4","","3","10","3","12","","1","2","3","13","9","2","7","8","","11","14","11","","9","17","303","21","10","125","","","","","1","1","","1","","","","","","","","","","","","","","3","","","","1","","","2","4","","","","","","","","","","","","","","1","","3","","","","","1","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5641,NA,NA,526,"20848, 3","1","","2","","2","","5","1","","","","2","","","1","2","","","","2","2","3","2","15","","16","","","4","1","7","16","","10","4","2","7","11","12","","6","5","335","10","5","74","","1","","","","","","1","","","","","","","","","","","","","","10","","","","1","","","","7","","","","","2","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5727,NA,NA,532,"20848, 3","1","1","1","","2","","8","","","","2","3","","","1","1","1","","","1","5","2","3","8","1","9","","","2","","8","13","4","12","9","2","9","9","14","","4","5","323","12","10","61","","","","","","","","1","","","","","","","","","","","","","","10","","","","","1","","","3","","","","","","1","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5783,NA,NA,536,"20848, 3","1","","","","1","","4","","","","","1","","","3","6","1","","","2","4","2","2","8","","8","","","2","","11","17","","5","6","","12","19","9","","7","5","332","10","10","93","","","","2","","1","","2","","","","","","","","1","","","","","","6","","","","2","","","","6","","","","","","","","","","","1","","","1","","1","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5866,NA,NA,542,"20848, 3","1","","3","","1","","5","","","","","2","1","","1","1","","","","1","3","2","2","7","","10","","3","1","1","9","7","","7","8","4","14","7","7","","6","4","350","6","5","62","","1","","","","","","1","","1","","","","1","","","","","","","","16","","","","1","1","","","2","","","","","1","","","","","","","","","2","","","","","","","","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5947,NA,NA,548,"20848, 3","1","","1","","1","","2","1","","","","1","2","","2","1","","","","1","","2","2","5","1","10","","1","4","","4","6","","11","11","2","15","8","8","","5","5","345","8","10","81","","1","","","","","","2","","1","1","","","","","","","","","","","13","","","","1","1","","","5","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5999,NA,NA,552,"20848, 3","1","","1","","2","","4","","","","","2","3","","3","2","3","","","","1","5","","4","1","18","","1","1","","7","1","","8","5","","10","9","7","","7","6","379","7","9","118","","","","","","","","1","","1","","","","","","","","","","","","9","","","","","","","","4","","","","","","","","","","","","","","3","1","","","","","","1","","","","1","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6076,NA,NA,558,"20848, 3","1","","4","","1","","3","","","2","","","","","","3","1","","","","4","2","","5","1","8","","","3","","15","3","1","23","4","3","12","7","12","","3","6","327","15","7","62","","","","","","","","","","1","","1","","","","","","","","","","16","","","1","","","","","2","","","","","1","1","","","1","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","",""
6149,NA,NA,564,"20848, 3","1","","5","","3","","1","","","","2","2","1","","2","3","","1","","2","3","2","2","15","","9","","1","4","","11","3","1","16","5","3","8","6","7","","3","3","345","11","4","69","","","","2","","","","","","1","","","","","","","","","","","","20","","","","","","","","2","","","","1","","","","","","","","1","2","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
6241,NA,NA,572,"20848, 3","1","3","","","1","","1","","","","","","2","","3","1","3","1","","","2","3","","9","","8","","2","4","","18","2","1","22","5","1","9","6","11","","2","3","328","17","7","60","","","","1","","","","1","","1","","","","","","","","","","","","28","","","","","","","","2","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
