Sample Age (cal yr BP) [cal yr BP],Copepod Eggs,Foraminifera undiff.,Depth (cm) [cm],Pinus,Podocarpus,Prosopis,Quercus decidua,Syzygium,Tamarindus-type,Tamarix,Terminalia,Flacourtia,Juniperus,Limonium axillare,Maytenus,Morus,Myrica,Olea europaea-type,Rhizophora,Ziziphus,Acacia Groupe 3,Alnus,Anogeissus,Arthrocnemum glaucum-type,Avicennia,Betula,Calligonum,Cedrus,Combretum molle-type,Commiphora,Dodonaea,Ephedra distachya-type,Ericaceae,Salvadora,Combretum aculeatum-type,Ephedra fragilis-type,Polygala,Pulicaria-type,Reseda,Sesbania-type,Flaveria-type,Gnidia,Justicia-type,Papilionoidae undiff.,Phyllanthus,Rumex,Vernonia-type,Zygophyllum,Alchemilla,Amaranthaceae/Chenopodiaceae undiff.,Apiaceae undiff.,Artemisia,Asteraceae undiff.,Atriplex,Caesalpiniaceae undiff.,Caryophyllaceae undiff.,Cassia,Convolvulaceae undiff.,Conyza-type,Crotalaria,Cruciferae,Fagonia,Salsola,Suaeda,Cocculus pendulus,Pimpinella,Plantago amplexicaulis-type,Plantago ciliata,Polycarpaea,Polycarpon,Silene,Tribulus,Filago-type,Heliotropium,Justicia caerulea-type,Kohautia,Lotus,Matricaria-type,Vernonia perrottetii-type,Zaleya-type,Aaronsohnia-type,Achyranthes,Aerva/Cornulaca,Amaranthus,Ambrosia maritima,Anethum-type,Atractylis,Blepharis,Boerhavia-type,Calendula-type,Celosia,Centaurea,Cerastium,Chenopodium,Chrozophora verbascifolia,Cleome,Cressa-type,Dipterygium glaucum,Euphorbia hirta-type,Euphorbia hypericifolia-type,Euphorbia prostrata-type,Paronychia,Poaceae,Sclerocephalus,Convolvulus-type,Typha,Cyperaceae,Dinoflagellate undiff.,Phoenix,Ferns monolete,Ferns trilete,Indeterminable
1500.8,0,22,140.5,0,1,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,4,0,1,0,2,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,1,0,0,3,0,21,0,10,0,2,0,0,16,0,0,1,9,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,1,60,0,0,1,0,1,0,1,5,0,0,5,0,0,0,3,4,8,1,13,74,1,1,0,64,1,1,0,0,14
1553.3,0,31,145.5,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,0,0,7,0,18,0,15,0,0,0,0,17,0,0,0,0,24,0,0,0,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,69,0,0,0,0,4,0,0,4,0,0,1,0,0,0,2,1,9,1,6,65,0,0,1,36,4,0,1,0,12
1639.3,0,53,160.5,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,3,0,6,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,15,0,1,0,2,0,0,11,0,0,0,6,14,0,0,1,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,48,0,0,0,1,1,0,1,3,0,0,6,0,0,0,1,0,4,1,4,141,3,0,1,51,1,1,0,1,7
1713.2,0,228,180.5,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,9,0,2,0,4,0,2,0,0,1,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,10,0,20,0,0,0,0,0,0,6,0,0,0,3,30,0,0,0,2,0,0,1,1,2,0,0,0,0,0,1,0,1,1,66,2,0,0,0,0,0,1,0,0,1,10,0,0,0,2,0,5,0,8,61,1,0,1,42,2,0,0,0,10
1783.5,0,77,199.5,1,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,3,8,0,3,0,0,0,1,0,0,2,1,0,0,5,0,0,0,0,1,0,0,1,0,0,0,16,0,20,2,4,0,1,0,2,5,0,0,0,5,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,5,69,1,0,1,0,1,0,0,3,0,0,5,0,0,1,0,0,11,1,22,54,0,1,0,45,8,0,0,0,13
1814.5,0,295,210.5,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,21,0,2,0,3,0,2,2,0,1,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,3,0,20,0,3,0,0,0,0,18,0,0,0,0,31,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,57,0,0,1,0,1,2,0,3,0,2,3,0,0,1,1,0,8,1,5,83,0,0,0,25,14,0,0,0,8
1829.9,0,163,220.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,2,0,4,0,1,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,1,0,0,9,0,16,0,4,0,0,0,0,12,1,0,0,7,27,0,0,0,3,0,0,0,1,2,0,0,0,0,0,2,0,0,1,70,0,0,0,0,2,0,0,3,0,4,3,0,0,0,1,2,13,0,10,86,0,0,1,35,54,0,0,0,10
1845.4,0,18,230.5,0,1,3,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,1,0,26,0,4,0,1,0,5,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,4,0,0,5,0,21,0,3,0,0,0,0,23,0,0,0,1,46,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,46,0,0,0,0,1,0,0,2,0,0,3,0,0,0,3,0,13,1,16,109,0,0,1,40,10,0,0,0,11
1860.8,0,70,240.5,1,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,20,0,2,0,2,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,26,0,2,1,0,0,0,17,0,0,0,4,41,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,2,0,4,3,0,0,1,1,0,10,3,4,65,0,1,0,33,7,0,0,0,13
1874.7,0,116,250.5,1,0,9,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,27,0,2,0,0,1,3,1,0,1,2,1,0,2,0,0,4,0,0,0,0,0,3,1,0,6,0,32,0,9,0,0,0,0,23,0,0,0,9,29,0,0,0,0,0,2,0,2,1,0,0,0,0,0,2,0,0,1,92,0,0,1,0,1,1,0,1,0,4,1,0,0,1,1,1,8,0,8,79,0,0,0,37,19,0,0,0,11
2010,0,73,260.5,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,10,0,2,0,1,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,12,0,24,0,7,0,0,0,0,15,0,0,0,6,15,0,0,0,0,0,0,0,1,1,3,0,0,0,0,4,0,1,2,52,0,0,0,0,0,0,0,7,0,4,6,0,0,0,0,0,8,0,7,64,0,1,0,49,7,0,0,0,11
2138.1,0,134,270.5,2,2,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,17,0,2,0,5,0,3,0,0,3,1,0,0,0,0,0,6,0,0,0,0,0,1,0,1,8,0,21,0,6,0,0,0,0,7,0,1,0,4,45,0,0,0,0,0,5,0,2,1,0,0,0,0,0,2,0,0,0,86,1,0,0,0,3,1,0,6,1,1,6,0,0,1,3,0,11,1,4,69,0,0,0,49,11,0,0,0,11
2266.2,0,71,280.5,0,0,7,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,1,7,0,0,0,1,0,0,1,0,0,3,0,0,0,0,1,0,0,0,7,0,18,1,7,1,0,0,0,20,0,0,0,11,18,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,61,0,0,0,0,1,0,0,5,0,1,2,0,0,1,0,0,10,0,12,65,0,0,0,46,8,0,0,0,10
2394.3,0,71,290.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,25,0,1,0,0,0,2,1,0,0,1,1,0,7,0,0,2,0,0,0,0,0,1,0,0,5,0,22,0,5,0,0,0,0,14,0,0,0,15,19,0,0,0,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,69,0,0,0,0,2,0,0,1,0,2,1,0,0,1,1,0,17,0,7,65,0,0,0,60,15,0,0,0,7
2509.6,0,136,299.5,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,19,1,4,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,7,0,14,0,1,0,0,0,0,15,1,0,0,8,21,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,6,1,36,0,0,0,0,1,0,0,1,0,0,3,0,0,0,2,0,15,3,11,59,0,0,1,58,16,0,0,0,7
2724.2,0,169,310.5,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,15,0,0,0,0,0,3,0,0,2,1,2,0,2,0,0,4,0,0,1,0,0,3,1,0,10,0,24,0,8,0,0,0,0,16,0,0,1,4,26,0,0,0,1,0,1,0,6,2,0,1,0,0,0,1,0,0,0,57,0,0,1,0,3,0,0,3,0,0,8,0,0,0,1,0,15,0,10,60,0,1,0,63,9,0,0,0,10
2922.4,0,180,320.5,1,2,0,0,0,0,1,0,0,0,7,0,0,0,0,,0,1,0,0,0,9,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,5,0,0,0,0,0,3,0,0,6,0,27,0,5,0,0,0,0,19,0,0,0,9,26,0,0,1,1,0,0,0,4,3,2,0,0,0,0,1,0,1,0,35,0,0,0,0,3,0,2,4,0,0,4,0,0,0,1,0,18,3,10,69,0,4,1,58,4,0,0,0,9
3120.7,0,272,330.5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,2,0,14,1,4,0,1,1,4,3,0,1,0,3,0,5,0,0,4,0,0,0,0,0,1,0,0,14,0,20,0,7,0,1,0,0,14,0,0,0,12,41,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,54,0,2,0,0,2,0,0,11,1,2,16,1,0,0,4,2,9,1,8,51,0,0,1,43,4,0,0,0,16
3219.8,0,102,335.5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,29,0,8,2,0,0,5,3,0,0,3,0,0,5,0,0,7,0,0,0,0,0,2,1,0,10,0,32,0,14,0,0,0,0,32,0,0,0,8,29,0,0,0,2,0,1,0,3,3,0,0,0,0,0,1,0,0,2,40,1,0,1,0,3,0,0,10,0,0,11,0,0,1,2,0,26,4,4,90,0,0,0,56,15,0,0,2,13
3319,0,130,340.5,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,14,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,10,0,23,0,4,0,0,0,0,19,0,0,0,6,32,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,41,0,1,0,0,2,0,0,3,0,1,7,0,0,1,0,0,14,1,7,51,0,0,0,52,9,0,0,0,13
3536.5,0,581,349.5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,6,32,1,4,0,1,0,2,3,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0,12,0,46,1,1,1,0,1,1,21,0,0,0,11,44,0,0,0,0,0,0,0,2,4,0,1,0,0,0,3,0,6,2,34,0,0,0,0,1,0,3,6,0,0,6,0,0,0,3,0,14,4,10,85,0,1,1,69,12,2,0,0,10
3877.6,0,75,360.5,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,1,0,1,0,4,0,25,0,5,0,4,0,1,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,7,0,34,0,7,0,0,0,0,20,0,0,0,16,47,0,0,0,1,0,4,0,1,2,0,0,1,0,0,0,0,0,0,54,0,0,1,0,7,0,1,2,0,0,13,0,0,0,1,0,11,1,8,69,0,0,3,51,9,0,0,0,15
4032.7,0,123,365.5,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,2,0,1,0,2,0,33,0,3,1,0,0,4,1,0,0,0,0,0,6,0,0,2,0,0,0,0,0,3,0,0,3,0,27,0,8,1,0,0,0,27,0,0,0,5,40,0,0,0,1,0,5,0,2,1,0,0,0,0,0,0,0,0,0,34,0,0,0,0,7,1,1,5,0,0,6,0,0,0,2,1,23,3,9,58,0,1,1,60,6,0,0,0,13
4187.7,0,345,370.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,20,0,1,0,0,0,4,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,10,1,22,0,3,0,0,0,0,9,0,0,0,9,39,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,29,1,0,0,0,3,0,0,4,0,1,12,0,0,0,4,0,12,2,5,65,0,1,0,56,3,0,0,0,11
4342.8,0,149,375.5,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,11,0,3,0,0,0,3,0,0,5,5,1,0,2,0,0,4,0,0,0,0,0,2,0,0,6,0,14,0,5,0,0,1,0,22,0,0,0,6,40,0,0,0,0,0,1,0,4,0,0,0,0,0,0,3,1,0,0,21,0,0,0,0,5,0,0,11,1,0,2,0,0,0,2,0,14,1,5,62,0,1,0,39,6,0,0,0,15
4497.8,0,117,380.5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,11,0,4,0,4,0,2,0,0,1,2,2,0,3,0,0,0,0,0,0,0,1,1,0,0,6,1,14,0,6,0,0,0,0,17,0,1,0,19,42,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,41,0,0,1,0,6,0,0,6,0,0,4,0,0,1,1,0,7,3,7,73,0,1,2,47,8,0,0,0,14
4652.9,0,185,385.5,0,3,0,0,0,0,1,0,0,0,2,0,0,0,1,14,0,0,0,2,0,21,0,4,0,0,0,0,4,0,3,3,1,0,2,0,0,0,0,0,0,0,1,1,0,0,10,0,8,0,10,0,0,0,1,26,0,1,0,5,28,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,29,1,0,0,0,5,0,1,2,0,0,4,0,0,0,0,0,6,2,5,43,0,0,0,43,3,0,0,0,14
4807.9,0,164,390.5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,27,0,0,0,1,0,22,0,5,0,1,1,2,0,0,0,1,3,0,1,0,0,4,0,0,0,0,0,0,1,0,3,0,23,0,17,0,0,0,0,14,0,0,0,17,35,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,16,1,0,0,0,1,0,1,3,0,0,5,0,0,0,2,0,7,1,4,67,0,0,0,44,24,1,2,0,10
4963,0,73,395.5,1,1,0,0,0,0,1,0,0,1,2,0,0,0,1,57,0,1,0,0,0,19,0,0,0,0,0,4,2,1,0,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,4,0,26,0,6,1,0,0,0,12,0,1,0,7,68,0,0,0,0,0,2,0,5,1,0,0,0,1,0,1,0,0,0,20,0,0,0,0,8,0,0,2,0,0,2,0,0,0,2,0,8,2,2,95,0,0,4,51,5,0,2,0,15
5118,0,685,400.5,0,0,2,0,1,0,3,0,0,2,2,0,0,0,1,62,0,0,0,3,0,25,0,0,0,1,0,2,0,0,1,1,1,0,2,0,0,1,0,0,0,1,1,0,0,0,14,1,16,1,10,0,0,1,0,20,0,1,1,8,44,0,1,0,0,1,2,0,2,7,1,0,0,0,0,4,0,8,1,36,0,0,0,3,3,0,0,2,0,0,19,0,0,0,2,0,14,1,7,66,0,2,0,50,24,0,0,0,18
5273.1,1,60,405.5,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,22,0,1,0,2,0,22,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,1,17,0,4,0,0,2,0,21,0,1,0,9,73,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,31,0,0,0,0,3,0,0,3,0,2,0,0,0,0,2,0,9,0,5,82,0,1,0,46,8,0,0,0,8
5428.1,0,90,410.5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,19,0,3,0,2,0,0,0,0,2,0,2,0,9,0,0,0,0,0,0,0,0,1,0,0,9,0,16,0,8,0,0,0,0,32,0,0,1,13,32,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,3,0,0,3,0,0,4,0,0,0,3,2,11,1,3,74,0,0,0,37,7,0,0,0,13
5738.2,0,96,420.5,2,0,0,2,0,0,1,0,0,0,0,0,0,0,3,31,0,0,0,2,0,13,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,2,0,6,0,12,0,7,0,0,0,0,11,0,0,0,14,33,0,0,0,1,0,0,0,3,0,0,0,0,0,1,1,0,0,0,30,2,0,1,0,9,0,1,4,0,0,3,0,0,0,3,2,5,0,5,95,0,0,1,49,10,0,0,0,10
6048.3,0,82,430.5,0,0,4,0,0,0,1,0,0,0,1,0,0,1,2,13,0,0,0,2,0,9,0,4,0,1,0,3,0,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,5,0,20,0,9,0,0,0,0,16,1,0,0,11,43,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,0,5,0,0,6,0,0,1,1,0,11,0,11,68,0,0,1,54,8,1,0,0,13
6358.4,0,46,440.5,0,1,2,0,0,0,0,0,,3,2,0,0,1,1,15,1,0,0,0,0,10,0,3,0,2,1,4,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,6,0,9,0,0,0,0,0,0,12,1,0,0,12,31,0,0,0,0,0,0,0,3,1,0,1,0,0,1,4,0,0,0,19,0,0,1,0,1,0,0,2,0,0,9,0,0,0,3,1,5,1,4,106,0,1,1,39,5,0,4,0,12
