"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Crataegus-type","Nymphaea","Olea","Centaurea cyanus-type","Myriophyllum spicatum/M. verticillatum","Ostrya/Carpinus orientalis","Unknown","Sphagnum","Salix","Galium-type","Matricaria-type","Artemisia","Juniperus","Abies","Brassica-type","Quercus cerris-type","Amaranthaceae","Fabaceae","Apiaceae","Poaceae (Cerealia-type)","Polygonum aviculare-type","Butomus umbellatus","Asteroideae","Ranunculus repens-type","Centaurea solstitialis-type","Sparganium-type","Plantago lanceolata-type","Poaceae","Dryopteris-type","Cyperaceae","Cedrus","Cichorioideae","Pinus","Ephedra distachya-type","Ephedra fragilis-type","Liliaceae","Cirsium/Gundelia","Dipsacus-type","Ophioglossum","Vicia-type","Caltha","Ulmus","Alisma","Ranunculus asiaticus-type","Cheilanthes","Ranunculus sect. Batrachium-type","Pteridium","Juglans","Thymus/Mentha","Typha latifolia","Alnus","Convolvulus","Fraxinus ornus","Corylus","Malva","Linum","Senecio-type","Iris","Quercus coccifera-type","Ranunculus sceleratus-type","Betula","Helianthemum","Carpinus betulus","Cousinia","Hypericum perforatum-type","Botrychium","Isoëtes","Thalictrum","Prosopis","Rumex acetosa-type","Echinops","Filipendula","Centaurea scabiosa-type","Scabiosa columbaria-type","Acer","Sanguisorba-type","Noaea-type","Symphytum-type","Fagopyrum","Geranium","Vitis","Fraxinus excelsior","Myricaria germanica","Turgenia-type","Arceuthobium oxycedri","Malabaila","Castanea","Ericaceae","Phillyrea","Lysimachia","Mercurialis annua","Thelypteris palustris","Teucrium","Bunium-type","Sambucus","Capsella-type","Euphorbia","Potentilla-type","Persicaria maculosa-type","Ferula-type","Carthamus","Aesculus","Tilia","Trifolium-type","Knautia","Scrophularia/Verbascum","Polypodium","Acanthus","Nigella","Bryonia","Lycopodium clavatum","Carya","Anisosciadium-type","Lomelosia rotata-type","Lycopodium","Sisyrinchium","Campanula-type","Lotus-type","Rhus","Ranunculaceae","Rhinanthus-type","Spergularia-type","Viburnum-type","Datisca cannabina","Filago-type","Fagus","Hippophaë","Solanum dulcamara","Halothamnus-type","Lythrum","Epilobium","Pistacia","Eryngium-type","Styrax","Urtica pilulifera-type","Chardinia/Onopordum","Delphinium-type","Prunus-type","Nuphar","Persicaria amphibia","Anemone","Frankenia hirsuta-type","Nerium","Phlomis","Humulus/Cannabis","Menyanthes trifoliata","Fumaria","Echium-type","Equisetum"
2161,2367,1953,170,19,NA,1,1,NA,NA,1,NA,NA,1,8,33,73,24,7,4,19,19,1,3,6,24,NA,39,5,15,143,8,22,151,224,47,97,299,NA,NA,NA,9,NA,NA,NA,NA,1,5,NA,NA,NA,3,NA,1,1,1,1,8,NA,1,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,3,NA,NA,NA,1,3,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2288,2479,2098,180,8,NA,1,NA,NA,NA,NA,NA,NA,2,8,6,52,1,2,NA,6,32,NA,7,1,26,2,117,NA,20,217,14,26,222,218,37,67,278,NA,3,NA,1,NA,NA,NA,1,NA,8,NA,NA,3,NA,3,3,3,3,NA,23,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2415,2591,2243,190,9,NA,1,3,NA,NA,5,3,1,2,5,28,89,17,4,3,94,20,4,23,14,30,NA,17,6,36,864,17,45,340,656,40,80,72,1,1,NA,7,NA,NA,NA,12,1,1,NA,NA,8,2,4,7,7,4,NA,34,4,1,NA,NA,NA,25,NA,1,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,1,NA,1,3,NA,NA,NA,NA,2,NA,NA,1,NA,2,NA,NA,NA,1,1,1,2,2,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2542,2703,2386,200,3,NA,3,3,NA,NA,3,NA,NA,1,3,7,31,4,2,NA,34,12,NA,7,6,10,1,9,NA,5,335,18,89,44,353,19,22,96,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,1,NA,7,5,15,4,2,77,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2669,2815,2527,210,10,NA,NA,3,3,NA,NA,1,NA,4,5,51,209,15,1,1,29,14,5,12,14,45,NA,30,3,25,100,26,17,66,32,19,33,67,NA,2,NA,7,NA,NA,NA,NA,NA,1,NA,2,3,1,NA,1,1,NA,NA,41,2,1,NA,2,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,3,NA,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2796,2929,2668,220,11,NA,NA,NA,NA,NA,2,NA,NA,8,21,18,107,9,3,NA,38,30,NA,6,16,23,NA,57,NA,24,298,74,43,45,99,33,30,260,NA,1,NA,4,NA,NA,NA,2,1,NA,NA,1,1,NA,2,1,8,NA,NA,108,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2923,3042,2806,230,14,NA,NA,5,1,NA,1,2,NA,56,19,41,76,78,8,4,36,30,5,17,21,19,NA,20,3,11,101,35,47,46,104,44,90,406,3,1,NA,6,NA,NA,1,1,1,NA,NA,2,1,1,3,7,17,NA,NA,105,NA,1,NA,2,1,12,NA,1,NA,NA,1,NA,1,2,6,NA,NA,NA,NA,1,NA,NA,2,NA,1,NA,1,2,1,NA,NA,2,1,2,1,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3050,3157,2942,240,14,NA,NA,3,2,NA,3,4,NA,22,18,12,56,5,3,NA,62,28,NA,12,16,6,NA,61,NA,13,159,72,66,33,70,23,58,338,NA,2,NA,1,NA,NA,1,1,1,NA,NA,1,1,NA,4,2,20,NA,NA,169,1,1,NA,NA,NA,NA,NA,5,NA,NA,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,1,1,NA,NA,NA,2,1,6,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3177,3274,3078,250,14,NA,NA,3,1,1,3,1,NA,6,18,36,71,11,10,NA,19,22,3,16,22,23,NA,25,2,18,210,27,36,58,15,64,41,298,1,NA,NA,8,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,2,15,1,NA,69,2,NA,NA,4,NA,8,NA,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3304,3392,3210,260,7,NA,NA,1,1,1,NA,NA,NA,4,16,7,72,NA,5,NA,42,21,NA,12,7,6,NA,17,NA,5,628,20,31,8,84,12,9,100,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,29,4,NA,74,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3568,3650,3474,280,1,NA,NA,3,1,2,1,3,NA,2,9,5,27,NA,12,1,21,8,NA,15,9,13,2,16,NA,6,112,NA,50,8,235,48,6,304,2,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,6,NA,1,NA,13,1,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,1,NA,NA,NA,NA,NA,NA,6,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3642,3723,3550,285,10,NA,2,2,1,3,2,3,NA,143,10,34,49,3,1,5,38,17,9,49,13,30,1,17,9,39,68,18,76,44,501,64,53,194,1,NA,NA,4,NA,NA,NA,1,NA,1,NA,3,14,1,3,2,7,1,NA,37,NA,NA,NA,3,NA,6,NA,1,NA,NA,NA,NA,1,NA,3,NA,3,NA,NA,NA,NA,1,6,1,1,NA,1,1,NA,NA,NA,NA,NA,5,1,NA,4,NA,NA,NA,1,2,4,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3716,3796,3626,290,6,NA,NA,1,NA,1,1,2,NA,284,9,10,44,7,3,NA,16,14,3,104,4,55,2,9,NA,18,79,7,72,83,569,82,34,184,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,5,2,1,1,2,1,NA,23,NA,NA,NA,3,NA,7,NA,NA,NA,1,1,NA,1,NA,2,NA,1,NA,NA,3,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA
3790,3869,3701,295,5,NA,NA,2,NA,1,NA,3,NA,133,7,35,29,2,2,6,17,16,30,62,8,27,3,31,2,44,37,22,66,27,683,78,55,247,NA,NA,NA,5,2,NA,NA,NA,1,2,NA,1,9,NA,1,10,2,NA,NA,18,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,5,NA,NA,NA,1,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,1,NA,NA,1,2,NA,NA,NA,NA
3863,3944,3776,300,3,NA,NA,1,NA,1,NA,NA,NA,3,3,3,5,NA,8,NA,3,11,NA,4,4,15,NA,30,NA,37,23,NA,12,26,450,120,105,569,2,NA,NA,3,1,NA,NA,NA,1,4,NA,NA,NA,1,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
4159,4242,4072,320,2,NA,NA,1,NA,NA,NA,NA,NA,1,2,11,3,NA,11,NA,2,14,NA,4,1,47,NA,206,NA,145,5,NA,2,41,65,94,47,587,1,2,NA,3,8,6,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4454,4543,4363,340,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,5,NA,NA,2,NA,1,1,6,NA,18,NA,28,1,NA,NA,25,5,41,5,154,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
