"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Rhamnaceae","Vitis","Brassicaceae","Typha angustifolia","Caryophyllaceae undiff.","Myriophyllum undiff.","Solidago-type","cf. Euphorbia","Indeterminable (crumpled)","Potamogeton","Galium-type","Fraxinus ornus","Indeterminable (broken)","Unknown (trilete)","Abies","Salix","Ulmus","Acer","Juglans","Amaranthaceae","Apiaceae undiff.","Cupressaceae-type","Fraxinus excelsior-type","Unknown undiff.","Betula","Pinus undiff.","Rumex","Carpinus betulus","Phillyrea","Olea","Unknown (monolete)","Corylus","Artemisia","Plantago","Castanea","Cyperaceae undiff.","Fagus","Ostrya","Alnus","Poaceae undiff.","Quercus undiff.","Potentilla-type","Rosaceae undiff.","Cedrus","Digitalis-type","Pteridium","Ericaceae","Typha latifolia","Hedera","Poaceae (Cerealia-type)","Humulus/Cannabis","Tilia","Ranunculus","Scilla-type","Achillea/Anthemis-type","Fabaceae undiff.","Asphodelus-type","Nymphaea","Centaurea solstitialis-type","Urtica-type","Pistacia","Quercus ilex","Cirsium","cf. Platanus","Poterium sanguisorba","Angiospermae undiff. (herbs)","Spermatophyta undiff. (trees/shrubs)","Polypodiophyta undiff.","Cladium","Asteraceae undiff.","Populus","Saxifragaceae","Ephedra fragilis-type","Menyanthes","Taxus","Thalictrum","Sambucus","Buxus","Filipendula","Viscum","Lonicera","Nuphar","Mentha-type","Cornaceae","Oxyria-type","Ilex","Hippophaë","cf. Centaurium","Primulaceae undiff.","Bryophyta undiff.","Boraginaceae undiff.","Ephedra distachya","Echium-type","Viburnum","Helianthemum","Centaurea cf. C. cyanus/montana-type","Serratula-type","Armeria","Allium-type","Bistorta officinalis-type","Equisetum","Indeterminable (degraded)","Clusiaceae/Hypericaceae cf. Hypericum","Picea","Campanulaceae","Resedaceae","Malvaceae undiff.","Geranium","cf. Alchemilla","Papaveraceae","Indeterminable (concealed)","Helleborus foetidus","Valeriana","Dipsacoideae","Thymelaeaceae cf. Daphne","Epilobium","cf. Androsace","Larix","Polypodium","Euonymus europaeus","Persicaria amphibia","Calligonum-type","Dryopteris","Ceratophyllum","cf. Frangula/Bruckenthalia","Pedicularis","Pinus subg. Strobus","Lemnoideae","Celtis","Sanguisorba officinalis","Fritillaria-type","Centaurea scabiosa","Scrophulariaceae","Sorbus","Liliaceae","Consolida ambigua-type","Helleborus viridis","Prunus spinosa","Sphagnum","Linum","Anagallis tenella","Anagallis arvensis","Scutellaria-type","Fumana","Pterocarya","Anemone nemorosa-type","Marrubium-type","Agrostemma githago","cf. Chrysosplenium","cf. Samolus valerandi","Fraxinus undiff.","Myriophyllum spicatum-type","Veronica-type","cf. Mercurialis","Myriophyllum verticillatum","Vicia","Trifolium-type","Lithospermum","Viola palustris-type","Tamarix","Bupleurum-type","cf. Epilobium","Myriophyllum alterniflorum","Persicaria maculosa-type","cf. Sedum","cf. Callitriche","Lotus","cf. Mentha","cf. Myrica","cf. Trichomanes","Ononis","cf. Elatine","cf. Circaea","cf. Larix","cf. Sambucus","cf. Daphne","Persicaria undiff.","cf. Onobrychis-type","cf. Helianthemum","Rosaceae cf. Geum","cf. Rutaceae"
46964,NA,NA,3222.2,"2","","","5","4","12","1","1","","","","6","","","","3","","2","","","7","6","3","","","2","28","1","3","","","","","34","","","5","10","","4","144","33","","1","","","","","","","13","","","","1","5","","","","2","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
47244,NA,NA,3231.7,"","","","2","2","11","","2","","","","5","","","","1","1","2","","","8","7","3","2","4","9","26","2","1","","","","","35","2","","8","14","1","11","145","35","","","","","","","1","","9","","","","","6","","","","","","","","2","","","","","","","","","","","","","2","","","3","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
47520,NA,NA,3242.5,"3","","","3","3","7","","1","","","","1","","","","19","3","6","","","7","1","3","","","7","44","2","4","","","","","22","","","3","12","","","50","39","","","","","","1","","","2","","","1","","1","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
47744,NA,NA,3256.5,"2","","","2","2","7","","1","","","","3","","","","42","","3","2","","4","7","3","","2","14","60","2","6","","","","1","34","","","6","9","","4","100","54","","","","","","","","","6","","","","","2","","","","","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
48010,NA,NA,3262.5,"1","","","4","2","10","","1","","","1","","","","","32","","3","1","","7","6","3","1","1","4","47","1","6","","","","1","28","1","","9","2","","2","102","35","","","","","","","","","9","","","","","4","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
48273,NA,NA,3276,"","","","6","2","5","","2","","","","2","","","","39","1","1","1","","7","5","1","1","","","45","1","2","","","","6","19","","","5","11","","","77","42","","","","","","","","","2","","1","","","1","","","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
48567,NA,NA,3276.5,"","","","8","2","13","2","2","","","","","","","","42","2","4","","","4","8","1","1","","16","53","1","2","","","","2","18","","","4","18","","8","81","53","1","","","","","1","","","7","","","1","1","3","","","","","","","","","","","","","","","","","","2","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
48833,NA,NA,3282,"","","","","1","12","3","1","","","","9","","","","35","","9","1","","8","5","3","3","2","28","29","2","1","","","","3","27","2","","6","18","3","4","103","47","","","","","","1","","","4","","1","2","","1","1","","","","","","","1","","","","","","","","","","1","","","1","","","1","","","","1","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
49094,NA,NA,3290.5,"","","","","1","9","","2","","","","2","","","","3","","","","","","1","1","","","4","19","","","","","1","","4","1","","3","8","","3","47","14","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
49108,NA,NA,3291,"1","","","4","2","2","1","","","","","3","","","","39","4","6","","","5","3","1","2","","15","20","","2","","","","3","27","2","","","12","","3","63","58","","","","","","","","","3","","","2","","2","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
49318,NA,NA,3300,"","","","1","1","12","","","","","","1","","","","42","1","2","1","","11","4","5","4","1","22","50","2","11","","","","3","20","1","","7","9","","2","85","85","1","","","","","","","","13","","3","","","2","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","1","1","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
49555,NA,NA,3309.5,"4","","","4","2","16","1","1","","","","4","","","","60","1","7","4","","2","3","","3","","13","44","4","5","","","","2","27","2","","4","21","","5","86","60","","","","","","","","","4","","","1","","1","","","","","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
49695,NA,NA,3318.5,"","","","2","2","4","","3","","","","4","","","","29","","10","3","","6","5","3","9","1","8","46","1","6","","","","4","22","1","","4","9","","4","59","55","","","","","","1","","","5","","1","","1","","","","","","","1","","1","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
49972,NA,NA,3328.5,"","","","2","","7","1","1","","","","5","","","","41","2","8","5","","5","6","3","5","","23","52","3","13","","","","1","16","","","10","14","1","1","75","75","","","","","","","","","5","","2","1","1","2","","","","","","","","","","","","","","","","","","1","","","1","","1","1","","","","","","","","1","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
50224,NA,NA,3337,"","","","1","7","9","1","","","","","4","","","","10","2","7","4","","11","3","1","7","","28","53","","6","","","","4","23","3","","4","25","","4","60","70","","","","","","","","","5","","5","","1","1","","","","1","","1","","1","","","","","","","","","","1","","","1","","1","","","","","","","","","1","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
50614,NA,NA,3343.5,"1","","","1","6","8","","1","","","","4","","","","40","2","9","4","","1","2","4","8","","20","28","4","8","","","","5","20","1","","1","20","","2","62","99","","","","","1","1","","","4","","4","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
50887,NA,NA,3353.5,"","","","1","6","3","","1","","","1","6","","","","25","1","11","4","","6","3","","7","1","23","38","","10","","","","3","13","","","2","14","","1","63","71","","","","","","","","","6","","6","1","","1","","","","","","","","1","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
51027,NA,NA,3358.5,"1","","","5","22","4","2","","","","","7","","","","15","2","10","3","","5","3","3","1","","43","35","1","10","","","","5","14","2","","3","34","1","1","62","92","","","","","","1","","","8","","3","","","1","","","","","","","4","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
51083,NA,NA,3360.5,"1","","","1","4","4","","1","","","1","1","","","","9","2","3","","","4","3","2","","","12","9","1","1","","","1","1","3","","","","8","","4","31","38","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
51167,NA,NA,3363.5,"2","","","2","10","3","","1","","","","4","","","","26","1","9","10","","5","11","","4","","11","37","2","4","","","","","11","1","","6","19","","6","69","100","","2","","","","","","","2","","3","1","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
51448,NA,NA,3373,"1","","","","3","9","","1","","","","4","4","","","8","4","14","2","","1","7","1","10","5","25","26","1","10","","","","9","12","1","","8","20","3","1","80","77","","","","","","","","","5","","12","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
51727,NA,NA,3383,"","","","3","9","1","","","","","1","5","","","","11","2","13","5","","4","6","1","9","","45","26","","5","","","","3","13","","","5","17","","3","49","90","","","","","","2","","","3","","8","1","","1","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
51959,NA,NA,3393,"","","","","11","3","1","1","","","1","2","","","","5","2","18","6","","7","3","1","4","2","27","20","1","4","","","","7","18","2","","4","27","1","3","55","96","","","","","","","","","4","","5","","","2","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
52239,NA,NA,3401.5,"","","","","11","1","","","","","3","5","","","","13","","14","7","","2","4","6","4","1","30","43","","24","","","","7","17","1","","10","43","","5","62","102","","","","","","","","","2","","3","1","","3","","","","","","","","","","","","","","","","","","1","","","2","","","","","","","","","","","","","","","1","","","2","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
52379,NA,NA,3406.5,"","","","2","19","9","","1","","","","4","2","","","1","3","16","6","","8","4","1","10","","34","36","2","18","","","","6","13","1","","4","32","","2","101","65","","","","1","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","2","","1","1","","","2","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
52519,NA,NA,3409.5,"1","","","1","25","10","","","","","2","3","","","","5","2","12","4","","7","7","2","9","1","52","31","2","16","","","","3","31","1","","6","37","","2","100","87","","2","","","","","","","6","","1","","1","","","1","","","","","1","1","","","","","","","","","","5","","","1","","1","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
52659,NA,NA,3415,"2","","","2","10","10","","3","","","1","1","1","","","4","","7","3","","4","4","3","1","2","35","20","1","8","","","","2","13","","","2","11","","2","86","75","","","","2","","1","","1","5","","1","","","3","","","","","","","","","","1","","","","","","","","2","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
52799,NA,NA,3420,"1","","","","13","8","","2","","","","3","","","","2","1","8","7","","8","3","4","5","3","21","35","","5","","","","8","16","","","8","13","","4","71","57","1","","","","","","","","5","","4","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
53080,NA,NA,3430.5,"1","","","3","18","4","","1","","","","5","3","","","3","1","5","3","","4","3","4","3","","7","19","2","7","","","","5","21","","","2","16","","2","80","46","","","","","","","","","2","","","","","1","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","","","","","","","","","","","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
53360,NA,NA,3440,"3","","","","15","3","","1","","","1","4","","","","2","1","10","4","","1","8","3","3","","30","55","1","1","","","","5","24","3","","4","24","","2","82","51","","","","","","","","","2","","1","","","","","","","1","","","","1","","","","","","","","","","1","","","1","","4","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
53528,NA,NA,3446,"","","","3","21","3","","1","","","1","3","","","","1","3","4","5","","10","10","8","1","2","30","32","3","2","","","","6","10","2","","8","14","","2","91","60","","","","","","","","","5","","1","1","","","","","","","","","","","","","","","","","","","","3","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","1","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
53658,NA,NA,3450,"3","","","4","11","5","3","2","","","3","2","1","","","","","2","4","","1","11","6","","1","19","42","","","","","","2","15","","","8","12","","","95","53","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
53731,NA,NA,3454,"1","","","1","4","5","1","1","","","4","7","1","","","3","4","7","4","","3","3","6","3","","36","33","1","","","","","3","15","","","9","11","","3","83","41","","","","","","","","1","6","","","","","1","","","","","","","","1","","","","","","","","1","","1","","","","","","1","","","","","","","","1","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
53843,NA,NA,3457.5,"3","","","2","","9","4","","","","2","9","1","","","2","3","2","2","","10","3","6","","1","8","50","3","1","","","","1","29","","","3","7","","5","113","37","","","","","","","","","10","","","","","","","","","1","","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
54061,NA,NA,3466.5,"5","","","1","","27","","1","","","3","7","","","","","2","1","","","8","8","7","","3","7","45","3","1","","","","1","26","","","13","3","","1","106","31","","","","","","","","","10","","1","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","1","","","","","","","","","","","","","","1","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
54391,NA,NA,3483.5,"1","","","","","14","","","","","1","6","","","","3","1","1","","","9","4","11","","","13","50","1","","","","","","35","","","10","3","","2","133","25","","","","","","","","","5","","","","","2","","","","","","","","1","","","","","","","","","","1","","","2","","","2","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
54835,NA,NA,3503,"","","","1","","12","","","","","1","3","1","","","1","","","","","18","5","10","","","2","17","1","","","","","","49","3","","11","2","","1","177","4","1","","","","","","","","3","","","","2","3","","","","1","","","","","","","","","","","","","","1","","","1","","","1","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
55364,NA,NA,3511.5,"","","","3","","9","","","","","","8","","","","3","1","3","3","","22","4","5","","3","5","35","4","","","","","1","34","","","4","6","","5","135","27","","","","","","","","","4","","","1","","3","","","","1","","","","1","","","","","","","","","","3","","","2","","","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
55864,NA,NA,3548,"","","","3","","14","","","","","","12","","","","1","1","","1","","30","11","8","1","3","5","24","2","1","","","","","74","2","","9","5","","1","180","28","","","","","","","","","7","","","","","7","","","","","","","","","","","","","","","","","","","","","6","","","","","","","1","","","","2","","","","","3","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
56296,NA,NA,3567.5,"","","","5","","13","","","","","3","5","","","","5","1","","","","7","8","14","","2","17","40","2","","","","","","25","2","","9","12","","2","124","41","","","","","","","","","15","","","","","1","1","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
56997,NA,NA,3586,"","","","4","","16","","","","","","9","","","","","2","","","","27","3","5","","1","3","30","3","","","","","","77","","","5","","","2","134","10","","","","","","","","","30","","","","","3","","","","","","","","","","","","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
57230,NA,NA,3596,"2","","","3","","10","","1","","","1","11","","","","3","3","1","","","23","9","","","4","3","23","1","","","","","","80","2","","4","2","","1","155","12","","","","","","","","","6","","","","","4","","","","","","","","","","","","","","","","","","1","","","3","","","1","","","","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","6","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
57358,NA,NA,3606.5,"","","","3","2","9","","","","","","11","","","","2","1","1","","","23","5","1","1","1","7","45","6","","","","","1","48","2","","8","3","","","163","21","","","","1","","","","","9","","","","1","6","","","","1","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
57762,NA,NA,3639.5,"1","","","7","1","21","","","","","","3","","","","14","","3","","","8","6","6","","","3","61","2","2","","","","4","36","","","8","23","","2","135","52","","","","","","","","","15","","","4","","6","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
58005,NA,NA,3659,"4","","","","1","4","","","","","3","6","1","","","8","2","5","","","4","6","10","1","4","18","40","","","","","","2","44","","","7","29","","2","99","68","","1","","1","","","","","4","","1","","","1","1","","","2","","","","","","","","","","","","","","2","","","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
58341,NA,NA,3677.5,"","","","","1","9","","3","","","","2","1","","","6","","1","2","","8","1","8","","","13","35","4","1","","","","5","17","2","","","15","","1","95","52","","","","","","","","","11","","","1","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
58629,NA,NA,3698.5,"","","","4","","9","","","","","","7","","","","4","3","3","1","","9","4","10","1","1","18","32","2","1","","","","2","28","2","","12","21","","2","107","55","","","","","","","1","","15","","","","","2","","","","2","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
58806,NA,NA,3718.5,"1","","","","","4","","4","","","","5","","","","8","","4","2","","4","5","8","2","1","12","49","","","","","","6","24","4","","2","43","","2","96","57","","","","","","","","","4","","","","","2","","","","","","","","","","","","","","","","","","3","","","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
59165,NA,NA,3748,"1","","","6","","7","","","","","1","11","1","","","2","","2","","","8","8","4","3","","20","31","3","","","","","2","24","3","","5","6","","2","127","55","","","","","","","","","10","","","","","2","","","","","","","","1","","","","","","","","","","3","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
59478,NA,NA,3769.5,"3","","","6","3","9","","","","","2","8","","","","1","1","","2","","6","5","10","5","1","10","47","1","","","","","","33","1","","5","12","","4","154","55","1","","","","","","","","11","","","1","","2","","","","","","","","1","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
59791,NA,NA,3792,"2","","","1","1","3","","","","","","4","","","","","","1","","","9","5","14","8","","9","41","1","","","","","4","28","2","","2","14","","4","134","35","1","","","","","","","","16","","","1","","1","","","","","","","","1","","","","","","","","3","","2","","","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
60055,NA,NA,3803.5,"1","","","","2","3","","","","","5","6","","","","","2","3","","","9","2","14","","","4","18","1","","","","","1","40","","","4","8","","3","122","20","","","","","","","","","1","","","","","3","","","","","","","","","","","","","","","","","","3","","","3","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
60056,NA,NA,3821.5,"1","","","1","1","19","","","","","","5","1","","","1","1","2","","","6","1","11","2","","5","29","1","1","","","","1","33","1","","3","10","","3","145","43","","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","1","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
