"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Caryophyllaceae","Ephedra fragilis","Ostrya","Asteraceae (echinate)","Daphne gnidium","Pistacia","Polygonum","Cyperaceae","Cedrus atlantica","Fraxinus","Amaranthaceae","Apiaceae","Olea","Cupressus","Quercus ilex/Q. coccifera","Quercus canariensis/Q. pyrenaica","Poaceae","Rumex","Brassicaceae","Helianthemum","Cistus","Cichorioideae","Erica","Plantago","Salix","Lamiaceae","Asphodelus","Scabiosa","Rhamnus","Centaurea","Betula"
969,NA,NA,155,NA,4,NA,NA,2,1,NA,NA,NA,1,NA,9,26,1,5,22,49,62,28,6,1,NA,1,NA,17,NA,1,NA,1,NA,NA,NA
1010,NA,NA,165,3,6,NA,NA,4,NA,NA,3,NA,2,4,6,12,NA,17,34,36,39,30,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1050,NA,NA,175,NA,NA,NA,NA,3,NA,NA,NA,NA,3,1,6,27,NA,NA,38,91,70,47,4,1,NA,1,2,11,NA,NA,NA,NA,NA,NA,NA
1088,NA,NA,185,5,3,NA,NA,1,NA,NA,NA,NA,3,5,5,5,NA,11,49,42,23,24,NA,NA,5,5,NA,8,5,NA,NA,NA,NA,NA,NA
1124,NA,NA,195,4,1,NA,NA,5,NA,NA,NA,NA,4,NA,4,75,7,13,43,93,76,22,7,NA,3,1,NA,14,NA,NA,NA,NA,NA,NA,NA
1159,NA,NA,205,4,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,10,17,8,115,89,88,9,NA,NA,9,7,NA,NA,NA,NA,2,NA,3,NA,NA
1193,NA,NA,215,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,7,1,18,2,4,28,44,49,25,1,NA,1,4,NA,29,NA,NA,NA,NA,NA,NA,NA
1225,NA,NA,225,3,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,9,4,4,67,52,18,4,NA,NA,NA,NA,NA,22,4,NA,NA,NA,NA,NA,NA
1257,NA,NA,235,3,NA,NA,3,NA,NA,NA,11,NA,2,8,1,25,NA,7,27,88,16,16,2,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,1,NA
1287,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,21,22,10,74,182,61,49,3,NA,NA,8,NA,81,8,NA,2,NA,NA,NA,NA
1316,NA,NA,255,8,NA,NA,NA,4,NA,NA,5,NA,4,7,1,33,NA,NA,29,92,29,34,3,NA,NA,2,NA,34,NA,NA,1,NA,NA,2,NA
1345,NA,NA,265,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,23,NA,24,67,112,99,22,2,NA,2,2,2,76,7,NA,NA,NA,NA,NA,NA
1373,NA,NA,275,2,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,16,NA,7,36,63,52,4,2,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA
1401,NA,NA,285,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,4,2,7,22,79,52,12,NA,NA,NA,1,NA,13,3,NA,NA,NA,NA,NA,NA
1429,NA,NA,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,14,2,NA,14,58,15,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1456,NA,NA,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,11,4,12,16,71,62,8,NA,NA,3,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
1483,NA,NA,315,2,NA,2,NA,2,NA,NA,NA,NA,4,NA,2,13,NA,4,7,45,33,5,NA,NA,NA,1,NA,13,NA,NA,NA,NA,NA,1,NA
1510,NA,NA,325,4,NA,NA,NA,NA,NA,NA,20,NA,1,NA,NA,10,NA,15,38,53,67,21,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
1537,NA,NA,335,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,36,NA,9,20,81,88,5,NA,NA,NA,NA,NA,28,NA,NA,2,NA,NA,1,NA
1565,NA,NA,345,NA,NA,NA,NA,NA,NA,NA,23,NA,1,NA,2,7,NA,27,34,49,151,48,NA,NA,4,NA,NA,36,1,NA,NA,NA,NA,NA,NA
1593,NA,NA,355,4,NA,NA,NA,NA,NA,NA,12,NA,1,NA,NA,48,NA,2,28,111,26,14,NA,NA,1,NA,NA,17,NA,NA,NA,NA,NA,NA,NA
1621,NA,NA,365,NA,NA,NA,NA,NA,NA,NA,7,NA,4,1,3,24,NA,21,28,35,80,35,NA,NA,NA,3,1,21,4,NA,NA,NA,NA,NA,NA
1680,NA,NA,385,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,2,18,3,9,17,17,68,55,NA,NA,NA,2,NA,51,3,NA,NA,NA,NA,NA,NA
1711,NA,NA,395,NA,NA,2,2,NA,NA,NA,9,NA,6,NA,2,37,NA,8,40,84,53,44,NA,NA,1,2,NA,13,NA,NA,1,NA,NA,NA,NA
1743,NA,NA,405,NA,NA,NA,NA,NA,NA,NA,19,NA,1,NA,5,36,9,10,73,53,78,51,NA,NA,NA,3,2,47,NA,NA,NA,NA,NA,NA,NA
1776,NA,NA,415,5,NA,NA,NA,NA,NA,NA,6,NA,17,NA,NA,10,NA,2,44,102,17,15,NA,3,1,NA,NA,12,NA,1,1,NA,NA,1,NA
1810,NA,NA,425,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,17,20,NA,NA,23,31,34,40,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA
1846,NA,NA,435,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,9,17,5,NA,35,85,20,15,NA,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
1883,NA,NA,445,2,1,NA,NA,2,NA,NA,9,NA,3,NA,14,22,5,10,122,79,81,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,NA,NA,455,2,4,NA,NA,4,NA,NA,6,NA,9,NA,8,26,5,8,56,91,53,14,NA,NA,NA,1,NA,25,NA,NA,NA,NA,NA,1,NA
1962,NA,NA,465,3,NA,NA,NA,5,NA,NA,4,NA,5,2,NA,15,7,NA,103,76,38,74,NA,NA,NA,2,2,20,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,475,3,NA,NA,NA,2,1,NA,5,NA,6,3,NA,21,3,NA,45,82,29,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
2049,NA,NA,485,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,8,1,7,18,24,28,17,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA
2096,NA,NA,495,2,NA,NA,NA,1,NA,NA,3,NA,6,NA,6,25,2,NA,29,58,29,11,NA,NA,NA,2,NA,10,NA,NA,NA,NA,NA,NA,NA
2145,NA,NA,505,NA,NA,NA,NA,1,NA,NA,3,NA,2,2,NA,20,2,27,86,60,29,40,NA,NA,NA,5,NA,9,NA,NA,NA,NA,NA,NA,NA
2196,NA,NA,515,NA,NA,NA,NA,2,NA,NA,2,NA,3,NA,1,9,1,NA,63,84,38,13,NA,NA,NA,2,NA,7,NA,NA,NA,NA,NA,NA,NA
2249,NA,NA,525,3,NA,NA,NA,NA,NA,NA,2,2,3,5,NA,18,3,21,87,47,54,58,NA,NA,2,2,1,16,NA,NA,NA,NA,NA,NA,1
2306,NA,NA,535,4,NA,NA,NA,NA,NA,NA,NA,NA,11,4,3,4,NA,NA,43,77,38,24,NA,NA,NA,NA,1,17,NA,NA,NA,NA,NA,NA,NA
2365,NA,NA,545,NA,NA,NA,NA,NA,NA,NA,6,NA,2,4,NA,3,1,16,48,33,37,8,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,1,NA
2427,NA,NA,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,5,2,NA,21,57,20,19,NA,NA,NA,NA,NA,14,NA,1,NA,NA,NA,1,NA
2492,NA,NA,565,1,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,6,NA,15,43,39,49,26,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2
2560,NA,NA,575,3,NA,1,NA,1,NA,NA,NA,NA,3,NA,1,21,NA,11,67,92,67,18,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
2631,NA,NA,585,NA,NA,NA,NA,2,NA,NA,8,NA,16,NA,NA,19,NA,29,108,73,143,51,1,NA,NA,2,NA,8,1,NA,NA,NA,NA,NA,NA
2706,NA,NA,595,NA,NA,NA,NA,2,NA,NA,NA,NA,6,1,NA,1,1,12,49,80,74,16,NA,1,NA,1,NA,26,NA,NA,NA,NA,NA,NA,2
2784,NA,NA,605,NA,4,NA,NA,5,NA,NA,42,NA,30,15,NA,35,2,24,152,194,118,92,NA,NA,NA,9,NA,9,NA,NA,3,NA,NA,NA,2
2866,NA,NA,615,NA,NA,NA,NA,NA,1,NA,NA,NA,14,NA,7,15,1,15,61,78,73,30,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,1
2951,NA,NA,625,NA,2,NA,NA,2,NA,NA,NA,NA,6,NA,NA,13,NA,12,32,47,42,33,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
3134,NA,NA,645,2,1,NA,NA,2,NA,NA,9,NA,3,NA,14,22,5,10,122,79,81,31,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA
3232,NA,NA,655,NA,NA,NA,NA,2,NA,NA,NA,NA,11,NA,1,11,NA,NA,76,83,48,30,NA,NA,NA,NA,1,21,NA,NA,NA,NA,NA,NA,NA
3333,NA,NA,665,NA,NA,5,NA,3,NA,NA,4,NA,21,NA,NA,4,NA,NA,62,108,103,22,NA,NA,NA,18,2,5,NA,NA,1,NA,NA,2,NA
3550,NA,NA,685,NA,8,4,NA,3,NA,NA,NA,NA,8,NA,NA,7,NA,1,42,65,57,18,NA,NA,NA,6,NA,10,NA,NA,2,NA,NA,1,NA
