sample_name,depth,Fabaceae undiff.,Gardenia imperialis,Clematis-type,Dialium guineense,Sapotaceae undiff.,Cyperaceae,Garcinia,Annona,Canthium-type,Tabernaemontana,Apiaceae undiff.,Prosopis/entada,Isoberlinia,Ceratopteris cornuta,Gaertnera paniculata-type,Syzygium,Hygrophila,Urticaceae undiff.,Borassus/hyphaene,Blighia sapida,Monoletes,Meliaceae undiff.,Acacia groupe III,Phyllanthus niruri,Polygala,Lannea-type,Triletes,Parkia biglobosa-type,Ziziphus,Sterculia-type,Typha,Commelina benghalensis-type,Naucleae,Aerva lanata-type,Pandanus candelabrum,Hibiscus-type,Pycnanthus,Bridelia micrantha,Dodonaea viscosa,Myrianthus serratus,Maytenus senegalensis,Polycarpaea,Talinum-type,Mitragyna inermis-type,Hypoestes-type,Unknown,Olea,Impatiens,Justicia-type,Ambrosia maritima-type,Macaranga,Lophira alata,Uapaca,Caperonia senegalensis,Grewia-type,Vernonia perrottetii,Phyllanthus maderaspatensis-tpe,Nymphaea lotus-type,Cola cordifolia-type,Micrococca mercurialis,Monocotyledonae undiff.,Polypodiaceae undiff.,Tetrorchidium,Klaineanthus gaboniae-type,Sauvagesia erecta,Dracaena,Irvingia,Polycarpon  prostratum,Phyllanthus,Guibourtia-type,Indeterminees,Polygonum senegalense-type,Adenium-type obesum,Calpocalyx aubrevillei,Avicennia,Crudia-type,Lamiaceae undiff.,Uncaria africana-type,Calpocalyx,Antidesma,Diospyros,Cassia-type,Ficus,Mimosaceae undiff.,Phoenix reclinata-type,Amaranthacee undiff.,Ascolepis,Brassicaceae undiff.,Mimosa pigra,Aizoaceae/Ficoidaceae,Anthocerothaceae undiff.,Centaurea perrottetii-type,Undeterminable,Poaceae undiff.,Commiphora africana,Tubuliflorae,Gnidia-type,Pausinystalia,Euphorbia,Lotus arabicus-type,Galium-type,Elaeis guineensis,Abutilon-type,Celtis integrifolia,Salix,Osmunda regalis,Balanites aegyptiaca-type,Rumex,Hymenocardia,Alchornea,Rubiaceae undiff.,Erica,Lycopodium,Hura,Apocynaceae undiff.,Artemisia,Detarium,Chrysobalanus/Parinari,Anthostema senegalense,Combretaceae undiff;,Spermacoce-type,Podocarpus,Acacia groupe I,Pinus,Allophylus africanus,Euphorbiaceae undiff.,Ephedra,Buxus,Rhizophora,Gardenia,Canthium  subcordatum,Lycopodium cernuum,Amanoa-type,Caesalpiniaceae undiff.,Moraceae undiff.,Vernoniae,Caryophyllaceae/Amaranthaceae,Lepidagathis,Daniellia,Spermacoce radiata-type,Caucanthus-type,Bombax costatum,Pteris-type,Mitracarpus villosus,Lygodium microphyllum,Tetracera alnifolia,Maerua-type,Tribulus terrestris,Liguliflorae
,110.0,0,0,0,0,2,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,1,3,0,0,12,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,1,0,14,51,0,1,0,0,3,0,0,2,0,0,0,1,0,0,0,14,0,0,1,0,0,1,0,0,1,5,0,0,0,1,0,0,13,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,120.0,1,0,0,0,1,72,0,0,1,0,0,0,0,0,0,1,0,0,0,0,15,0,1,0,0,0,0,1,0,0,3,0,0,12,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,114,0,2,0,0,0,0,5,119,0,2,0,0,0,1,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,1,3,0,0,4,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
,130.0,0,0,0,0,1,132,0,0,0,0,0,7,0,0,0,2,0,4,0,0,20,1,1,0,0,1,8,0,0,0,4,2,0,15,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,29,1,0,1,0,14,1,41,198,0,2,0,1,0,0,0,5,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,4,1,3,0,5,0,0,9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,2
,140.0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,4,0,0,0,0,17,0,1,0,0,0,1,0,0,0,3,0,0,9,0,0,0,0,0,0,1,2,0,1,0,6,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,0,1,0,0,4,0,10,91,0,3,0,1,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,3,0,0,1,8,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0
,150.0,0,0,0,0,1,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,1,0,1,4,0,0,0,4,0,0,6,0,0,2,0,0,1,0,1,0,1,0,1,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,1,111,0,45,233,0,7,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,38,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2,0,0,0,0,1
,160.0,0,0,0,0,5,109,0,0,0,0,1,0,0,0,0,3,0,0,0,0,45,1,0,0,1,0,4,0,0,0,11,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,0,0,0,0,9,1,34,224,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,11,0,0,14,0,28,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,1,1,2,1,1
,170.0,0,1,0,0,2,97,0,0,2,0,0,0,0,3,0,0,0,0,0,0,52,0,0,0,0,1,8,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,2,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,15,0,51,157,0,0,0,0,0,0,0,5,0,1,0,2,0,0,0,3,1,0,0,0,0,0,1,0,0,1,1,1,0,10,0,0,14,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0
,180.0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18,0,0,0,0,2,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,5,0,17,125,0,6,0,2,1,0,0,6,0,2,1,0,1,1,0,3,0,0,0,0,0,1,0,1,0,8,0,1,0,3,1,0,9,0,25,0,1,1,0,0,0,0,1,0,2,0,0,0,5,1,0,1,0,0,0
,190.0,0,0,0,0,3,55,0,0,0,5,0,0,0,1,0,0,0,0,0,0,39,0,0,0,0,0,6,0,0,0,3,0,0,6,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14,1,40,129,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,18,0,0,7,0,8,0,0,0,3,0,0,0,0,0,0,0,0,1,8,0,0,1,0,0,4
,200.0,0,0,0,0,1,74,0,0,2,0,0,0,0,0,0,4,1,0,1,1,40,0,0,0,0,4,5,0,0,0,1,0,0,10,0,0,0,0,0,0,1,1,0,1,0,6,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,17,1,0,0,0,3,1,6,111,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,9,1,0,0,2,0,2,3,0,14,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
