Depth (cm) (rounded),Depth (cm) [original],Acacia,Acanthaceae,Alchornea,Alnus,Anacardiaceae,Artemisia,Balanites,Betula,Blepharis,Boerhavia,Borassus,Borreria,Boscia,Brassicaceae,Cadaba,Calligonum,Capparidaceae,Capparis,Cardiospermum,Carpinus,Caryophyllaceae,Cassia,Celtis,Centaurea,Chenopodiaceae/Amaranthaceae,Cissus,Cleome,Combretaceae/Melastomataceae,Commicarpus,Commiphora,Corchorus,Corylus,Crossandra,Cyperaceae,Detarium,Diospyros,Elaeis guineensis,Enicostema,Ephedra,Euphorbia,Euphorbiaceae,Fraxinus ornus-type,Gramineae,Grewia,Gypsophila,Hyphaene,Hypoestes,Icacinaceae,Indetermines,Indigofera,Ixora,Justicia,Lannea,Lawsonia,Leonotis,Leptaulus,Leucas,Liguliflorae,Liliaceae,Linociera,Maerua,Malvaceae,Mitracarpus,Mitriostigma,Monolete echinate spores,Monolete psilate spores,Monolete reticulate spores,Monolete verrucate spores,Myriophyllum,Nauclea,Nitraria,Ocimum,Olea,Oleaceae,Ostrya,Palmae,Papilionoideae,Phillyrea,Phoenix,Phyllanthus,Piliostigma,Pinus,Plantago,Plumbaginaceae,Podocarpus,Potamogeton,Pouchetia,Protea,Pterocarpus,Quercus,Ranunculaceae,Rhus,Rhynchosia,Rosaceae,Rubiaceae,Salvadora,Sesbania,Sherbournia,Spondias-type,Syzygium/Eugenia,Tamarix,Tribulus,Trichilia,Trilete reticulate spores,Trilete verrucate spores,Tubuliflorae,Typha,Uapaca,Umbelliferae,Utricularia,Vitis,Ziziphus
490,490.019989,3,,,,,6,1,,,,,1,,,,,,,,,15,,,,66,,1,3,,,,1,,689,,,,,,,,,2083,1,1,,,,5,,,,3,,,,,,,,,,,,,4,,,,,,,,,1,1,1,,,7,2,,,,,,,,,1,2,1,,1,,2,,,,,,,,1,1,12,258,,,,,1
490.1,490.079987,3,,,,,1,3,,,,,,,3,,,,,,,6,,,,37,,,2,,,,,,503,,,,,,2,,,1020,,,3,,,11,,,,9,,,,,,,,1,,,,,7,,,,,,,,,,,,,,5,2,1,2,,,,,,,,1,1,,,,2,,,,,,,,,1,6,119,,1,,,1
490.2,490.170013,3,1,,,,3,,,1,,,,,1,,,,,,,7,,1,,39,,,11,,1,,,,495,,,,,,,,,1937,3,,,,,11,,,,1,,,,,,,,,,1,,,7,,1,,,,,,,,,2,,,10,2,,,,,,,,,,,,,4,,1,1,,,,,,,,,7,135,,1,,,3
490.3,490.279999,3,,,,,2,,,1,,,,,5,,,1,,,,9,,2,,36,,,13,,,,,,535,,,,,,2,,,2110,2,,1,,,2,,,,6,,,,,,1,,2,,,,1,13,,1,,,,,,,2,,,,,10,1,,1,,2,,,,,1,2,1,,1,,4,,,,,,,,,,13,104,1,1,,,2
490.3,490.299988,2,2,,,,2,,1,,,,,1,2,,,,,,,2,1,,,41,,,8,,,,,,557,,,,,,1,,,1374,3,,,,,2,,,,5,,,,,1,,,3,,,,,7,,2,,,,,,1,1,1,,,,8,2,,,,,,,,,,1,,,1,1,3,,,,1,,,,1,,12,139,,,,,2
490.4,490.399994,,,,,,6,,,4,,,,,3,,,,,,,18,,,,61,,1,3,,,1,,,1432,,,,,1,5,,,3182,5,,2,,,5,,,,,,,,,1,,,5,,,1,,19,,1,,,,,,,2,,1,,,1,2,1,,,,,,,1,,2,,,,,3,,,,,,,,,5,15,412,,1,,,3
490.5,490.470001,6,,,,,1,,,1,,,1,,,,,,,,,8,,,,44,,2,11,,,,2,,866,,,,,1,1,1,,2158,2,1,2,1,,7,1,,,1,,,,,1,,,1,,,,,12,1,1,,,,,,2,1,,,,,4,,2,,,,,,,,1,1,,,,1,,,,,,,,,,,11,316,,,,,1
490.5,490.549988,2,,,,,5,,,4,,,,,,1,,,,,,1,,,,23,,,3,1,,,,,1382,,,1,,,,,,3163,4,,2,,,7,,,,1,,,,,4,,,,,,,,26,1,1,,,,,1,,,,,,,,3,3,,1,1,,,,1,2,,,,,,,,,,1,,,,2,7,17,405,,,,,1
490.8,490.790009,6,1,,,,10,,1,29,,,,2,2,2,,,,,,8,3,,,33,,,3,,,,,,1309,,,,,,1,1,,3796,2,,2,,,8,,,,3,,,,,2,,,,,,,,17,,,,,,,,1,,,,,,,5,2,,,,,,,4,,2,,,,,,,,,,,,,5,4,16,388,,,,,1
490.8,490.839996,,,,,,1,,,1,,,,,1,1,,,,,,3,,,,37,,,2,,,,,,656,,,,,2,,,,1869,,,1,,,2,,,,2,,,,,,,,,,,,,13,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,2,,,,,,,,,3,10,314,,,,,2
491,490.98999,6,,1,,,10,,,3,,1,1,,,,,,,,,4,1,1,,46,,1,1,,,,,,2093,,,,,3,,,,5362,11,1,4,,,2,,,,,,,,,4,2,,1,,,,,39,,,,,,,3,,,,1,,,2,2,1,,,2,,,,1,,3,,,1,,1,,,,1,,,,2,3,10,617,,,,,
491.1,491.119995,14,1,,,,23,5,,,,,1,,6,4,,,1,,,37,1,,,198,3,,50,,,,,,1750,,,,,4,,1,1,4579,5,1,1,,,4,2,,,4,,,,,1,,,11,,,,,7,,,,1,,,,,1,,,,,14,3,,,,,,,,1,,2,5,,4,,7,,,,,,,,,3,63,672,,,,,9
491.2,491.160004,1,,,,,,1,,1,,,,,,,,,,,,5,,,,21,,,13,,,,,,246,,,,,2,1,,,876,,,,,,,,,,2,,,,1,,1,,2,,,,,2,,,1,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,,,1,,,,6,1078,,,1,,
491.3,491.279999,1,,,,,4,,,,,,,1,3,,,,,,,9,1,1,,31,,,31,,,,,,511,,,,,2,,1,,988,,,,,,20,,,,1,,,,2,2,,,3,,,,,9,,,1,,,,,,,,,,,9,1,,1,,,,,,1,,2,1,,,,10,,,,,,,,,,6,217,,,,,
491.4,491.369995,9,,,,,20,,,1,,,2,1,3,1,,,,,,12,1,10,,115,,1,55,,,,,,1190,,,,,3,2,,,7880,4,3,5,2,,6,4,,,9,,,,,1,1,,5,,1,,,17,,,,,,,2,,,1,,,1,6,4,,1,,4,,,,4,2,2,7,,2,,4,,1,,,,,,,2,33,715,1,1,,,3
491.5,491.470001,,,,,,1,,,,,,,,,,,,,,,7,1,2,,23,,1,23,,,,,,344,,,,,,1,,,888,,1,12,,,17,,,,2,,,,,,1,,2,,,,,4,,1,2,,,,1,1,,,,,,2,3,2,,,,,,,1,1,1,,,,,5,,,,,,,,,,2,131,,,,,
491.6,491.609985,1,,,,,6,2,,1,,,,1,3,1,,,,,,5,,4,,34,,,13,,,,,,489,,,,,1,1,,1,1767,1,,7,1,,2,1,,,1,,,,,1,,,1,1,,,,5,,,,,,1,,,1,,,,,2,,,,,,,,,1,,1,1,,,,2,,,,,,,,,2,8,201,,,,,
491.7,491.700012,5,1,1,,,16,,,4,,,1,,2,4,,,3,,,18,1,11,,73,,3,78,,,,,,1122,,1,,1,1,3,,,5323,2,,8,1,,8,2,,,10,,,,,,,,15,,,,,6,,,,,,,2,1,,,2,,,18,9,1,,,,,,,7,1,1,6,,9,,9,,,,,,1,,,5,26,207,,,,,6
491.8,491.829987,,,,,,2,,,,,,,1,,,,,,,,10,1,4,,45,1,,47,,,,,,611,,,,,1,1,,,1737,,2,2,,,7,,,,4,,,,,1,,,2,,,,,3,,,3,,,,,1,,,,,,7,6,,1,,,,,,1,,,2,,1,,2,,,,1,,,,,1,8,161,,,,,
492.1,492.059998,4,,,,,8,1,,2,,1,,,1,1,,,,,,24,2,12,,62,,1,54,,,,,,645,,,,,,1,,,2733,2,2,6,,1,5,3,2,,3,1,,,,,,1,8,,,,,1,,,,,,,,1,,,,,,17,4,,2,,,,,,2,,,1,,4,,5,2,,,,,1,,,,12,47,,,,,5
492.1,492.140015,10,,,,,9,,2,4,1,3,2,1,,1,,,,,1,9,1,13,1,38,,1,29,,,1,,,886,1,,,,4,1,1,,5212,2,,7,1,,8,1,1,1,19,,,1,,,,,4,,1,,,8,,1,,,,1,,,2,,,,,8,7,1,,,,,,,,,2,3,,,,,,,,,,1,1,,4,15,268,,,,,5
492.2,492.170013,2,,,,,5,1,,,,1,,,1,1,,,2,,,8,1,4,,31,,1,19,,,1,,,627,,,,,3,,,,2116,,,12,,,1,2,,,1,,1,,,,1,,3,,,,,2,,,,,,,,1,,,,1,,6,1,,,1,,,,,4,1,,2,,4,,3,,,1,,,,,,1,4,31,,,,,1
492.3,492.26001,6,,1,1,,5,2,,4,,1,,,3,,,,1,,,6,2,10,,42,,2,51,,,,,,814,,,,,2,2,,,3396,3,,16,1,,3,,,,7,,,,,1,,,3,,,,,5,,1,1,,1,,,,,,1,,,16,4,,,,,,1,,2,,,1,,1,,4,,,,,,,,,,11,129,,,,,6
492.4,492.369995,3,,,,,3,1,,,,,,,1,,,,,,2,3,1,1,,10,,,4,,,,1,,193,,,,,,,,,714,1,,2,,,4,,,,2,,,,,,,,1,,,,,6,,2,1,,,,,,2,,,,,5,3,1,,,,,,,,1,,,,,,1,,,,,,,,,,6,15,,,,,
492.4,492.410004,2,,,,,5,,,,,3,,,1,,,,,,,7,,7,,25,,,24,,,,,,440,,,,,,,,,1553,,,3,,,15,,,,1,,1,,1,1,,,1,,,,,4,,1,1,,,,,,1,,,,,5,,,,,,1,,,,,1,,,2,1,4,,,,,,,,,1,5,116,,,,,1
492.5,492.470001,8,,1,,,6,,,2,,,1,,,,,,1,,,8,,4,,25,,,20,1,,,,,619,,,,,,1,,,1717,2,1,3,,,4,,,,4,,,,,1,,,2,,,,,5,,,,,,,,1,,,,,,7,3,2,1,,1,,,,2,,,2,,1,,3,,,,,,,,1,,7,72,,,,,4
492.7,492.700012,5,,,1,,4,4,,2,,,2,1,3,,,,,1,,3,,3,,23,,,12,,,,1,,617,,,,,1,,,,1831,3,,1,,,4,3,,,5,,,,,3,,,1,,,,,8,,,,,,,,,,,1,,,6,4,1,,,,,,,2,1,,,,,2,,,,,,,,,2,2,7,50,,,,1,5
492.8,492.75,6,,,,,9,,,6,,,,,1,2,,,,,,22,1,3,,23,1,1,35,,,,,,1180,,,,,1,2,,,2637,3,,4,,,4,2,,,4,,,,,,,,2,,,,,8,,,,,,,1,1,,,1,1,,13,3,1,1,,1,,,,3,,,,,2,,5,1,,,,1,,,,2,12,114,,,,,6
492.8,492.76001,13,1,,,,8,2,,,,,,1,1,1,,,,,,10,1,3,,37,,,29,,,,,1,903,,,,,2,2,,,2818,2,,1,,,4,,,,6,,,,,1,,,,,,,,6,,,,1,,,3,,,,1,,,5,4,2,,,,,,,3,,,,1,3,1,,3,,,2,,1,1,,3,12,102,,,,,1
