"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Corylus","Poaceae (Cerealia)","Brassicaceae","Pinus","Amaranthaceae","Indeterminable undiff.","Sambucus","Arbutus unedo","Unknown (trilete)","Alnus glutinosa","Pistacia lentiscus","Quercus coccifera","Lythrum","Plantago coronopus-type","Olea europaea","Salix","Fabaceae","Myriophyllum","Fraxinus","Cistus monspeliensis","Apiaceae","Myrtus communis","Quercus canariensis","Asteroideae","Poaceae","Quercus suber","Erica arborea","Viburnum","Typhaceae","Lamiaceae","Hypericum","Caryophyllaceae","Ephedra","Phillyrea angustifolia","Thymelaeaceae","Asphodelus","Cyperaceae","Campanulaceae","Valerianoideae","Acanthus","Calystegia","Persicaria maculosa-type"
1132,NA,NA,55,1,NA,NA,2,1,1,NA,NA,NA,1,NA,3,NA,NA,2,3,NA,11,NA,1,4,12,17,2,16,87,86,NA,6,NA,2,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA
1187,NA,NA,60,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,2,4,4,2,8,6,4,10,3,8,13,12,6,20,65,116,NA,6,NA,3,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA
1241,NA,NA,65,NA,2,NA,NA,NA,1,NA,NA,NA,1,NA,2,1,1,3,2,2,3,3,NA,2,16,10,1,15,90,100,NA,6,1,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1296,NA,NA,70,4,NA,NA,NA,2,NA,3,NA,NA,NA,NA,12,5,5,7,7,12,5,10,6,12,19,40,7,20,85,55,NA,29,NA,2,2,NA,2,NA,NA,1,3,NA,NA,NA,NA
1351,NA,NA,75,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,4,2,2,4,4,NA,8,4,NA,8,4,42,NA,20,80,65,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
1406,NA,NA,80,1,NA,NA,2,2,NA,1,NA,1,NA,NA,11,NA,NA,3,11,6,8,4,3,18,19,25,7,17,70,39,NA,5,NA,2,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA
1460,NA,NA,85,NA,NA,NA,1,NA,NA,2,NA,1,1,NA,9,NA,NA,2,7,2,11,6,6,32,26,23,10,19,66,30,NA,3,NA,3,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA
1515,NA,NA,90,NA,NA,NA,1,3,4,1,NA,1,NA,NA,12,NA,NA,3,14,5,5,1,8,34,18,17,6,18,50,67,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1570,NA,NA,95,NA,NA,NA,1,NA,3,NA,NA,1,NA,NA,7,3,3,NA,14,4,2,4,3,11,16,20,1,36,63,63,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1624,NA,NA,100,NA,2,2,1,2,5,NA,1,4,2,NA,6,5,5,1,11,6,2,6,4,21,20,25,8,25,60,45,NA,1,1,2,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
1679,NA,NA,105,NA,NA,NA,2,4,4,2,NA,1,3,NA,9,4,4,5,13,5,5,7,5,31,20,15,6,16,52,53,NA,5,NA,1,1,NA,2,12,NA,NA,NA,NA,NA,NA,NA
1734,NA,NA,110,1,NA,4,2,8,NA,6,1,3,3,NA,12,1,1,7,10,14,2,5,4,55,19,42,12,22,80,85,NA,2,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
1789,NA,NA,115,NA,NA,5,NA,3,2,NA,2,3,2,NA,NA,NA,NA,3,13,3,1,9,6,51,11,37,5,22,50,53,NA,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1843,NA,NA,120,1,NA,1,3,2,1,1,3,1,4,NA,6,NA,NA,4,28,6,1,4,11,63,25,30,3,18,60,71,NA,1,NA,8,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA
1898,NA,NA,125,NA,NA,1,1,3,1,1,1,1,2,NA,3,NA,NA,4,21,7,NA,5,10,71,24,29,16,27,40,58,1,1,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,130,NA,NA,6,2,1,1,2,NA,3,3,NA,4,NA,NA,1,10,17,NA,7,15,42,22,27,14,20,52,49,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,135,1,NA,NA,4,1,NA,1,NA,1,1,NA,6,2,2,3,13,19,NA,2,19,75,29,30,12,20,40,56,NA,NA,1,3,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA
2062,NA,NA,140,1,NA,NA,3,3,NA,6,NA,2,4,NA,7,4,4,9,22,46,8,7,39,110,50,36,23,21,47,48,NA,4,2,7,4,1,NA,3,NA,NA,NA,NA,NA,NA,NA
2117,NA,NA,145,2,NA,1,NA,5,4,5,NA,1,1,NA,10,2,2,6,23,19,5,10,10,72,67,40,26,12,55,55,NA,4,1,6,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA
2171,NA,NA,150,1,NA,1,2,3,2,NA,3,4,NA,NA,1,1,1,3,8,1,6,4,8,15,19,20,2,17,30,94,NA,3,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2226,NA,NA,155,NA,NA,1,NA,3,6,NA,1,1,NA,NA,2,1,1,4,9,2,7,3,6,32,17,27,8,16,61,50,NA,2,1,8,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA
2245,NA,NA,160,3,NA,NA,1,2,5,1,NA,5,NA,NA,5,2,2,10,12,8,10,7,8,53,25,70,12,16,75,55,NA,2,NA,2,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA
2263,NA,NA,165,NA,NA,NA,NA,2,6,3,NA,2,1,NA,9,NA,NA,2,12,3,3,4,7,73,14,65,4,18,69,68,NA,2,7,2,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA
2282,NA,NA,170,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,2,NA,NA,4,4,4,6,3,NA,40,6,50,4,15,53,86,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2301,NA,NA,175,1,NA,NA,7,7,NA,2,3,3,1,NA,14,2,2,4,27,17,NA,13,21,41,59,80,10,18,84,114,NA,6,1,8,2,1,NA,5,NA,NA,NA,NA,NA,NA,NA
2319,NA,NA,180,NA,NA,NA,2,3,7,4,NA,3,2,NA,12,1,1,NA,18,13,4,6,8,99,23,69,8,14,67,59,NA,3,NA,2,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA
2338,NA,NA,185,1,NA,NA,NA,2,2,1,NA,2,NA,NA,10,NA,NA,3,12,7,6,7,12,48,18,49,5,15,45,52,NA,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2357,NA,NA,190,4,NA,NA,NA,NA,3,4,2,4,2,NA,10,NA,NA,2,8,8,2,4,4,20,24,90,2,18,86,24,NA,4,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2375,NA,NA,195,2,NA,NA,NA,3,3,2,1,3,1,NA,5,NA,NA,1,9,6,5,2,6,15,20,80,7,13,40,20,NA,6,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2394,NA,NA,200,2,NA,1,4,9,4,1,6,2,NA,NA,9,NA,NA,NA,6,5,1,7,8,21,23,72,10,16,35,51,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2413,NA,NA,205,3,NA,4,5,7,8,8,3,1,1,NA,12,1,1,5,10,25,8,7,42,173,63,140,20,18,69,102,NA,3,1,9,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
2431,NA,NA,210,2,NA,2,1,10,3,12,1,2,1,NA,17,1,1,5,4,24,9,7,32,156,57,100,14,19,35,64,NA,3,NA,15,NA,NA,NA,9,NA,NA,1,NA,NA,NA,NA
2450,NA,NA,215,1,NA,3,3,5,6,2,NA,2,1,NA,8,NA,NA,2,4,8,3,6,9,40,29,80,17,32,32,38,NA,4,1,14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2469,NA,NA,220,NA,NA,NA,1,4,4,5,2,3,11,NA,20,2,2,8,8,16,11,11,22,68,41,171,18,19,38,50,NA,15,1,6,1,NA,NA,3,2,2,NA,NA,NA,NA,NA
2487,NA,NA,225,2,NA,2,2,4,2,4,NA,3,NA,NA,7,4,4,1,3,8,NA,7,7,29,24,92,8,17,23,24,NA,3,NA,11,1,1,NA,1,NA,NA,1,NA,NA,NA,NA
2506,NA,NA,230,1,NA,2,4,2,7,NA,NA,1,4,NA,8,4,4,3,5,14,5,10,11,67,26,78,10,15,31,53,NA,2,1,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
2539,NA,NA,235,1,NA,3,1,5,1,3,NA,2,3,NA,7,3,3,2,5,13,6,3,9,50,25,80,6,10,28,50,NA,5,NA,3,1,1,NA,2,NA,NA,1,NA,NA,NA,NA
2572,NA,NA,240,1,NA,2,2,1,7,3,1,4,NA,NA,4,1,1,2,11,1,5,12,6,41,28,87,12,11,34,53,NA,5,NA,13,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA
2605,NA,NA,245,1,NA,1,NA,3,NA,2,2,2,1,NA,3,1,1,1,9,3,4,6,5,30,26,90,8,9,23,40,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2637,NA,NA,250,NA,NA,1,NA,3,2,NA,NA,3,1,NA,3,NA,NA,NA,6,4,NA,3,6,26,23,86,9,10,25,30,NA,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2670,NA,NA,255,NA,NA,2,1,3,5,NA,1,5,3,NA,11,4,4,7,9,5,6,7,7,34,21,54,11,22,12,65,NA,4,NA,8,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA
2703,NA,NA,260,2,NA,NA,1,2,2,2,NA,2,2,NA,13,1,1,4,4,3,2,3,9,21,11,67,11,13,20,47,NA,2,NA,11,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
2736,NA,NA,265,NA,NA,NA,NA,1,6,3,NA,4,2,NA,8,NA,NA,3,8,4,2,8,4,42,24,87,10,11,23,75,NA,9,NA,6,NA,1,NA,3,NA,1,NA,NA,NA,NA,NA
2769,NA,NA,270,1,NA,NA,NA,4,4,4,2,3,1,NA,9,NA,NA,NA,5,4,4,8,8,34,13,91,6,18,21,43,NA,5,NA,11,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
2802,NA,NA,275,1,NA,NA,3,5,6,NA,3,6,1,NA,6,1,1,NA,9,10,2,17,7,39,16,64,13,16,33,56,NA,3,1,6,1,1,NA,1,1,NA,NA,NA,NA,NA,NA
2834,NA,NA,280,1,NA,NA,2,5,5,2,1,8,NA,NA,4,4,4,2,5,9,2,6,3,35,19,77,8,21,33,53,NA,5,1,6,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
2867,NA,NA,285,2,NA,NA,3,8,7,2,1,3,1,NA,5,2,2,5,1,4,1,11,5,30,15,102,5,12,30,49,NA,4,NA,5,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA
2900,NA,NA,290,NA,NA,NA,NA,4,3,NA,NA,1,6,NA,22,1,1,2,NA,1,NA,16,5,24,15,96,1,2,40,10,NA,15,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2933,NA,NA,295,NA,NA,1,1,2,4,NA,1,3,NA,NA,2,4,4,3,3,4,1,NA,9,27,10,139,4,20,51,55,NA,3,NA,11,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA
2966,NA,NA,300,2,NA,NA,1,11,1,7,NA,5,7,NA,22,4,4,2,12,17,NA,17,NA,56,31,195,13,24,63,47,NA,6,1,9,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA
2998,NA,NA,305,NA,NA,NA,1,9,2,NA,NA,4,NA,NA,NA,1,1,1,66,1,NA,7,3,21,6,123,1,6,20,15,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3031,NA,NA,310,NA,NA,NA,NA,3,8,1,2,15,NA,NA,NA,NA,NA,1,60,1,NA,6,2,26,14,157,5,17,22,15,NA,NA,NA,8,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
3064,NA,NA,315,2,NA,1,2,3,2,1,NA,18,3,1,11,3,3,3,62,3,4,11,9,41,24,111,12,9,29,59,1,3,NA,7,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA
3097,NA,NA,320,1,NA,NA,1,NA,3,6,NA,1,NA,NA,3,2,2,2,65,2,NA,NA,12,18,16,89,3,NA,18,22,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
3130,NA,NA,325,NA,NA,1,1,3,NA,2,NA,4,3,1,4,NA,NA,8,72,3,1,NA,3,9,8,98,NA,13,9,13,NA,NA,NA,6,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
3163,NA,NA,330,1,NA,7,NA,33,2,NA,NA,9,1,NA,2,NA,NA,1,40,NA,NA,7,NA,2,35,125,25,15,32,15,NA,NA,NA,6,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA
3195,NA,NA,335,3,NA,NA,NA,23,7,NA,NA,32,3,1,6,NA,NA,6,2,3,NA,5,1,16,26,86,18,13,10,13,NA,5,NA,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3228,NA,NA,340,2,NA,NA,NA,6,1,2,NA,30,2,NA,6,NA,NA,4,2,6,NA,6,8,20,30,94,6,16,12,20,NA,2,NA,20,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA
3261,NA,NA,345,3,NA,2,3,2,7,NA,NA,2,1,NA,3,NA,NA,3,NA,1,1,8,5,15,45,117,2,14,32,21,NA,NA,1,38,5,NA,1,NA,NA,2,NA,NA,NA,NA,NA
3294,NA,NA,350,1,NA,1,NA,15,2,1,2,2,4,NA,23,9,9,11,7,8,NA,21,10,23,37,197,11,19,50,39,NA,3,NA,42,6,NA,NA,5,NA,5,NA,NA,NA,NA,NA
3327,NA,NA,355,3,NA,2,2,8,3,NA,NA,2,NA,NA,20,3,3,15,4,NA,2,15,3,16,22,97,6,10,18,18,NA,2,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3360,NA,NA,360,NA,NA,NA,NA,6,NA,1,NA,2,1,NA,8,6,6,7,1,1,4,7,4,24,3,83,NA,13,19,7,2,6,NA,48,9,NA,1,NA,NA,NA,4,NA,NA,NA,NA
3392,NA,NA,365,NA,NA,NA,NA,2,NA,2,NA,2,2,NA,10,4,4,NA,NA,NA,NA,10,6,18,2,136,NA,12,35,20,NA,2,NA,28,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3425,NA,NA,370,1,NA,3,1,4,2,NA,NA,4,2,NA,2,2,2,4,1,4,11,8,3,11,7,85,NA,12,46,19,NA,3,1,16,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
3458,NA,NA,375,1,NA,NA,NA,2,3,1,NA,2,1,NA,3,NA,NA,1,NA,1,2,5,2,6,4,106,5,25,36,17,NA,NA,2,30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3491,NA,NA,380,NA,NA,4,NA,4,1,1,1,1,1,2,3,1,1,7,1,NA,2,2,1,15,11,129,3,14,27,14,NA,1,1,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3524,NA,NA,385,2,NA,NA,4,2,2,2,NA,NA,4,1,6,4,4,1,NA,2,NA,18,4,14,10,182,4,16,50,24,NA,10,2,20,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3556,NA,NA,390,NA,NA,2,NA,7,2,3,NA,3,1,NA,8,4,4,5,NA,NA,NA,4,3,13,NA,148,4,21,33,20,NA,2,1,14,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA
3589,NA,NA,395,NA,NA,3,NA,6,NA,2,NA,2,1,NA,5,2,2,2,1,NA,NA,3,5,10,2,109,3,25,32,19,NA,5,1,8,2,NA,NA,NA,1,2,NA,NA,NA,1,NA
3622,NA,NA,400,2,NA,NA,NA,NA,1,4,NA,4,NA,1,14,NA,NA,4,6,6,NA,14,2,26,8,88,4,18,38,22,NA,4,NA,10,4,NA,NA,5,NA,6,NA,NA,NA,NA,NA
3655,NA,NA,405,4,NA,NA,NA,2,NA,NA,NA,2,2,NA,20,2,2,8,NA,NA,NA,8,2,2,10,138,4,18,28,24,NA,NA,NA,30,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
3688,NA,NA,410,NA,NA,6,NA,12,1,NA,2,6,NA,4,16,4,4,4,4,2,NA,10,NA,12,14,98,6,12,38,44,NA,18,NA,28,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
3721,NA,NA,415,NA,NA,2,1,4,NA,NA,NA,4,NA,NA,17,NA,NA,6,NA,NA,NA,9,1,7,NA,102,NA,28,29,18,NA,16,NA,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3753,NA,NA,420,NA,NA,NA,1,4,1,1,NA,2,NA,NA,14,NA,NA,6,3,1,3,3,2,14,6,94,5,30,32,27,NA,11,NA,21,2,NA,NA,NA,1,NA,2,NA,1,NA,NA
3772,NA,NA,425,NA,NA,4,NA,2,NA,2,NA,2,NA,NA,4,2,2,NA,NA,4,1,2,NA,6,NA,150,4,16,50,26,NA,14,NA,18,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
3791,NA,NA,430,NA,NA,NA,2,4,NA,NA,NA,8,NA,NA,4,6,6,2,10,NA,2,6,4,12,4,120,4,26,18,24,NA,18,NA,14,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA
3810,NA,NA,435,NA,NA,1,2,6,NA,3,NA,1,1,NA,14,NA,NA,1,4,NA,NA,8,1,3,7,160,4,33,61,24,NA,10,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3829,NA,NA,440,2,NA,NA,2,6,1,6,NA,4,3,NA,14,2,2,2,6,2,2,6,2,16,6,101,6,16,23,39,NA,12,NA,22,4,NA,2,NA,NA,2,NA,NA,2,2,NA
3849,NA,NA,445,1,NA,NA,1,8,NA,NA,NA,5,2,NA,9,3,3,1,5,NA,1,5,3,15,5,90,5,19,20,20,NA,10,NA,15,1,NA,1,NA,NA,2,NA,NA,1,1,NA
3868,NA,NA,450,NA,NA,NA,2,10,NA,3,NA,5,4,NA,21,5,5,3,14,9,NA,12,5,14,15,100,6,5,32,33,NA,3,NA,30,2,NA,NA,6,NA,NA,NA,7,NA,NA,NA
3887,NA,NA,455,3,NA,NA,1,5,NA,9,NA,5,1,NA,10,NA,NA,NA,11,4,NA,1,1,18,8,150,4,10,24,24,1,2,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3906,NA,NA,460,1,NA,2,1,2,NA,5,NA,3,3,NA,6,1,1,3,12,3,5,1,1,45,2,92,2,7,20,21,2,6,NA,14,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
3925,NA,NA,465,NA,NA,6,NA,2,4,5,NA,8,3,NA,9,NA,NA,2,18,6,NA,2,NA,48,4,114,2,10,18,18,NA,8,NA,15,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA
3944,NA,NA,470,2,NA,NA,NA,4,NA,1,NA,6,2,NA,12,8,8,6,14,4,NA,2,2,32,NA,138,4,24,26,6,NA,2,NA,12,2,4,NA,NA,NA,2,3,NA,NA,NA,NA
3963,NA,NA,475,2,NA,NA,NA,4,NA,4,1,4,1,NA,12,NA,NA,1,4,4,NA,NA,2,48,NA,145,1,36,25,26,NA,8,NA,8,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
3982,NA,NA,480,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,5,NA,NA,3,NA,12,3,NA,5,27,2,149,4,6,13,13,1,5,NA,8,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA
4001,NA,NA,485,2,NA,3,1,2,4,10,NA,2,NA,NA,3,NA,NA,4,8,19,6,3,5,113,3,159,4,9,21,22,NA,6,NA,9,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
4020,NA,NA,490,NA,NA,4,NA,8,1,6,NA,2,1,NA,6,2,2,1,3,10,3,7,4,80,8,130,10,9,16,21,1,7,1,5,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
4039,NA,NA,495,2,NA,4,NA,1,7,2,NA,8,NA,NA,8,1,1,3,2,6,4,3,2,44,10,120,2,24,17,18,2,2,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
4058,NA,NA,500,3,NA,2,NA,9,NA,13,NA,6,1,NA,31,4,4,10,16,17,NA,11,18,82,26,125,10,25,38,40,NA,4,2,10,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
4077,NA,NA,505,2,NA,NA,2,12,NA,6,NA,6,2,NA,6,4,4,2,14,2,8,8,4,28,20,82,14,28,9,87,2,14,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4096,NA,NA,510,1,NA,NA,2,1,NA,2,NA,13,3,NA,9,2,2,6,3,5,1,5,3,17,3,93,9,16,5,32,NA,7,NA,6,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA
4115,NA,NA,515,NA,NA,3,1,4,5,15,NA,8,1,3,5,2,2,7,2,5,5,2,3,60,5,159,6,8,20,41,2,2,NA,9,NA,1,2,NA,1,1,2,NA,NA,NA,NA
4134,NA,NA,520,NA,NA,NA,2,NA,8,8,NA,6,2,1,6,2,2,4,NA,22,NA,6,12,22,14,130,10,10,4,20,NA,2,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4153,NA,NA,525,1,NA,2,NA,6,7,5,NA,4,1,2,3,2,2,1,1,3,11,4,7,25,9,80,8,7,6,41,3,3,NA,7,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA
4172,NA,NA,530,1,NA,NA,NA,6,1,4,NA,1,4,NA,16,2,2,3,1,2,10,NA,3,37,2,109,7,8,11,54,1,6,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4191,NA,NA,535,2,NA,1,1,3,2,3,NA,2,5,3,9,1,1,3,1,5,9,1,2,36,3,100,11,2,15,23,2,5,NA,8,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
4210,NA,NA,540,3,NA,3,4,6,10,9,NA,39,3,NA,15,NA,NA,NA,NA,15,24,6,3,25,12,75,9,18,6,10,NA,27,NA,5,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA
4229,NA,NA,545,2,NA,NA,2,2,23,2,NA,50,NA,NA,9,2,2,1,NA,10,36,2,NA,43,5,151,6,24,12,15,2,40,NA,3,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA
4248,NA,NA,550,NA,NA,4,2,4,35,4,NA,36,2,NA,10,1,1,4,10,22,21,13,5,58,13,117,12,16,25,57,NA,31,NA,6,NA,1,NA,4,3,23,NA,NA,NA,NA,NA
4267,NA,NA,555,2,NA,3,NA,1,30,3,NA,60,NA,NA,6,NA,NA,NA,NA,19,20,2,5,55,4,121,3,9,12,20,NA,36,NA,1,NA,NA,NA,2,2,32,NA,NA,NA,NA,NA
4286,NA,NA,560,1,NA,1,NA,6,31,3,NA,52,1,NA,9,1,1,1,5,20,22,4,1,35,3,144,7,6,13,36,3,34,NA,3,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA
4305,NA,NA,565,NA,NA,1,1,3,21,3,NA,40,2,NA,3,3,3,2,10,12,16,3,5,52,2,109,4,7,10,13,2,23,1,4,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA
4324,NA,NA,570,1,NA,3,NA,7,16,3,NA,36,1,NA,2,2,2,NA,69,12,15,4,3,30,3,99,12,10,15,23,2,20,NA,3,NA,NA,3,NA,NA,12,NA,NA,NA,NA,NA
4343,NA,NA,575,NA,NA,NA,4,1,14,6,NA,33,NA,NA,2,NA,NA,3,64,8,14,3,2,73,3,90,5,17,3,22,2,14,NA,5,NA,NA,NA,NA,NA,9,NA,4,NA,NA,NA
4362,NA,NA,580,1,NA,2,NA,2,12,2,NA,74,2,NA,3,2,2,2,4,17,16,NA,NA,60,8,43,6,41,9,20,NA,12,NA,2,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA
4381,NA,NA,585,1,NA,5,NA,2,15,2,NA,49,1,NA,3,6,6,NA,3,13,25,1,NA,46,2,40,8,12,4,19,1,14,NA,2,NA,NA,3,NA,NA,9,NA,NA,NA,NA,NA
4400,NA,NA,590,NA,NA,2,NA,6,15,3,NA,36,NA,NA,9,1,1,NA,12,5,21,3,NA,63,4,50,8,24,5,23,2,14,NA,2,NA,NA,NA,NA,NA,6,6,NA,NA,NA,NA
