"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Salix","Ranunculus acris-type","Salsola-type","Linaria","Aster-type","Plantago maritima-type","Sedum-type","Sporormiella","Glomus","Betula","Cichorioideae","Brassicaceae","Lotus","Fumaria","Saxifraga rotundifolia","Orlaya","Isoëtes","Picea","Alnus","Stachys-type","Rumex acetosa-type","Achillea-type","Rumex acetosella-type","Myrtus","Ostrya/Carpinus orientalis-type","Corylus","Plantago lanceolata-type","Potamogeton-type","Coniochaeta","Fraxinus angustifolia subsp. oxycarpa-type","Artemisia","Phillyrea","Urtica dioica-type","Quercus pubescens-type","Erica-type","Dinoflagellata","Quercus suber-type","Typha/Sparganium-type","Poaceae (Cerealia)","Botryococcus","Cyperaceae","Tamarix","Olea","Amaranthaceae","Myriophyllum spicatum","Quercus ilex-type","Pistacia","Juniperus-type","Poaceae","Pinus","Ceratophyllum","Lycopodium spike","Lycopodium tablets","Euphorbia","Prunus-type","Vitis","Ephedra","Lamiaceae","Caryophyllaceae undiff.","Styrax","Carduus-type","Phlomis","Ceratonia","Cheilanthes","Anthoceros laevis","Gelasinospora","Selaginella denticulata","Thalictrum","Ulmus","Ruppia","Teucrium","Pteridophyta (monolete) undiff.","Helianthemum","Genista-type","Cistus","Spirogyra","Citrus","Acer","Rosa","Echium","Glaucium","Veronica-type","Arbutus","Arctium","Mercurialis annua","Podospora-type","Eryngium","Plantago coronopus-type","Carthamus-type","Liliaceae undiff.","Zygnema-type","Hypericum","Asphodelus albus-type","Filago-type","Cercophora-type","Mentha-type","Convolvulus-type","Acacia","Vitex","Cannabis","Matthiola-type","Anogramma leptophylla","Allium","Fabaceae undiff.","Callitriche","Castanea","Rubus","Utricularia","Eucalyptus","Buxus","Ranunculus aquatilis","Abies","Geranium","Urtica pilulifera-type","Scrophulariaceae","Populus","Centaurea cyanus-type","Sinapis-type","Pteridium aquilinum","Platanus","Plantago major-type","Galium-type","Centaurea nigra-type","Falcaria-type","Tetraëdron","Ficus carica","Theligonum cynocrambe","Pteridophyta (trilete) undiff.","Scilla-type","Celtis","Tilia","Asplenium-type","Chamaerops","Trifolium repens-type","Sanguisorba minor-type","Papaver","Verbascum-type","Juglans","Asparagus","Colchicum","Sambucus","Polypodium","Spiniferites","Ophioglossum lusitanicum","Delitschia","Fagus","Apiaceae undiff.","Euphrasia","Vicia-type","Pediastrum","Filipendula","Lavandula-type","Taxus","Sorbus","Linum","Campanula-type","Gentianaceae","Alisma","Senecio-type","Cornus sanguinea","Knautia","Ornithogalum-type","Lavatera","Equisetum","Dioscorea","Crocus","Carpinus betulus","Valeriana","Thymelaeaceae","Cyperus-type","Humulus","Astragalus-type","Apium","Paronychia-type","Silene dioica-type","Ornithopus","Neurospora","Pseudoschizaea","Morus","Rosaceae","Primula clusiana-type","Solanum dulcamara","Linum catharticum-type","Anthoceros punctatus","Coelastrum reticulatum","Limonium","Fraxinus ornus-type","Reseda","Chaerophyllum temulum-type","Daucus","Carlina","Herniaria","Odontites-type","Ustulina deusta","Smilax","Centaurium","Cynoglossum officinale-type","Corydalis","Potentilla-type","Solanum nigrum-type","Lygeum spartum","Dryopteris filix-mas-type","Mougeotia","Spergula-type","Silene vulgaris-type","Foraminifera","Lysimachia vulgaris-type","Lythrum portula","Peucedanum-type","Cuscuta","Juncaceae","Corrigiola litoralis","Cladium mariscus","Nymphaea","Cerastium-type","Riccia","Oenanthe","Listera-type","Hippophaë","Malva-type","Myriophyllum alterniflorum","Hedera helix","Scutellaria-type","Cyclamen hederifolium","Borago","Persicaria maculosa-type","Radiola linoides","Iris pseudacorus-type","Centranthus","Lythrum","Arceuthobium oxycedri","Trifolium pratense-type","Polystichum","Pimpinella major-type","Scabiosa","Valerianella","Osmunda"
1315,NA,NA,386,"1","3","","","","4","","","1","","4","6","4","","","","","2","","11","","","4","7","4","6","2","10","25","","2","7","12","","65","40","11","24","17","2","1891","29","30","33","8","11","122","55","27","30","5","3","254","62545","","","1","","","","","1","","","","","","","","2","","","1","","","10","10","","","","","","","","","","","","","","","4","","1","","","","","","","","","","","","","","","","","","3","1","","","","","","","4","","","","","","","","","","","","","","4","","","","","","","","","","","1","","","","","","20","","","","","","","","","","","","","","","","","","","2","","","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1457,NA,NA,390,"1","1","6","","","4","","","","","3","5","4","10","","1","","","","","23","3","1","5","","2","5","8","3","","9","8","9","2","21","44","17","24","10","4","257","26","8","28","4","2","139","34","16","27","7","1","281","62545","","7","","","","","","1","","","","1","2","","","","","10","","","2","13","","","","1","","","","4","1","","","","1","","1","","","","","","","","","","","","","","","","","","","","6","1","","","","","1","","2","2","","","","1","","","","","","","","","","2","","","","","","","","","1","","","","2","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1635,NA,NA,395,"1","","10","2","","6","","1","","","2","5","12","6","","1","2","","","13","23","4","","14","1","","6","2","14","","6","22","6","2","13","36","51","22","8","11","478.5","25","5","25","6","3","136","39","22","34","5","","198","41697","","1","4","1","","","","","1","","","","","","1","","","2","","","7","7","","","","","","","","1","2","","","1","","","3","","1","1","","","","","","","","","","1","","","","","","","1","2","1","","1","","3","","","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","3","","","","1","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1991,NA,NA,405,"1","","2","4","","8","","1","4","","4","14","2","5","","","","6","","13","4","1","1","13","2","3","8","14","9","","8","16","5","","16","42","12","25","30","3","773.31","28","18","23","10","5","86","74","10","53","6","","307","41697","","3","1","","","","","","1","","","","","2","","","1","","2","","2","15","","","","","","","","","","","","1","1","1","","","1","2","2","","","","","","","1","1","3","","6","","1","","","1","6","","","","","3","","","","","","","","1","","","","","","","","1","","","","","","2","","","","","","","","4","","","","3","","","","","","","1","","","","","","","","","","1","","","","","","","","","","6","","","","","1","1","1","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2169,NA,NA,410,"1","","2","","1","2","","","4","","5","4","8","4","","","","3","","22","16","2","","4","2","5","9","16","11","","11","10","5","5","15","34","","20","59","5","730","39","12","13","8","5","63","88","11","48","12","2","485","62545","","5","3","1","","","","","","","","1","","1","","1","","2","","1","3","3","","","1","","","","","","2","","","","","","1","","1","1","","","","","","","","2","","","","","","","","","","3","","","","","1","","1","","","","","","","","","","","","","","","3","","1","","1","","","","","","","","","3","","","","16","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2347,NA,NA,415,"1","","3","","","8","4","","1","","7","7","2","","","","","3","1","26","","","","13","1","10","6","14","23","","3","8","2","","64","32","","22","37","","2521","67","9","11","4","6","50","81","8","57","18","163","419","62545","","","","","","","","","","","","","","1","","","","","2","","","9","4","","","","","","","","","","","","","","","17","","","","","","","","","","","1","","","","","","","","","3","1","","","","","","","5","","2","","","1","","","","","","","","","","","1","","","","","","","","","1","","3","1","","","668","","","1","","","","","","","","","","","","","","2","","","6","","","","2","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2525,NA,NA,420,"1","","7","","","5","2","","1","14","5","2","9","3","","","","2","","21","10","5","1","8","","8","3","13","7","8","6","5","1","8","28","40","","35","25","8","100","39","3","4","3","14","38","90","13","42","15","25","611","62545","","","","","4","1","","","","","","2","","","2","1","","","","1","16","10","","","","","","","","1","","1","","1","","","5","6","","","","1","","","","1","","3","","","1","2","","1","","","","","","","","","2","","","","","","","","","","","1","","2","","","","2","","","","","","","","1","","","","1","1","","","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2704,NA,NA,425,"1","","","","","","1","","1","2","7","15","5","","","","","4","","19","","","17","24","3","8","13","26","54","","1","12","13","","50","26","4","16","34","3","3774","131","11","14","20","20","54","76","14","76","16","133","469","62545","","","","1","","","","1","","","","","","","","2","","","1","","1","5","10","","2","","","","","","","1","","1","","","","28","","2","1","","","","","","","","","","","","","","","","","4","1","","","","3","","","6","","3","1","","","","","","","","","","","","","","","","","","","","","","","","3","1","","","1380","","","","","","","","","","","","","","","","","1","","1","","","","","","2","1","","1","","","","","","","","1","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2882,NA,NA,430,"1","1","1","3","2","6","","","1","1","9","4","8","5","","","","5","","25","15","8","2","15","1","6","11","18","7","1","7","11","5","3","18","35","","14","29","7","708","51","7","9","9","11","71","72","6","40","22","13","683","62545","","5","1","1","","","","1","","","","","","1","","1","","7","2","","","4","","","","","","","","","","","","1","1","","","","","","","","2","","","","","3","","","","","","","","","","10","","1","1","","1","","","1","","","","","","","","","","","","","","4","","","","","","","","","1","","","","3","","","","23","","2","","","","","","3","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3060,NA,NA,435,"1","","2","","","3","3","2","","","1","4","3","","","","","","1","6","","","1","32","","2","3","15","7","","3","1","16","","46","33","8","13","39","1","1191","42","12","39","7","6","81","82","17","48","14","93","291","62545","","","1","1","","1","","1","","","","","","","","","","","","1","","5","","","","","","","","","","1","","","","","","2","1","2","","1","","","","","","","","","","","","1","","","","3","","","1","","","","","1","","2","3","","","","","","","","","","","","","","","","1","","","","","","2","","","1","","","138","","","","","","","","1","","","","","","","","","1","","1","2","","","1","","","","","1","","","","","","","","","1","","","1","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3260,NA,NA,440,"1","2","2","5","1","5","1","","1","","5","3","7","4","","","","2","","13","10","12","","12","","2","4","14","7","","6","16","7","7","14","44","2","11","41","6","301","30","8","26","3","","91","81","12","43","8","2","693","62545","","","","3","","","","1","","","","","","1","","","","4","2","","1","5","","","1","","","","","","","","","1","","","","","","","","","","","","1","","1","","1","","1","","3","","","1","8","","","","","","","2","","","1","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","10","","3","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3431,NA,NA,445,"1","","1","","","5","3","1","2","","3","11","7","","","","","10","","7","","","3","13","3","5","7","","27","","4","5","12","","56","69","","18","13","","162","81","37","27","34","48","255","61","6","27","96","90","320","62545","","","1","","","","","1","1","","","1","1","","","1","9","","1","","","","5","","","","","","","2","","","","","","","","2","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","4","","","","164","","","","","","","","","","","","","","","","","3","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3486,NA,NA,450,"1","4","5","3","1","4","","","","","3","","9","8","","","","","","10","31","1","","6","","1","10","4","5","","6","4","5","4","6","60","16","6","6","1","40","60","10","8","15","16","159","54","10","7","6","35","541","62545","","","","","","1","","","","","","","","","","2","","4","","","7","4","","","","3","","","","","","","","","","","","","","","","","","","","2","","","","","","","","3","","","1","3","","","","","1","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","2","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3540,NA,NA,455,"1","2","","","","2","2","","1","","1","4","2","","","","","2","","10","","","","9","1","3","4","2","9","","2","3","19","","45","68","61","5","1","","197","56","38","34","33","21","171","36","5","17","3","81","244","62545","","","","","","","","","","","","","","","1","1","4","","","","","2","2","","","","","","","","","","","","","","","4","","","","","1","","","","","","","","","","","1","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","1","1","4","1","","","47","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","2","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3594,NA,NA,460,"1","2","3","2","","1","1","","","","","","5","14","","","1","","","11","26","2","","7","","5","10","2","6","","12","9","13","4","10","55","49","4","2","4","63","46","19","8","10","22","168","56","9","16","7","86","398","62545","","2","","","2","1","1","1","","","","","","","","2","","5","","","3","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","3","","","","","1","","","","1","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","5","","","","5","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3616,NA,NA,462,"1","1","","","","","2","","1","","","3","2","","","","","2","","7","","","2","11","2","3","8","5","12","","5","4","13","","41","67","40","5","6","1","120","51","26","33","15","24","194","49","4","19","7","84","190","62545","","","","","","","","","","","","","","","","2","","","1","","1","1","7","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","1","","","","","","","","","2","","","","","","","","","","","","1","","","","","","","","","","","1","","","","2","1","","","71","","1","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3681,NA,NA,468,"1","1","","","","","2","","","","","2","5","","","","","2","","9","","","","12","","2","7","4","16","","3","4","22","3","25","65","123","5","7","","205","51","25","33","10","21","214","63","7","20","7","104","255","62545","","","","1","","","","","","","","","","","1","","","","","","","2","","","1","","","","","1","","","","","","","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","94","","1","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3703,NA,NA,470,"1","","4","","","1","","","2","","1","3","7","","","","","2","","4","10","12","1","4","","4","3","","1","4","9","5","3","1","23","74","21","12","5","2","64","19","6","10","10","2","142","50","5","14","12","7","378","62545","","","","","2","","1","","2","","","","","","3","2","","4","","","31","3","","","","","","","2","8","","2","","","","","","","","","1","2","","","","3","","","","","","6","","3","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","1","","","1","","","","","","1","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3746,NA,NA,474,"1","1","1","","","4","1","","","","1","8","1","","","","","6","","16","","1","","8","","1","5","5","27","","2","5","22","","36","67","126","2","17","","420","64","34","40","34","19","241","75","5","26","13","98","335","62545","","","2","1","","","","","","","","","","","","2","","","","","","2","3","","","","","","","2","","","","","","","1","2","","2","","","1","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","77","","","1","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3789,NA,NA,478,"1","1","","","","4","4","","1","","3","1","3","","","","","8","","13","","1","2","10","9","5","9","6","27","","7","5","34","","37","56","46","8","12","1","757","59","33","19","13","9","265","89","5","34","8","55","210","62545","","","","","","","","","","","","","","","","2","","","","1","","3","5","","","","","","","","","1","","","","","","3","","","","","","","","","","","","","","","","","","","","1","","","","","","","","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","3","","","","237","","","","","","","","","1","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","1","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3811,NA,NA,480,"1","1","5","2","","1","","","","","1","4","4","13","","2","","","","8","15","1","1","8","","2","5","4","5","","6","2","7","4","7","62","35","9","11","3","242","24","21","6","10","3","174","55","4","22","7","2","475","62545","","","","","2","","","","","","","","","","","2","","4","","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","1","","","","1","","1","","","","","","","","","","","","","","","5","","","","","","","","","","","","","1","","","","7","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4078,NA,NA,510,"1","4","6","","2","1","","","4","","","","1","2","","2","","4","","6","1","7","","5","1","7","4","3","2","1","3","10","2","6","14","138","","9","20","3","108","40","15","5","3","2","81","90","6","26","10","8","560","62545","","","","","1","","1","","","","","","1","","","1","","","4","1","","4","","","","","","","1","3","1","","","1","","","","","","","","3","2","","","","","","","","","","","","","","","3","","","","","3","","1","2","","1","","","","2","","","","","","","","1","","","","","","","","2","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4166,NA,NA,520,"1","","7","","","","","","2","","1","","3","1","","","1","","","12","1","11","2","7","","2","10","2","5","2","5","3","","7","12","81","1","21","16","3","100","28","35","7","5","3","50","115","7","27","2","6","496","62545","","","","","5","","2","1","2","","","","","","2","2","","1","","","10","6","","","","","","","","2","","3","","","1","","3","","","1","1","7","","","","","","1","","","","8","","5","","","","","","","3","2","11","","","1","","","","","","","1","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4270,NA,NA,530,"1","","7","1","","4","4","","","","1","2","2","","","","","6","","13","3","4","","7","","6","10","5","4","","5","10","","6","23","104","","4","74","4","266","103","7","7","6","","78","84","46","24","10","22","375","62545","1","","","","2","","","","","","","3","","1","","1","","1","1","","","1","","","1","","","","","","","","","","2","","","","1","","","4","","1","","","","","","","","","","","","","1","","","1","","","1","","","","","","","","","","","","","1","","","","6","","1","2","","","","","","","","","1","3","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4341,NA,NA,535,"1","3","5","","","2","16","1","2","","2","7","4","","","","","44","","14","","","1","13","","3","4","3","181","","3","2","4","4","21","71","1","2","346","1","113","119","53","11","7","3","30","179","5","44","10","221","629","62545","","","","2","","","","1","","","","3","","","","","1","","","1","1","2","10","","","","","","","","","","","","","","1","","","1","1","18","","","","","","","","","1","","","","","","2","21","","","","","","","","17","","","1","","","","","","","","","","","","","","","","","","","","","","","","4","2","","","83","","1","","","","","","1","","","","","","","","","1","","","1","","","","","","1","","","","","","","","1","","","","","","","","","","","","1","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4412,NA,NA,540,"1","1","6","","3","3","2","","","","2","3","2","","","2","","31","","16","6","4","","12","","5","4","5","1","","2","8","","3","6","71","6","2","94","3","2","64","51","4","","","40","175","7","22","5","1","1378","62545","","","","1","","","","","","","","","","","","1","","2","3","","1","1","","","","1","","","","","","","","","1","","","","","","","2","","","","","","","","2","","3","","1","","","","4","","","","","","","","3","","","1","","","","","","","","","","","1","","","","","","","","","","","","1","4","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4695,NA,NA,560,"1","2","3","","","8","1","","3","","3","3","3","5","","6","","3","","16","9","1","4","3","","3","2","6","3","","2","8","","4","13","63","","5","145","4","54","68","79","2","10","8","51","79","10","38","8","","671","62545","","3","2","","","2","","","","","","3","","","","1","","6","","","1","4","","","1","","","","","","2","","","","","","","","","","","21","1","1","","1","","","","","","","","","","","","30","","1","","","","","","7","","","","","2","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","4","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4837,NA,NA,570,"1","","18","","","6","","","6","7","1","6","12","2","","","","4","","12","1","2","1","1","","2","7","9","23","7","2","2","","13","15","81","","9","341","9","100","55","8","","2","8","44","39","42","62","23","8","643","62545","","","","3","7","1","","","3","1","","1","","","2","11","","","2","","7","12","","","","","","","3","1","1","2","27","1","","","1","","","2","5","7","6","","","","","","","1","","24","","3","","","","","","","","","2","","","8","","","","","1","","","1","","","","","1","2","","","","","","","","","","","","","","","","","19","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4978,NA,NA,580,"1","1","5","","1","1","","","3","7","3","7","6","","","2","","4","","13","14","","1","3","","2","9","3","","2","4","3","4","2","18","98","","8","13","3","88","43","7","2","3","1","85","119","11","30","8","","913","62545","","1","","","","","","2","","","","1","","","","","","3","","","","3","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","1","","","","","","","1","","1","1","","","","","4","","","","","","","","","","","","","","7","","","","1","","","","","1","","","","4","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5049,NA,NA,585,"1","3","","","","1","1","","","","1","5","2","1","","","","4","","10","","1","2","15","","1","10","1","27","","2","5","14","1","36","119","1","4","25","","663","79","10","30","2","6","86","115","2","28","3","435","540","62545","","","","","","","","","","","","1","","","","1","","","","","1","","1","","","","","","","","","","","","","","","","","1","","1","1","","","","","","","","1","","","","","","","3","","","","","","","","4","","1","","","","","","1","","","","","","","1","","","","","","","","","","","","2","","","","35","","","2","","","","","","","","","","","","","","1","","","","","","","","","1","","1","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5120,NA,NA,590,"1","1","3","","2","2","","","1","","2","","8","4","","","","1","","9","12","4","","5","","6","12","7","2","","6","7","3","4","14","112","","8","39","2","114","38","10","5","4","6","81","101","11","23","12","","479","62545","","3","","","4","","2","1","","","","","","1","","","","5","2","","1","8","","","","3","","","2","","1","","","","","","","","","","","1","4","","","","","5","","2","","2","","6","","","","2","","","","","4","","","1","","1","1","","1","","","","","","","1","","1","","","","","","","","","","","","1","9","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5191,NA,NA,595,"1","4","","","","3","4","","2","","5","4","3","","","","","","","13","","","1","10","","3","8","3","20","","2","2","10","","35","92","1","5","68","","489","64","13","9","4","1","93","104","5","37","17","256","341","62545","","","","3","","","","","","","","","","","","4","","","","","","7","2","","","1","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","1","","","","3","","","","","","","","6","","","1","","","","","","","","","1","","","1","","","","","","","","","","","","5","1","","","58","","","2","","","","","","","","","1","","","","","","","2","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5403,NA,NA,610,"1","","","","","","","","2","1","2","38","7","2","","1","","","","16","8","1","3","5","","4","12","5","1","2","3","7","5","3","17","88","7","5","22","1","83","30","11","7","4","1","57","117","29","36","8","15","570","62545","1","","1","","","","","2","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","1","","","","","","","2","1","","","","1","","","3","","","","","","","","","","","","","","6","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5480,NA,NA,615,"1","1","1","","","5","6","3","","","","7","","","","","","3","","10","","","","18","","","6","7","27","","2","3","13","","28","111","15","18","32","1","307","81","10","4","8","2","36","120","3","73","9","119","322","62545","","","","3","","","","1","","","","2","1","","","1","","","1","","","4","13","","","","","","","","","","","1","1","","1","","1","","","2","","","","","","","","","","","","","","","","","3","","","","","","","8","","2","3","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","14","","1","2","","1","","","1","","","","","","","","","1","","1","4","","","1","1","1","","","1","","1","","","","","","","","","2","2","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5562,NA,NA,620,"1","","10","2","","3","","","1","1","1","3","10","","","","","2","","9","4","10","2","3","","2","7","6","9","5","7","6","","8","12","82","3","12","112","20","125","41","8","6","4","","17","68","24","95","10","","603","62545","","1","","","3","","2","","2","","","","","","1","5","","2","","","1","2","","","","2","","","1","","","1","41","1","1","","2","1","2","","2","6","1","","","","","1","","","","6","","4","","","","","","","1","3","2","","","1","","","1","","","19","","","","","","","","5","","","","","","","","1","","","","","","1","","","1","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5758,NA,NA,632,"1","11","1","","","1","4","","1","","1","3","1","","","","","8","","6","","1","","11","","2","17","2","27","","4","3","7","","31","84","6","2","22","","347","69","26","3","4","","13","214","6","85","7","545","1155","62545","","","","","","","","1","","","","","","","","1","1","","","","","1","2","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","1","","","","","","1","","","4","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","5","","","5","1","","8","","","","","","","","","","","","","","1","","","1","","","1","1","1","","","","","","","1","","","","","","","","1","1","","","","","","","","","","","","","","","","","2","","1","1","1","4","17","","","","","","","","","","","","","","","","","","","","","","",""
5889,NA,NA,640,"1","1","4","","","4","","","4","1","3","5","6","5","","","","15","","5","7","22","","12","1","9","14","5","9","","7","5","3","","24","135","25","4","14","6","28","22","9","1","4","","21","83","3","53","5","3","853","62545","","3","1","","2","","","","","","","","","","","3","","1","","","","2","","","","","","","","","","","1","2","","","","2","","","","2","1","","","","","1","","","2","","","","","","","7","","","","1","1","","1","1","","","","","1","111","","","1","","","","1","4","","","","4","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5971,NA,NA,645,"1","1","1","","","10","3","","20","","5","28","5","","","","","12","","11","1","1","","59","","","22","4","80","","2","5","11","1","38","152","33","7","20","5","123","56","17","7","7","","23","90","11","55","11","27","531","62545","","","","1","","","","1","","","","3","1","","","2","1","","2","","","10","","","","","","","","","1","","","1","","","","","","3","","","1","","","","","","","","1","","1","","","","","9","1","","","","","","","5","","1","1","","","","","","","","","","","","","","","","","1","","","","","1","","","5","","","40","","","2","1","","","","","","","","","","","","","2","","","3","","","","","5","1","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","",""
