depth,Basilicum-type,Polyscias fulva-type,Cyperaceae,Olea capensis,Jasminum,Gramineae,Zanthoxylum-type usambarense,Phoenix reclinata,Hagenia abyssinica,Ilex mitis,Dodonaea viscosa,Celtis,Minuartia-type filifolia,Linaceae,Anthocerotaceae,Rubiaceae,Triletes,Aloe-type,Myrica,Anthospermum,Rumex,Olea europaea ssp africana,Prunus africana,Macaranga,Ericaceae,Capparis fascicularis-type,Acacia groupe III,Monoletes,Rapanea melanophloeos,Umbelliferae,Rubia-type,Typha,Steganotaenia-type,Juniperus procera,Lactuceae,Chenopodiaceae,Tubuliflorae,Podocarpus,Plantago lanceolata-type,Hydrocotyle,Urticaceae,Myrtaceae,Papilionoideae,Trema-type orientalis,Uebelinia-type abyssinica,Lythrum,Nuxia/Dobera,Scabiosa-type,Alchemilla,Fleurya-type aestuans,Cruciferae,Schefflera myriantha-type,Euclea,Combretaceae,Plantago africana-type,Potamogeton thunbergii-type,Myrsine africana,Acalypha,Protea-type,Maytenus-type senegalensis,Tarenna-type graveolens,Cyphostemma-type,Solanum,Clematis-type,Pilea-type bambuseti,Carduus-type,Suaeda-type monoica,Polygonum senegalense-type,Sebaea-type brachyphylla,Indetermines,Pterocephalus-type frutescens,Manilkara-type butugi,Plantago coronopus-type,Hebenstreitia dentata,Allophylus,Millettia-type ferruginea,Ormocarpum-type trichocarpum,Amaranthaceae/Chenopodiaceae,Sapium-type ellipticum,Ranunculus oreophytus-type,Mimusops-type kummel,Ricinus communis,Hallea-type rubrostipulata,Swertia usambarensis-type,Syzygium-type,Echinops,Galiniera coffeoides,Cerastium-type octandrum,Salix subserrata,Scrophulariaceae,Ximenia,Pappea-type capensis,Labiatae,Rosa abyssinica,Celosia-type trigyna,Erythrococca-type,Cussonia,Campanula-type,Asparagus-type buchaii,Maerua-type,Acacia groupe I,Leucas-type,Buddleia,Combretum-type aculeatum,Rhamnaceae,Corchorus-type fascicularis,Celastraceae/Hippocrateaceae,Croton-type,Combretum-type molle,Hypericum,Impatiens,Pavetta-type abyssinica,Vernonieae,Acanthus-type,Aerva-type lanata,Dombeya-type,Lannea-type,Ekebergia-type,Crassocephalum-type montuosum,Harungana,Monocotyledoneae,Anagallis-type,Artemisia,Ranunculus stagnalis-type,Achyranthes-type aspera,Ficus,Geranium,Commelina-type forskalaei,Gunnera perpensa,Liguliflorae,Rhus-type,Tapithus-type,Apodytes dimidiata,Stephania-type abyssinica,Teclea-type,Swertia-type kilimandscharica,Mimulopsis-type,Capparidaceae,Capparis tomentosa-type,Calpurnia-type aurea,Caryophyllaceae,Begonia,Polygonum plebeium-type,Polygala-type,Oldenlandia-type,Vangueria-type acutiloba,Lantana-type viburnoides,Stoebe kilimandscharica-type,Dipsacus-type pinnatifidus,Capitanya-type otostegioides,Mellera-type,Tribulus,Ephedra,Spiniluma-type oxyacantha,Thalictrum,Hypoestes-type,Brucea antidysenterica,Resedaceae,Cissus-type quadrangularis,Vernonia-type abyssinica,Pittosporum abyssinicum-type,Cassia-type italica,Borassus-type,Commiphora africana-type,Euphorbia,Gnidia-type chrysantha,Pupalia-type lappacea,Euphorbia hirta-type,Schefflera abyssinica-type,Vitaceae,Leonotis-type,Canthium gueinzii-type,Alchornea,Boscia-type,Gardenia-type ternifolia,Pterolobium stellatum,Ambrosieae,Spermacoce-type,Lythraceae,Crateva-type adansonii,Cerastium afromontanum-type,Clutia
177.5,2,,28,1,,58,,1,20,2,3,2,,,16,,19,,26,4,17,4,1,,37,,1,135,1,,1,,,66,4,2,12,28,8,,2,,1,,,1,2,,1,,1,,8,,2,3,1,,,,1,,1,3,,,,,,1,,,,1,,,,,,,,,,,1,,,2,1,,,,,1,,,,,,,1,,,,,,1,,,,1,,,,3,,,,1,,,,,,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187.5,1,,15,2,,48,,,23,3,3,,,,13,,7,1,16,8,17,4,2,2,94,,,141,1,1,1,,,21,6,1,10,17,5,,2,,1,,2,,,,,,,,2,,,,,2,,,,,,1,,2,,,,,,,,,,,,1,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197.5,2,,18,5,,60,,,37,15,10,,,,12,,6,,16,6,31,3,3,1,49,1,,83,,1,1,2,,67,3,3,16,23,7,1,,,2,,3,2,,,1,,,,,,1,3,3,1,1,,,,1,3,,2,,,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,,8,,,,,,3,,,,,,,,,1,,,,1,,1,,,,,,,,,,1,,,,,,,,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217.5,1,,28,3,,57,,,41,1,3,2,,,12,,9,,28,6,12,,1,,96,,,137,3,3,3,,,75,4,1,17,30,3,1,,,3,,1,1,5,1,1,,,1,1,1,,1,,2,2,1,1,,,7,,1,,,,,,,,,,,,,,,,2,,1,1,,1,,,,,,,,,,,1,1,,,,,,,1,,1,,,1,,,,,,,,,,1,2,,,,,,1,,,,,1,,,,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237.5,2,,21,4,,56,2,,25,4,5,,,,3,,5,,13,10,15,,5,,82,,1,87,1,2,1,2,,44,5,,21,21,6,1,1,,,,,,,,1,,1,,2,,,,3,,1,,1,,,5,,1,,,,,1,,,,,2,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242.5,8,,15,9,1,55,,,42,11,2,1,,,3,,10,1,32,11,27,8,8,,80,,,78,4,2,,,1,41,16,2,41,19,6,,,,1,,,,3,,3,,1,,1,,,,1,,2,,,,2,16,,7,,,2,,1,,,2,,,,1,1,,,,,1,,,,,,,,,,2,,,,,,,,,,1,1,2,,,1,,1,,,,1,,,,,,,,1,1,,,,,,1,,,,,,3,,,1,,,,,1,2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,6,,,33,,,11,6,,,,,6,,14,,12,7,2,4,3,,68,,,180,,,,,,31,2,,11,12,3,1,2,,,,,,,,,,,,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,21,6,1,50,,,24,6,3,,,,4,,8,,30,4,2,19,,1,74,,,83,4,1,,,1,107,,5,17,12,1,,,,2,,,,2,,,,,,1,,,2,4,,,,,,1,7,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257.5,1,,15,10,,80,,,29,9,1,1,,,1,1,,,26,1,5,8,8,,63,,,45,2,5,1,,,146,1,1,25,24,2,2,,,3,,1,,3,,,,,,2,,1,3,2,1,1,,1,,1,3,,2,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,2,,,,,,,1,,1,,,,,,1,,1,,,,,,,,,,1,,,1,,,,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262.5,1,,16,8,,55,,,23,5,,,,,,,3,,17,4,5,14,4,1,96,,,60,,4,,,,82,3,2,26,16,2,3,3,,5,,,,2,,2,,1,,2,2,,2,4,,,,,,,4,,1,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,4,3,,,,,,,1,,,,,3,,,,1,,,,,,,6,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264.5,1,,20,15,1,76,1,,25,10,3,1,,,,,1,,29,2,10,23,3,,82,,,21,1,1,,,,140,5,4,32,22,2,,,,7,,,,4,2,1,,1,,,,,1,4,1,,,1,,,10,,4,,,,2,,,,2,,,,,,,,1,,,,1,,,,,,,,2,,,,,,,,2,5,2,,,,,,1,,,,,1,,,1,,,,,1,,1,,,,,,,,3,,,3,,,,,,,,,1,,4,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.5,,,12,4,,39,,,10,5,2,,,,6,,5,,19,,4,5,1,2,56,,,138,1,1,1,,,41,2,5,13,6,1,,1,,,,,,3,,2,,,,1,,,1,3,,,,,,,3,,4,,,,2,,,,1,,,,1,,,,,,1,1,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
286,3,,23,12,1,66,,,25,4,1,2,,,1,,6,2,37,5,11,10,3,2,104,,,91,1,6,,,1,40,6,3,33,18,2,,,,1,,,1,2,,2,,,,2,,,,2,,,2,,,2,7,,1,,,,,,,,,,,,3,,,,,,1,,,1,1,,,,,,3,,,,,,1,,1,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,1,,,,1,,,,1,,,,,,,2,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
292.5,3,,31,8,,78,,1,29,10,1,4,,,2,2,3,,70,3,5,13,1,1,107,,2,50,2,1,2,,,27,3,,19,16,3,1,2,,,,,,4,2,1,,,1,,,,6,3,,1,,,,,12,,3,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,4,4,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
297.5,2,,33,8,,58,,,24,8,,,,,1,,8,,47,8,6,9,1,,81,,3,107,3,2,,,,39,,4,20,10,1,,,,1,,,1,,,,,,,,,,1,2,,,,,,1,4,,,,,,2,,,,1,,,,1,,,,,,,5,,,,,,,,,,,1,,,,,3,,,2,,,,,3,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
307.5,2,1,42,6,,51,,,25,3,1,,,,3,,8,,50,13,11,6,2,,89,1,2,105,4,3,1,,,38,1,3,10,12,1,,1,,,,,,2,,,,,,2,,,,1,,1,,,,,4,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,2,,,,,1,3,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,
347.5,4,,44,5,1,99,,,17,7,3,2,,,2,,3,,72,5,8,10,,,79,,1,46,,4,,2,,70,5,3,20,26,5,,2,,1,,,,8,,2,,,,1,,,8,1,1,1,,,1,1,6,,3,1,,,2,,,,,,,,,2,,,,,1,1,,,,3,,,,,,,,,,,,,,,2,,,,,1,1,,,1,,1,,1,,1,,,,1,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,2,1,,,,,,,,,,,,,,,
377.5,1,,43,2,,130,,,8,,,1,,,1,,1,,50,5,6,6,5,,29,1,,42,5,,,8,,55,2,2,10,17,20,,2,,,,1,,3,,1,,3,,,,,27,5,,,,,,2,2,,2,1,,,1,,,,,,,,,,,,1,2,1,3,,3,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,1,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,
397.5,,,39,5,,71,,,17,1,6,1,,,,,3,,48,2,8,1,,2,15,,,50,4,2,,4,2,42,1,1,13,9,10,,2,,,,,,2,,,,,1,1,,,4,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
417.5,1,,24,3,,145,,,15,2,6,1,,,1,,4,,74,1,14,3,,,13,,,55,1,1,1,,,46,2,3,11,32,20,,,,,,,,2,,2,,1,,1,1,1,10,6,,,,,,1,,,,,,,12,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,
437.5,,,47,5,1,128,,,15,3,4,,,,2,,6,,50,5,8,4,1,,38,1,,62,6,1,1,2,,79,3,1,9,36,35,,12,,3,,,,14,,,2,3,,2,,,19,3,3,,,,,,,,,3,,,2,,,,,,1,,,,,,,,,1,,,,2,,,,,,3,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
457.5,,,49,8,,111,,,10,2,4,,,,1,,3,,53,4,12,4,3,,44,1,1,66,6,3,2,,,25,,6,11,18,20,,,,3,,,,1,,,,,,2,,,21,4,1,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
477.5,1,,40,5,,101,,1,14,4,3,,,,2,,3,1,64,10,16,4,2,8,39,,,70,4,2,,2,,63,10,3,8,21,16,1,1,,,,,,4,,1,,,,1,,,4,7,,,2,,,1,2,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,1,,,1,,,,,1,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,5,2,1,,,,,,,
497.5,1,,49,6,,103,,,22,2,10,1,,,2,,5,,71,1,12,5,2,,31,,2,65,9,,1,,,82,,10,8,34,26,3,,,,,,1,2,,,,,,,3,,13,3,1,,1,,,,1,,,1,,,2,,,,,,,,2,,,,,,,,,,,3,3,,,,,,,,,,1,,,,1,,1,,,1,1,,,1,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517.5,1,,48,5,,95,,,12,1,5,2,,,,,3,,62,5,15,7,,1,20,,,39,4,1,3,2,,75,,8,13,23,26,,1,,,,,,6,,1,,,2,2,,,17,4,,,,,,,,,,1,,,,,,,,1,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,3,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,
527.5,,,50,2,,97,,,13,4,3,1,,,,,,,67,,12,1,2,1,30,1,,36,1,1,,,,63,2,4,12,14,45,,,,,,1,1,2,,1,,,2,1,,,13,5,,,,,,,,,,2,,,3,,,,,,,,,,,,,3,,,,,,,,,,1,,3,,,,,1,,,,,,,,,2,,2,,,,1,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,,
537.5,1,,43,5,1,83,,,10,,8,,,,,,4,,47,6,9,5,1,,38,,,40,8,,2,,,86,1,7,10,17,33,,1,,2,,,,2,1,1,,,,1,,2,11,2,2,,,,,1,,,,3,,,1,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,1,,,,,,,2,,2,,,,1,,8,,,,,,,,1,,,2,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,1
550,,,22,3,,63,,,19,1,2,,,,,,1,,43,3,5,4,1,1,20,,,25,3,1,,1,,39,1,3,8,16,24,1,1,,,,,,,,,,,,2,,,9,6,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
