"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Apiaceae","Potamogeton","Pteridium","Abies","Cyperaceae","Cichorioideae","Rumex","Juniperus-type","Pistacia","Humulus/Cannabis","Plantago lanceolata-type","Filipendula","Olea europaea","Ulmus/Zelkova","Amaranthaceae","Plantago","Phillyrea","Sanguisorba minor-type","Vitis vinifera","Poaceae (Cerealia-type)","Platanus orientalis","Sparganium-type","Juglans regia","Indeterminable (degraded)","Artemisia","Quercus (evergreen)","Brassicaceae","Poaceae","Vaccinium-type","Corylus","Alnus","Ostrya/Carpinus betulus-type","Fagus","Pediastrum","Pinus","Botryococcus","Quercus (deciduous)","Lycopodium spike","Tilia","Ephedra","Rubiaceae","Typha latifolia-type","Sorbus group","Polypodiaceae","Ranunculaceae","Caryophyllaceae","Asteroideae","Fraxinus excelsior-type","Centaurea","Fraxinus ornus","Polygonum aviculare-type","Salix","Urticaceae/Moraceae","Scrophulariaceae","Picea","Myriophyllum","Rosaceae","Loranthus europaeus","Melampyrum","Papaver rhoeas-type","Allium vineale-type","Ballota-type","Hedera","Cistus","Hippophaë rhamnoides","Thalictrum","Fabaceae","Solanaceae","Helianthemum","Plumbaginaceae","Liliaceae sensu lato","cf. Plantago","Indeterminable (immature)","Acer","Ranunculus lanuginosus-type","Mentha-type","Teucrium","Lemnoideae","Celtis","Buxus","Mercurialis","Hypericum perforatum-type","Taxus","Potentilla-type","Populus","Lycopodiella-type","Sambucus","cf. Pterocarya fraxinifolia","Unknown","Linum","Convolvulus arvensis-type","Asteraceae","Selaginella willdenowii","Blackstonia-type","Papaver argemone","Campanulaceae","Salvia-type","Euphorbia","Buglossoides arvensis","Genista group","Cornus","Trifolium","Spiniferites cruciformis","Dipsacus/Cephalaria","Anemone coronaria","Centranthus","Lythrum","Menyanthes trifoliata","Dipsacoideae","Echinops","Herniaria-type","Ligustrum-type","Polycnemum","Rumex aquaticus-type","Ceratonia siliqua","Valeriana","Sanguisorba officinalis","Urtica pilulifera","Adonis aestivalis-type","cf. Ranunculaceae","cf. Phillyrea","cf. Carya","Lamiaceae","Alchemilla group","Arum","Hedysarum","Lomelosia argentea-type","Rhinanthus group"
1599,NA,NA,185.8,1,1,2,14,NA,3,4,2,9,2,1,1,5,69,6,7,5,22,7,NA,22,7,3,8,12,11,6,7,29,16,5,18,15,19,35,34,69,154,50,NA,1,1,NA,NA,2,1,1,1,1,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1696,NA,NA,197.8,NA,2,2,16,NA,6,5,6,22,3,1,5,7,142,NA,6,3,5,2,NA,27,2,12,17,12,13,4,2,32,7,9,10,9,12,12,18,74,104,87,NA,NA,NA,NA,1,2,NA,2,1,1,6,1,1,2,4,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1793,NA,NA,209.8,1,NA,2,39,1,3,12,5,18,NA,1,1,8,131,4,7,5,46,NA,5,32,6,7,21,22,9,5,27,47,12,7,8,9,18,25,18,53,116,131,NA,NA,3,NA,3,4,NA,2,5,NA,2,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1889,NA,NA,221.8,NA,2,3,34,NA,3,12,1,24,2,5,3,9,116,NA,12,3,19,4,3,25,9,12,24,8,10,8,8,23,12,10,5,7,23,157,26,135,86,112,3,NA,2,1,1,6,NA,1,11,2,2,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,234.8,NA,1,2,23,NA,9,13,2,7,1,NA,4,5,168,5,8,NA,6,2,4,30,10,8,19,NA,8,4,2,30,22,14,18,27,39,199,29,236,132,82,1,NA,1,NA,1,3,NA,2,3,3,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2091,NA,NA,246.8,1,2,3,6,NA,1,8,3,9,NA,3,5,10,87,5,6,2,31,2,4,16,4,4,13,13,22,6,8,41,12,19,8,16,21,180,33,274,120,40,4,NA,3,NA,NA,2,2,NA,8,2,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2188,NA,NA,258.8,NA,1,1,17,NA,4,10,1,2,3,3,9,8,76,6,7,3,2,1,3,32,3,6,13,6,10,4,NA,24,19,17,10,15,37,174,51,202,144,60,1,NA,1,NA,1,2,NA,3,7,3,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2285,NA,NA,270.8,NA,NA,1,16,NA,14,9,4,6,2,1,2,8,20,5,4,1,2,6,4,12,2,7,3,29,10,10,6,29,8,16,13,15,27,143,55,383,194,69,1,NA,NA,NA,NA,4,NA,1,4,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2358,NA,NA,278.8,NA,1,2,30,NA,12,8,4,8,2,4,1,6,18,9,11,4,9,6,5,32,4,15,NA,54,20,5,9,49,20,18,16,12,36,251,44,339,196,85,1,NA,1,2,2,3,NA,1,7,1,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2513,NA,NA,294.8,NA,1,3,31,NA,12,9,1,8,1,1,2,3,14,4,7,3,3,5,4,27,3,8,NA,35,9,3,3,21,9,11,8,7,28,284,77,238,219,64,1,NA,2,NA,NA,4,1,1,7,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2629,NA,NA,306.8,NA,3,3,12,NA,15,11,1,16,NA,NA,12,7,9,3,11,1,2,11,3,24,7,10,NA,16,10,3,2,70,14,15,15,15,33,245,72,234,157,71,1,NA,1,NA,2,1,NA,2,7,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2746,NA,NA,318.8,NA,3,2,27,NA,6,15,NA,14,3,3,6,3,8,5,14,3,4,7,6,41,2,11,1,34,23,5,8,52,10,8,18,11,30,139,58,138,120,111,NA,NA,1,NA,1,7,1,4,11,4,1,NA,1,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2867,NA,NA,331.3,NA,1,3,56,NA,11,16,5,23,3,1,6,8,5,11,6,3,2,5,6,44,4,3,NA,37,9,10,3,72,13,15,15,14,37,146,30,101,107,157,NA,1,2,NA,1,1,NA,2,11,1,2,NA,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2983,NA,NA,343.3,NA,NA,1,47,NA,11,10,2,17,4,NA,6,6,5,11,1,2,6,3,4,16,2,13,NA,22,9,7,NA,84,16,28,14,10,38,156,44,301,118,117,3,NA,1,NA,3,NA,1,3,7,6,3,NA,NA,2,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3100,NA,NA,355.3,NA,NA,5,21,NA,6,16,2,16,3,2,9,5,7,6,10,7,NA,3,NA,58,3,20,1,42,16,4,6,61,25,9,13,21,45,183,36,118,108,127,NA,NA,5,NA,NA,4,2,2,9,2,NA,2,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3216,NA,NA,367.3,NA,NA,3,26,1,10,15,6,4,3,4,17,2,6,10,12,5,6,3,2,53,1,15,NA,13,12,4,4,78,14,12,19,15,30,193,30,62,121,150,2,2,3,1,4,3,3,3,9,2,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3333,NA,NA,379.3,NA,1,1,41,NA,19,21,4,7,3,NA,15,5,3,3,7,2,3,2,2,42,1,8,NA,38,16,4,2,59,17,15,13,9,35,144,55,112,99,172,NA,NA,3,NA,2,NA,NA,7,13,2,5,1,8,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3449,NA,NA,391.3,NA,2,7,65,1,11,16,5,8,NA,NA,4,7,1,5,6,4,3,1,2,33,2,8,1,42,8,3,5,67,14,8,14,17,35,165,65,144,139,110,3,NA,4,NA,2,2,2,NA,21,1,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3566,NA,NA,403.3,NA,NA,3,4,NA,6,NA,2,1,NA,NA,3,NA,5,6,3,NA,NA,2,NA,5,9,2,NA,5,2,1,3,9,6,5,15,29,51,30,131,304,306,22,2,NA,NA,NA,NA,NA,3,1,NA,2,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3678,NA,NA,415.3,NA,NA,1,3,NA,NA,1,1,6,1,NA,7,NA,2,4,4,1,1,1,1,4,3,2,NA,3,6,1,1,14,3,6,19,29,27,52,153,205,239,30,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3759,NA,NA,427.3,NA,NA,5,6,1,3,1,3,1,1,NA,1,NA,5,9,5,2,3,1,2,6,1,5,2,6,5,1,9,13,7,6,10,15,23,53,144,180,239,26,NA,NA,1,NA,NA,3,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3829,NA,NA,437.8,NA,NA,2,11,NA,2,1,NA,3,1,1,3,NA,8,2,3,1,3,5,1,10,2,NA,NA,9,5,2,2,17,4,15,7,20,32,82,126,344,242,26,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3909,NA,NA,449.8,NA,NA,1,13,NA,10,3,2,14,NA,NA,3,1,2,2,8,1,NA,2,5,15,1,5,NA,15,11,1,NA,18,5,17,5,18,44,108,74,162,257,89,1,NA,NA,NA,NA,5,NA,NA,4,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
