"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cyperaceae","Picea","Plantago lanceolata-type","Potentilla","Betula pubescens","Corrigiola telephiifolia","Pteridium aquilinum","Drosera","Vitis","Ranunculus acris-type","Alnus glutinosa","Poaceae","Quercus ilex-type","Erica arborea-type","Quercus robur-type","Olea europaea","Lycopodium spike","Artemisia","Amaranthaceae","Corylus avellana","Galium-type","Sedum-type","Erica umbellata","Rumex acetosella-type","Platanus × acerifolia","Erica australis","Cichorioideae","Zea mays","Rumex acetosa-type","Micranthes stellaris-type","Plantago major-type","Fraxinus angustifolia","Paronychia polygonifolia-type","Halimium/Tuberaria","Peucedanum-type","Anthemis-type","Cytisus scoparius","Secale","Polypodiales (monolete)","Eucalyptus","Calluna vulgaris","Brassicaceae","Sambucus nigra","Saxifraga spathularis","Juniperus communis","Ulmus","Castanea sativa","Echium","Trifolium repens","Daucus","Arnoseris minima","Arenaria","Aster-type","Jasione-type","Solidago","Hedwigia","Senecio","Sparganium","Gentiana lutea/G. pneumonanthe","Montia fontana","Saxifraga granulata-type","Hypericum perforatum-type","Salix","Genista-type","Plantago subulata-type","Poaceae (Cerealia)","Poterium sanguisorba","Campanula","Phillyrea","Anagallis","Ornithopus","Carduus","Silene dioica-type","Sorbus aucuparia","Rubus","Silene foetida-type","Papaver rhoeas-type","Solanum nigrum-type","Cerastium","Aesculus","Boraginaceae","Spergula","Pedicularis sylvatica","Scleranthus annuus","Fabaceae","Caryophyllaceae (porate)","Lotus","Pistacia","Filago-type","Dianthus lusitanus-type","Apiaceae","Viburnum","Humulus lupulus","Herniaria-type","Juniperus","Polygonum aviculare-type","Carum verticillatum","Juglans","Ranunculus","Fagus sylvatica","Eryngium","Minuartia recurva","Armeria","Anogramma leptophylla","Angelica palustris-type","Torilis arvensis-type","Viola","Portulaca","Tilia","Hippophaë rhamnoides","Asphodelus albus","Asplenium","Frangula alnus","Colchicum montanum","Succisa","Gagea nevadensis","Athyrium filix-femina","Allium","Buxus sempervirens","Cistus ladanifer-type","Urtica","Thymelaeaceae","Cedrus","Narcissus pseudonarcissus-type","Taxus baccata","Hedera helix","Linaria-type","Sagina","Lamiaceae","Ephedra fragilis-type","Ambrosia","Anthriscus sylvestris","Marchantiophyta","Lavandula","Equisetum","Myrtus communis","Alchemilla","Vicia","Pinus sylvestris-type","Pinus pinaster","Mercurialis annua","Sphagnum","Helianthemum","Conopodium majus","Dryopteris filix-mas-type","Cannabis sativa","Aquilegia","Mentha","Cirsium-type","Plantago coronopus","Anemone","Scirpus-type","Polypodium","Ephedra distachya-type","Reseda/Sesamoides","Veronica","Centaurea nigra-type","Symphytum-type","Rosaceae","Valerianella","Chaerophyllum temulum","Vaccinium","Physospermum cornubiense","Dryopteris dilatata","Solanum dulcamara","Narcissus bulbocodium","Thalictrum","Cuscuta","Sparganium emersum-type","Scilla","Sanicula europaea","Rumex obtusifolius-type"
16.79,NA,NA,7.5,"11329, 1","2","4","","1","6","1","","1","","","1","4","166","9","75","12","32","176","1","1","","","","1","4","","1","1","","","","","","","","1","","","","","1","","","","","5","","1","","","","","","","","","","","","","","","","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20.24,NA,NA,8,"11329, 1","2","4","","","5","1","","6","","1","2","1","168","17","112","15","55","344","","1","1","","","1","1","","1","","","1","","","","","","","2","","3","","2","","","","","11","","","","","","","","","1","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
23.69,NA,NA,8.5,"11329, 1","2","2","","1","1","","","1","1","","3","1","95","3","59","8","23","150","","","","1","1","","4","","1","1","","1","","","","","1","1","1","","1","","1","","","","","4","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27.14,NA,NA,9,"11329, 1","2","5","","2","3","","","1","3","1","5","1","150","29","143","29","45","260","","","","","","1","3","","6","1","","1","","","1","","","","1","","","","6","1","2","","","2","","2","","","","","","","3","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
30.6,NA,NA,9.5,"11329, 1","2","2","","2","3","1","","2","","","","1","143","15","80","16","47","259","","1","1","1","","1","4","2","6","","","4","","","","","1","","","","2","","3","","1","","","2","","","","","","","","","","","","","","","","","1","","","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
34.05,NA,NA,10,"11329, 1","2","2","","6","10","1","","","","","6","7","198","24","95","17","43","385","","","1","1","","","10","","2","","","1","","","","","2","","1","","2","1","1","1","","","","4","","2","","","","","1","","2","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
37.5,NA,NA,10.5,"11329, 1","2","5","","2","12","1","","4","","","","2","153","16","113","23","29","172","","1","","1","2","","2","","4","2","","2","","","","","1","","2","1","1","","1","5","","","","6","","","","","","","","","2","","","","","","","","1","","","","1","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
40.95,NA,NA,11,"11329, 1","2","10","","1","9","1","","7","","1","","1","200","15","129","29","67","279","","2","1","","","2","2","","5","1","","1","","","","","1","","3","","4","","1","4","2","1","","6","","3","","","","","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
44.4,NA,NA,11.5,"11329, 1","2","8","","3","2","1","","4","2","","1","","146","12","96","19","32","184","","","","1","","","3","","2","1","","","","","","1","","","","","2","","","2","","","","4","","3","","","","","","","2","","","","","","","","","","","1","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
47.86,NA,NA,12,"11329, 1","2","7","","4","2","1","","6","","","2","4","291","6","174","15","43","429","","3","1","2","2","2","2","","4","","","1","","","","","2","1","","3","","","4","1","1","","","5","","2","","1","","","","","2","","1","","","","","","","","","","1","","","","","","","","","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
51.31,NA,NA,12.5,"11329, 1","2","5","","2","3","1","","","","","","1","550","4","149","18","41","413","1","1","","15","2","3","9","","7","2","","4","","","","1","7","1","","1","5","","","1","","","","3","","1","","6","","","","","1","","","","","","","1","","","","1","1","","","1","","3","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
54.76,NA,NA,13,"11329, 1","2","11","","6","13","1","","3","","","2","2","2230","7","138","12","53","256","1","2","","78","20","3","16","","2","12","","3","4","","","10","22","2","","","2","","1","","2","","","4","","2","","7","1","2","","","","","","","","","","1","","","2","","","","","","","26","","","","","3","","","","1","1","1","1","1","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
58.21,NA,NA,13.5,"11329, 1","2","4","","1","16","","","","","","","1","2130","4","55","14","32","138","","","","56","15","1","9","","2","11","","3","8","","","13","20","1","1","","","","","","","1","","","","","","23","1","2","","","2","","","","","","","","2","","","1","","","","","","15","","1","","","2","","","4","","","1","1","1","","","2","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
61.67,NA,NA,14,"11329, 1","2","10","","5","8","","","1","","","","1","996","8","118","12","45","227","","","1","15","7","3","10","","4","2","","2","1","","","3","7","","1","1","2","","1","","","","","1","","2","","5","","","5","","","","","","","","","","","","","","","","","","","8","","","","","","","","1","","","1","","","1","","","","","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
65.12,NA,NA,14.5,"11329, 1","2","4","","1","10","","","1","","","","","276","2","197","11","23","435","","1","1","3","2","","6","","5","2","","","","","","1","2","","","","6","","","","","","","2","1","3","","","","","","","","","","","","","","","","1","1","","1","","","","1","4","","","","","1","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
68.57,NA,NA,15,"11329, 1","2","5","","3","13","1","","3","","","1","3","205","7","109","11","51","291","2","2","","4","2","2","7","","3","","","","","","","","","","","","3","","7","","","","","2","","1","","1","","","","","","","","","","","","","","1","","","1","","","","","","","","1","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
72.02,NA,NA,15.5,"11329, 1","2","9","","","14","2","","5","","1","6","3","158","3","96","16","40","344","1","1","","","","1","4","1","7","","","","","","","","1","","1","1","4","1","1","1","","","","","","3","1","","","","","","","","","","","","","","","1","","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
75.48,NA,NA,16,"11329, 1","2","11","","1","5","1","","1","2","","7","2","85","7","70","27","42","303","","","","","","2","1","","2","","","","1","","","","1","","3","","1","","3","1","","","","4","","","","","","","","","","","","","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
78.93,NA,NA,16.5,"11329, 1","2","10","","1","2","2","","1","","","2","3","91","6","97","22","32","329","","","","","","1","5","","4","","","","1","","","1","1","","","","2","1","1","1","1","","","3","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
82.38,NA,NA,17,"11329, 1","2","6","","3","1","2","","3","","","1","1","86","7","78","15","35","137","","1","","","","1","7","","2","","","","","","","","1","","1","","1","","1","","","","","8","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
85.83,NA,NA,17.5,"11329, 1","2","14","","3","4","2","","2","2","2","4","1","200","10","133","20","74","244","","","1","1","","3","8","","4","1","","2","1","","","1","1","1","1","","10","","","2","","","","8","","2","1","","","1","","","","","","","","","","","","","","","1","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
89.29,NA,NA,18,"11329, 1","2","16","","4","9","3","","3","","","6","2","246","12","125","24","65","205","","1","","","","","8","","5","1","","3","2","","","1","1","","","","13","","","1","","","","10","","1","","","","","","","","","","","","","","","","","1","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
92.74,NA,NA,18.5,"11329, 1","2","7","","2","5","2","","1","","","4","1","129","7","82","15","54","118","","","","","2","1","9","","2","1","","3","","1","","","","1","2","","7","3","","","","","","5","","","","","","1","","","","","1","","","","","","","","","1","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
96.19,NA,NA,19,"11329, 1","2","12","","2","9","5","","1","","","8","5","280","14","126","21","119","191","","1","1","1","","3","10","","2","2","","4","2","","1","1","2","","2","","16","","","3","1","","","19","","1","","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
99.64,NA,NA,19.5,"11329, 1","2","10","","2","6","2","","4","","1","6","","180","10","59","15","51","138","1","1","","","","3","5","","3","1","","2","1","","","","","","2","","9","","1","","1","","","5","","4","","","","","","","","","1","","","","","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
103.1,NA,NA,20,"11329, 1","2","10","","4","19","4","","7","","1","14","","176","4","89","13","81","195","","1","","2","","2","5","","1","","2","5","","","","1","","","2","","9","","","2","","","","11","","1","","","","","","","","","","","","","","1","","","2","","3","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","5","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
106.55,NA,NA,20.5,"11329, 1","2","17","","3","20","1","","2","","2","6","1","162","7","61","16","57","183","","2","","","","1","7","","5","2","","2","","","1","","","","","","4","2","1","1","1","","","10","","3","1","","","1","","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
110,NA,NA,21,"11329, 1","2","11","","7","26","","","4","1","2","17","1","250","10","124","17","95","209","1","2","","2","","4","10","","1","2","1","2","2","","","","2","","1","1","13","","1","3","","","","9","2","2","","","","","","","2","","","","","","","","","","","3","5","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
113.45,NA,NA,21.5,"11329, 1","2","12","","8","38","4","","6","1","1","6","4","243","11","129","9","68","164","","1","","1","1","","8","","5","3","","4","2","","","","1","2","1","","20","2","","2","","","","22","","1","","","","","","","","","","","","","","","","","3","4","1","","1","1","","","","","","","","","","","","","","","","","","","1","","","","","","","3","1","","1","2","","","","","","","","1","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
116.9,NA,NA,22,"11329, 1","2","9","","12","67","9","","4","","","7","4","315","10","100","17","73","300","1","","1","","2","5","11","","2","7","","3","4","","","","2","2","4","","17","2","","3","1","","","15","","1","","","1","","","","4","","","","","","","","","","1","1","3","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","2","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
120.36,NA,NA,22.5,"11329, 1","2","10","","1","35","2","","2","","2","6","1","190","10","85","11","57","155","","","1","1","1","1","11","","5","3","","4","1","","1","1","5","","","1","9","2","","","","","","25","","","","","","","","","3","","","","","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
123.81,NA,NA,23,"11329, 1","2","6","","8","30","4","","5","","","3","1","148","12","96","16","68","154","1","3","","1","2","1","9","1","3","4","","4","","1","","","3","1","1","","14","1","","","1","","","14","","2","","","","3","","","","","","1","","","2","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
127.26,NA,NA,23.5,"11329, 1","2","5","","4","30","10","","4","","1","4","2","189","18","93","19","51","75","","2","","3","1","2","8","1","3","5","","1","","","","","1","1","1","","21","1","","","1","","","32","","","","","","1","","","1","","","","","","","","","","1","1","1","","","1","","","","","1","","","","","","","","","1","","","","","1","","","2","","","","3","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
130.71,NA,NA,24,"11329, 1","2","1","","7","27","3","","7","","","6","1","396","18","86","17","59","138","1","1","","4","1","3","13","","10","10","","2","","","","","5","","5","","12","3","2","2","","","","8","","2","","","","1","","","1","","","","","","","1","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","4","","","","1","","1","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
134.17,NA,NA,24.5,"11329, 1","2","1","","3","12","6","","9","","","7","4","201","13","102","18","89","146","1","4","1","2","1","5","9","","5","","","3","2","","","","","1","2","","13","10","","1","","","","29","","","1","","","1","","","3","","","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
137.62,NA,NA,25,"11329, 1","2","4","","7","17","3","","13","","1","20","2","142","24","204","22","128","311","2","2","","1","1","1","11","","2","1","","3","29","","","1","2","1","2","1","26","2","","2","","","","31","","4","1","","","1","1","","","","","","","","","2","1","","","","2","","","1","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","4","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
141.07,NA,NA,25.5,"11329, 1","2","3","","3","18","10","","21","","1","7","","154","16","132","20","69","125","","1","","2","3","5","11","","5","1","","4","2","","","","","","3","","18","1","1","1","2","","","66","1","1","","","","1","","","","","","","","","","","","","3","1","4","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
