"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ulmus","Ranunculaceae","Fraxinus ornus","Abies","Vitis","Tamarix","Thalictrum","Scabiosa","Juglans","Poaceae (Cerealia)","Cedrus","Ephedra","Plantago","Phillyrea","Cistus","Fraxinus","Pistacia","Centaurea","Pinus","Carpinus orientalis","Helianthemum","Quercus (deciduous)","Rhamnus","Asteraceae","Juniperus","Amaranthaceae","Poaceae","Quercus (evergreen)","Artemisia","Olea","Cyperaceae","Caryophyllaceae","Rosaceae","Sarcopoterium","Ericaceae","Crataegus","Lamiaceae","Rhus","Rumex","Alnus","Boraginaceae","Apiaceae","Liliaceae","Brassicaceae","Polygonum","Urticaceae","Platanus","Populus","Nerium","Acer","Styrax","Ziziphus","Polygalaceae","Alisma","Lemna","Hydrocharis","Typha","Nuphar","Salix","Orobanchaceae","Cercis","Laurus"
2826,NA,NA,510,NA,NA,NA,2,1,6,NA,NA,NA,4,2,26,1,NA,2,2,2,8,20,5,7,7,2,62,37,88,41,11,48,6,NA,NA,NA,2,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2828,NA,NA,515,NA,NA,NA,3,3,5,NA,2,NA,4,3,25,NA,NA,1,2,3,6,18,6,6,9,2,53,46,91,39,10,51,8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2833,NA,NA,520,NA,2,NA,2,4,2,NA,2,1,2,2,18,9,NA,NA,4,4,13,12,6,NA,11,4,60,14,53,101,14,47,8,NA,2,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2839,NA,NA,525,NA,5,2,NA,2,NA,NA,1,1,4,NA,15,5,NA,1,3,3,13,8,5,NA,11,4,64,12,54,107,15,50,5,NA,4,NA,1,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2850,NA,NA,530,NA,4,4,NA,2,NA,NA,3,2,4,NA,7,9,NA,NA,5,4,17,5,3,NA,10,3,61,5,46,121,23,27,7,1,10,3,1,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2859,NA,NA,535,4,19,6,NA,6,NA,NA,3,6,11,NA,1,11,NA,NA,7,4,21,6,3,NA,7,1,57,6,21,127,29,17,10,8,15,6,3,6,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2861,NA,NA,545,3,19,8,NA,4,NA,NA,2,6,8,NA,2,8,NA,2,8,2,19,5,5,NA,3,NA,66,3,17,144,28,17,6,7,11,3,3,8,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2871,NA,NA,555,5,18,9,NA,4,NA,NA,NA,7,9,NA,2,9,NA,NA,9,2,27,2,3,NA,6,NA,69,2,16,138,33,13,8,6,8,2,3,11,NA,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2874,NA,NA,565,11,29,13,NA,10,NA,NA,1,13,25,NA,1,25,NA,NA,6,1,27,1,3,NA,4,NA,48,NA,7,114,49,7,6,26,32,6,4,7,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA
2882,NA,NA,573,8,28,8,NA,6,NA,NA,1,9,20,NA,1,20,NA,NA,12,4,21,6,2,NA,5,NA,42,NA,7,96,42,8,8,20,26,6,5,9,NA,NA,NA,NA,12,4,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA
2892,NA,NA,578,11,29,10,NA,11,NA,NA,NA,12,26,NA,NA,26,NA,NA,18,3,21,1,1,NA,7,NA,31,NA,6,111,49,4,8,25,25,6,4,6,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,1,1,5,1,2,NA,NA,NA,NA,NA
2893,NA,NA,583,14,25,11,NA,10,NA,NA,NA,11,24,NA,NA,21,NA,NA,17,3,26,7,3,NA,7,NA,25,3,4,103,51,6,10,32,28,4,3,4,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,NA,1,1,9,1,5,1,NA,NA,NA,NA
2897,NA,NA,593,13,31,10,NA,8,NA,NA,NA,11,20,NA,NA,24,NA,NA,15,6,20,6,4,NA,6,NA,27,4,7,107,44,6,8,30,17,6,NA,7,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,3,NA,11,NA,6,NA,NA,NA,NA,NA
2903,NA,NA,600,16,34,9,NA,14,NA,NA,NA,12,17,NA,NA,29,NA,NA,17,5,20,6,6,NA,3,NA,26,6,5,110,54,5,5,35,12,2,2,3,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,2,NA,6,NA,2,NA,NA,2,1,18,1,8,NA,NA,NA,NA,NA
2905,NA,NA,605,17,32,11,NA,15,NA,NA,NA,14,17,NA,NA,23,NA,NA,15,5,18,6,8,NA,5,NA,23,5,6,111,63,3,5,35,15,3,3,3,NA,NA,NA,2,18,NA,NA,NA,NA,NA,2,NA,5,NA,5,NA,NA,2,1,23,1,15,NA,NA,NA,NA,NA
2919,NA,NA,615,18,34,10,NA,11,NA,NA,NA,11,11,NA,NA,18,NA,NA,18,6,22,7,6,NA,4,NA,26,6,4,110,57,6,6,35,18,1,3,1,NA,NA,NA,1,16,NA,NA,NA,NA,NA,1,1,6,NA,4,NA,NA,1,1,20,1,13,1,NA,NA,NA,NA
2936,NA,NA,620,14,29,11,NA,8,NA,NA,NA,10,11,NA,NA,24,NA,NA,16,7,16,4,4,NA,6,NA,34,3,4,109,65,6,6,28,11,6,NA,3,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,1,NA,24,NA,12,NA,NA,NA,NA,NA
2952,NA,NA,625,12,32,8,NA,9,NA,NA,NA,11,12,NA,NA,17,NA,NA,12,7,17,4,6,NA,3,NA,46,14,6,93,61,12,7,27,12,1,NA,NA,NA,NA,NA,NA,14,NA,NA,3,NA,1,NA,NA,4,NA,4,NA,NA,1,1,17,NA,10,NA,NA,NA,NA,NA
2968,NA,NA,630,11,32,7,NA,10,NA,NA,NA,13,13,NA,NA,16,NA,NA,11,8,21,7,8,NA,3,NA,47,17,14,88,41,13,8,22,14,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,4,NA,1,NA,NA,3,NA,3,NA,NA,3,NA,16,NA,10,NA,NA,NA,NA,NA
3000,NA,NA,635,7,26,3,NA,8,1,NA,NA,8,15,NA,NA,7,NA,NA,4,9,22,11,15,NA,3,NA,50,21,28,83,34,16,9,19,22,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,7,NA,1,NA,NA,3,NA,3,NA,NA,1,NA,10,NA,8,NA,NA,NA,NA,NA
3010,NA,NA,640,16,25,12,NA,9,NA,NA,NA,8,15,4,NA,25,NA,NA,13,7,30,4,NA,NA,5,NA,20,11,7,82,54,12,5,19,11,5,3,3,NA,NA,1,3,17,NA,NA,9,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,27,NA,14,NA,NA,NA,NA,NA
3021,NA,NA,645,14,23,10,NA,10,NA,NA,NA,8,16,1,NA,20,NA,NA,14,6,34,4,NA,NA,4,NA,20,8,10,85,59,10,4,16,15,4,3,1,NA,NA,1,4,14,NA,NA,10,NA,NA,NA,NA,5,NA,5,NA,NA,NA,NA,22,NA,14,NA,NA,NA,NA,NA
